,State,Institute,Course,Quota,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,,,
,Uttar Pradesh,"S N Med Coll, Agra",DORTHO,UP-Govt Quota,"?40,000","?1,00,980*",2*,"?20,00,000*",976,,,
,Uttar Pradesh,"S N Med Coll, Agra",DLO,UP-Govt Quota,"?40,000","?1,00,980*",2*,"?20,00,000*",976,,,
,Uttar Pradesh,"MLB Med Coll, Jhansi",DMRD,UP-Govt Quota,"?40,000","?1,00,980*",2*,"?20,00,000*",700,,,
,Uttar Pradesh,"LLRM Med Coll, Meerut",DMRD,UP-Govt Quota,"?40,000","?1,00,980*",2*,"?20,00,000*",1090,,,
,Uttar Pradesh,"S N Med Coll, Agra",DTBCD,UP-Govt Quota,"?40,000","?1,00,980*",2*,"?20,00,000*",976,,,
,Uttar Pradesh,"KGMU, Lucknow",ANAESTHESIOLOGY,UP-Govt Quota,"?54,700*","?1,09,955",2*,"?40,00,000*",4500,,,
,Uttar Pradesh,"S N Med Coll, Agra",ANAESTHESIOLOGY,UP-Govt Quota,"?40,000","?1,00,980*",2*,"?40,00,000*",976,,,
,Uttar Pradesh,"GSVM Med Coll, Kanpur",ANAESTHESIOLOGY,UP-Govt Quota,"?40,000","?1,00,980*",2*,"?40,00,000*",2083,,,
,Uttar Pradesh,"MLN Med Coll, Allahabad",ANAESTHESIOLOGY,UP-Govt Quota,"?40,000","?1,00,980*",2*,"?40,00,000*",Info Not Available,,,
,Uttar Pradesh,"SGPGI, Lucknow",ANAESTHESIOLOGY,UP-Govt Quota,"?61,600*","?1,11,780",2*,"?40,00,000*",1609,,,
,Uttar Pradesh,"MLB Med Coll, Jhansi",ANAESTHESIOLOGY,UP-Govt Quota,"?40,000","?1,00,980*",2*,"?40,00,000*",700,,,
,Uttar Pradesh,"BRD Med Coll, Gorakhpur",ANAESTHESIOLOGY,UP-Govt Quota,"?40,000","?1,00,980*",2*,"?40,00,000*",1050,,,
,Uttar Pradesh,"Shaik-ul-Hind, Saharanpur",ANAESTHESIOLOGY,UP-Govt Quota,"?40,000","?1,00,980*",2*,"?40,00,000*",500,,,
,Uttar Pradesh,"LLRM Med Coll, Meerut",ANAESTHESIOLOGY,UP-Govt Quota,"?40,000","?1,00,980*",2*,"?40,00,000*",1090,,,
,Uttar Pradesh,"Dr RML IMS, Lucknow",ANAESTHESIOLOGY,UP-Govt Quota,"?37,500*","?1,08,672",2*,"?40,00,000*",Info Not Available,,,
,Uttar Pradesh,"UP Univ of Med Sci, Etawah",ANAESTHESIOLOGY,UP-Govt Quota,"?40,000","?1,00,980*",2*,"?40,00,000*",1268,,,
,Uttar Pradesh,"Govt IMS, Kasna",ANAESTHESIOLOGY,UP-Govt Quota,"?40,000","?1,00,980*",2*,"?40,00,000*",500,,,
,Uttar Pradesh,"Govt Med Coll, Azamgarh",ANAESTHESIOLOGY,UP-Govt Quota,"?40,000","?1,00,980*",2*,"?40,00,000*",550,,,
,Uttar Pradesh,"Govt Allopathic Med Coll,Banda",ANAESTHESIOLOGY,UP-Govt Quota,"?40,000","?1,00,980*",2*,"?40,00,000*",430,,,
,Uttar Pradesh,"Rajkiya Med Coll, Jalaun",ANAESTHESIOLOGY,UP-Govt Quota,"?40,000","?1,00,980*",2*,"?40,00,000*",Info Not Available,,,
