State,Institute,Course,Quota,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,,,
Jammu and Kashmir,"ASCOMS, Jammu",PAEDIATRICS,JK Priv-Mgmt Quota,"?12,15,000*","?45,560",0,?0,507,,,
Jammu and Kashmir,"ASCOMS, Jammu",PAEDIATRICS,JK Priv-Hindu Min.,"?12,15,000*","?45,560",0,?0,507,,,
Jammu and Kashmir,"ASCOMS, Jammu",PAEDIATRICS,JK Priv-NRI,"?21,97,500*","?45,560",0,?0,507,,,
Jammu and Kashmir,"Gove Med Coll, Jammu",PATHOLOGY,JK Govt Quota,"?25,000*","?59,500",0*,?0*,1700,,,
Jammu and Kashmir,"Govt Med Coll, Srinagar",PATHOLOGY,JK Govt Quota,"?35,750*","?59,500",0*,?0*,2150,,,
Jammu and Kashmir,"Sher-I-Kashmir, Srinagar",PATHOLOGY,JK Govt Quota,"?11,000*","?82,000",0*,?0*,Info Not Available,,,
Jammu and Kashmir,"ASCOMS, Jammu",PATHOLOGY,JK Priv-Govt Quota,"?12,15,000*","?45,560",0,?0,507,,,
Jammu and Kashmir,"ASCOMS, Jammu",PATHOLOGY,JK Priv-Mgmt Quota,"?12,15,000*","?45,560",0,?0,507,,,
Jammu and Kashmir,"ASCOMS, Jammu",PATHOLOGY,JK Priv-Hindu Min.,"?12,15,000*","?45,560",0,?0,507,,,
Jammu and Kashmir,"ASCOMS, Jammu",PATHOLOGY,JK Priv-NRI,"?21,97,500*","?45,560",0,?0,507,,,
Jammu and Kashmir,"Gove Med Coll, Jammu",PHARMACOLOGY,JK Govt Quota,"?25,000*","?59,500",0*,?0*,1700,,,
Jammu and Kashmir,"Govt Med Coll, Srinagar",PHARMACOLOGY,JK Govt Quota,"?35,750*","?59,500",0*,?0*,2150,,,
Jammu and Kashmir,"ASCOMS, Jammu",PHARMACOLOGY,JK Priv-Govt Quota,"?12,15,000*","?45,560",0,?0,507,,,
Jammu and Kashmir,"ASCOMS, Jammu",PHARMACOLOGY,JK Priv-Mgmt Quota,"?12,15,000*","?45,560",0,?0,507,,,
Jammu and Kashmir,"ASCOMS, Jammu",PHARMACOLOGY,JK Priv-Hindu Min.,"?12,15,000*","?45,560",0,?0,507,,,
Jammu and Kashmir,"ASCOMS, Jammu",PHARMACOLOGY,JK Priv-NRI,"?21,97,500*","?45,560",0,?0,507,,,
Jammu and Kashmir,"Gove Med Coll, Jammu",PHYSIOLOGY,JK Govt Quota,"?25,000*","?59,500",0*,?0*,1700,,,
