State,Institute,Course,Quota,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,"Govt Med Coll, Bhavnagar",GENERAL MEDICINE,AIQ,"30,000","1,00,800",1,"40,00,000",720,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,"Govt Med Coll, Bhavnagar",MICROBIOLOGY,AIQ,"30,000","1,00,800",1,"40,00,000",720,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,"Govt Med Coll, Bhavnagar",PAEDIATRICS,AIQ,"30,000","1,00,800",1,"40,00,000",720,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,"Govt Med Coll, Bhavnagar",PATHOLOGY,AIQ,"30,000","1,00,800",1,"40,00,000",720,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,"Govt Med Coll, Bhavnagar",PHARMACOLOGY,AIQ,"30,000","1,00,800",0,0,720,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,"Govt Med Coll, Bhavnagar",PHYSIOLOGY,AIQ,"30,000","1,00,800",0,0,720,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,"Govt Med Coll, Bhavnagar",PSYCHIATRY,AIQ,"30,000","1,00,800",1,"40,00,000",720,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,"Govt Med Coll, Bhavnagar",RADIO DIAGNOSIS,AIQ,"30,000","1,00,800",1,"40,00,000",720,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,"Govt Med Coll, Bhavnagar",SPM,AIQ,"30,000","1,00,800",0,0,720,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,"Govt Med Coll, Bhavnagar",TBRD,AIQ,"30,000","1,00,800",1,"40,00,000",720,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,"Govt Med Coll, Bhavnagar",ENT,AIQ,"30,000","1,00,800",1,"40,00,000",720,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,"Govt Med Coll, Bhavnagar",GENERAL SURGERY,AIQ,"30,000","1,00,800",1,"40,00,000",720,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,"Govt Med Coll, Bhavnagar",OBG,AIQ,"30,000","1,00,800",1,"40,00,000",720,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,"Govt Med Coll, Bhavnagar",OPHTHALMOLOGY,AIQ,"30,000","1,00,800",1,"40,00,000",720,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,"Govt Med Coll, Bhavnagar",ORTHOPAEDICS,AIQ,"30,000","1,00,800",1,"40,00,000",720,,,,,,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh,"SVIMS, Tirupati",RADIATION ONCOLOGY,AIQ,"2,11,600","80,904",1,"40,00,000",1257,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,"Govt Med Coll, Bhavnagar",DDVL,AIQ,"20,000","75,600",1,"40,00,000",720,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,"Govt Med Coll, Surat",DCP,AIQ,"20,000","75,600",1,"40,00,000",1150,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,"Govt Med Coll, Surat",DCM,AIQ,"20,000","75,600",0,0,1150,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,"Govt Med Coll, Surat",ANAESTHESIOLOGY,AIQ,"30,000","1,00,800",1,"40,00,000",1150,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,"Govt Med Coll, Surat",ANATOMY,AIQ,"30,000","1,00,800",0,0,1150,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,"Govt Med Coll, Surat",BIOCHEMISTRY,AIQ,"30,000","1,00,800",0,0,1150,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,"Govt Med Coll, Surat",DERMATOLOGY,AIQ,"30,000","1,00,800",1,"40,00,000",1150,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,"Govt Med Coll, Surat",FORENSIC MEDICINE,AIQ,"30,000","1,00,800",0,0,1150,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,"Govt Med Coll, Surat",GENERAL MEDICINE,AIQ,"30,000","1,00,800",1,"40,00,000",1150,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,"Govt Med Coll, Surat",IHBT,AIQ,"30,000","1,00,800",1,"40,00,000",1150,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,"Govt Med Coll, Surat",MICROBIOLOGY,AIQ,"30,000","1,00,800",1,"40,00,000",1150,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,"Govt Med Coll, Surat",PAEDIATRICS,AIQ,"30,000","1,00,800",1,"40,00,000",1150,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,"Govt Med Coll, Surat",PATHOLOGY,AIQ,"30,000","1,00,800",1,"40,00,000",1150,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,"Govt Med Coll, Surat",PHARMACOLOGY,AIQ,"30,000","1,00,800",0,0,1150,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,"Govt Med Coll, Surat",PHYSIOLOGY,AIQ,"30,000","1,00,800",0,0,1150,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,"Govt Med Coll, Surat",PSYCHIATRY,AIQ,"30,000","1,00,800",1,"40,00,000",1150,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,"Govt Med Coll, Surat",RADIO DIAGNOSIS,AIQ,"30,000","1,00,800",1,"40,00,000",1150,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,"Govt Med Coll, Surat",SPM,AIQ,"30,000","1,00,800",0,0,1150,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,"Govt Med Coll, Surat",TBRD,AIQ,"30,000","1,00,800",1,"40,00,000",1150,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,"Govt Med Coll, Surat",ENT,AIQ,"30,000","1,00,800",1,"40,00,000",1150,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,"Govt Med Coll, Surat",GENERAL SURGERY,AIQ,"30,000","1,00,800",1,"40,00,000",1150,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,"Govt Med Coll, Surat",OBG,AIQ,"30,000","1,00,800",1,"40,00,000",1150,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,"Govt Med Coll, Surat",OPHTHALMOLOGY,AIQ,"30,000","1,00,800",1,"40,00,000",1150,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,"Govt Med Coll, Surat",ORTHOPAEDICS,AIQ,"30,000","1,00,800",1,"40,00,000",1150,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,"Govt Med Coll, Surat",DA,AIQ,"20,000","75,600",0,0,1150,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,"Medical College, Baroda",ANAESTHESIOLOGY,AIQ,"30,000","1,00,800",1,"40,00,000",1250,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,"Medical College, Baroda",ANATOMY,AIQ,"30,000","1,00,800",0,0,1250,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,"Medical College, Baroda",BIOCHEMISTRY,AIQ,"30,000","1,00,800",0,0,1250,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,"Medical College, Baroda",DERMATOLOGY,AIQ,"30,000","1,00,800",1,"40,00,000",1250,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,"Medical College, Baroda",FORENSIC MEDICINE,AIQ,"30,000","1,00,800",0,0,1250,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,"Medical College, Baroda",GENERAL MEDICINE,AIQ,"30,000","1,00,800",1,"40,00,000",1250,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,"Medical College, Baroda",IHBT,AIQ,"30,000","1,00,800",1,"40,00,000",1250,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,"Medical College, Baroda",MICROBIOLOGY,AIQ,"30,000","1,00,800",1,"40,00,000",1250,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,"Medical College, Baroda",PAEDIATRICS,AIQ,"30,000","1,00,800",1,"40,00,000",1250,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,"Medical College, Baroda",PATHOLOGY,AIQ,"30,000","1,00,800",1,"40,00,000",1250,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,"Medical College, Baroda",PHARMACOLOGY,AIQ,"30,000","1,00,800",0,0,1250,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,"Medical College, Baroda",PHYSIOLOGY,AIQ,"30,000","1,00,800",0,0,1250,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,"Medical College, Baroda",PSYCHIATRY,AIQ,"30,000","1,00,800",1,"40,00,000",1250,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,"Medical College, Baroda",RADIATION ONCOLOGY,AIQ,"30,000","1,00,800",1,"40,00,000",1250,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,"Medical College, Baroda",RADIO DIAGNOSIS,AIQ,"30,000","1,00,800",1,"40,00,000",1250,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,"Medical College, Baroda",SPM,AIQ,"30,000","1,00,800",0,0,1250,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,"Medical College, Baroda",TBRD,AIQ,"30,000","1,00,800",1,"40,00,000",1250,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,"Medical College, Baroda",ENT,AIQ,"30,000","1,00,800",1,"40,00,000",1250,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,"Medical College, Baroda",GENERAL SURGERY,AIQ,"30,000","1,00,800",1,"40,00,000",1250,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,"Medical College, Baroda",OBG,AIQ,"30,000","1,00,800",1,"40,00,000",1250,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,"Medical College, Baroda",OPHTHALMOLOGY,AIQ,"30,000","1,00,800",1,"40,00,000",1250,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,"Medical College, Baroda",ORTHOPAEDICS,AIQ,"30,000","1,00,800",1,"40,00,000",1250,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,"MP Shah, Jamnagar",DA,AIQ,"20,000","75,600",1,"40,00,000",1250,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,"MP Shah, Jamnagar",DCH,AIQ,"20,000","75,600",1,"40,00,000",1250,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,"MP Shah, Jamnagar",DGO,AIQ,"20,000","75,600",1,"40,00,000",1250,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,"MP Shah, Jamnagar",DO,AIQ,"20,000","75,600",1,"40,00,000",1250,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,"MP Shah, Jamnagar",DMRD,AIQ,"20,000","75,600",1,"40,00,000",1250,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,"MP Shah, Jamnagar",DTBCD,AIQ,"20,000","75,600",1,"40,00,000",1250,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,"MP Shah, Jamnagar",ANAESTHESIOLOGY,AIQ,"30,000","1,00,800",1,"40,00,000",1250,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,"MP Shah, Jamnagar",ANATOMY,AIQ,"30,000","1,00,800",0,0,1250,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,"MP Shah, Jamnagar",DERMATOLOGY,AIQ,"30,000","1,00,800",1,"40,00,000",1250,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,"MP Shah, Jamnagar",FORENSIC MEDICINE,AIQ,"30,000","1,00,800",0,0,1250,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,"MP Shah, Jamnagar",GENERAL MEDICINE,AIQ,"30,000","1,00,800",1,"40,00,000",1250,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,"MP Shah, Jamnagar",IHBT,AIQ,"30,000","1,00,800",1,"40,00,000",1250,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,"MP Shah, Jamnagar",MICROBIOLOGY,AIQ,"30,000","1,00,800",1,"40,00,000",1250,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,"MP Shah, Jamnagar",PAEDIATRICS,AIQ,"30,000","1,00,800",1,"40,00,000",1250,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,"MP Shah, Jamnagar",PATHOLOGY,AIQ,"30,000","1,00,800",1,"40,00,000",1250,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,"MP Shah, Jamnagar",PHARMACOLOGY,AIQ,"30,000","1,00,800",0,0,1250,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,"MP Shah, Jamnagar",PHYSIOLOGY,AIQ,"30,000","1,00,800",0,0,1250,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,"MP Shah, Jamnagar",PSYCHIATRY,AIQ,"30,000","1,00,800",1,"40,00,000",1250,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,"MP Shah, Jamnagar",RADIO DIAGNOSIS,AIQ,"30,000","1,00,800",1,"40,00,000",1250,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,"MP Shah, Jamnagar",SPM,AIQ,"30,000","1,00,800",0,0,1250,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,"MP Shah, Jamnagar",TBRD,AIQ,"30,000","1,00,800",1,"40,00,000",1250,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,"MP Shah, Jamnagar",ENT,AIQ,"30,000","1,00,800",1,"40,00,000",1250,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,"MP Shah, Jamnagar",GENERAL SURGERY,AIQ,"30,000","1,00,800",1,"40,00,000",1250,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,"MP Shah, Jamnagar",OBG,AIQ,"30,000","1,00,800",1,"40,00,000",1250,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,"MP Shah, Jamnagar",OPHTHALMOLOGY,AIQ,"30,000","1,00,800",1,"40,00,000",1250,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,"MP Shah, Jamnagar",ORTHOPAEDICS,AIQ,"30,000","1,00,800",1,"40,00,000",1250,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,"PDU Med Coll, Rajkot",ANAESTHESIOLOGY,AIQ,"30,000","1,00,800",1,"40,00,000",750,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,"PDU Med Coll, Rajkot",ANATOMY,AIQ,"30,000","1,00,800",0,0,750,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,"PDU Med Coll, Rajkot",BIOCHEMISTRY,AIQ,"30,000","1,00,800",0,0,750,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,"PDU Med Coll, Rajkot",DERMATOLOGY,AIQ,"30,000","1,00,800",1,"40,00,000",750,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,"PDU Med Coll, Rajkot",FORENSIC MEDICINE,AIQ,"30,000","1,00,800",0,0,750,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,"PDU Med Coll, Rajkot",GENERAL MEDICINE,AIQ,"30,000","1,00,800",1,"40,00,000",750,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,"PDU Med Coll, Rajkot",DA,AIQ,"20,000","75,600",1,"40,00,000",750,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,"PDU Med Coll, Rajkot",MICROBIOLOGY,AIQ,"30,000","1,00,800",1,"40,00,000",750,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,"PDU Med Coll, Rajkot",DCH,AIQ,"20,000","75,600",1,"40,00,000",750,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,"PDU Med Coll, Rajkot",PAEDIATRICS,AIQ,"30,000","1,00,800",1,"40,00,000",750,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,"PDU Med Coll, Rajkot",PATHOLOGY,AIQ,"30,000","1,00,800",1,"40,00,000",750,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,"PDU Med Coll, Rajkot",PHARMACOLOGY,AIQ,"30,000","1,00,800",0,0,750,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,"PDU Med Coll, Rajkot",PHYSIOLOGY,AIQ,"30,000","1,00,800",0,0,750,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,"PDU Med Coll, Rajkot",PSYCHIATRY,AIQ,"30,000","1,00,800",1,"40,00,000",750,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,"PDU Med Coll, Rajkot",RADIATION ONCOLOGY,AIQ,"30,000","1,00,800",1,"40,00,000",750,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,"PDU Med Coll, Rajkot",DDVL,AIQ,"20,000","75,600",1,"40,00,000",750,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,"PDU Med Coll, Rajkot",RADIO DIAGNOSIS,AIQ,"30,000","1,00,800",1,"40,00,000",750,,,,,,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh,"SVIMS, Tirupati",SPM,AIQ,"2,11,600","80,904",1,"40,00,000",1257,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,"PDU Med Coll, Rajkot",DGO,AIQ,"20,000","75,600",1,"40,00,000",750,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,"PDU Med Coll, Rajkot",SPM,AIQ,"30,000","1,00,800",0,0,750,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,"PDU Med Coll, Rajkot",TBRD,AIQ,"30,000","1,00,800",1,"40,00,000",750,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,"PDU Med Coll, Rajkot",ENT,AIQ,"30,000","1,00,800",1,"40,00,000",750,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,"PDU Med Coll, Rajkot",GENERAL SURGERY,AIQ,"30,000","1,00,800",1,"40,00,000",750,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,"PDU Med Coll, Rajkot",OBG,AIQ,"30,000","1,00,800",1,"40,00,000",750,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,"PDU Med Coll, Rajkot",OPHTHALMOLOGY,AIQ,"30,000","1,00,800",1,"40,00,000",750,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,"PDU Med Coll, Rajkot",DO,AIQ,"20,000","75,600",1,"40,00,000",750,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,"PDU Med Coll, Rajkot",ORTHOPAEDICS,AIQ,"30,000","1,00,800",1,"40,00,000",750,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,"PDU Med Coll, Rajkot",DORTHO,AIQ,"20,000","75,600",1,"40,00,000",750,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,"GR Doshi & KM Mehta, Ahmedabad",ANAESTHESIOLOGY,AIQ,"30,000","1,00,800",1,"40,00,000",400,,,,,,,,,,,,,,,,,,,,,,,,,
Kerala,"Academy of Med Sci, Pariyaram",GENERAL MEDICINE,AIQ,"69,470","57,876",1,"50,00,000",1752,,,,,,,,,,,,,,,,,,,,,,,,,
Kerala,"Academy of Med Sci, Pariyaram",OBG,AIQ,"69,470","57,876",1,"50,00,000",1752,,,,,,,,,,,,,,,,,,,,,,,,,
Kerala,"Academy of Med Sci, Pariyaram",DERMATOLOGY,AIQ,"69,470","57,876",1,"50,00,000",1752,,,,,,,,,,,,,,,,,,,,,,,,,
Kerala,"Academy of Med Sci, Pariyaram",PAEDIATRICS,AIQ,"69,470","57,876",1,"50,00,000",1752,,,,,,,,,,,,,,,,,,,,,,,,,
Kerala,"Academy of Med Sci, Pariyaram",ENT,AIQ,"69,470","57,876",1,"50,00,000",1752,,,,,,,,,,,,,,,,,,,,,,,,,
Kerala,"Academy of Med Sci, Pariyaram",TBRD,AIQ,"69,470","57,876",1,"50,00,000",1752,,,,,,,,,,,,,,,,,,,,,,,,,
Kerala,"Academy of Med Sci, Pariyaram",RADIO DIAGNOSIS,AIQ,"69,470","57,876",1,"50,00,000",1752,,,,,,,,,,,,,,,,,,,,,,,,,
Kerala,"Academy of Med Sci, Pariyaram",PATHOLOGY,AIQ,"69,470","57,876",1,"50,00,000",1752,,,,,,,,,,,,,,,,,,,,,,,,,
Kerala,"Academy of Med Sci, Pariyaram",ANAESTHESIOLOGY,AIQ,"69,470","57,876",1,"50,00,000",1752,,,,,,,,,,,,,,,,,,,,,,,,,
Kerala,"Academy of Med Sci, Pariyaram",OPHTHALMOLOGY,AIQ,"69,470","57,876",1,"50,00,000",1752,,,,,,,,,,,,,,,,,,,,,,,,,
Kerala,"Academy of Med Sci, Pariyaram",PSYCHIATRY,AIQ,"69,470","57,876",1,"50,00,000",1752,,,,,,,,,,,,,,,,,,,,,,,,,
Kerala,"Academy of Med Sci, Pariyaram",EMERGENCY MEDICINE,AIQ,"69,470","57,876",1,"50,00,000",1752,,,,,,,,,,,,,,,,,,,,,,,,,
Kerala,"Academy of Med Sci, Pariyaram",MICROBIOLOGY,AIQ,"69,470","57,876",1,"50,00,000",1752,,,,,,,,,,,,,,,,,,,,,,,,,
Kerala,"Academy of Med Sci, Pariyaram",GENERAL SURGERY,AIQ,"69,470","57,876",1,"50,00,000",1752,,,,,,,,,,,,,,,,,,,,,,,,,
Kerala,"Academy of Med Sci, Pariyaram",ORTHOPAEDICS,AIQ,"69,470","57,876",1,"50,00,000",1752,,,,,,,,,,,,,,,,,,,,,,,,,
