State,Institute,Course,Quota,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,,,
Odisha,"VIMSAR, Burla",DERMATOLOGY,Odisha-Govt Quota-InS,"?38,500*","?70,686",2*,"?53,30,000*",1071,,,
Odisha,"Hi-Tech, Bhubaneswar",DERMATOLOGY,Odisha-Mgmt Quota- InS,"?25,00,000*","?30,000*",0,?0,767,,,
Odisha,"Hi-Tech, Bhubaneswar",FORENSIC MEDICINE,Odisha-Govt Quota,"?7,15,000*","?16,000*",0,?0,767,,,
Odisha,"MKCG, Berhampur",FORENSIC MEDICINE,Odisha-Govt Quota,"?38,500*","?88,686*",2*,"?66,30,000*",1140,,,
Odisha,"SCB, Cuttack",FORENSIC MEDICINE,Odisha-Govt Quota,"?38,500*","?88,686*",2*,"?66,30,000*",2106,,,
Odisha,"VIMSAR, Burla",FORENSIC MEDICINE,Odisha-Govt Quota,"?38,500*","?88,686*",2*,"?66,30,000*",1071,,,
Odisha,"Hi-Tech, Bhubaneswar",FORENSIC MEDICINE,Odisha-Mgmt Quota,"?8,00,000*","?16,000*",0,?0,767,,,
Odisha,"Hi-Tech, Bhubaneswar",FORENSIC MEDICINE,Odisha-Govt Quota-InS,"?7,15,000*","?16,000*",0,?0,767,,,
Odisha,"MKCG, Berhampur",FORENSIC MEDICINE,Odisha-Govt Quota-InS,"?38,500*","?88,686*",2*,"?66,30,000*",1140,,,
Odisha,"SCB, Cuttack",FORENSIC MEDICINE,Odisha-Govt Quota-InS,"?38,500*","?88,686*",2*,"?66,30,000*",2106,,,
Odisha,"VIMSAR, Burla",FORENSIC MEDICINE,Odisha-Govt Quota-InS,"?38,500*","?88,686*",2*,"?66,30,000*",1071,,,
Odisha,"Hi-Tech, Bhubaneswar",FORENSIC MEDICINE,Odisha-Mgmt Quota- InS,"?8,00,000*","?16,000*",0,?0,767,,,
Odisha,"Hi-Tech, Bhubaneswar",GENERAL MEDICINE,Odisha-Govt Quota,"?7,15,000*","?30,000*",0,?0,767,,,
