State,Institute,Course,Quota,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds
Andhra Pradesh,"Maharajah IMS, Vizianagaram",ANAESTHESIOLOGY,AP Govt-NS UNR,"?4,96,800*",Info not available*,1*,"?40,00,000*",850
Andhra Pradesh,"Dr PSI Med Coll, Chinoutpalli",ANAESTHESIOLOGY,AP Govt-NS UNR,"?4,96,800*","?28,000*",1*,"?40,00,000*",790
Andhra Pradesh,"NRI Med Coll, Guntur",ANAESTHESIOLOGY,AP Govt-NS UNR,"?4,96,800*","?27,000*",1*,"?40,00,000*",1050
Andhra Pradesh,"Katuri Med Coll, Guntur",ANAESTHESIOLOGY,AP Govt-NS UNR,"?4,96,800*",Info not available*,1*,"?40,00,000*",1100
Andhra Pradesh,"PES IMS, Kuppam",ANAESTHESIOLOGY,AP Govt-NS UNR,"?4,96,800*","?30,000*",1*,"?40,00,000*",975
Andhra Pradesh,"Rangaraya Med Coll, Kakinada",ANAESTHESIOLOGY,AP Govt-NS UNR,"?48,600*","?60,823",1*,"?40,00,000*",1450
Andhra Pradesh,"Govt Siddhartha, Vijaywada",ANAESTHESIOLOGY,AP Govt-NS UNR,"?48,600*","?60,823",1*,"?40,00,000*",707
Andhra Pradesh,"SV Med Coll, Tirupati",ANAESTHESIOLOGY,AP Govt-NS UNR,"?48,600*","?60,823",1*,"?40,00,000*",940
Andhra Pradesh,"Andhra Med Coll, Vizag",ANAESTHESIOLOGY,AP Govt-NS UNR,"?48,600*","?60,823",1*,"?40,00,000*",1030
Andhra Pradesh,"Guntur Med Coll, Guntur",ANAESTHESIOLOGY,AP Govt-NS UNR,"?48,600*","?60,823",1*,"?40,00,000*",1170
Andhra Pradesh,"Kurnool Med Coll, Kurnool",ANAESTHESIOLOGY,AP Govt-NS UNR,"?48,600*","?60,823",1*,"?40,00,000*",1150
Andhra Pradesh,"SVIMS, Tirupati",ANAESTHESIOLOGY,AP Govt-NS UNR,"?2,11,600*","?80,904*",1*,"?40,00,000*",1257
Andhra Pradesh,"Rajiv Gandhi IMS, Ongole",ANAESTHESIOLOGY,AP Govt-NS UNR,"?48,600*","?60,823",1*,"?40,00,000*",500
Andhra Pradesh,"ACSR Medical College, Nellore",ANAESTHESIOLOGY,AP Govt-NS UNR,"?48,600*","?60,823",1*,"?40,00,000*",355
Andhra Pradesh,"Govt Med Coll, Ananthapuram",ANAESTHESIOLOGY,AP Govt-NS UNR,"?48,600*","?60,823",1*,"?40,00,000*",500
Andhra Pradesh,"Rajiv Gandhi IMS, Srikakulam",ANAESTHESIOLOGY,AP Govt-NS UNR,"?48,600*","?60,823",1*,"?40,00,000*",532
Andhra Pradesh,"Rajiv Gandhi IMS, Kadapa",ANAESTHESIOLOGY,AP Govt-NS UNR,"?48,600*","?60,823",1*,"?40,00,000*",715
Andhra Pradesh,"GVP Med Coll, Vizag",ANAESTHESIOLOGY,AP Govt-Serv UNR,"?4,96,800*","?30,000*",1*,"?40,00,000*",750
Andhra Pradesh,"Narayana Med Coll, Nellore",ANAESTHESIOLOGY,AP Govt-Serv UNR,"?4,96,800*","?30,000*",1*,"?40,00,000*",1430
Andhra Pradesh,"Alluri Sitaram Raju, Eluru",ANAESTHESIOLOGY,AP Govt-Serv UNR,"?4,96,800*","?30,000*",1*,"?40,00,000*",1200
Andhra Pradesh,"Apollo IMS&R, Chittoor",ANAESTHESIOLOGY,AP Govt-Serv UNR,"?4,96,800*","?30,000*",1*,"?40,00,000*",850
Andhra Pradesh,"Nimra Inst of Med Sci, Krishna",ANAESTHESIOLOGY,AP Govt-Serv UNR,"?4,96,800*",Info not available*,1*,"?40,00,000*",Info Not Available
Andhra Pradesh,"VMC, Kurnool",ANAESTHESIOLOGY,AP Govt-Serv UNR,"?4,96,800*","?30,000*",1*,"?40,00,000*",650
Andhra Pradesh,"NRI Inst of Med Sci, Vizag",ANAESTHESIOLOGY,AP Govt-Serv UNR,"?4,96,800*","?40,000*",1*,"?40,00,000*",980
Andhra Pradesh,"GreatEastern MedSch,Srikakulam",ANAESTHESIOLOGY,AP Govt-Serv UNR,"?4,96,800*",Info not available*,1*,"?40,00,000*",780
Andhra Pradesh,"Konaseema IMS, Amalapuram",ANAESTHESIOLOGY,AP Govt-Serv UNR,"?4,96,800*","?30,000*",1*,"?40,00,000*",840
Andhra Pradesh,"Santhiram Med Coll, Nandyal",ANAESTHESIOLOGY,AP Govt-Serv UNR,"?4,96,800*","?30,000*",1*,"?40,00,000*",930
Andhra Pradesh,"GSL Med Coll, Rajahmundry",ANAESTHESIOLOGY,AP Govt-Serv UNR,"?4,96,800*","?30,000*",1*,"?40,00,000*",1140
