State,Institute,Course,Quota,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,,,
Andhra Pradesh,"Dr Ramesh Cardiac Hosp, Guntur",DNBGENERAL MEDICINE,DNB Sponsored,"?1,25,000",-,0,?0,350,,,
West Bengal,Durgapur Steel Plant Hosp,DNBGENERAL MEDICINE,DNB Sponsored,"?1,25,000",-,0,?0,600,,,
Tamil Nadu,"GKNM Hospital, Coimbatore",DNBGENERAL MEDICINE,DNB Sponsored,"?1,25,000",-,0,?0,600,,,
Chandigarh,"Govt MultSpec Hosp, Chandigarh",DNBGENERAL MEDICINE,DNB Sponsored,"?1,25,000",-,0,?0,500,,,
Delhi,"Hindu Rao Hospital, Delhi",DNBGENERAL MEDICINE,DNB Sponsored,"?1,25,000",-,0,?0,980,,,
Delhi,"Holy Family Hospital, Delhi",DNBGENERAL MEDICINE,DNB Sponsored,"?1,25,000",-,0,?0,345,,,
Maharashtra,"Holy Spirit Hospital, Mumbai",DNBGENERAL MEDICINE,DNB Sponsored,"?1,25,000",-,0,?0,300,,,
Odisha,"Ispat Gen Hospital, Rourkela",DNBGENERAL MEDICINE,DNB Sponsored,"?1,25,000",-,0,?0,600,,,
Maharashtra,"JagjivanRamRailwayHosp, Mumbai",DNBGENERAL MEDICINE,DNB Sponsored,"?1,25,000",-,0,?0,361,,,
Delhi,"Jaipur Golden Hospital, Delhi",DNBGENERAL MEDICINE,DNB Sponsored,"?1,25,000",-,0,?0,242,,,
Jammu and Kashmir,"JLNM Hosp, Rainawari",DNBGENERAL MEDICINE,DNB Sponsored,"?1,25,000",-,0,?0,200,,,
Maharashtra,"Kingsway Hospitals, Nagpur, MH",DNBGENERAL MEDICINE,DNB Sponsored,"?1,25,000",-,0,?0,300,,,
Kerala,"Little Flower Hosp, Angamaly",DNBGENERAL MEDICINE,DNB Sponsored,"?1,25,000",-,0,?0,690,,,
Delhi,"Maharaja Agrasen Hosp, Delhi",DNBGENERAL MEDICINE,DNB Sponsored,"?1,25,000",-,0,?0,300,,,
Haryana,"Maharaja Agrasen MCHosp,Agroha",DNBGENERAL MEDICINE,DNB Sponsored,"?1,25,000",-,0,?0,541,,,
West Bengal,"Coochbehar Govt Med Coll, WB",DNBGENERAL MEDICINE,DNB Sponsored,"?1,25,000",-,0,?0,400,,,
Kerala,"Mar Sleeva Medicity, Kottayam",DNBGENERAL MEDICINE,DNB Sponsored,"?1,25,000",-,0,?0,648,,,
Delhi,"Mata Chanan Devi Hosp, Delhi",DNBGENERAL MEDICINE,DNB Sponsored,"?1,25,000",-,0,?0,210,,,
Haryana,"Medanta The Medicity, Gurgaon",DNBGENERAL MEDICINE,DNB Sponsored,"?1,25,000",-,0,?0,1200,,,
Karnataka,"NarayanaHrudyalaya,Bommasandra",DNBGENERAL MEDICINE,DNB Sponsored,"?1,25,000",-,0,?0,2000,,,
Maharashtra,"Poona Hospital & RC, Pune",DNBGENERAL MEDICINE,DNB Sponsored,"?1,25,000",-,0,?0,300,,,
West Bengal,"Raiganj GovtMedC,UttarDinajpur",DNBGENERAL MEDICINE,DNB Sponsored,"?1,25,000",-,0,?0,500,,,
Kerala,"Rajagiri Hospital, Ernakulam",DNBGENERAL MEDICINE,DNB Sponsored,"?1,25,000",-,0,?0,530,,,
Maharashtra,"Ruby Hall Clinic, Pune",DNBGENERAL MEDICINE,DNB Sponsored,"?1,25,000",-,0,?0,600,,,
Punjab,"Sacred Heart Hosp, Jalandhar",DNBGENERAL MEDICINE,DNB Sponsored,"?1,25,000",-,0,?0,200,,,
Karnataka,"Sagar Hosp, Jayanagar, BLR",DNBGENERAL MEDICINE,DNB Sponsored,"?1,25,000",-,0,?0,200,,,
Maharashtra,"Saifee Hospital, Mumbai",DNBGENERAL MEDICINE,DNB Sponsored,"?1,25,000",-,0,?0,257,,,
Haryana,"Sarvodaya Hospital, Faridabad",DNBGENERAL MEDICINE,DNB Sponsored,"?1,25,000",-,0,?0,300,,,
Delhi,"Shri Balaji Action Med, Delhi",DNBGENERAL MEDICINE,DNB Sponsored,"?1,25,000",-,0,?0,250,,,
Delhi,"Sir Ganga Ram Hospital, Delhi",DNBGENERAL MEDICINE,DNB Sponsored,"?1,25,000",-,0,?0,675,,,
Tamil Nadu,"Southern Railway Hosp, Chennai",DNBGENERAL MEDICINE,DNB Sponsored,"?1,25,000",-,0,?0,505,,,
Jharkhand,"Tata Main Hospital, Jamshedpur",DNBGENERAL MEDICINE,DNB Sponsored,"?1,25,000",-,0,?0,915,,,
Jharkhand,"Tata Motors Hosp, Jamshedpur",DNBGENERAL MEDICINE,DNB Sponsored,"?1,25,000",-,0,?0,404,,,
Jammu and Kashmir,"District Hospital, Ganderbal,JK",DNBGENERAL SURGERY,DNB Sponsored,"?1,25,000",-,0,?0,200,,,
Jammu and Kashmir,"Govt Med Coll Hosp, Anantnag",DNBGENERAL SURGERY,DNB Sponsored,"?1,25,000",-,0,?0,363,,,
Haryana,"BPS Med Coll, Sonepat",DNBGENERAL SURGERY,DNB Sponsored,"?1,25,000",-,0,?0,550,,,
Tamil Nadu,"Dr Jeyasekharan Hosp,Nagercoil",DNBGENERAL SURGERY,DNB Sponsored,"?1,25,000",-,0,?0,200,,,
