Round,Quota,Category,State,Institute,Course,Seats,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4,CR 2024 5
2,AIQ,GEN,Delhi,"Lady Hardinge, Delhi",RADIO DIAGNOSIS,0+1(VV),"₹57,600*","₹1,26,927*",0*,₹0*,877,75(1),84(1),84(1),-,-,53(1),53(1),53(1),-,-
3,AIQ,GEN,Delhi,"Lady Hardinge, Delhi",RADIO DIAGNOSIS,0+1(VV),"₹57,600*","₹1,26,927*",0*,₹0*,877,75(1),84(1),84(1),-,-,53(1),53(1),53(1),-,-
1,AIQ,GEN,Delhi,"MAMC, Delhi",GENERAL MEDICINE,3,"₹57,600*","₹1,26,927*",0*,₹0*,2800,44(4),44(4),44(4),-,-,39(3),64(3),64(3),-,-
2,AIQ,GEN,Delhi,"MAMC, Delhi",GENERAL MEDICINE,0+2(VV),"₹57,600*","₹1,26,927*",0*,₹0*,2800,44(4),44(4),44(4),-,-,39(3),64(3),64(3),-,-
3,AIQ,GEN,Delhi,"MAMC, Delhi",GENERAL MEDICINE,0+2(VV),"₹57,600*","₹1,26,927*",0*,₹0*,2800,44(4),44(4),44(4),-,-,39(3),64(3),64(3),-,-
1,AIQ,EWS,Delhi,"ABVIMS (Dr RML Hosp), Delhi",GENERAL MEDICINE,1,"₹41,000*","₹1,20,965*",0*,₹0*,1626,118(2),118(2),118(2),-,-,51(1),66(1),66(1),-,-
2,AIQ,EWS,Delhi,"ABVIMS (Dr RML Hosp), Delhi",GENERAL MEDICINE,1,"₹41,000*","₹1,20,965*",0*,₹0*,1626,118(2),118(2),118(2),-,-,51(1),66(1),66(1),-,-
3,AIQ,EWS,Delhi,"ABVIMS (Dr RML Hosp), Delhi",GENERAL MEDICINE,0+1(VV),"₹41,000*","₹1,20,965*",0*,₹0*,1626,118(2),118(2),118(2),-,-,51(1),66(1),66(1),-,-
1,AIQ,GEN,Tamil Nadu,"Madras Med Coll, Chennai",RADIO DIAGNOSIS,2,"₹50,000*","₹52,451*",2*,"₹40,00,000*",7285,229(3),229(3),229(3),-,-,50(2),50(2),73(2),-,-
2,AIQ,GEN,Tamil Nadu,"Madras Med Coll, Chennai",RADIO DIAGNOSIS,0+1(VV),"₹50,000*","₹52,451*",2*,"₹40,00,000*",7285,229(3),229(3),229(3),-,-,50(2),50(2),73(2),-,-
3,AIQ,GEN,Tamil Nadu,"Madras Med Coll, Chennai",RADIO DIAGNOSIS,1,"₹50,000*","₹52,451*",2*,"₹40,00,000*",7285,229(3),229(3),229(3),-,-,50(2),50(2),73(2),-,-
1,AIQ,GEN,Delhi,"UCMS, Delhi",RADIO DIAGNOSIS,1,"₹57,600*","₹1,26,927*",0*,₹0*,1000,97(1),198(1),79(1),-,-,79(1),79(1),82(1),-,-
2,AIQ,GEN,Delhi,"UCMS, Delhi",RADIO DIAGNOSIS,1,"₹57,600*","₹1,26,927*",0*,₹0*,1000,97(1),198(1),79(1),-,-,79(1),79(1),82(1),-,-
3,AIQ,GEN,Delhi,"UCMS, Delhi",RADIO DIAGNOSIS,1,"₹57,600*","₹1,26,927*",0*,₹0*,1000,97(1),198(1),79(1),-,-,79(1),79(1),82(1),-,-
