Round,AI Rank,State,Institute,Course,Quota,Category,Fee,Beds,Bond Years,Bond Penalty,Stipend Year 1
3,675806,Pondicherry,"SLIMS, Pondicherry",MBBS,DEEMED PS,Open,2600000,1230,0,0,Info not available
3,675886,Tamil Nadu,"Sathyabhama DentalColl,Chennai",BDS,DEEMED PS,Open,400000,100,0,0,Info not available
3,675931,Tamil Nadu,"Sree Balaji Med Coll, Chennai",MBBS,DEEMED PS,Open,3050000,1250,0,0,Info not available
3,675957,Karnataka,"AB Shetty Mem IDS, Mangalore",BDS,DEEMED NRI,Open,807000,1000,Info Not Available,Info not available,Info not available
3,676013,Uttar Pradesh,"Santosh Dental Coll, Ghaziabad",BDS,DEEMED PS,Open,280000,900,0,0,Info not available
3,676174,Tamil Nadu,"Chettinad Hosp&RI,Kanchipuram",MBBS,DEEMED PS,Open,2700000,1180,0,0,18500
3,676346,Pondicherry,"Aarupadai Veedu, Pondicherry",MBBS,DEEMED PS,Open,2388000,584,0,0,5000
3,676436,Pondicherry,"Vinayaka Missions, Karaikal",MBBS,DEEMED PS,Open,2188000,590,0,0,20000
3,676455,Tamil Nadu,"ACS Med Coll, Chennai",MBBS,DEEMED PS,Open,2500000,1050,0,0,25000
3,676456,Maharashtra,"BVDU, Sangli",MBBS,DEEMED NRI,Open,7426272,853,0,0,Info not available
3,676489,Tamil Nadu,"Sree Balaji Med Coll, Chennai",MBBS,DEEMED PS,Open,3050000,1250,0,0,Info not available
3,676635,Maharashtra,"BV Dental Coll, Sangli",BDS,DEEMED PS,Open,414750,280,0,0,Info not available
3,676682,Tamil Nadu,"Shri Satya Sai, Kancheepuram",MBBS,DEEMED PS,Open,2402000,1120,0,0,2500
3,676685,Pondicherry,"MGMC & RI, Pondicherry",MBBS,DEEMED PS,Open,2702000,1380,0,0,2500
3,676743,Gujarat,"SBKS, Vadadora",MBBS,JAIN MIN,Open,2275000,1340,0,0,Info not available
3,676749,Maharashtra,"Krishna IMS, Karad",MBBS,DEEMED NRI,Open,4300000,1125,0,0,18000
3,676981,Maharashtra,"Krishna IMS, Karad",MBBS,DEEMED NRI,Open,4300000,1125,0,0,18000
3,677103,Pondicherry,"Aarupadai Veedu, Pondicherry",MBBS,DEEMED PS,Open,2388000,584,0,0,5000
