Round,AI Rank,State,Institute,Course,Quota,Category,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds
2,2,Rajasthan,"SMS, Jaipur",RADIO DIAGNOSIS,AIQ,GEN,"11,647","82,800",2,"25,00,000",5702
2,3,Delhi,"VMMC, Delhi",RADIO DIAGNOSIS,AIQ,GEN,"41,000","1,20,965",0,0,1550
2,4,Gujarat,"BJMC, Ahmedabad",GENERAL MEDICINE,AIQ,GEN,"30,000",100800,1,"40,00,000",1557
2,6,Delhi,"ABVIMS (Dr RML Hosp), Delhi",GENERAL MEDICINE,AIQ,GEN,"41,000","1,20,965",0,0,1626
2,8,Delhi,"MAMC, Delhi",RADIO DIAGNOSIS,AIQ,GEN,"57,600","1,26,927",0,0,2800
2,9,Delhi,"ABVIMS (Dr RML Hosp), Delhi",GENERAL MEDICINE,AIQ,GEN,"41,000","1,20,965",0,0,1626
2,10,Delhi,"VMMC, Delhi",RADIO DIAGNOSIS,AIQ,GEN,"41,000","1,20,965",0,0,1550
2,11,Delhi,"ABVIMS (Dr RML Hosp), Delhi",GENERAL MEDICINE,AIQ,GEN,"41,000","1,20,965",0,0,1626
2,12,Delhi,"VMMC, Delhi",RADIO DIAGNOSIS,AIQ,GEN,"41,000","1,20,965",0,0,1550
2,13,Gujarat,"BJMC, Ahmedabad",GENERAL MEDICINE,AIQ,GEN,"30,000",100800,1,"40,00,000",1557
2,14,Delhi,"ABVIMS (Dr RML Hosp), Delhi",GENERAL MEDICINE,AIQ,GEN,"41,000","1,20,965",0,0,1626
2,15,Gujarat,"BJMC, Ahmedabad",GENERAL MEDICINE,AIQ,GEN,"30,000",100800,1,"40,00,000",1557
2,16,Delhi,"ABVIMS (Dr RML Hosp), Delhi",GENERAL MEDICINE,AIQ,GEN,"41,000","1,20,965",0,0,1626
2,17,Maharashtra,"Seth GS, Mumbai",RADIO DIAGNOSIS,AIQ,GEN,"1,43,300",92522,1,5000000,2250
2,18,Delhi,"VMMC, Delhi",RADIO DIAGNOSIS,AIQ,GEN,"41,000","1,20,965",0,0,1550
2,19,Kerala,"Govt Med Coll, Kozhikode",RADIO DIAGNOSIS,AIQ,GEN,"69,470",57876,1,"50,00,000",3025
2,21,Tamil Nadu,"Madras Med Coll, Chennai",RADIO DIAGNOSIS,AIQ,GEN,"50,000","52,451",2,"40,00,000",7285
2,22,Telangana,"NIMS, Hyderabad",GENERAL MEDICINE,AIQ,GEN,"72,000",111780,1,2000000,1498
2,23,Delhi,"ABVIMS (Dr RML Hosp), Delhi",GENERAL MEDICINE,AIQ,GEN,"41,000","1,20,965",0,0,1626
2,25,Delhi,"VMMC, Delhi",RADIO DIAGNOSIS,AIQ,GEN,"41,000","1,20,965",0,0,1550
2,26,Chandigarh,"GMC, Chandigarh",RADIO DIAGNOSIS,AIQ,GEN,"34,500","1,07,000",0,0,967
2,27,Delhi,"MAMC, Delhi",RADIO DIAGNOSIS,AIQ,GEN,"57,600","1,26,927",0,0,2800
2,28,Delhi,"MAMC, Delhi",GENERAL MEDICINE,AIQ,GEN,"57,600","1,26,927",0,0,2800
2,29,Jammu and Kashmir,"Sher-I-Kashmir, Srinagar",GENERAL MEDICINE,AIQ,GEN,"11,000",82000,0,0,Info Not Available
2,31,Delhi,"MAMC, Delhi",RADIO DIAGNOSIS,AIQ,GEN,"57,600","1,26,927",0,0,2800
2,32,Karnataka,"Bangalore Med Coll, Bangalore",GENERAL MEDICINE,AIQ,GEN,"1,24,150",56250,3,"50,00,000",1993
2,33,Delhi,"MAMC, Delhi",GENERAL MEDICINE,AIQ,GEN,"57,600","1,26,927",0,0,2800
2,34,Maharashtra,"Seth GS, Mumbai",RADIO DIAGNOSIS,AIQ,GEN,"1,43,300",92522,1,5000000,2250
2,35,Delhi,"VMMC, Delhi",RADIO DIAGNOSIS,IP,GEN,"41,000","1,20,965",0,0,1550
2,36,Karnataka,"Bangalore Med Coll, Bangalore",RADIO DIAGNOSIS,AIQ,GEN,"1,24,150",56250,3,"50,00,000",1993
2,37,Uttar Pradesh,"SGPGI, Lucknow",RADIO DIAGNOSIS,AIQ,GEN,"61,600",111780,2,"40,00,000",1609
2,38,Delhi,"ABVIMS (Dr RML Hosp), Delhi",GENERAL MEDICINE,AIQ,GEN,"41,000","1,20,965",0,0,1626
2,39,Delhi,"ABVIMS (Dr RML Hosp), Delhi",GENERAL MEDICINE,AIQ,GEN,"41,000","1,20,965",0,0,1626
2,41,Gujarat,"BJMC, Ahmedabad",RADIO DIAGNOSIS,AIQ,GEN,"30,000",100800,1,"40,00,000",1557
2,42,Delhi,"ABVIMS (Dr RML Hosp), Delhi",RADIO DIAGNOSIS,AIQ,GEN,"41,000","1,20,965",0,0,1626
2,43,Delhi,"VMMC, Delhi",OBG,AIQ,GEN,"41,000","1,20,965",0,0,1550
2,44,Delhi,"VMMC, Delhi",RADIO DIAGNOSIS,AIQ,OBC,"41,000","1,20,965",0,0,1550
2,45,Delhi,"ABVIMS (Dr RML Hosp), Delhi",GENERAL MEDICINE,AIQ,OBC,"41,000","1,20,965",0,0,1626
2,46,Delhi,"ABVIMS (Dr RML Hosp), Delhi",RADIO DIAGNOSIS,AIQ,GEN,"41,000","1,20,965",0,0,1626
2,48,Delhi,"VMMC, Delhi",RADIO DIAGNOSIS,AIQ,OBC,"41,000","1,20,965",0,0,1550
2,49,Delhi,"ABVIMS (Dr RML Hosp), Delhi",GENERAL MEDICINE,AIQ,GEN,"41,000","1,20,965",0,0,1626
2,50,Tamil Nadu,"Madras Med Coll, Chennai",RADIO DIAGNOSIS,AIQ,GEN,"50,000","52,451",2,"40,00,000",7285
2,51,Maharashtra,"Seth GS, Mumbai",GENERAL MEDICINE,AIQ,GEN,"1,43,300",92522,1,5000000,2250
2,52,West Bengal,"IPGMER, Kolkata",GENERAL MEDICINE,AIQ,GEN,"12,000",49884,3,"30,00,000",2300
2,53,Delhi,"Lady Hardinge, Delhi",RADIO DIAGNOSIS,AIQ,GEN,"57,600","1,26,927",0,0,877
2,54,Kerala,"Govt Med Coll, Kozhikode",GENERAL MEDICINE,AIQ,GEN,"69,470",57876,1,"50,00,000",3025
2,55,Rajasthan,"SMS, Jaipur",RADIO DIAGNOSIS,AIQ,GEN,"11,647","82,800",2,"25,00,000",5702
2,56,Maharashtra,"Seth GS, Mumbai",GENERAL MEDICINE,AIQ,GEN,"1,43,300",92522,1,5000000,2250
2,57,Karnataka,"Bangalore Med Coll, Bangalore",DERMATOLOGY,AIQ,GEN,"1,24,150",56250,3,"50,00,000",1993
2,58,Kerala,"Govt Med Coll, Kozhikode",PAEDIATRICS,AIQ,GEN,"69,470",57876,1,"50,00,000",3025
2,59,Karnataka,"Bangalore Med Coll, Bangalore",GENERAL MEDICINE,AIQ,GEN,"1,24,150",56250,3,"50,00,000",1993
2,60,Jammu and Kashmir,"Sher-I-Kashmir, Srinagar",GENERAL MEDICINE,AIQ,GEN,"11,000",82000,0,0,Info Not Available
2,61,West Bengal,"Medical College, Kolkata",GENERAL MEDICINE,AIQ,GEN,"12,000",49884,3,"30,00,000",2668
2,62,Tamil Nadu,"Madras Med Coll, Chennai",GENERAL SURGERY,AIQ,GEN,"50,000","52,451",2,"40,00,000",7285
2,64,Delhi,"MAMC, Delhi",GENERAL MEDICINE,AIQ,GEN,"57,600","1,26,927",0,0,2800
2,65,Telangana,"NIMS, Hyderabad",RADIO DIAGNOSIS,AIQ,GEN,"72,000",111780,1,2000000,1498
2,66,Delhi,"ABVIMS (Dr RML Hosp), Delhi",GENERAL MEDICINE,AIQ,EWS,"41,000","1,20,965",0,0,1626
2,68,Delhi,"VMMC, Delhi",RADIO DIAGNOSIS,IP,GEN,"41,000","1,20,965",0,0,1550
2,69,Kerala,"Govt Med Coll, Kozhikode",GENERAL MEDICINE,AIQ,GEN,"69,470",57876,1,"50,00,000",3025
2,71,Delhi,"MAMC, Delhi",RADIO DIAGNOSIS,DU,GEN,"57,600","1,26,927",0,0,2800
2,72,Delhi,"VMMC, Delhi",GENERAL MEDICINE,AIQ,GEN,"41,000","1,20,965",0,0,1550
2,73,Tamil Nadu,"Madras Med Coll, Chennai",GENERAL MEDICINE,AIQ,GEN,"50,000","52,451",2,"40,00,000",7285
2,74,Karnataka,"Bangalore Med Coll, Bangalore",RADIO DIAGNOSIS,AIQ,GEN,"1,24,150",56250,3,"50,00,000",1993
2,75,Delhi,"VMMC, Delhi",GENERAL MEDICINE,AIQ,GEN,"41,000","1,20,965",0,0,1550
2,76,Delhi,"MAMC, Delhi",GENERAL SURGERY,AIQ,GEN,"57,600","1,26,927",0,0,2800
