Round,AI Rank,State,Institute,Course,Quota,Category,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds
5,3394,Madhya Pradesh,"Gandhi Med Coll, Bhopal",RADIO DIAGNOSIS,AIQ,GEN,"1,01,500",75444,1,1000000,1135
5,5375,Delhi,"Aakash HC SS Hospital, Dwarka",DNBGENERAL MEDICINE,DNB Post MBBS,GEN,125000,80000,0,0,200
5,6631,Maharashtra,"Grant Med Coll, Mumbai",DERMATOLOGY,AIQ,GEN,"1,43,300",92522,1,5000000,2844
5,6691,Maharashtra,"Topiwala, Mumbai",RADIO DIAGNOSIS,AIQ,EWS,"1,43,300",92522,1,5000000,1300
5,6733,Pondicherry,"IGMC & RI, Pondicherry",GENERAL MEDICINE,AIQ,OBC,"1,10,000",43000,0,0,750
5,7304,Andhra Pradesh,"Govt Med Coll, Ananthapuram",DERMATOLOGY,AIQ,GEN,"48,600",60823,0,0,500
5,7611,Karnataka,"Raichur IMS, Raichur",DERMATOLOGY,AIQ,GEN,"1,24,150",56250,3,"50,00,000",500
5,12468,Madhya Pradesh,"Gandhi Med Coll, Bhopal",PAEDIATRICS,AIQ,GEN,"1,01,500",75444,1,1000000,1135
5,12491,Punjab,"Govt Med Coll, Patiala",PAEDIATRICS,AIQ,OBC,"1,25,000","67,968",1,"10,00,000",1130
5,12888,Haryana,"Asian IMS, Faridabad",DNBGENERAL MEDICINE,DNB Post MBBS,GEN,125000,58100,0,0,425
5,13229,Andhra Pradesh,"Govt Siddhartha, Vijaywada",PAEDIATRICS,AIQ,GEN,"48,600",60823,0,0,707
5,13997,Maharashtra,"Dr B Nanavati Hosp, Mumbai",DNBPAEDIATRICS,DNB Post MBBS,GEN,125000,86630,0,0,348
5,14085,Goa,"Goa Med Coll, Panaji",TBRD,AIQ,OBC,"1,22,522",60000,1,"50,00,000",1160
5,14186,Madhya Pradesh,"SSMC, Rewa",OBG,AIQ,GEN,"1,01,500",75444,1,1000000,1140
5,14216,Tamil Nadu,Coimbatore Med Coll,PAEDIATRICS,AIQ,GEN,"50,000","52,451",2,"40,00,000",1182
5,14725,Tamil Nadu,"Apollo Hosp, Greams Rd,Chennai",DNBGENERAL MEDICINE,DNB Post MBBS,GEN,125000,52451,0,0,745
5,15615,Delhi,"Kalra Hosp & SRCNC, Delhi",DNBGENERAL MEDICINE,DNB Post MBBS,GEN,125000,65000,0,0,116
5,16311,Chhattisgarh,"Shri Balaji IMS, Raipur",DNBGENERAL MEDICINE,DNB Post MBBS,GEN,125000,"67,500",0,0,436
5,16654,Uttar Pradesh,"KGMU, Lucknow",ORTHOPAEDICS,AIQ,OBC,"54,700",109955,2,"40,00,000",4500
5,16712,Maharashtra,"Grant Med Coll, Mumbai",TBRD,AIQ,EWS,"1,43,300",92522,1,5000000,2844
5,16875,Gujarat,"SAL Hosp & Med Inst, Ahmedabad",DNBGENERAL MEDICINE,DNB Post MBBS,GEN,125000,"84,000",0,0,230
5,16902,Maharashtra,"Shri VR Naik Govt, Yavatmal",OPHTHALMOLOGY,AIQ,GEN,"1,43,300",92522,1,5000000,756
5,17131,Uttar Pradesh,"Govt Allopathic Med Coll,Banda",GENERAL SURGERY,AIQ,GEN,40000,"1,00,980",2,"40,00,000",430
5,17308,Rajasthan,"Govt Med Coll, Kota",TBRD,AIQ,GEN,"12,812","82,800",2,"25,00,000",2581
5,17346,Karnataka,"Manipal Hosp, Rustum Bagh, BLR",DNBPAEDIATRICS,DNB Post MBBS,GEN,125000,"56,250",0,0,600
5,17450,Tamil Nadu,Thanjavur Med Coll,OBG,AIQ,GEN,"50,000","52,451",2,"40,00,000",1466
5,17776,Tamil Nadu,"Vijaya Hospital, Chennai",DNBGENERAL MEDICINE,DNB Post MBBS,GEN,125000,52451,0,0,281
5,17795,Maharashtra,"Shri VR Naik Govt, Yavatmal",GENERAL SURGERY,AIQ,GEN,"1,43,300",92522,1,5000000,756
5,18321,Manipur,"RIMS, Imphal",ORTHOPAEDICS,AIQ,GEN,"5,000",106380,1,"20,00,000",1074
5,18402,Jharkhand,"Tata Motors Hosp, Jamshedpur",DNBOBG,DNB Post MBBS,GEN,125000,56100,0,0,404
5,18475,Madhya Pradesh,"SSMC, Rewa",GENERAL SURGERY,AIQ,GEN,"1,01,500",75444,1,1000000,1140
5,18583,Karnataka,"Sri Sathya Sai, Chikkaballapura",DNBGENERAL MEDICINE,DNB Post MBBS,GEN,125000,"45,000",0,0,300
5,18950,Dadra and Nagar Haveli,"NAMO MERI Govt MedColl,Silvassa",OBG,AIQ,GEN,"11,25,000",50000,3,5000000,650
5,19437,Andhra Pradesh,"Rajiv Gandhi IMS, Ongole",GENERAL SURGERY,AIQ,GEN,"48,600",60823,0,0,500
5,19509,Maharashtra,"Grant Med Coll, Mumbai",ANAESTHESIOLOGY,AIQ,GEN,"1,43,300",92522,1,5000000,2844
5,19636,Chhattisgarh,"Pt JNM Med Coll, Raipur",GENERAL SURGERY,AIQ,GEN,"20,000",67500,2,"50,00,000",1246
5,19713,Delhi,"ESI, Basaidarpur, Delhi",GENERAL SURGERY,AIQ,OBC,"2,50,000","1,15,000",2,"10,00,000",600
5,19848,Andhra Pradesh,"Rajiv Gandhi IMS, Ongole",PAEDIATRICS,AIQ,OBC,"48,600",60823,0,0,500
5,19959,Uttar Pradesh,"MLB Med Coll, Jhansi",TBRD,AIQ,GEN,40000,"1,00,980",2,"40,00,000",700
5,20267,Andhra Pradesh,"Dr Ramesh Cardiac Hosp, Guntur",DMRD(NBEMS),NBE Diploma,GEN,125000,60823,0,0,350
5,20305,Uttarakhand,"KVR Hospital, Kashipur",DNBPAEDIATRICS,DNB Post MBBS,GEN,125000,"75,000",0,0,100
5,20451,Dadra and Nagar Haveli,"NAMO MERI Govt MedColl,Silvassa",OBG,AIQ,GEN,"11,25,000",50000,3,5000000,650
5,20499,Tamil Nadu,"St Isabels Hospital, Chennai",DNBOBG,DNB Post MBBS,GEN,125000,52451,0,0,300
5,21261,Chhattisgarh,"CIMS, Bilaspur",GENERAL SURGERY,AIQ,GEN,"20,000",67500,2,"50,00,000",550
5,21274,Himachal Pradesh,"RPG, Tanda",OBG,AIQ,OBC,"39,000","40,000",3,"40,00,000",802
5,21811,Tamil Nadu,"Dr Rangarajan Mem Hosp,Chennai",DNBPAEDIATRICS,DNB Post MBBS,GEN,125000,50923,0,0,176
5,21876,Madhya Pradesh,"MGM Med Coll, Indore",OPHTHALMOLOGY,AIQ,GEN,"1,01,500",75444,1,1000000,1300
5,22058,Haryana,"Asian IMS, Faridabad",DNBTBRD,DNB Post MBBS,GEN,125000,58100,0,0,425
5,22063,Andhra Pradesh,"Medicover Hosp MVP, ViZAG",DNBTBRD,DNB Post MBBS,GEN,125000,60823,0,0,-
5,22074,Madhya Pradesh,"Bundelkhand Med Coll, Sagar",OPHTHALMOLOGY,AIQ,GEN,"1,01,500",75444,1,1000000,750
5,22098,Tamil Nadu,Govt Dharmapuri Med Coll,GENERAL SURGERY,AIQ,OBC,"50,000","52,451",2,"40,00,000",Info Not Available
5,22193,Pondicherry,"IGMC & RI, Pondicherry",ORTHOPAEDICS,AIQ,GEN,"1,10,000",43000,0,0,750
5,22483,Uttar Pradesh,"JNMC (AMU), Aligarh",ANAESTHESIOLOGY,AIQ,GEN,38000,"1,08,000",0,0,1269
5,22485,Jammu and Kashmir,"Govt Med Coll, Srinagar",OPHTHALMOLOGY,AIQ,GEN,"35,750",59500,0,0,2150
5,23107,Telangana,"Kakatiya Med Coll, Warangal",TBRD,AIQ,GEN,"25,000",58289,1,2000000,1150
5,23277,West Bengal,"IPGMER, Kolkata",EMERGENCY MEDICINE,AIQ,GEN,"12,000",49884,3,"30,00,000",2300
5,23396,Maharashtra,"Ruby Hall Clinic, Pune",DNBNEUROSURGERY 6 YRS,DNB Post MBBS,GEN,125000,89000,0,0,600
5,23419,Andhra Pradesh,"Rangaraya Med Coll, Kakinada",ORTHOPAEDICS,AIQ,EWS,"48,600",60823,0,0,1450
5,23729,Karnataka,"Manipal Hosp, Rustum Bagh, BLR",DNBGENERAL SURGERY,DNB Post MBBS,GEN,125000,"56,250",0,0,600
5,23784,Gujarat,"ESIC Model Hospital, Ahmedabad",DNBPAEDIATRICS,DNB Post MBBS,OBC,125000,70000,1,"7,50,000",250
5,24252,Madhya Pradesh,"NSC Bose Med Coll, Jabalpur",ANAESTHESIOLOGY,AIQ,GEN,"1,01,500",75444,1,1000000,1150
5,24703,Uttar Pradesh,"Dr RML IMS, Lucknow",RADIATION ONCOLOGY,AIQ,OBC,"37,500",108672,2,"40,00,000",Info Not Available
5,24707,Odisha,"Bhima Bhoi Med Coll, Balangir",DMRD(NBEMS),NBE Diploma,OBC,125000,70868,2,"34,78,000",Info Not Available
5,25004,Madhya Pradesh,"Gandhi Med Coll, Bhopal",EMERGENCY MEDICINE,AIQ,GEN,"1,01,500",75444,1,1000000,1135
5,25173,Haryana,"Pt BD Sharma, Rohtak",SPORTS MEDICINE,AIQ,GEN,"1,25,000","1,00,980",0,0,2080
5,25525,Maharashtra,"BJMC, Pune",ANAESTHESIOLOGY,AIQ,GEN,"1,43,300",92522,1,5000000,1296
5,25877,Maharashtra,"Bhaktivedanta Hosp, Thane",DNBOPHTHALMOLOGY,DNB Post MBBS,GEN,125000,"82,769",0,0,200
5,25932,Karnataka,"Inst of Aero, IAF, Bangaluru",AVIATION MEDICINE,AFMS,GEN,"26,000",56250,5,"57,50,000",Info Not Available
5,26083,Delhi,"ESI, Basaidarpur, Delhi",PATHOLOGY,AIQ,GEN,"2,50,000","1,15,000",2,"10,00,000",600
5,26198,Jharkhand,"MGM Med Coll, Jamshedpur",DCH,AIQ,GEN,1500,54500,3,"30,00,000",540
5,26271,Gujarat,"Govt Med Coll, Bhavnagar",ENT,AIQ,OBC,"30,000",100800,1,"40,00,000",720
5,26398,Karnataka,"Bhagwan MahaveerJain,Bangalore",DNBGENERAL SURGERY,DNB Post MBBS,GEN,125000,"45,000",0,0,470
5,26546,Dadra and Nagar Haveli,"NAMO MERI Govt MedColl,Silvassa",OBG,AIQ,OBC,"11,25,000",50000,3,5000000,650
5,26636,Dadra and Nagar Haveli,"NAMO MERI Govt MedColl,Silvassa",GENERAL SURGERY,AIQ,OBC,"10,00,000",50000,3,5000000,650
5,26788,Uttar Pradesh,"Govt Med Coll, Azamgarh",ENT,AIQ,GEN,40000,"1,00,980",2,"40,00,000",550
5,26930,Tamil Nadu,"Kilpauk Med Coll, Chennai",EMERGENCY MEDICINE,AIQ,GEN,"50,000","52,451",2,"40,00,000",1700
5,27162,Madhya Pradesh,"Gandhi Med Coll, Bhopal",GENERAL MEDICINE,AIQ,SC,"1,01,500",75444,1,1000000,1135
5,27289,Tamil Nadu,"Rajah Muthiah, Annamalainagar",OPHTHALMOLOGY,AIQ,GEN,"50,000","52,451",2,"40,00,000",1400
5,27312,Uttar Pradesh,"KGMU, Lucknow",ANAESTHESIOLOGY,AIQ,OBC,"54,700",109955,2,"40,00,000",4500
5,27995,Karnataka,"Gadag IMS, Gadag",PSYCHIATRY,AIQ,GEN,"1,24,150",56250,3,"50,00,000",Info Not Available
5,28026,Andhra Pradesh,"INDLAS VIMHANS Hosp,Vijayawada",DNBPSYCHIATRY,DNB Post MBBS,GEN,125000,44075,0,0,120
5,28167,Tamil Nadu,"PrashanthHosp,Velachery,Chennai",DNBGENERAL SURGERY,DNB Post MBBS,GEN,125000,52451,0,0,230
5,28319,Himachal Pradesh,"RPG, Tanda",OPHTHALMOLOGY,AIQ,OBC,"39,000","40,000",3,"40,00,000",802
5,28399,Uttar Pradesh,"Heritage Hospital, Varanasi",DNBEMERGENCY MEDICINE,DNB Post MBBS,GEN,125000,56100,0,0,150
5,28526,Uttar Pradesh,"Sushrut Inst of Plastic,Lucknow",DNBPLASTIC SURGERY 6 YRS,DNB Post MBBS,GEN,125000,68000,0,0,120
5,28620,Dadra and Nagar Haveli,"NAMO MERI Govt MedColl,Silvassa",OPHTHALMOLOGY,AIQ,GEN,"10,00,000",50000,3,5000000,650
5,28626,Andhra Pradesh,"Rangaraya Med Coll, Kakinada",ANAESTHESIOLOGY,AIQ,GEN,"48,600",60823,0,0,1450
5,28763,Madhya Pradesh,"MGM Med Coll, Indore",RADIATION ONCOLOGY,AIQ,GEN,"1,01,500",75444,1,1000000,1300
5,28781,Andhra Pradesh,"Kurnool Med Coll, Kurnool",ENT,AIQ,GEN,"48,600",60823,0,0,1150
5,28842,Maharashtra,"Paediatric Surg Center, Sangli",DNBPAEDIATRIC SURGERY 6 YRS,DNB Post MBBS,GEN,125000,80000,0,0,-
5,29161,Rajasthan,"Jeevan Rekha SS Hosp, Jaipur",DNBORTHOPAEDICS,DNB Post MBBS,GEN,125000,60000,0,0,300
5,29248,Madhya Pradesh,"SSMC, Rewa",ANAESTHESIOLOGY,AIQ,GEN,"1,01,500",75444,1,1000000,1140
5,29266,Gujarat,"PDU Med Coll, Rajkot",ANAESTHESIOLOGY,AIQ,GEN,"30,000",100800,1,"40,00,000",750
5,29280,Dadra and Nagar Haveli,"NAMO MERI Govt MedColl,Silvassa",GENERAL SURGERY,AIQ,OBC,"10,00,000",50000,3,5000000,650
5,29532,Andhra Pradesh,"Dr Ramesh Cardiac Hosp, Guntur",DNBORTHOPAEDICS,DNB Post MBBS,GEN,125000,60823,0,0,350
5,29816,Uttar Pradesh,"UP Univ of Med Sci, Etawah",ENT,AIQ,OBC,40000,"1,00,980",2,"40,00,000",1268
5,29875,Madhya Pradesh,"Govt Med Coll, Ratlam",ENT,AIQ,EWS,"1,01,500",75444,1,1000000,300
5,29960,Andhra Pradesh,"Andhra Med Coll, Vizag",OPHTHALMOLOGY,AIQ,OBC,"48,600",60823,0,0,1030
5,30203,Maharashtra,"Dr AmbedkarCentRlwyHosp, MUM",DCH(NBEMS),NBE Diploma,GEN,125000,"95,358",0,0,366
5,30994,Tamil Nadu,"Madurai Med Coll, Madurai",ANAESTHESIOLOGY,AIQ,EWS,"50,000","52,451",2,"40,00,000",3518
5,31574,Andhra Pradesh,"Apollo Hospital, Kakinada",DNBNEUROSURGERY 6 YRS,DNB Post MBBS,GEN,125000,"58,289",0,0,150
5,31943,Uttar Pradesh,"Heritage Hospital, Varanasi",DNBANAESTHESIOLOGY,DNB Post MBBS,GEN,125000,56100,0,0,150
5,32207,Tamil Nadu,Thanjavur Med Coll,ANAESTHESIOLOGY,AIQ,OBC,"50,000","52,451",2,"40,00,000",1466
5,32351,Karnataka,"KS Hospital, Koppal, Karnataka",DNBNEUROSURGERY 6 YRS,DNB Post MBBS,GEN,125000,"45,000",0,0,200
5,32541,West Bengal,"College of Med & JNM, Kalyani",ANAESTHESIOLOGY,AIQ,GEN,"12,000",49884,3,"30,00,000",450
5,32815,Kerala,"Cosmopolitan Hosp, Trivandrum",DNBORTHOPAEDICS,DNB Post MBBS,GEN,125000,57876,0,0,360
5,33155,Tamil Nadu,"ShanmugaHosp(CancerInst),Salem",DNBEMERGENCY MEDICINE,DNB Post MBBS,GEN,125000,52451,0,0,151
5,33229,Karnataka,"Kidwai Memorial, Bangalore",DMRT,AIQ,GEN,"1,24,150",56250,3,"25,00,000",680
5,33625,Madhya Pradesh,"Bundelkhand Med Coll, Sagar",ANAESTHESIOLOGY,AIQ,OBC,"1,01,500",75444,1,1000000,750
5,33650,Karnataka,"Mandya IMS, Mandya",ANAESTHESIOLOGY,AIQ,OBC,"1,24,150",56250,3,"50,00,000",Info Not Available
5,33661,Tamil Nadu,"ShanmugaHosp(CancerInst),Salem",DNBEMERGENCY MEDICINE,DNB Post MBBS,GEN,125000,52451,0,0,151
5,33699,Tamil Nadu,Govt Thiruvarur Med Coll,ANAESTHESIOLOGY,AIQ,OBC,"50,000","52,451",2,"40,00,000",555
5,34166,Haryana,"Saraswati Mission, Kurukshetra",DO(NBEMS),NBE Diploma,GEN,125000,"40,000",0,0,100
5,34399,Gujarat,"Mahavir Hospital, Surendranagar, Gujarat",DGO(NBEMS),NBE Diploma,GEN,125000,"35,000",0,0,-
5,34614,Andhra Pradesh,Area Hospital Sriikalahasthi,DGO(NBEMS),NBE Diploma,OBC,125000,60823,0,0,Info Not Available
5,34719,Rajasthan,"Govt Med Coll, Churu",PATHOLOGY,AIQ,GEN,"12,812","82,800",2,"25,00,000",-
5,35422,Uttar Pradesh,"KGMU, Lucknow",IHBT,AIQ,OBC,"54,700",109955,2,"40,00,000",4500
5,35745,Maharashtra,"Govt Med Coll, Nagpur",RADIATION ONCOLOGY,AIQ,EWS,"1,43,300",92522,1,5000000,1866
5,36029,Madhya Pradesh,"District Hospital, Gwalior, MP",DGO(NBEMS),NBE Diploma,OBC,125000,75444,3,2000000,200
5,36103,Maharashtra,"MGM Med Coll, Navi Mumbai",GENERAL MEDICINE,MNG,GEN,"40,00,000",88000,1,2500000,1740
5,36474,Rajasthan,"Govt Med Coll, Kota",OBG,AIQ,SC,"12,812","82,800",2,"25,00,000",2581
5,36903,Madhya Pradesh,"Jabalpur Hosp & Res Center, MP",DA(NBEMS),NBE Diploma,GEN,125000,45000,0,0,300
5,37003,Nagaland,"Naga Hospital Authority, Kohima",DGO(NBEMS),NBE Diploma,OBC,125000,"35,000",#N/A,#N/A,300
5,37151,Jammu and Kashmir,"Govt Med Coll Hosp, Anantnag",DNBFAMILY MEDICINE,DNB Post MBBS,OBC,125000,"59,500",0,0,363
5,37661,Telangana,"Kakatiya Med Coll, Warangal",OBG,AIQ,SC,"25,000",58289,1,2000000,1150
5,37812,Delhi,"ABVIMS (Dr RML Hosp), Delhi",PATHOLOGY,AIQ,OBC,"41,000","1,20,965",0,0,1626
5,38077,Maharashtra,"Sadhu Vaswani Missions, Pune",DA(NBEMS),NBE Diploma,GEN,125000,"90,000",0,0,369
5,38274,Tamil Nadu,"Mohan Kumaramangalam, Salem",PSYCHIATRY,AIQ,EWS,"50,000","52,451",2,"40,00,000",1642
5,38971,Punjab,"Amandeep Hospital, Pathankot",DA(NBEMS),NBE Diploma,GEN,125000,67968,0,0,110
5,39574,Uttar Pradesh,"Raj Eye Hospital, Gorakhpur",DO(NBEMS),NBE Diploma,GEN,125000,"35,000",0,0,Info Not Available
5,40066,Madhya Pradesh,"District Hospital, Ujjain, MP",DLO(NBEMS),NBE Diploma,GEN,125000,75444,3,2000000,700
5,40981,Maharashtra,"MGIMS, Wardha",PATHOLOGY,AIQ,GEN,"1,43,300",89698,1,5000000,1000
5,42042,Rajasthan,"JLNMC, Ajmer",PALLIATIVE MEDICINE,AIQ,OBC,"10,982","82,800",2,"25,00,000",1428
5,42548,Rajasthan,"Dr Kamdar Eye Hosp, Jodhpur",DO(NBEMS),NBE Diploma,GEN,125000,"35,000",0,0,Info Not Available
5,42652,Delhi,"Hindu Rao Hospital, Delhi",DNBPATHOLOGY,DNB Post MBBS,OBC,125000,126927,0,0,980
