Round,AI Rank,State,Institute,Course,Quota,Category,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds
1,51,Delhi,"ABVIMS (Dr RML Hosp), Delhi",GENERAL MEDICINE,AIQ,EWS,"41,000","1,20,965",0,0,1626
1,52,West Bengal,"IPGMER, Kolkata",GENERAL MEDICINE,AIQ,GEN,"12,000",49884,3,"30,00,000",2300
1,53,Delhi,"Lady Hardinge, Delhi",RADIO DIAGNOSIS,AIQ,GEN,"57,600","1,26,927",0,0,877
1,54,Kerala,"Govt Med Coll, Kozhikode",GENERAL MEDICINE,AIQ,GEN,"69,470",57876,1,"50,00,000",3025
1,55,Rajasthan,"SMS, Jaipur",RADIO DIAGNOSIS,AIQ,GEN,"11,647","82,800",2,"25,00,000",5702
1,56,Maharashtra,"Seth GS, Mumbai",GENERAL MEDICINE,AIQ,GEN,143300,92522,1,5000000,2250
1,57,Karnataka,"Bangalore Med Coll, Bangalore",DERMATOLOGY,AIQ,GEN,124150,56250,3,"50,00,000",1993
1,58,Kerala,"Govt Med Coll, Kozhikode",PAEDIATRICS,AIQ,GEN,"69,470",57876,1,"50,00,000",3025
1,59,Karnataka,"Bangalore Med Coll, Bangalore",GENERAL MEDICINE,AIQ,GEN,124150,56250,3,"50,00,000",1993
1,60,Jammu and Kashmir,"Sher-I-Kashmir, Srinagar",GENERAL MEDICINE,AIQ,GEN,"11,000",82000,0,0,Info Not Available
1,61,West Bengal,"Medical College, Kolkata",GENERAL MEDICINE,AIQ,GEN,"12,000",49884,3,"30,00,000",2668
1,62,Tamil Nadu,"Madras Med Coll, Chennai",GENERAL SURGERY,AIQ,GEN,"50,000","52,451",2,"40,00,000",7285
1,63,Kerala,"Govt Med Coll, Kozhikode",GENERAL MEDICINE,AIQ,GEN,"69,470",57876,1,"50,00,000",3025
1,64,Delhi,"VMMC, Delhi",GENERAL MEDICINE,AIQ,GEN,"41,000","1,20,965",0,0,1550
1,65,Telangana,"NIMS, Hyderabad",RADIO DIAGNOSIS,AIQ,GEN,"72,000",111780,1,2000000,1498
