Round,AI Rank,State,Institute,Course,Quota,Category,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds
4,1192,Maharashtra,"Grant Med Coll, Mumbai",DERMATOLOGY,AIQ,GEN,"1,43,300",92522,1,5000000,2844
4,1281,Madhya Pradesh,"MGM Med Coll, Indore",RADIO DIAGNOSIS,AIQ,GEN,"1,01,500",75444,1,1000000,1300
4,1313,Gujarat,"MP Shah, Jamnagar",RADIO DIAGNOSIS,AIQ,GEN,"30,000",100800,1,"40,00,000",1250
4,1490,Karnataka,"Bangalore Med Coll, Bangalore",RADIO DIAGNOSIS,AIQ,GEN,"1,24,150",56250,3,"50,00,000",1993
4,2099,Kerala,"Govt Med Coll, Thrissur",DERMATOLOGY,AIQ,GEN,"69,470",57876,1,"50,00,000",1400
4,2186,Madhya Pradesh,"Gandhi Med Coll, Bhopal",RADIO DIAGNOSIS,AIQ,GEN,"1,01,500",75444,1,1000000,1135
4,2506,Bihar,"IGIMS, Patna",GENERAL MEDICINE,AIQ,GEN,"1,60,000","1,05,000",0,0,1062
4,3246,Tamil Nadu,Thanjavur Med Coll,GENERAL MEDICINE,AIQ,GEN,"50,000","52,451",2,"40,00,000",1466
4,3258,Gujarat,"Medical College, Baroda",DERMATOLOGY,AIQ,EWS,"30,000",100800,1,"40,00,000",1250
4,3338,Delhi,"MAMC, Delhi",OPHTHALMOLOGY,AIQ,GEN,"57,600","1,26,927",0,0,2800
4,3356,Maharashtra,"Topiwala, Mumbai",RADIO DIAGNOSIS,AIQ,EWS,"1,43,300",92522,1,5000000,1300
4,3407,Telangana,"Gandhi Med Coll, Secunderabad",RADIO DIAGNOSIS,AIQ,GEN,"25,000",58289,1,2000000,1200
4,3446,Uttar Pradesh,"JNMC (AMU), Aligarh",GENERAL MEDICINE,AIQ,GEN,38000,"1,08,000",0,0,1269
4,3498,Maharashtra,"HurkisondasNurrotumdas, Mumbai",DNBGENERAL MEDICINE,DNB Post MBBS,GEN,125000,94000,0,0,360
4,3631,Karnataka,"ColumbiaAsia Hosp,Malleshwaram",DNBRADIO DIAGNOSIS,DNB Post MBBS,GEN,125000,"45,000",0,0,160
4,3667,Haryana,"Pt BD Sharma, Rohtak",GENERAL MEDICINE,AIQ,GEN,"1,25,000","1,00,980",0,0,2080
4,3802,Andhra Pradesh,"SVIMS, Tirupati",GENERAL MEDICINE,AIQ,GEN,"2,11,600","80,904",1,"40,00,000",1257
4,3848,Maharashtra,"Holy Spirit Hospital, Mumbai",DNBRADIO DIAGNOSIS,DNB Post MBBS,GEN,125000,"86,630",0,0,300
4,3981,Delhi,"Aakash HC SS Hospital, Dwarka",DNBRADIO DIAGNOSIS,DNB Post MBBS,GEN,125000,80000,0,0,200
4,4035,Madhya Pradesh,"Gaja Raja Med Coll, Gwalior",GENERAL MEDICINE,AIQ,GEN,"1,01,500",75444,1,1000000,1100
4,4080,Maharashtra,"Apollo Hospital, Navi Mumbai",DNBRADIO DIAGNOSIS,DNB Post MBBS,GEN,125000,89000,0,0,473
4,4121,Tamil Nadu,Coimbatore Med Coll,RADIO DIAGNOSIS,AIQ,OBC,"50,000","52,451",2,"40,00,000",1182
4,4175,Goa,"Goa Med Coll, Panaji",GENERAL MEDICINE,AIQ,GEN,"1,22,522",60000,1,"50,00,000",1160
4,4285,Telangana,"Gandhi Med Coll, Secunderabad",GENERAL MEDICINE,AIQ,GEN,"25,000",58289,1,2000000,1200
4,4432,Delhi,"ABVIMS (Dr RML Hosp), Delhi",ORTHOPAEDICS,AIQ,GEN,"41,000","1,20,965",0,0,1626
4,4702,Gujarat,"Govt Med Coll, Bhavnagar",GENERAL MEDICINE,AIQ,GEN,"30,000",100800,1,"40,00,000",720
4,4937,Tamil Nadu,"MIOT Hospital, Chennai",DNBRADIO DIAGNOSIS,DNB Post MBBS,GEN,125000,65000,0,0,920
4,5181,Maharashtra,"VMMC, Solapur",GENERAL MEDICINE,AIQ,GEN,"1,43,300",92522,1,5000000,763
4,5323,Telangana,"Govt Med Coll, Nizamabad",RADIO DIAGNOSIS,AIQ,GEN,"25,000",58289,1,2000000,500
4,5387,Karnataka,"Bangalore Med Coll, Bangalore",GENERAL MEDICINE,AIQ,OBC,"1,24,150",56250,3,"50,00,000",1993
4,5400,Gujarat,"Medical College, Baroda",PAEDIATRICS,AIQ,GEN,"30,000",100800,1,"40,00,000",1250
4,5614,Maharashtra,"Grant Med Coll, Mumbai",DERMATOLOGY,AIQ,OBC,"1,43,300",92522,1,5000000,2844
