Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2023 6,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4,CR 2024 5
WB Govt Quota,UR Open,West Bengal,"Medical College, Kolkata",ORTHOPAEDICS,"₹12,000*","₹49,884",3*,"₹30,00,000*",2668,90(1),150(1),104(1),104(1),-,-,168(1),206(1),172(1),-,-
WB Govt Quota,UR Open,West Bengal,Midnapore Medical College,GENERAL MEDICINE,"₹12,000*","₹49,884",3*,"₹30,00,000*",1051,61(2),54(2),76(2),76(2),-,-,69(2),72(2),181(2),-,-
WB Govt Quota,OBC A Open,West Bengal,Murshidabad Med Coll,RADIO DIAGNOSIS,"₹12,000*","₹49,884",3*,"₹30,00,000*",1208,-,-,-,-,-,-,211(1),235(1),200(1),-,-
WB Govt Quota,UR Open,West Bengal,"Medical College, Kolkata",GENERAL SURGERY,"₹12,000*","₹49,884",3*,"₹30,00,000*",2668,124(1),124(1),91(1),91(1),-,-,150(3),194(3),202(3),-,-
WB Govt Quota,EWS Open,West Bengal,"Nilratan Sircar, Kolkata",GENERAL MEDICINE,"₹12,000*","₹49,884",3*,"₹30,00,000*",1920,-,-,33(1),33(1),-,-,118(1),245(1),208(1),-,-
WB Govt Quota,UR Open,West Bengal,"NBMC, Darjeeling",GENERAL MEDICINE,"₹12,000*","₹49,884",3*,"₹30,00,000*",843,50(2),56(2),69(2),69(2),-,-,73(2),93(2),213(2),-,-
WB Govt Quota,UR Open,West Bengal,"Medical College, Kolkata",OBG,"₹12,000*","₹49,884",3*,"₹30,00,000*",2668,128(2),140(2),232(3),232(3),-,-,195(4),259(4),227(4),-,-
WB Govt Quota,UR Service,West Bengal,"IPGMER, Kolkata",RADIO DIAGNOSIS,"₹12,000*","₹49,884",3*,"₹30,00,000*",2300,281(1),281(1),281(1),281(1),-,-,229(1),229(1),229(1),-,-
WB Govt Quota,UR Open,West Bengal,Calcutta National Med Coll,OBG,"₹12,000*","₹49,884",3*,"₹30,00,000*",1470,168(2),156(2),250(2),250(2),-,-,196(1),276(1),233(1),-,-
WB Govt Quota,UR Open,West Bengal,"Medical College, Kolkata",PAEDIATRICS,"₹12,000*","₹49,884",3*,"₹30,00,000*",2668,81(3),73(3),102(3),102(3),-,-,107(4),115(4),234(4),-,-
