Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2023 6,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4,CR 2024 5
RAJ Govt - Govt Quota,GEN,Rajasthan,"Govt Med Coll, Kota",GENERAL MEDICINE,"₹12,812*","₹82,800*",2*,"₹25,00,000*",2581,105(4),105(5),105(5),-,-,-,116(3),116(3),116(3),-,-
RAJ Govt - Govt Quota,GEN,Rajasthan,"JLNMC, Ajmer",GENERAL MEDICINE,"₹10,982*","₹82,800*",2*,"₹25,00,000*",1428,112(1),121(2),121(2),-,-,-,118(6),118(5),118(5),-,-
RAJ Govt - Govt Quota,OBC,Rajasthan,"Govt Med Coll, Kota",GENERAL MEDICINE,"₹12,812*","₹82,800*",2*,"₹25,00,000*",2581,108(3),108(4),108(4),-,-,-,119(3),121(4),121(4),-,-
RAJ Govt - Govt Quota,OBC,Rajasthan,"JLNMC, Ajmer",GENERAL MEDICINE,"₹10,982*","₹82,800*",2*,"₹25,00,000*",1428,97(3),122(3),122(3),-,-,-,82(1),124(3),124(3),-,-
RAJ Govt - Govt Quota,GEN,Rajasthan,"RNT, Udaipur",PAEDIATRICS,"₹12,812*","₹82,800*",2*,"₹25,00,000*",2206,184(1),-,-,-,-,-,215(3),129(2),129(2),-,-
RAJ Govt - Govt Quota,OBC,Rajasthan,"Jhalawar Med Coll, Jhalawar",GENERAL MEDICINE,"₹88,265*","₹82,800*",2*,"₹25,00,000*",Info Not Available,124(3),158(4),158(4),-,-,-,132(3),132(1),132(1),-,-
RAJ Govt - Govt Quota,GEN,Rajasthan,"Govt Med Coll, Bharatpur",GENERAL MEDICINE,"₹12,812*","₹82,800*",2*,"₹25,00,000*",-,-,-,-,-,-,-,136(1),136(1),136(1),-,-
RAJ Govt - Govt Quota,ST,Rajasthan,"SMS, Jaipur",DERMATOLOGY,"₹11,647*","₹82,800*",2*,"₹25,00,000*",5702,404(1),-,-,-,-,-,140(2),140(1),140(1),-,-
RAJ Govt - Govt Quota,SC,Rajasthan,"SMS, Jaipur",DERMATOLOGY,"₹11,647*","₹82,800*",2*,"₹25,00,000*",5702,358(2),361(2),361(2),-,-,-,141(1),141(1),141(1),-,-
RAJ Govt - Govt Quota,SC,Rajasthan,"SMS, Jaipur",RADIO DIAGNOSIS,"₹11,647*","₹82,800*",2*,"₹25,00,000*",5702,120(1),120(1),120(1),-,-,-,148(2),148(2),148(2),-,-
RAJ Govt - Govt Quota,GEN,Rajasthan,"SMS, Jaipur",PAEDIATRICS,"₹11,647*","₹82,800*",2*,"₹25,00,000*",5702,156(6),157(3),157(3),-,-,-,151(3),151(3),151(3),-,-
RAJ Govt - Govt Quota,OBC,Rajasthan,"SMS, Jaipur",PAEDIATRICS,"₹11,647*","₹82,800*",2*,"₹25,00,000*",5702,165(3),174(7),174(6),-,-,-,159(8),162(8),162(8),-,-
RAJ Govt - Govt Quota,GEN,Rajasthan,"Govt Med Coll, Kota",PAEDIATRICS,"₹12,812*","₹82,800*",2*,"₹25,00,000*",2581,-,-,-,-,-,-,257(2),164(1),164(1),-,-
RAJ Govt - Govt Quota,OBC,Rajasthan,"Govt Med Coll, Bharatpur",GENERAL MEDICINE,"₹12,812*","₹82,800*",2*,"₹25,00,000*",-,-,-,-,-,-,-,167(1),169(2),169(2),-,-
RAJ Govt - Mgmt Quota,GEN,Rajasthan,"Jhalawar Med Coll, Jhalawar",GENERAL MEDICINE,"₹8,68,200*","₹82,800*",2*,"₹25,00,000*",Info Not Available,-,-,-,-,-,-,172(1),172(1),172(1),-,-
RAJ Govt - Govt Quota,OBC,Rajasthan,"RNT, Udaipur",OBG,"₹12,812*","₹82,800*",2*,"₹25,00,000*",2206,333(5),336(4),336(4),-,-,-,337(5),210(2),210(2),-,-
RAJ Govt - Govt Quota,GEN,Rajasthan,"SNMC, Jodhpur",PAEDIATRICS,"₹12,812*","₹82,800*",2*,"₹25,00,000*",3101,188(2),189(2),189(2),-,-,-,-,224(1),224(1),-,-
RAJ Govt - Mgmt Quota,OBC,Rajasthan,"Jhalawar Med Coll, Jhalawar",GENERAL MEDICINE,"₹8,68,200*","₹82,800*",2*,"₹25,00,000*",Info Not Available,-,-,-,-,-,-,231(3),231(3),231(3),-,-
RAJ Govt - Govt Quota,OBC,Rajasthan,"RNT, Udaipur",PAEDIATRICS,"₹12,812*","₹82,800*",2*,"₹25,00,000*",2206,200(4),218(5),218(5),-,-,-,209(2),245(2),245(2),-,-
RAJ Govt - Govt Quota,SC,Rajasthan,"RNT, Udaipur",RADIO DIAGNOSIS,"₹12,812*","₹82,800*",2*,"₹25,00,000*",2206,332(1),-,-,-,-,-,247(1),247(1),247(1),-,-
RAJ Govt - Govt Quota,EWS,Rajasthan,"SMS, Jaipur",GENERAL MEDICINE,"₹11,647*","₹82,800*",2*,"₹25,00,000*",5702,205(4),206(3),206(3),-,-,-,249(6),249(7),249(6),-,-
RAJ Govt - Govt Quota,EWS,Rajasthan,"RNT, Udaipur",GENERAL MEDICINE,"₹12,812*","₹82,800*",2*,"₹25,00,000*",2206,223(3),225(3),225(2),-,-,-,250(1),250(1),250(1),-,-
