Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4,CR 2024 5
CG MBBS or Ins,UR,Chhattisgarh,"Pt JNM Med Coll, Raipur",PSYCHIATRY,"₹20,000*","₹67,500",2*,"₹50,00,000*",1246,58(1),106(1),21(1),22(1),-,-,-,311(1),188(1),-
CG MBBS or Ins,UR,Chhattisgarh,"Pt JNM Med Coll, Raipur",RADIATION ONCOLOGY,"₹20,000*","₹67,500",2*,"₹50,00,000*",1246,108(1),235(1),45(1),-,-,184(1),200(1),316(1),-,-
CG MBBS or Ins,OBC,Chhattisgarh,"Lakhi Ram Agrawal, Raigarh",ORTHOPAEDICS,"₹20,000*","₹67,500",2*,"₹50,00,000*",650,-,-,-,-,-,110(1),190(1),317(1),-,-
CG MBBS or Ins,OBC,Chhattisgarh,"Govt Med Coll, Rajnandgaon",ENT,"₹20,000*","₹67,500",2*,"₹50,00,000*",650,-,-,-,-,-,194(1),286(1),319(1),-,-
CG MBBS or Ins,OBC,Chhattisgarh,"Lakhi Ram Agrawal, Raigarh",PSYCHIATRY,"₹20,000*","₹67,500",2*,"₹50,00,000*",650,-,-,-,-,-,197(1),291(1),322(1),430(1),378(1)
CG MBBS or Ins,OBC,Chhattisgarh,"CIMS, Bilaspur",PSYCHIATRY,"₹20,000*","₹67,500",2*,"₹50,00,000*",550,-,-,-,-,-,190(1),-,334(1),-,-
CG MBBS or Ins,UR,Chhattisgarh,"Pt JNM Med Coll, Raipur",PATHOLOGY,"₹20,000*","₹67,500",2*,"₹50,00,000*",1246,124(2),264(2),-,-,-,93(1),318(1),335(1),407(1),-
CG MBBS or Ins,UR,Chhattisgarh,"Shri Balaji Inst of MS, Raipur",GENERAL SURGERY,"₹10,54,000*",Info not available,1,"₹25,00,000",-,-,-,-,-,-,202(1),-,336(1),-,-
CG MBBS or Ins,SC,Chhattisgarh,"CIMS, Bilaspur",ORTHOPAEDICS,"₹20,000*","₹67,500",2*,"₹50,00,000*",550,-,-,-,-,-,237(1),295(1),354(1),-,-
CG MBBS or Ins,SC,Chhattisgarh,"Pt JNM Med Coll, Raipur",OPHTHALMOLOGY,"₹20,000*","₹67,500",2*,"₹50,00,000*",1246,-,-,86(1),-,-,-,379(1),385(1),-,-
CG MBBS or Ins,UR,Chhattisgarh,"CIMS, Bilaspur",PATHOLOGY,"₹20,000*","₹67,500",2*,"₹50,00,000*",550,165(1),-,-,-,-,279(2),373(2),400(2),-,-
