Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 1.5,CR 2023 2,CR 2023 3,CR 2023 4,CR 2024 1,CR 2024 1.5,CR 2024 2,CR 2024 3,CR 2024 4,CR 2024 5
Odisha-Mgmt Quota- InS,UR,Odisha,"Hi-Tech, Bhubaneswar",TBRD,"₹25,00,000*","₹30,000*",0,₹0,767,262(1),-,-,286(1),-,198(1),-,-,205(1),-,-
Odisha-Govt Quota-InS,ST,Odisha,"MKCG, Berhampur",PSYCHIATRY,"₹38,500*","₹70,686",2*,"₹53,30,000*",1140,-,-,-,-,-,202(1),-,-,210(1),-,-
Odisha-Govt Quota-InS,UR-ExS,Odisha,"VIMSAR, Burla",GENERAL MEDICINE,"₹38,500*","₹70,686",2*,"₹53,30,000*",1071,-,-,-,-,-,203(1),-,-,211(1),-,-
Odisha-Govt Quota,UR,Odisha,"VIMSAR, Burla",GENERAL SURGERY,"₹38,500*","₹70,686",2*,"₹53,30,000*",1071,158(4),158(4),194(4),253(4),-,144(2),-,-,214(2),-,-
Odisha-Govt Quota-InS,SC,Odisha,"Hi-Tech, Bhubaneswar",OPHTHALMOLOGY,"₹7,15,000*","₹30,000*",0,₹0,767,-,-,-,-,-,206(1),-,-,216(1),-,-
Odisha-Govt Quota-InS,UR,Odisha,"SCB, Cuttack",PHYSIOLOGY,"₹38,500*","₹88,686*",2*,"₹66,30,000*",2106,251(1),-,-,332(1),-,160(1),160(1),207(1),217(1),-,-
Odisha-Govt Quota-InS,SC,Odisha,"SCB, Cuttack",PHYSIOLOGY,"₹38,500*","₹88,686*",2*,"₹66,30,000*",2106,-,-,-,-,-,-,-,-,221(1),-,-
Odisha-Govt Quota-InS,UR,Odisha,"VIMSAR, Burla",PHYSIOLOGY,"₹38,500*","₹88,686*",2*,"₹66,30,000*",1071,196(1),-,-,199(1),352(1),210(1),-,-,222(1),-,-
Odisha-Govt Quota,UR,Odisha,"VIMSAR, Burla",TBRD,"₹38,500*","₹70,686",2*,"₹53,30,000*",1071,113(1),113(1),132(1),249(1),-,125(1),-,-,224(1),-,-
Odisha-Govt Quota-InS,EWS,Odisha,"VIMSAR, Burla",MICROBIOLOGY,"₹38,500*","₹88,686*",2*,"₹66,30,000*",1071,-,-,-,-,-,-,-,-,225(1),-,-
Odisha-Govt Quota,UR,Odisha,"SCB, Cuttack",TBRD,"₹38,500*","₹70,686",2*,"₹53,30,000*",2106,73(1),-,115(1),171(1),-,74(1),-,-,228(1),-,-
Odisha-Govt Quota-InS,ST,Odisha,"SCB, Cuttack",GENERAL SURGERY,"₹38,500*","₹70,686",2*,"₹53,30,000*",2106,225(1),-,-,231(1),-,222(1),-,-,234(1),-,-
Odisha-Govt Quota-InS,UR,Odisha,"MKCG, Berhampur",MICROBIOLOGY,"₹38,500*","₹88,686*",2*,"₹66,30,000*",1140,171(2),171(2),206(2),257(2),-,147(1),147(1),166(1),235(1),-,-
Odisha-Govt Quota-InS,UR,Odisha,"SCB, Cuttack",PHARMACOLOGY,"₹38,500*","₹88,686*",2*,"₹66,30,000*",2106,205(1),205(1),168(1),277(1),-,145(1),145(1),156(1),236(1),-,-
Odisha-Govt Quota-InS,ST,Odisha,"SCB, Cuttack",SPM,"₹38,500*","₹88,686*",2*,"₹66,30,000*",2106,-,-,-,-,-,-,-,-,239(1),-,-
Odisha-Govt Quota-InS,UR,Odisha,"MKCG, Berhampur",PHYSIOLOGY,"₹38,500*","₹88,686*",2*,"₹66,30,000*",1140,256(1),256(1),-,305(2),-,213(1),213(1),209(1),245(1),-,-
Odisha-Govt Quota,UR,Odisha,"Hi-Tech, Bhubaneswar",OBG,"₹7,15,000*","₹30,000*",0,₹0,767,243(1),243(1),293(1),293(1),-,246(1),-,-,246(1),-,-
Odisha-Govt Quota-InS,ST,Odisha,"MKCG, Berhampur",OPHTHALMOLOGY,"₹38,500*","₹70,686",2*,"₹53,30,000*",1140,-,-,-,-,-,230(1),-,-,248(1),-,-
Odisha-Mgmt Quota- InS,UR,Odisha,"Hi-Tech, Bhubaneswar",ANAESTHESIOLOGY,"₹25,00,000*","₹30,000*",0,₹0,767,231(1),231(1),-,313(2),-,234(2),234(2),-,249(2),-,-
Odisha-Govt Quota,UR,Odisha,"MKCG, Berhampur",GENERAL SURGERY,"₹38,500*","₹70,686",2*,"₹53,30,000*",1140,137(4),137(4),158(4),196(4),-,142(4),142(2),143(2),250(4),-,-
Odisha-Govt Quota-InS,EWS,Odisha,"SCB, Cuttack",BIOCHEMISTRY,"₹38,500*","₹88,686*",2*,"₹66,30,000*",2106,-,-,-,-,-,-,-,-,252(1),-,-
Odisha-Govt Quota-InS,UR,Odisha,"Hi-Tech, Bhubaneswar",SPM,"₹7,15,000*","₹16,000*",0,₹0,767,-,-,-,331(1),-,163(1),-,-,253(1),-,-
Odisha-Mgmt Quota- InS,UR,Odisha,"Hi-Tech, Bhubaneswar",OPHTHALMOLOGY,"₹25,00,000*","₹30,000*",0,₹0,767,-,-,-,294(1),-,-,-,-,256(1),-,-
Odisha-Govt Quota-InS,ST,Odisha,"Hi-Tech, Bhubaneswar",GENERAL MEDICINE,"₹7,15,000*","₹30,000*",0,₹0,767,-,-,-,-,-,233(1),-,-,257(1),-,-
Odisha-Govt Quota-InS,UR-PH,Odisha,"SCB, Cuttack",FORENSIC MEDICINE,"₹38,500*","₹88,686*",2*,"₹66,30,000*",2106,-,-,-,-,-,-,-,-,258(1),-,-
Odisha-Govt Quota-InS,UR-PH,Odisha,"SCB, Cuttack",RADIO DIAGNOSIS,"₹38,500*","₹70,686",2*,"₹53,30,000*",2106,-,-,-,-,-,-,-,-,259(1),-,-
Odisha-Govt Quota,UR,Odisha,"Hi-Tech, Bhubaneswar",ORTHOPAEDICS,"₹7,15,000*","₹30,000*",0,₹0,767,329(1),-,-,329(1),-,242(1),242(1),242(1),261(1),-,-
Odisha-Mgmt Quota- InS,UR,Odisha,"Hi-Tech, Bhubaneswar",GENERAL SURGERY,"₹25,00,000*","₹30,000*",0,₹0,767,238(1),-,139(1),285(3),-,236(3),-,-,262(3),-,-
Odisha-Govt Quota-InS,UR-ExS,Odisha,"Hi-Tech, Bhubaneswar",PATHOLOGY,"₹7,15,000*","₹16,000*",0,₹0,767,-,-,-,-,-,-,-,-,263(1),-,-
Odisha-Govt Quota,UR,Odisha,"SCB, Cuttack",PSYCHIATRY,"₹38,500*","₹70,686",2*,"₹53,30,000*",2106,-,-,-,-,-,130(1),-,-,265(1),-,-
Odisha-Govt Quota-InS,UR,Odisha,"VIMSAR, Burla",BIOCHEMISTRY,"₹38,500*","₹88,686*",2*,"₹66,30,000*",1071,-,-,-,229(1),-,194(1),-,-,269(1),-,-
Odisha-Govt Quota-InS,UR,Odisha,"MKCG, Berhampur",FORENSIC MEDICINE,"₹38,500*","₹88,686*",2*,"₹66,30,000*",1140,226(1),226(1),250(1),309(1),-,201(1),201(1),190(1),273(1),-,-
Odisha-Govt Quota-InS,ST,Odisha,"MKCG, Berhampur",ANAESTHESIOLOGY,"₹38,500*","₹70,686",2*,"₹53,30,000*",1140,-,-,-,-,-,240(1),-,-,276(1),-,-
Odisha-Govt Quota-InS,ST,Odisha,"MKCG, Berhampur",GENERAL SURGERY,"₹38,500*","₹70,686",2*,"₹53,30,000*",1140,-,-,-,-,-,241(1),-,-,277(1),-,-
Odisha-Mgmt Quota- InS,UR,Odisha,"Hi-Tech, Bhubaneswar",PSYCHIATRY,"₹25,00,000*","₹30,000*",0,₹0,767,-,-,-,-,-,-,-,197(1),283(1),-,-
Odisha-Govt Quota,UR,Odisha,"Hi-Tech, Bhubaneswar",GENERAL MEDICINE,"₹7,15,000*","₹30,000*",0,₹0,767,-,-,-,-,-,134(1),134(1),166(1),283(1),-,-
Odisha-Govt Quota-InS,UR,Odisha,"SCB, Cuttack",ANATOMY,"₹38,500*","₹88,686*",2*,"₹66,30,000*",2106,-,-,-,374(2),413(1),196(1),196(1),243(1),284(1),-,-
Odisha-Mgmt Quota- InS,UR,Odisha,"Hi-Tech, Bhubaneswar",PATHOLOGY,"₹10,00,000*","₹16,000*",0,₹0,767,-,-,-,380(2),-,-,-,-,291(2),-,-
Odisha-Govt Quota-InS,UR-GC,Odisha,"VIMSAR, Burla",MICROBIOLOGY,"₹38,500*","₹88,686*",2*,"₹66,30,000*",1071,-,-,-,-,-,168(1),-,-,292(1),-,-
Odisha-Govt Quota-InS,ST,Odisha,"Acharya Harihar Cancer,Cuttack",PATHOLOGY,"₹38,500*","₹88,686*",2*,"₹66,30,000*",-,-,-,-,-,-,-,-,-,293(1),-,-
Odisha-Govt Quota,UR,Odisha,"Hi-Tech, Bhubaneswar",PAEDIATRICS,"₹7,15,000*","₹30,000*",0,₹0,767,265(1),281(1),-,281(1),-,203(1),203(1),207(1),301(1),-,-
Odisha-Govt Quota-InS,UR-PH,Odisha,"SCB, Cuttack",ANAESTHESIOLOGY,"₹38,500*","₹70,686",2*,"₹53,30,000*",2106,-,-,-,-,-,-,-,-,304(1),-,-
Odisha-Mgmt Quota- InS,UR,Odisha,"Hi-Tech, Bhubaneswar",SPM,"₹10,00,000*","₹16,000*",0,₹0,767,-,-,-,351(1),-,-,-,-,305(1),-,-
Odisha-Govt Quota-InS,ST,Odisha,"MKCG, Berhampur",PHARMACOLOGY,"₹38,500*","₹88,686*",2*,"₹66,30,000*",1140,-,-,-,336(1),-,-,-,-,308(1),-,-
Odisha-Govt Quota,UR,Odisha,"SCB, Cuttack",RADIATION ONCOLOGY,"₹38,500*","₹70,686",2*,"₹53,30,000*",2106,131(1),131(1),222(1),389(1),-,159(1),-,156(1),310(1),-,-
Odisha-Govt Quota-InS,EWS,Odisha,"SCB, Cuttack",PHARMACOLOGY,"₹38,500*","₹88,686*",2*,"₹66,30,000*",2106,-,-,-,-,-,-,-,-,310(1),-,-
Odisha-Govt Quota-InS,UR,Odisha,"Hi-Tech, Bhubaneswar",MICROBIOLOGY,"₹7,15,000*","₹16,000*",0,₹0,767,-,-,-,-,-,221(1),221(1),-,313(1),-,-
Odisha-Mgmt Quota- InS,UR,Odisha,"Hi-Tech Med Coll, Rourkela",MICROBIOLOGY,"₹10,00,000*",Info not available*,0,₹0,420,-,-,-,-,-,-,-,-,315(1),-,-
Odisha-Govt Quota-InS,SC,Odisha,"VIMSAR, Burla",PHARMACOLOGY,"₹38,500*","₹88,686*",2*,"₹66,30,000*",1071,-,-,-,-,-,218(1),218(1),-,316(1),-,-
Odisha-Govt Quota,UR,Odisha,"SCB, Cuttack",ENT,"₹38,500*","₹70,686",2*,"₹53,30,000*",2106,167(1),-,214(1),241(1),-,133(1),-,123(1),319(1),-,-
Odisha-Mgmt Quota- InS,UR,Odisha,"Hi-Tech, Bhubaneswar",MICROBIOLOGY,"₹10,00,000*","₹16,000*",0,₹0,767,-,-,-,381(1),-,-,-,-,319(1),-,-
Odisha-Govt Quota-InS,ST,Odisha,"MKCG, Berhampur",MICROBIOLOGY,"₹38,500*","₹88,686*",2*,"₹66,30,000*",1140,-,-,-,-,-,-,-,-,321(1),-,-
Odisha-Govt Quota,UR,Odisha,"VIMSAR, Burla",ENT,"₹38,500*","₹70,686",2*,"₹53,30,000*",1071,-,-,-,385(1),-,183(1),183(1),190(1),325(1),-,-
Odisha-Govt Quota,UR,Odisha,"SCB, Cuttack",OPHTHALMOLOGY,"₹38,500*","₹70,686",2*,"₹53,30,000*",2106,170(1),170(1),165(1),213(1),-,178(2),168(1),187(1),333(2),-,-
Odisha-Govt Quota,SC,Odisha,"VIMSAR, Burla",GENERAL MEDICINE,"₹38,500*","₹70,686",2*,"₹53,30,000*",1071,270(1),-,289(1),299(1),-,274(1),274(1),333(1),335(1),-,-
Odisha-Govt Quota,UR,Odisha,"Hi-Tech, Bhubaneswar",PSYCHIATRY,"₹7,15,000*","₹30,000*",0,₹0,767,-,-,-,-,-,307(1),307(1),336(1),338(1),-,-
Odisha-Govt Quota,UR,Odisha,"SCB, Cuttack",PATHOLOGY,"₹38,500*","₹88,686*",2*,"₹66,30,000*",2106,260(2),227(1),470(1),481(2),-,231(1),231(1),338(1),340(1),-,-
Odisha-Govt Quota,UR,Odisha,"MKCG, Berhampur",OPHTHALMOLOGY,"₹38,500*","₹70,686",2*,"₹53,30,000*",1140,213(2),213(2),301(2),380(2),-,187(1),187(1),203(1),341(1),-,-
Odisha-Govt Quota,UR-GC,Odisha,"VIMSAR, Burla",ANAESTHESIOLOGY,"₹38,500*","₹70,686",2*,"₹53,30,000*",1071,-,-,-,-,-,233(1),233(1),275(1),344(1),-,-
Odisha-Govt Quota,UR-ExS,Odisha,"VIMSAR, Burla",GENERAL SURGERY,"₹38,500*","₹70,686",2*,"₹53,30,000*",1071,-,-,-,-,-,618(1),-,349(1),351(1),-,-
Odisha-Govt Quota,UR,Odisha,"VIMSAR, Burla",OPHTHALMOLOGY,"₹38,500*","₹70,686",2*,"₹53,30,000*",1071,247(1),247(1),213(1),388(1),-,189(1),-,212(1),355(1),-,-
Odisha-Govt Quota,UR,Odisha,"PGIMER&CapitalHosp,Bhubaneswar",ANAESTHESIOLOGY,"₹38,500*","₹70,686",2*,"₹53,30,000*",760,-,-,-,-,-,157(1),157(1),210(1),362(1),-,-
Odisha-Govt Quota,UR,Odisha,"Hi-Tech, Bhubaneswar",TBRD,"₹7,15,000*","₹30,000*",0,₹0,767,-,-,-,-,-,272(1),272(1),291(1),369(1),-,-
Odisha-Govt Quota,UR,Odisha,"SCB, Cuttack",ANAESTHESIOLOGY,"₹38,500*","₹70,686",2*,"₹53,30,000*",2106,160(4),191(4),291(4),399(5),-,123(3),123(1),138(2),382(3),-,-
Odisha-Govt Quota,ST,Odisha,"SCB, Cuttack",GENERAL MEDICINE,"₹38,500*","₹70,686",2*,"₹53,30,000*",2106,67(1),534(1),616(1),601(1),-,363(1),392(1),-,394(1),-,-
Odisha-Govt Quota,UR-ExS,Odisha,"SCB, Cuttack",PSYCHIATRY,"₹38,500*","₹70,686",2*,"₹53,30,000*",2106,-,-,-,-,-,356(1),356(1),356(1),396(1),-,-
Odisha-Govt Quota,UR,Odisha,"MKCG, Berhampur",ANAESTHESIOLOGY,"₹38,500*","₹70,686",2*,"₹53,30,000*",1140,261(2),261(1),338(2),409(2),-,199(2),199(1),217(1),412(2),-,-
Odisha-Mgmt Quota,UR,Odisha,"Hi-Tech, Bhubaneswar",RADIO DIAGNOSIS,"₹25,00,000*","₹30,000*",0,₹0,767,422(1),-,-,422(1),-,299(1),299(1),424(1),426(1),-,-
Odisha-Govt Quota,UR,Odisha,"Hi-Tech, Bhubaneswar",GENERAL SURGERY,"₹7,15,000*","₹30,000*",0,₹0,767,367(1),369(1),332(1),512(2),-,257(2),257(2),318(2),429(2),-,-
Odisha-Mgmt Quota,UR,Odisha,"Hi-Tech, Bhubaneswar",GENERAL MEDICINE,"₹25,00,000*","₹30,000*",0,₹0,767,336(2),336(2),501(2),501(2),-,331(2),229(1),428(1),430(2),-,-
Odisha-Govt Quota,ST,Odisha,"SCB, Cuttack",PAEDIATRICS,"₹38,500*","₹70,686",2*,"₹53,30,000*",2106,534(1),557(1),-,557(1),-,392(1),-,432(1),434(1),-,-
Odisha-Govt Quota,UR,Odisha,"VIMSAR, Burla",ANAESTHESIOLOGY,"₹38,500*","₹70,686",2*,"₹53,30,000*",1071,232(1),-,344(1),417(1),-,212(2),-,-,445(2),-,-
Odisha-Govt Quota,UR,Odisha,"Hi-Tech, Bhubaneswar",OPHTHALMOLOGY,"₹7,15,000*","₹30,000*",0,₹0,767,369(1),407(1),-,407(1),-,339(1),-,-,458(1),-,-
Odisha-Mgmt Quota,UR,Odisha,"Hi-Tech Med Coll, Rourkela",OBG,"₹25,00,000*",Info not available*,0,₹0,420,-,-,-,-,-,457(1),457(1),457(1),459(1),-,-
Odisha-Govt Quota,UR,Odisha,"Hi-Tech Med Coll, Rourkela",ORTHOPAEDICS,"₹7,15,000*",Info not available*,0,₹0,420,-,-,-,-,-,251(1),251(1),261(1),493(1),-,-
Odisha-Govt Quota,ST,Odisha,"SCB, Cuttack",OPHTHALMOLOGY,"₹38,500*","₹70,686",2*,"₹53,30,000*",2106,-,-,-,-,-,494(1),-,-,497(1),-,-
Odisha-Govt Quota,UR,Odisha,"MKCG, Berhampur",PATHOLOGY,"₹38,500*","₹88,686*",2*,"₹66,30,000*",1140,481(2),465(1),482(1),602(2),-,429(2),403(1),497(1),501(2),-,-
Odisha-Govt Quota,ST,Odisha,"MKCG, Berhampur",GENERAL MEDICINE,"₹38,500*","₹70,686",2*,"₹53,30,000*",1140,-,-,-,-,-,432(1),-,-,508(1),-,-
Odisha-Govt Quota,SC,Odisha,"MKCG, Berhampur",GENERAL SURGERY,"₹38,500*","₹70,686",2*,"₹53,30,000*",1140,495(1),495(1),553(1),596(1),-,436(1),436(1),511(1),514(1),-,-
Odisha-Govt Quota,ST,Odisha,"VIMSAR, Burla",OPHTHALMOLOGY,"₹38,500*","₹70,686",2*,"₹53,30,000*",1071,-,-,-,-,-,525(1),-,-,528(1),-,-
Odisha-Govt Quota,SC,Odisha,"SCB, Cuttack",PAEDIATRICS,"₹38,500*","₹70,686",2*,"₹53,30,000*",2106,-,-,-,-,-,306(1),-,413(1),532(1),-,-
Odisha-Govt Quota,SC,Odisha,"SCB, Cuttack",ANAESTHESIOLOGY,"₹38,500*","₹70,686",2*,"₹53,30,000*",2106,-,-,-,-,-,454(1),454(1),532(1),535(1),-,-
Odisha-Govt Quota,SC,Odisha,"VIMSAR, Burla",OBG,"₹38,500*","₹70,686",2*,"₹53,30,000*",1071,-,-,-,-,-,413(1),413(1),492(1),562(1),-,-
Odisha-Mgmt Quota,UR,Odisha,"Hi-Tech, Bhubaneswar",PAEDIATRICS,"₹25,00,000*","₹30,000*",0,₹0,767,502(1),502(1),595(1),595(1),-,428(2),428(2),562(2),565(2),-,-
Odisha-Govt Quota,EWS,Odisha,"SCB, Cuttack",SPM,"₹38,500*","₹88,686*",2*,"₹66,30,000*",2106,-,-,-,-,-,681(1),681(1),479(1),576(1),-,-
Odisha-Govt Quota,SC,Odisha,"VIMSAR, Burla",GENERAL SURGERY,"₹38,500*","₹70,686",2*,"₹53,30,000*",1071,-,-,-,-,-,511(1),-,-,579(1),-,-
Odisha-Mgmt Quota,UR,Odisha,"Hi-Tech, Bhubaneswar",ENT,"₹25,00,000*","₹30,000*",0,₹0,767,-,-,-,-,-,522(1),522(1),588(1),591(1),-,-
Odisha-Mgmt Quota,UR,Odisha,"Hi-Tech, Bhubaneswar",TBRD,"₹25,00,000*","₹30,000*",0,₹0,767,608(1),-,-,609(1),-,541(1),541(1),592(1),595(1),-,-
Odisha-Mgmt Quota,UR,Odisha,"Hi-Tech, Bhubaneswar",OBG,"₹25,00,000*","₹30,000*",0,₹0,767,645(2),645(2),561(2),695(2),-,426(2),426(2),523(2),599(2),-,-
Odisha-Govt Quota,UR,Odisha,"Acharya Harihar Cancer,Cuttack",PATHOLOGY,"₹38,500*","₹88,686*",2*,"₹66,30,000*",-,-,-,-,-,-,337(1),337(1),383(1),602(1),-,-
Odisha-Govt Quota,UR,Odisha,"Hi-Tech, Bhubaneswar",ANAESTHESIOLOGY,"₹7,15,000*","₹30,000*",0,₹0,767,377(1),377(1),459(1),459(1),-,381(1),381(1),381(1),608(1),-,-
Odisha-Govt Quota,UR,Odisha,"VIMSAR, Burla",PHARMACOLOGY,"₹38,500*","₹88,686*",2*,"₹66,30,000*",1071,673(1),673(1),713(1),929(1),975(1),693(1),693(1),617(1),620(1),-,-
Odisha-Govt Quota,ST,Odisha,"SCB, Cuttack",ORTHOPAEDICS,"₹38,500*","₹70,686",2*,"₹53,30,000*",2106,-,-,-,-,-,579(1),579(1),631(1),634(1),-,-
Odisha-Govt Quota,UR,Odisha,"MKCG, Berhampur",SPM,"₹38,500*","₹88,686*",2*,"₹66,30,000*",1140,474(2),474(2),587(2),668(2),-,498(2),441(1),501(1),644(2),-,-
Odisha-Govt Quota,EWS,Odisha,"VIMSAR, Burla",PATHOLOGY,"₹38,500*","₹88,686*",2*,"₹66,30,000*",1071,-,-,-,-,-,-,-,-,650(1),-,-
Odisha-Mgmt Quota,UR,Odisha,"Hi-Tech, Bhubaneswar",ORTHOPAEDICS,"₹25,00,000*","₹30,000*",0,₹0,767,633(2),591(1),511(1),646(2),-,398(2),398(2),499(2),658(2),-,-
Odisha-Mgmt Quota,UR,Odisha,"Hi-Tech, Bhubaneswar",GENERAL SURGERY,"₹25,00,000*","₹30,000*",0,₹0,767,684(3),684(2),695(2),699(3),-,499(2),499(2),612(2),659(2),-,-
Odisha-Govt Quota,UR,Odisha,"SCB, Cuttack",IHBT,"₹38,500*","₹70,686",2*,"₹53,30,000*",2106,272(1),272(1),401(1),606(1),-,265(1),-,-,664(1),-,-
Odisha-Govt Quota,UR,Odisha,"SCB, Cuttack",PHARMACOLOGY,"₹38,500*","₹88,686*",2*,"₹66,30,000*",2106,605(2),530(1),636(1),866(2),-,662(1),-,-,665(1),-,-
Odisha-Govt Quota,UR,Odisha,"VIMSAR, Burla",SPM,"₹38,500*","₹88,686*",2*,"₹66,30,000*",1071,-,-,-,-,-,482(1),482(1),436(1),684(1),-,-
Odisha-Govt Quota,ST,Odisha,"SCB, Cuttack",TBRD,"₹38,500*","₹70,686",2*,"₹53,30,000*",2106,-,-,-,-,-,533(1),-,-,685(1),-,-
Odisha-Govt Quota,UR-PH,Odisha,"MKCG, Berhampur",SPM,"₹38,500*","₹88,686*",2*,"₹66,30,000*",1140,-,-,-,-,-,-,-,-,693(1),-,-
Odisha-Govt Quota,SC,Odisha,"VIMSAR, Burla",SPM,"₹38,500*","₹88,686*",2*,"₹66,30,000*",1071,-,-,-,-,-,560(1),560(1),689(1),695(1),-,-
Odisha-Govt Quota,ST,Odisha,"MKCG, Berhampur",OBG,"₹38,500*","₹70,686",2*,"₹53,30,000*",1140,-,-,-,-,-,512(1),-,-,698(1),-,-
Odisha-Mgmt Quota,UR,Odisha,"Hi-Tech, Bhubaneswar",OPHTHALMOLOGY,"₹25,00,000*","₹30,000*",0,₹0,767,689(1),689(1),737(1),669(1),-,558(1),558(1),656(1),716(1),-,-
Odisha-Govt Quota,UR-ExS,Odisha,"Hi-Tech, Bhubaneswar",ANAESTHESIOLOGY,"₹7,15,000*","₹30,000*",0,₹0,767,-,-,-,-,-,515(1),515(1),614(1),718(1),-,-
Odisha-Govt Quota,ST,Odisha,"VIMSAR, Burla",PAEDIATRICS,"₹38,500*","₹70,686",2*,"₹53,30,000*",1071,-,-,-,-,-,505(1),-,-,724(1),-,-
Odisha-Govt Quota,EWS,Odisha,"SCB, Cuttack",MICROBIOLOGY,"₹38,500*","₹88,686*",2*,"₹66,30,000*",2106,-,-,-,-,-,-,-,-,740(1),-,-
Odisha-Govt Quota,ST,Odisha,"Hi-Tech, Bhubaneswar",OBG,"₹7,15,000*","₹30,000*",0,₹0,767,-,-,-,-,-,695(1),695(1),745(1),748(1),-,-
Odisha-Govt Quota,ST,Odisha,"SCB, Cuttack",ANAESTHESIOLOGY,"₹38,500*","₹70,686",2*,"₹53,30,000*",2106,-,-,-,-,-,537(1),537(1),699(1),759(1),-,-
Odisha-Govt Quota,ST,Odisha,"PGIMER&CapitalHosp,Bhubaneswar",GENERAL SURGERY,"₹38,500*","₹70,686",2*,"₹53,30,000*",760,-,-,-,-,-,631(1),-,-,760(1),-,-
Odisha-Govt Quota,ST,Odisha,"MKCG, Berhampur",ENT,"₹38,500*","₹70,686",2*,"₹53,30,000*",1140,-,-,-,-,-,650(1),650(1),695(1),777(1),-,-
Odisha-Govt Quota,ST,Odisha,"SCB, Cuttack",RADIATION ONCOLOGY,"₹38,500*","₹70,686",2*,"₹53,30,000*",2106,-,-,-,-,-,601(1),601(1),579(1),791(1),-,-
Odisha-Mgmt Quota,UR,Odisha,"Hi-Tech, Bhubaneswar",ANAESTHESIOLOGY,"₹25,00,000*","₹30,000*",0,₹0,767,735(2),735(2),757(2),768(2),-,619(1),619(1),589(1),792(1),-,-
Odisha-Govt Quota,UR-ExS,Odisha,"MKCG, Berhampur",OPHTHALMOLOGY,"₹38,500*","₹70,686",2*,"₹53,30,000*",1140,-,-,-,-,-,793(1),-,-,798(1),-,-
Odisha-Govt Quota,ST,Odisha,"VIMSAR, Burla",PHARMACOLOGY,"₹38,500*","₹88,686*",2*,"₹66,30,000*",1071,-,-,-,-,-,815(1),815(1),804(1),812(1),-,-
Odisha-Govt Quota,UR,Odisha,"Hi-Tech, Bhubaneswar",PATHOLOGY,"₹7,15,000*","₹16,000*",0,₹0,767,563(2),547(1),642(1),807(2),-,460(1),-,605(1),818(1),-,-
Odisha-Govt Quota,UR,Odisha,"SCB, Cuttack",BIOCHEMISTRY,"₹38,500*","₹88,686*",2*,"₹66,30,000*",2106,-,-,-,-,-,668(1),-,690(1),836(1),943(1),-
Odisha-Govt Quota,UR-PH,Odisha,"VIMSAR, Burla",MICROBIOLOGY,"₹38,500*","₹88,686*",2*,"₹66,30,000*",1071,-,-,-,-,-,-,-,-,843(1),-,-
Odisha-Mgmt Quota,UR,Odisha,"Hi-Tech Med Coll, Rourkela",OPHTHALMOLOGY,"₹25,00,000*",Info not available*,0,₹0,420,-,-,-,-,-,656(1),-,-,848(1),-,-
Odisha-Govt Quota,SC,Odisha,"SCB, Cuttack",PATHOLOGY,"₹38,500*","₹88,686*",2*,"₹66,30,000*",2106,-,-,-,-,-,625(1),625(1),560(1),857(1),-,-
Odisha-Mgmt Quota,UR,Odisha,"Hi-Tech, Bhubaneswar",PATHOLOGY,"₹10,00,000*","₹16,000*",0,₹0,767,792(2),757(1),-,873(2),-,787(2),710(1),-,858(2),-,-
Odisha-Govt Quota,UR,Odisha,"MKCG, Berhampur",MICROBIOLOGY,"₹38,500*","₹88,686*",2*,"₹66,30,000*",1140,-,-,-,-,-,608(2),608(2),516(2),863(2),-,-
Odisha-Govt Quota,SC,Odisha,"Hi-Tech, Bhubaneswar",GENERAL MEDICINE,"₹7,15,000*","₹30,000*",0,₹0,767,-,-,-,-,-,473(1),-,-,867(1),-,-
Odisha-Govt Quota,UR-PH,Odisha,"PGIMER&CapitalHosp,Bhubaneswar",TBRD,"₹38,500*","₹70,686",2*,"₹53,30,000*",760,-,-,-,-,-,860(1),-,-,879(1),-,-
Odisha-Govt Quota,UR-PH,Odisha,"SCB, Cuttack",GENERAL MEDICINE,"₹38,500*","₹70,686",2*,"₹53,30,000*",2106,-,-,-,-,-,702(1),863(1),-,882(1),-,-
Odisha-Govt Quota,UR,Odisha,"SCB, Cuttack",FORENSIC MEDICINE,"₹38,500*","₹88,686*",2*,"₹66,30,000*",2106,-,-,-,906(1),-,565(1),565(1),687(1),890(1),-,953(1)
Odisha-Govt Quota,UR,Odisha,"Hi-Tech, Bhubaneswar",SPM,"₹7,15,000*","₹16,000*",0,₹0,767,686(2),686(2),767(1),885(2),-,687(2),687(2),740(2),899(2),-,-
Odisha-Govt Quota,ST,Odisha,"Hi-Tech Med Coll, Rourkela",PATHOLOGY,"₹7,15,000*",Info not available*,0,₹0,420,-,-,-,-,-,832(1),832(1),-,900(1),-,-
Odisha-Mgmt Quota,UR,Odisha,"Hi-Tech Med Coll, Rourkela",PATHOLOGY,"₹10,00,000*",Info not available*,0,₹0,420,-,-,-,-,-,811(1),811(1),-,901(1),-,-
Odisha-Govt Quota,UR,Odisha,"Hi-Tech Med Coll, Rourkela",MICROBIOLOGY,"₹7,15,000*",Info not available*,0,₹0,420,721(1),721(1),-,932(1),-,716(1),716(1),837(1),905(1),-,-
