Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 3.5,CR 2024 4,CR 2024 5
TN Govt Quota,OC Open,Tamil Nadu,"Stanley Med Coll, Chennai",GENERAL MEDICINE,"₹50,000*","₹52,451*",2*,"₹40,00,000*",1661,83(2),100(2),115(2),338(1),-,60(2),62(2),130(2),-,-,-
TN Govt Quota,OC Serv,Tamil Nadu,"Kilpauk Med Coll, Chennai",RADIO DIAGNOSIS,"₹50,000*","₹52,451*",2*,"₹40,00,000*",1700,223(1),223(1),223(1),-,-,119(1),135(1),135(1),-,-,-
TN Govt Quota,MBC Serv,Tamil Nadu,Thanjavur Med Coll,RADIO DIAGNOSIS,"₹50,000*","₹52,451*",2*,"₹40,00,000*",1466,300(1),300(1),300(1),-,-,144(1),144(1),144(1),-,-,-
TN Govt Quota,OC Open,Tamil Nadu,"Madras Med Coll, Chennai",DERMATOLOGY,"₹50,000*","₹52,451*",2*,"₹40,00,000*",7285,132(2),132(2),132(2),-,-,101(2),147(2),147(2),-,-,-
TN Govt Quota,BC Open,Tamil Nadu,"Stanley Med Coll, Chennai",GENERAL MEDICINE,"₹50,000*","₹52,451*",2*,"₹40,00,000*",1661,106(2),119(2),189(2),447(1),-,65(2),149(2),150(2),-,-,-
TN Govt Quota,OC Open,Tamil Nadu,"Mohan Kumaramangalam, Salem",GENERAL MEDICINE,"₹50,000*","₹52,451*",2*,"₹40,00,000*",1642,199(1),262(1),262(1),-,-,153(1),153(1),153(1),-,-,-
TN Govt Quota,OC Open,Tamil Nadu,"Kilpauk Med Coll, Chennai",GENERAL MEDICINE,"₹50,000*","₹52,451*",2*,"₹40,00,000*",1700,131(2),184(2),131(2),-,-,123(2),163(2),163(2),-,-,-
TN Govt Quota,OC Open,Tamil Nadu,Coimbatore Med Coll,GENERAL MEDICINE,"₹50,000*","₹52,451*",2*,"₹40,00,000*",1182,189(1),257(1),285(1),1493(1),-,140(1),146(1),178(1),-,-,-
TN Govt Quota,MBC Open,Tamil Nadu,"Kilpauk Med Coll, Chennai",GENERAL MEDICINE,"₹50,000*","₹52,451*",2*,"₹40,00,000*",1700,227(1),227(1),222(1),-,-,131(1),179(1),179(1),-,-,-
TN Govt Quota,BC Open,Tamil Nadu,"CMC, Vellore",TBRD,"₹65,470*","₹51,000",2,"₹40,00,000",2879,-,-,-,-,-,180(1),180(1),180(1),-,-,-
TN Govt Quota,OC Open,Tamil Nadu,Thanjavur Med Coll,GENERAL MEDICINE,"₹50,000*","₹52,451*",2*,"₹40,00,000*",1466,-,-,-,-,-,139(1),184(1),184(1),-,-,-
TN Govt Quota,BC Open,Tamil Nadu,"PSG IMS, Coimbatore",RADIO DIAGNOSIS,"₹3,50,000*","₹25,000*",0,₹0,1130,16(1),16(1),16(1),-,-,80(1),188(1),188(1),-,-,-
TN Govt Quota,BC Open,Tamil Nadu,Tirunelveli Med Coll,RADIO DIAGNOSIS,"₹50,000*","₹52,451*",2*,"₹40,00,000*",1737,76(1),76(1),40(1),1036(1),-,92(1),92(1),189(1),-,-,-
TN Govt Quota,BCM Open,Tamil Nadu,"Stanley Med Coll, Chennai",RADIO DIAGNOSIS,"₹50,000*","₹52,451*",2*,"₹40,00,000*",1661,-,-,-,-,-,190(1),190(1),190(1),-,-,-
TN Govt Quota,OC Open,Tamil Nadu,"Govt Med Coll, Omandurar",GENERAL MEDICINE,"₹50,000*","₹52,451*",2*,"₹40,00,000*",Info Not Available,210(1),308(1),308(1),870(1),-,193(1),193(1),193(1),-,-,-
TN Govt Quota,OC Open,Tamil Nadu,"CMC, Vellore",PAEDIATRICS,"₹65,470*","₹51,000",2,"₹40,00,000",2879,87(1),120(1),120(1),-,-,195(1),195(1),195(1),-,-,-
TN Govt Quota,OC Open,Tamil Nadu,Chengalpattu Med Coll,GENERAL MEDICINE,"₹50,000*","₹52,451*",2*,"₹40,00,000*",700,221(1),282(1),372(1),-,-,171(1),199(1),199(1),-,-,-
TN Govt Quota,BC Open,Tamil Nadu,"Madurai Med Coll, Madurai",GENERAL MEDICINE,"₹50,000*","₹52,451*",2*,"₹40,00,000*",3518,141(1),141(1),196(1),-,-,98(1),150(1),206(1),-,-,-
TN Govt Quota,BC Serv,Tamil Nadu,"Madurai Med Coll, Madurai",RADIO DIAGNOSIS,"₹50,000*","₹52,451*",2*,"₹40,00,000*",3518,-,-,-,-,-,207(1),207(1),207(1),-,-,-
TN Govt Quota,OC Open,Tamil Nadu,Tirunelveli Med Coll,GENERAL MEDICINE,"₹50,000*","₹52,451*",2*,"₹40,00,000*",1737,193(2),197(2),224(2),-,-,127(2),185(2),208(2),-,-,-
TN Govt Quota,MBC Open,Tamil Nadu,"Madras Med Coll, Chennai",DERMATOLOGY,"₹50,000*","₹52,451*",2*,"₹40,00,000*",7285,176(2),244(2),244(2),-,-,128(1),218(1),218(1),-,-,-
TN Govt Quota,BC Open,Tamil Nadu,"Kilpauk Med Coll, Chennai",GENERAL MEDICINE,"₹50,000*","₹52,451*",2*,"₹40,00,000*",1700,184(2),283(2),283(2),611(1),-,151(2),223(2),223(2),-,-,-
TN Govt Quota,OC Open,Tamil Nadu,"Madras Med Coll, Chennai",PAEDIATRICS,"₹50,000*","₹52,451*",2*,"₹40,00,000*",7285,187(4),217(4),217(4),-,-,161(4),210(4),224(4),-,-,-
TN Govt Quota,OC Open,Tamil Nadu,"CMC, Vellore",GENERAL SURGERY,"₹65,470*","₹51,000",2,"₹40,00,000",2879,566(1),566(1),566(1),-,-,116(1),226(1),226(1),-,-,-
TN Govt Quota,OC Open,Tamil Nadu,Tirunelveli Med Coll,DERMATOLOGY,"₹50,000*","₹52,451*",2*,"₹40,00,000*",1737,253(1),347(1),350(1),-,-,212(1),228(1),228(1),-,-,-
TN Govt Quota,OC Serv,Tamil Nadu,Tirunelveli Med Coll,RADIO DIAGNOSIS,"₹50,000*","₹52,451*",2*,"₹40,00,000*",1737,163(1),163(1),163(1),-,-,232(1),232(1),232(1),-,-,-
TN Govt Quota,OC Open,Tamil Nadu,"Stanley Med Coll, Chennai",PAEDIATRICS,"₹50,000*","₹52,451*",2*,"₹40,00,000*",1661,203(1),481(1),469(1),-,-,210(1),233(1),233(1),-,-,-
TN Govt Quota,MBC Open,Tamil Nadu,"Stanley Med Coll, Chennai",GENERAL MEDICINE,"₹50,000*","₹52,451*",2*,"₹40,00,000*",1661,165(2),165(2),165(2),-,-,70(2),131(2),239(2),-,-,-
TN Govt Quota,BC Open,Tamil Nadu,"Madras Med Coll, Chennai",DERMATOLOGY,"₹50,000*","₹52,451*",2*,"₹40,00,000*",7285,280(2),220(2),219(2),-,-,109(1),240(1),240(1),-,-,-
TN Govt Quota,BC Open,Tamil Nadu,"Stanley Med Coll, Chennai",DERMATOLOGY,"₹50,000*","₹52,451*",2*,"₹40,00,000*",1661,-,-,-,-,-,118(1),242(1),242(1),-,-,-
TN Govt Quota,OC Open,Tamil Nadu,"Stanley Med Coll, Chennai",GENERAL SURGERY,"₹50,000*","₹52,451*",2*,"₹40,00,000*",1661,472(3),676(3),676(3),-,-,85(3),244(3),244(3),-,-,-
TN Govt Quota,BC Open,Tamil Nadu,"Mohan Kumaramangalam, Salem",GENERAL MEDICINE,"₹50,000*","₹52,451*",2*,"₹40,00,000*",1642,205(1),263(1),320(1),-,-,-,234(1),245(1),-,-,-
TN Govt Quota,MBC Open,Tamil Nadu,"Madurai Med Coll, Madurai",GENERAL MEDICINE,"₹50,000*","₹52,451*",2*,"₹40,00,000*",3518,149(1),149(1),149(1),-,-,111(1),168(1),249(1),-,-,-
