Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 3.5,CR 2024 4,CR 2024 5
TN Govt Quota,SC Open,Tamil Nadu,"Madras Med Coll, Chennai",GENERAL SURGERY,"₹50,000*","₹52,451*",2*,"₹40,00,000*",7285,2398(2),2398(2),2398(2),-,-,2241(2),2241(2),2244(2),-,-,-
TN Govt Quota,OC Open,Tamil Nadu,Chengalpattu Med Coll,PSYCHIATRY,"₹50,000*","₹52,451*",2*,"₹40,00,000*",700,1490(1),2296(1),2296(1),-,-,1205(1),1661(1),2245(1),-,-,-
TN Govt Quota,BC Open,Tamil Nadu,"Mookambika IMS, Kanyakumari",OBG,"₹3,50,000*","₹15,000*",0,₹0,600,2139(1),2720(1),2720(1),-,-,1743(1),2250(1),2253(1),-,-,-
TN Govt Quota,MBC Serv,Tamil Nadu,"Madras Med Coll, Chennai",GENERAL MEDICINE,"₹50,000*","₹52,451*",2*,"₹40,00,000*",7285,1105(2),1376(2),1376(2),-,-,940(2),940(2),2258(2),-,-,-
TN Govt Quota,BC Open,Tamil Nadu,"ESI PGIMSR, KK Nagar, Chennai",PATHOLOGY,"₹2,50,000*","₹1,11,780*",2*,"₹10,00,000*",470,-,-,-,-,-,2118(1),2256(1),2259(1),-,-,-
TN Govt Quota,OC Open,Tamil Nadu,"Kilpauk Med Coll, Chennai",ANAESTHESIOLOGY,"₹50,000*","₹52,451*",2*,"₹40,00,000*",1700,943(2),1965(2),1965(2),-,-,969(2),1200(2),2264(2),-,-,-
TN Govt Quota,MBC Open,Tamil Nadu,"CMC, Vellore",ORTHOPAEDICS,"₹65,470*","₹51,000",2,"₹40,00,000",2879,1327(1),2191(1),2191(1),-,-,1292(1),1292(1),2265(1),-,-,-
TN Govt Quota,OC Open,Tamil Nadu,"KarpagaVinayaga,Maduranthagam",GENERAL SURGERY,"₹3,50,000*","₹10,000*",0,₹0,550,-,-,-,-,-,1585(1),1801(1),2270(1),-,-,-
TN Govt Quota,SC Open,Tamil Nadu,"Madurai Med Coll, Madurai",OBG,"₹50,000*","₹52,451*",2*,"₹40,00,000*",3518,1709(1),1709(1),1709(1),-,-,1977(1),1977(1),2274(1),-,-,-
TN Govt Quota,BC Serv,Tamil Nadu,"Madras Med Coll, Chennai",PAEDIATRICS,"₹50,000*","₹52,451*",2*,"₹40,00,000*",7285,639(4),639(4),1125(4),-,-,2272(4),2272(4),2276(4),-,-,-
TN Govt Quota,OC Serv,Tamil Nadu,"Madurai Med Coll, Madurai",ORTHOPAEDICS,"₹50,000*","₹52,451*",2*,"₹40,00,000*",3518,1451(1),1451(1),1451(1),-,-,2273(1),2273(1),2277(1),-,-,-
TN Govt Quota,MBC Open,Tamil Nadu,"Mohan Kumaramangalam, Salem",ORTHOPAEDICS,"₹50,000*","₹52,451*",2*,"₹40,00,000*",1642,1201(1),1493(1),1604(1),2429(1),-,963(1),1160(1),2287(1),-,-,-
TN Govt Quota,SC Open,Tamil Nadu,Thanjavur Med Coll,OBG,"₹50,000*","₹52,451*",2*,"₹40,00,000*",1466,2349(1),2381(1),2381(1),-,-,2036(1),2590(1),2288(1),-,-,-
TN Govt Quota,OC Serv,Tamil Nadu,"Stanley Med Coll, Chennai",PAEDIATRICS,"₹50,000*","₹52,451*",2*,"₹40,00,000*",1661,719(2),1106(2),1160(2),-,-,2489(2),2288(2),2292(2),-,-,-
TN Govt Quota,SC Open,Tamil Nadu,"Stanley Med Coll, Chennai",GENERAL SURGERY,"₹50,000*","₹52,451*",2*,"₹40,00,000*",1661,958(1),958(1),958(1),-,-,1489(1),1489(1),2293(1),-,-,-
TN Govt Quota,BC Open,Tamil Nadu,Melmaruvathur Adiparasakthi,ORTHOPAEDICS,"₹3,50,000*","₹35,000*",0,₹0,700,-,-,-,-,-,1275(1),1995(1),2296(1),-,-,-
TN Govt Quota,OC Open,Tamil Nadu,Chengalpattu Med Coll,ANAESTHESIOLOGY,"₹50,000*","₹52,451*",2*,"₹40,00,000*",700,1359(1),2054(1),2054(1),-,-,1067(1),1457(1),2308(1),-,-,-
TN-CMC Minority 20,CMC 20% Minority,Tamil Nadu,"CMC, Vellore",IHBT,"₹65,470*","₹51,000",2,"₹40,00,000",2879,3570(1),4599(1),4599(1),-,-,2308(1),2308(1),2312(1),-,-,-
TN Govt Quota,MBC Open,Tamil Nadu,"ESI PGIMSR, KK Nagar, Chennai",EMERGENCY MEDICINE,"₹2,50,000*","₹1,11,780*",2*,"₹10,00,000*",470,-,-,-,-,-,1283(1),1784(1),2316(1),-,-,-
TN Govt Quota,OC Serv,Tamil Nadu,"Madras Med Coll, Chennai",ORTHOPAEDICS,"₹50,000*","₹52,451*",2*,"₹40,00,000*",7285,786(1),1377(1),2767(1),-,-,1144(1),1144(1),2322(1),-,-,-
TN Govt Quota,MBC Open,Tamil Nadu,"Velammal Med Col, Madurai",OBG,"₹3,50,000*","₹37,000*",0,₹0,1024,1676(1),1676(1),1676(1),-,-,987(1),1251(1),2325(1),-,-,-
TN Govt Quota,MBC Open,Tamil Nadu,Govt Thoothukudi Med Coll,EMERGENCY MEDICINE,"₹50,000*","₹52,451*",2*,"₹40,00,000*",1212,-,2085(1),2085(1),-,-,1350(1),1472(1),2328(1),-,-,-
TN Govt Quota,BC Open,Tamil Nadu,"Dhanalakshmi Srin, Perambalur",PAEDIATRICS,"₹3,50,000*","₹35,000*",0,₹0,800,-,-,-,-,-,-,-,2329(1),-,-,-
TN Govt Quota,MBC Open,Tamil Nadu,Govt Sivagangai Med Coll,EMERGENCY MEDICINE,"₹50,000*","₹52,451*",2*,"₹40,00,000*",Info Not Available,1230(1),2131(1),2249(1),-,-,1386(1),1492(1),2335(1),-,-,-
TN Govt Quota,OC Serv,Tamil Nadu,"Mohan Kumaramangalam, Salem",GENERAL MEDICINE,"₹50,000*","₹52,451*",2*,"₹40,00,000*",1642,421(1),467(1),467(1),-,-,511(1),2336(1),2340(1),-,-,-
TN Govt Quota,BCM Open,Tamil Nadu,"Trichy SRM Med Coll, Trichy",GENERAL MEDICINE,"₹3,50,000*","₹35,000*",0,₹0,1575,-,-,-,-,-,2082(1),2082(1),2343(1),-,-,-
TN Govt Quota,BC Open,Tamil Nadu,"Madurai Med Coll, Madurai",OPHTHALMOLOGY,"₹50,000*","₹52,451*",2*,"₹40,00,000*",3518,1576(2),2190(2),2387(2),-,-,1111(2),1456(2),2344(2),-,-,-
TN Govt Quota,OC Serv,Tamil Nadu,"CMC, Vellore",TBRD,"₹65,470*","₹51,000",2,"₹40,00,000",2879,-,-,-,-,-,1735(1),1735(1),2345(1),-,-,-
TN Govt Quota,BCM Open,Tamil Nadu,"PSG IMS, Coimbatore",PSYCHIATRY,"₹3,50,000*","₹25,000*",0,₹0,1130,-,-,-,-,-,-,-,2348(1),-,-,-
TN Govt Quota,BC Open,Tamil Nadu,"Madras Med Coll, Chennai",ENT,"₹50,000*","₹52,451*",2*,"₹40,00,000*",7285,1274(2),1907(2),1907(2),-,-,887(2),1423(2),2359(2),-,-,-
TN Govt Quota,BC Serv,Tamil Nadu,"Mohan Kumaramangalam, Salem",GENERAL MEDICINE,"₹50,000*","₹52,451*",2*,"₹40,00,000*",1642,1124(1),578(1),578(1),-,-,2336(1),2359(1),2364(1),-,-,-
TN Govt Quota,OC Serv,Tamil Nadu,"Kilpauk Med Coll, Chennai",PAEDIATRICS,"₹50,000*","₹52,451*",2*,"₹40,00,000*",1700,981(1),1225(1),1225(1),-,-,2733(1),2360(1),2365(1),-,-,-
TN Govt Quota,OC Open,Tamil Nadu,Govt Vellore Med Coll,ANAESTHESIOLOGY,"₹50,000*","₹52,451*",2*,"₹40,00,000*",2858,1415(1),2198(1),2198(1),-,-,1149(1),1402(1),2367(1),-,-,-
TN Govt Quota,BC Open,Tamil Nadu,"Madurai Med Coll, Madurai",ENT,"₹50,000*","₹52,451*",2*,"₹40,00,000*",3518,1271(1),1271(1),1271(1),-,-,818(1),1501(1),2373(1),-,-,-
TN Govt Quota,SC Open,Tamil Nadu,"KAPV Med Coll, Trichy",GENERAL MEDICINE,"₹50,000*","₹52,451*",2*,"₹40,00,000*",2500,1439(1),1439(1),1439(1),-,-,1427(1),1769(1),2374(1),-,-,-
TN Govt Quota,MBC Open,Tamil Nadu,Govt Thiruvarur Med Coll,ORTHOPAEDICS,"₹50,000*","₹52,451*",2*,"₹40,00,000*",555,1380(1),1820(1),2035(1),-,-,1160(1),1381(1),2376(1),-,-,-
TN Govt Quota,MBC Serv,Tamil Nadu,"Mohan Kumaramangalam, Salem",GENERAL MEDICINE,"₹50,000*","₹52,451*",2*,"₹40,00,000*",1642,467(1),1644(1),1644(1),-,-,2373(1),2373(1),2378(1),-,-,-
TN Govt Quota,BC Open,Tamil Nadu,"PSG IMS, Coimbatore",OPHTHALMOLOGY,"₹3,50,000*","₹25,000*",0,₹0,1130,-,-,-,-,-,1502(1),1597(1),2381(1),-,-,-
TN Govt Quota,BCM Open,Tamil Nadu,"Rajah Muthiah, Annamalainagar",GENERAL SURGERY,"₹50,000*","₹52,451*",2*,"₹40,00,000*",1400,1613(1),1865(1),1865(1),-,-,1013(1),1327(1),2382(1),-,-,-
TN Govt Quota,BCM Open,Tamil Nadu,Chengalpattu Med Coll,ANAESTHESIOLOGY,"₹50,000*","₹52,451*",2*,"₹40,00,000*",700,1361(1),2588(1),2588(1),-,-,1615(1),1615(1),2395(1),-,-,-
TN Govt Quota,BC Serv,Tamil Nadu,"Mohan Kumaramangalam, Salem",BIOCHEMISTRY,"₹50,000*","₹52,451*",2*,"₹40,00,000*",1642,5110(1),5354(1),5354(1),-,-,2398(1),2398(1),2404(1),-,-,-
TN Govt Quota,OC Serv,Tamil Nadu,Govt Villupuram Med Coll,OBG,"₹50,000*","₹52,451*",2*,"₹40,00,000*",670,2125(1),2125(1),2125(1),-,-,2399(1),2399(1),2405(1),-,-,-
TN Govt Quota,BCM Open,Tamil Nadu,"Dhanalakshmi Srin, Perambalur",PAEDIATRICS,"₹3,50,000*","₹35,000*",0,₹0,800,-,-,-,-,-,2339(1),2403(1),2409(1),-,-,-
TN Govt Quota,BC Open,Tamil Nadu,"Stanley Med Coll, Chennai",ANAESTHESIOLOGY,"₹50,000*","₹52,451*",2*,"₹40,00,000*",1661,1030(2),1841(2),1841(2),-,-,1001(2),1309(2),2411(2),-,-,-
TN Govt Quota,MBC Open,Tamil Nadu,"Rajah Muthiah, Annamalainagar",ORTHOPAEDICS,"₹50,000*","₹52,451*",2*,"₹40,00,000*",1400,1387(1),1668(1),1820(1),-,-,1103(1),1409(1),2417(1),-,-,-
TN Govt Quota,OC Open,Tamil Nadu,"Madha Medical College, Chennai",ANAESTHESIOLOGY,"₹3,50,000*",Info not available,0,₹0,-,-,3919(1),3919(1),-,-,2294(1),2415(1),2421(1),-,-,-
TN Govt Quota,OC Serv,Tamil Nadu,"Madurai Med Coll, Madurai",OBG,"₹50,000*","₹52,451*",2*,"₹40,00,000*",3518,1352(2),1352(2),1352(2),-,-,2417(2),2417(2),2423(2),-,-,-
TN Govt Quota,MBC Serv,Tamil Nadu,"Madurai Med Coll, Madurai",PAEDIATRICS,"₹50,000*","₹52,451*",2*,"₹40,00,000*",3518,970(2),970(2),1003(2),-,-,2434(2),2434(2),2440(2),-,-,-
SC Serv,Tamil Nadu,Tirunelveli Med Coll,DERMATOLOGY,"₹50,000*","₹52,451*",2*,"₹40,00,000*",1737,408(1),408(1),408(1),-,-,2435(1),2435(1),2441(1),-,-,-,
TN Govt Quota,OC Open,Tamil Nadu,"Rajah Muthiah, Annamalainagar",SPM,"₹50,000*","₹52,451*",2*,"₹40,00,000*",1400,2605(1),4248(1),4248(1),-,-,2231(1),2231(1),2442(1),-,-,-
TN Govt Quota,SC Open,Tamil Nadu,Thanjavur Med Coll,GENERAL SURGERY,"₹50,000*","₹52,451*",2*,"₹40,00,000*",1466,1362(1),1362(1),1362(1),-,-,2096(1),2437(1),2443(1),-,-,-
TN Govt Quota,OC Open,Tamil Nadu,Chengalpattu Med Coll,EMERGENCY MEDICINE,"₹50,000*","₹52,451*",2*,"₹40,00,000*",700,1039(1),1596(1),1596(1),-,-,847(1),976(1),2445(1),-,-,-
TN Govt Quota,BC Open,Tamil Nadu,"Kilpauk Med Coll, Chennai",ANAESTHESIOLOGY,"₹50,000*","₹52,451*",2*,"₹40,00,000*",1700,1140(1),2017(1),2017(1),-,-,1058(1),1324(1),2475(1),-,-,-
TN Govt Quota,SC Open,Tamil Nadu,Kanyakumari Med Coll,GENERAL MEDICINE,"₹50,000*","₹52,451*",2*,"₹40,00,000*",840,1467(1),1467(1),1467(1),-,-,1621(1),1774(1),2484(1),-,-,-
TN Govt Quota,SCA Open,Tamil Nadu,Chengalpattu Med Coll,PAEDIATRICS,"₹50,000*","₹52,451*",2*,"₹40,00,000*",700,2196(1),2196(1),2834(1),-,-,2483(1),2483(1),2489(1),-,-,-
TN Govt Quota,BC Serv,Tamil Nadu,Thanjavur Med Coll,PAEDIATRICS,"₹50,000*","₹52,451*",2*,"₹40,00,000*",1466,1106(1),1126(1),2120(1),-,-,2360(1),2489(1),2495(1),-,-,-
TN Govt Quota,SC Serv,Tamil Nadu,"Madras Med Coll, Chennai",PAEDIATRICS,"₹50,000*","₹52,451*",2*,"₹40,00,000*",7285,1973(1),1973(1),1973(1),-,-,2490(1),2490(1),2496(1),-,-,-
TN Govt Quota,OC Serv,Tamil Nadu,"Madurai Med Coll, Madurai",TBRD,"₹50,000*","₹52,451*",2*,"₹40,00,000*",3518,630(1),630(1),619(1),-,-,1207(1),1207(1),2497(1),-,-,-
TN Govt Quota,OC Open,Tamil Nadu,Govt Thiruvarur Med Coll,EMERGENCY MEDICINE,"₹50,000*","₹52,451*",2*,"₹40,00,000*",555,1118(1),1792(1),1681(1),2586(1),-,1242(1),1308(1),2501(1),-,-,-
TN Govt Quota,SC Open,Tamil Nadu,Govt Vellore Med Coll,OBG,"₹50,000*","₹52,451*",2*,"₹40,00,000*",2858,2381(1),2910(1),3468(1),4016(1),-,2239(1),2503(1),2509(1),-,-,-
TN Govt Quota,SC Open,Tamil Nadu,"PSG IMS, Coimbatore",GENERAL MEDICINE,"₹3,50,000*","₹25,000*",0,₹0,1130,-,-,-,-,-,2369(1),2504(1),2510(1),-,-,-
TN-CMC Minority 20,CMC 20% Minority,Tamil Nadu,"CMC, Vellore",ORTHOPAEDICS,"₹65,470*","₹51,000",2,"₹40,00,000",2879,2005(2),2005(2),2005(2),-,-,1045(2),1045(2),2512(2),-,-,-
TN Govt Quota,OC Open,Tamil Nadu,"TamilNadu MGR Med Univ,Chennai",IHBT,"₹50,000*","₹52,451*",2*,"₹40,00,000*",Info Not Available,2045(1),2262(1),3647(1),-,-,1731(1),2237(1),2516(1),-,-,-
TN Govt Quota,MBC Open,Tamil Nadu,"Trichy SRM Med Coll, Trichy",ORTHOPAEDICS,"₹3,50,000*","₹35,000*",0,₹0,1575,-,-,-,-,-,-,-,2523(1),-,-,-
TN Govt Quota,BC Open,Tamil Nadu,"Mookambika IMS, Kanyakumari",TBRD,"₹3,50,000*","₹15,000*",0,₹0,600,-,-,-,-,-,-,-,2531(1),-,-,-
TN Govt Quota,SC Open,Tamil Nadu,Govt Sivagangai Med Coll,PAEDIATRICS,"₹50,000*","₹52,451*",2*,"₹40,00,000*",Info Not Available,1748(1),2417(1),2417(1),-,-,1774(1),1904(1),2541(1),-,-,-
TN Govt Quota,BC Serv,Tamil Nadu,Coimbatore Med Coll,GENERAL MEDICINE,"₹50,000*","₹52,451*",2*,"₹40,00,000*",1182,944(1),944(1),944(1),-,-,2359(1),2538(1),2544(1),-,-,-
TN Govt Quota,OC Open,Tamil Nadu,Govt Villupuram Med Coll,ANAESTHESIOLOGY,"₹50,000*","₹52,451*",2*,"₹40,00,000*",670,1424(1),2227(1),1792(1),-,-,1189(1),1515(1),2550(1),-,-,-
TN Govt Quota,BC Open,Tamil Nadu,Coimbatore Med Coll,PSYCHIATRY,"₹50,000*","₹52,451*",2*,"₹40,00,000*",1182,599(1),1677(1),1677(1),-,-,1418(1),1601(1),2561(1),-,-,-
TN Govt Quota,OC Open,Tamil Nadu,Kanyakumari Med Coll,ANAESTHESIOLOGY,"₹50,000*","₹52,451*",2*,"₹40,00,000*",840,1456(1),1717(1),1717(1),-,-,1180(1),1180(1),2567(1),-,-,-
TN Govt Quota,BC Open,Tamil Nadu,Govt Thoothukudi Med Coll,EMERGENCY MEDICINE,"₹50,000*","₹52,451*",2*,"₹40,00,000*",1212,1193(1),1760(1),1760(1),2512(1),-,961(1),1235(1),2569(1),-,-,-
TN Govt Quota,BC Serv,Tamil Nadu,"Stanley Med Coll, Chennai",GENERAL MEDICINE,"₹50,000*","₹52,451*",2*,"₹40,00,000*",1661,885(2),885(2),885(2),-,-,2566(2),2566(2),2574(2),-,-,-
TN Govt Quota,MBC Open,Tamil Nadu,"Kilpauk Med Coll, Chennai",ENT,"₹50,000*","₹52,451*",2*,"₹40,00,000*",1700,1673(1),1673(1),1673(1),-,-,1312(1),1612(1),2576(1),-,-,-
TN Govt Quota,OC Open,Tamil Nadu,"Trichy SRM Med Coll, Trichy",GENERAL SURGERY,"₹3,50,000*","₹35,000*",0,₹0,1575,1860(1),2230(1),3077(1),3942(1),-,-,-,2581(2),-,-,-
TN Govt Quota,SCA Open,Tamil Nadu,"Madurai Med Coll, Madurai",OBG,"₹50,000*","₹52,451*",2*,"₹40,00,000*",3518,2834(1),2974(1),2974(1),-,-,2583(1),2583(1),2591(1),-,-,-
TN Govt Quota,BC Open,Tamil Nadu,"Joseph Eye Hosp, Trichy",OPHTHALMOLOGY,"₹3,50,000*","₹48,000*",2*,"₹40,00,000*",450,2011(1),2608(1),2885(1),3493(1),-,1003(1),1675(1),2600(1),-,-,-
TN Govt Quota,BC Open,Tamil Nadu,Govt Sivagangai Med Coll,EMERGENCY MEDICINE,"₹50,000*","₹52,451*",2*,"₹40,00,000*",Info Not Available,1136(1),1855(1),1855(1),-,-,1195(1),1294(1),2603(1),-,-,-
TN Govt Quota,SC Open,Tamil Nadu,"Kilpauk Med Coll, Chennai",TBRD,"₹50,000*","₹52,451*",2*,"₹40,00,000*",1700,-,-,-,-,-,-,2478(1),2611(1),-,-,-
TN Govt Quota,MBC Serv,Tamil Nadu,"KAPV Med Coll, Trichy",PAEDIATRICS,"₹50,000*","₹52,451*",2*,"₹40,00,000*",2500,752(1),810(1),810(1),-,-,3082(1),2603(1),2612(1),-,-,-
TN Govt Quota,MBC Open,Tamil Nadu,"Madurai Med Coll, Madurai",ANAESTHESIOLOGY,"₹50,000*","₹52,451*",2*,"₹40,00,000*",3518,1194(2),2083(2),2090(2),5282(1),-,1135(2),1404(2),2614(2),-,-,-
TN Govt Quota,MBC Serv,Tamil Nadu,Thanjavur Med Coll,OBG,"₹50,000*","₹52,451*",2*,"₹40,00,000*",1466,2827(1),2827(1),2827(1),-,-,2613(1),2613(1),2622(1),-,-,-
TN Govt Quota,BC Serv,Tamil Nadu,Govt Dharmapuri Med Coll,GENERAL MEDICINE,"₹50,000*","₹52,451*",2*,"₹40,00,000*",Info Not Available,1161(1),1161(1),1161(1),-,-,2623(1),2623(1),2632(1),-,-,-
TN Govt Quota,BC Open,Tamil Nadu,Thanjavur Med Coll,ANAESTHESIOLOGY,"₹50,000*","₹52,451*",2*,"₹40,00,000*",1466,1234(1),2216(1),2216(1),-,-,1094(1),1512(1),2637(1),-,-,-
TN Govt Quota,OC Open,Tamil Nadu,"Dhanalakshmi Srin, Perambalur",GENERAL SURGERY,"₹3,50,000*","₹35,000*",0,₹0,800,2226(1),2515(1),2515(1),-,-,1503(1),2123(1),2645(1),-,-,-
TN Govt Quota,BC Open,Tamil Nadu,"Govt Med Coll, Omandurar",ANAESTHESIOLOGY,"₹50,000*","₹52,451*",2*,"₹40,00,000*",Info Not Available,1185(1),1885(1),1885(1),-,-,1091(1),1365(1),2647(1),-,-,-
TN Govt Quota,BC Open,Tamil Nadu,Melmaruvathur Adiparasakthi,OPHTHALMOLOGY,"₹3,50,000*","₹35,000*",0,₹0,700,2608(1),3185(1),3185(1),-,-,2376(1),2642(1),2652(1),-,-,-
TN Govt Quota,SC Open,Tamil Nadu,"CMC, Vellore",OBG,"₹65,470*","₹51,000",2,"₹40,00,000",2879,2667(1),2667(1),2667(1),-,-,2270(1),2643(1),2653(1),-,-,-
TN Govt Quota,OC Serv,Tamil Nadu,"Madras Med Coll, Chennai",OBG,"₹50,000*","₹52,451*",2*,"₹40,00,000*",7285,1693(4),1693(4),1917(4),-,-,2646(4),2646(4),2656(4),-,-,-
TN Govt Quota,BC Open,Tamil Nadu,"CMC, Vellore",RADIATION ONCOLOGY,"₹65,470*","₹51,000",2,"₹40,00,000",2879,-,-,-,-,-,1200(1),1245(1),2661(1),-,-,-
TN Govt Quota,MBC Open,Tamil Nadu,"Madurai Med Coll, Madurai",OPHTHALMOLOGY,"₹50,000*","₹52,451*",2*,"₹40,00,000*",3518,1574(1),1990(1),2292(1),-,-,1199(1),1607(1),2666(1),-,-,-
TN Govt Quota,BC Open,Tamil Nadu,"KAPV Med Coll, Trichy",ENT,"₹50,000*","₹52,451*",2*,"₹40,00,000*",2500,1536(1),1047(1),1018(1),-,-,1173(1),1173(1),2674(1),-,-,-
TN Govt Quota,BC Serv,Tamil Nadu,Govt Vellore Med Coll,PAEDIATRICS,"₹50,000*","₹52,451*",2*,"₹40,00,000*",2858,1126(1),1125(1),2094(1),-,-,2665(1),2665(1),2675(1),-,-,-
TN Govt Quota,BC Open,Tamil Nadu,"KAPV Med Coll, Trichy",ANAESTHESIOLOGY,"₹50,000*","₹52,451*",2*,"₹40,00,000*",2500,1246(1),2136(1),2136(1),-,-,1108(1),1507(1),2677(1),-,-,-
TN Govt Quota,MBC Open,Tamil Nadu,Tirunelveli Med Coll,ANAESTHESIOLOGY,"₹50,000*","₹52,451*",2*,"₹40,00,000*",1737,-,-,-,-,-,1190(1),1557(1),2679(1),-,-,-
TN Govt Quota,BC Open,Tamil Nadu,"Rajah Muthiah, Annamalainagar",EMERGENCY MEDICINE,"₹50,000*","₹52,451*",2*,"₹40,00,000*",1400,-,-,-,-,-,1246(1),1416(1),2680(1),-,-,-
TN Govt Quota,MBC Open,Tamil Nadu,Coimbatore Med Coll,ANAESTHESIOLOGY,"₹50,000*","₹52,451*",2*,"₹40,00,000*",1182,1329(1),2194(1),2194(1),-,-,1203(1),1348(1),2681(1),-,-,-
TN Govt Quota,BC Open,Tamil Nadu,Govt Thoothukudi Med Coll,ANAESTHESIOLOGY,"₹50,000*","₹52,451*",2*,"₹40,00,000*",1212,1421(1),2229(1),2229(1),-,-,1168(1),1575(1),2685(1),-,-,-
TN Govt Quota,MBC Open,Tamil Nadu,Thanjavur Med Coll,OPHTHALMOLOGY,"₹50,000*","₹52,451*",2*,"₹40,00,000*",1466,1492(1),1574(1),1789(1),-,-,1270(1),1270(1),2686(1),-,-,-
OC Open,Tamil Nadu,Govt Thoothukudi Med Coll,ENT,"₹50,000*","₹52,451*",2*,"₹40,00,000*",1212,1388(1),2145(1),1903(1),-,-,1326(1),1528(1),2687(1),-,-,-,
,,,,,,,,,,,,,,,,,,,,
TN Govt Quota,MBC Open,Tamil Nadu,"Madras Med Coll, Chennai",ENT,"₹50,000*","₹52,451*",2*,"₹40,00,000*",7285,1480(2),2214(2),2214(2),-,-,1099(2),1514(2),2700(2),-,-,-
TN Govt Quota,MBC Open,Tamil Nadu,"Mohan Kumaramangalam, Salem",ANAESTHESIOLOGY,"₹50,000*","₹52,451*",2*,"₹40,00,000*",1642,1056(1),1962(1),1962(1),-,-,921(1),1527(1),2706(1),-,-,-
TN Govt Quota,OC Open,Tamil Nadu,"Rajah Muthiah, Annamalainagar",ENT,"₹50,000*","₹52,451*",2*,"₹40,00,000*",1400,978(1),2318(1),2227(1),-,-,1291(1),1546(1),2709(1),-,-,-
TN Govt Quota,SC Open,Tamil Nadu,Coimbatore Med Coll,OBG,"₹50,000*","₹52,451*",2*,"₹40,00,000*",1182,1905(1),2780(1),3508(1),-,-,2163(1),2694(1),2710(1),-,-,-
TN Govt Quota,BC Serv,Tamil Nadu,"Rajah Muthiah, Annamalainagar",GENERAL MEDICINE,"₹50,000*","₹52,451*",2*,"₹40,00,000*",1400,1871(1),1913(1),1913(1),-,-,2706(1),2706(1),2716(1),-,-,-
TN Govt Quota,BC Serv,Tamil Nadu,"Madurai Med Coll, Madurai",GENERAL MEDICINE,"₹50,000*","₹52,451*",2*,"₹40,00,000*",3518,918(1),918(1),918(1),-,-,1782(1),2707(1),2717(1),-,-,-
TN Govt Quota,BC Open,Tamil Nadu,"KarpagaVinayaga,Maduranthagam",OBG,"₹3,50,000*","₹10,000*",0,₹0,550,1830(1),1830(1),1830(1),-,-,1467(1),1470(1),2723(1),-,-,-
TN Govt Quota,OC Serv,Tamil Nadu,"Trichy SRM Med Coll, Trichy",DERMATOLOGY,"₹3,50,000*","₹35,000*",0,₹0,1575,-,-,-,-,-,2721(1),2721(1),2731(1),-,-,-
TN Govt Quota,SC Open,Tamil Nadu,"KAPV Med Coll, Trichy",PAEDIATRICS,"₹50,000*","₹52,451*",2*,"₹40,00,000*",2500,1581(1),2147(1),2147(1),-,-,1523(1),1523(1),2737(1),-,-,-
TN Govt Quota,BC Open,Tamil Nadu,Govt Dharmapuri Med Coll,ANAESTHESIOLOGY,"₹50,000*","₹52,451*",2*,"₹40,00,000*",Info Not Available,-,-,-,-,-,1175(1),1552(1),2740(1),-,-,-
TN Govt Quota,BC Serv,Tamil Nadu,"Stanley Med Coll, Chennai",PAEDIATRICS,"₹50,000*","₹52,451*",2*,"₹40,00,000*",1661,920(1),1160(1),1224(1),-,-,2732(1),2732(1),2743(1),-,-,-
TN Govt Quota,SC Open,Tamil Nadu,"Madurai Med Coll, Madurai",TBRD,"₹50,000*","₹52,451*",2*,"₹40,00,000*",3518,1464(1),1464(1),1464(1),-,-,1811(1),2535(1),2752(1),-,-,-
TN Govt Quota,BC Open,Tamil Nadu,"Dhanalakshmi Srin, Perambalur",ORTHOPAEDICS,"₹3,50,000*","₹35,000*",0,₹0,800,-,-,-,-,-,1894(1),1894(1),2754(1),-,-,-
TN Govt Quota,SC Open,Tamil Nadu,"Madras Med Coll, Chennai",RADIATION ONCOLOGY,"₹50,000*","₹52,451*",2*,"₹40,00,000*",7285,1826(1),4036(1),4475(1),-,-,2748(1),2748(1),2759(1),-,-,-
TN Govt Quota,BC Open,Tamil Nadu,Govt Dharmapuri Med Coll,OPHTHALMOLOGY,"₹50,000*","₹52,451*",2*,"₹40,00,000*",Info Not Available,1587(1),2490(1),685(1),-,-,1388(1),1640(1),2760(1),-,-,-
TN Govt Quota,MBC Serv,Tamil Nadu,Govt Villupuram Med Coll,GENERAL MEDICINE,"₹50,000*","₹52,451*",2*,"₹40,00,000*",670,1804(1),1832(1),1832(1),-,-,2753(1),2753(1),2764(1),-,-,-
TN Govt Quota,SC Serv,Tamil Nadu,"Stanley Med Coll, Chennai",GENERAL MEDICINE,"₹50,000*","₹52,451*",2*,"₹40,00,000*",1661,1807(1),1853(1),643(1),-,-,1893(1),1893(1),2765(1),-,-,-
TN Govt Quota,SC Open,Tamil Nadu,"Madras Med Coll, Chennai",ENT,"₹50,000*","₹52,451*",2*,"₹40,00,000*",7285,2306(1),3169(1),3169(1),-,-,1888(1),2755(1),2766(1),-,-,-
