Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1
RIMS Spons-Manip.,OBC M,Manipur,"RIMS, Imphal",PMR,"₹5,000*","₹1,06,380",0*,₹0*,1074,11(1)
NonRIMS-NEGrad,OBC,Manipur,"RIMS, Imphal",OPHTHALMOLOGY,"₹5,000*","₹1,06,380",1*,"₹20,00,000*",1074,11(1)
RIMS Spons-Megha.,ST,Manipur,"RIMS, Imphal",ORTHOPAEDICS,"₹5,000*","₹1,06,380",0*,₹0*,1074,11(1)
RIMS Open-BenfStates,OBC,Manipur,"RIMS, Imphal",TBRD,"₹5,000*","₹1,06,380",1*,"₹20,00,000*",1074,14(2)
RIMS Spons-Manip.,ST,Manipur,"RIMS, Imphal",PATHOLOGY,"₹5,000*","₹1,06,380",0*,₹0*,1074,21(1)
RIMS Spons-Megha.,ST,Manipur,"RIMS, Imphal",SPM,"₹5,000*","₹1,06,380",0*,₹0*,1074,21(1)
RIMS Spons-Manip.,ST,Manipur,"RIMS, Imphal",ANAESTHESIOLOGY,"₹5,000*","₹1,06,380",0*,₹0*,1074,22(1)
RIMS Open-BenfStates,OBC,Manipur,"RIMS, Imphal",ANAESTHESIOLOGY,"₹5,000*","₹1,06,380",1*,"₹20,00,000*",1074,28(2)
NonRIMS-NEGrad,UR,Manipur,"RIMS, Imphal",PATHOLOGY,"₹5,000*","₹1,06,380",0*,₹0*,1074,32(1)
NonRIMS-NEGrad,OBC,Manipur,"RIMS, Imphal",PHYSIOLOGY,"₹5,000*","₹1,06,380",0*,₹0*,1074,48(1)
NonRIMS-NEGrad,OBC,Manipur,"RIMS, Imphal",PHYSIOLOGY,"₹5,000*","₹1,06,380",0*,₹0*,1074,48(1)
RIMS Spons-Manip.,ST,Manipur,"RIMS, Imphal",TRANSFUSION MEDICINE,-,-,-,-,1074,57(1)
NonRIMS-NEGrad,OBC,Manipur,"RIMS, Imphal",MICROBIOLOGY,"₹5,000*","₹1,06,380",0*,₹0*,1074,60(1)
NonRIMS-NEGrad,OBC,Manipur,"RIMS, Imphal",BIOCHEMISTRY,"₹5,000*","₹1,06,380",0*,₹0*,1074,62(1)
