Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2023 6,CR 2023 7,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4,CR 2024 5
PY-Govt Quota,UGE,Pondicherry,"PIMS, Pondicherry",ORTHOPAEDICS,"₹7,95,000","₹43,000",0,₹0,740,-,-,-,-,-,-,-,27(1),97(1),97(1),-,-
PY-Govt Quota,UOB,Pondicherry,"PIMS, Pondicherry",GENERAL SURGERY,"₹7,95,000","₹43,000",0,₹0,740,-,-,-,-,-,-,-,54(1),95(1),101(1),-,-
PY-Govt Quota,UMB,Pondicherry,"SMVMCH, Pondicherry",RADIO DIAGNOSIS,"₹7,95,000",₹0*,0,₹0,900,28(1),160(1),160(1),-,-,-,-,66(1),107(1),107(1),-,-
PY-Govt Quota,UGE,Pondicherry,"SMVMCH, Pondicherry",GENERAL MEDICINE,"₹7,95,000",₹0*,0,₹0,900,62(4),82(4),82(4),-,-,-,-,80(5),111(5),111(5),-,-
PY-Govt Quota,UGE,Pondicherry,"SMVMCH, Pondicherry",PAEDIATRICS,"₹7,95,000",₹0*,0,₹0,900,70(3),114(3),116(3),-,-,-,-,79(3),79(3),112(3),-,-
PY Mgmt-Open,AGE,Pondicherry,"PIMS, Pondicherry",GENERAL MEDICINE,"₹23,90,000","₹43,000",0,₹0,740,-,-,-,-,-,-,-,-,-,115(2),-,-
PY-Govt Quota,UGE,Pondicherry,"SMVMCH, Pondicherry",TBRD,"₹7,95,000",₹0*,0,₹0,900,79(1),164(1),164(1),-,-,-,-,69(1),116(1),116(1),-,-
PY-Govt Quota,UOB-FF,Pondicherry,"SMVMCH, Pondicherry",GENERAL MEDICINE,"₹7,95,000",₹0*,0,₹0,900,-,-,-,-,-,-,-,120(1),120(1),120(1),-,-
PY-Govt Quota,UMB,Pondicherry,"SriVenkateswaraa, Pondicherry",RADIO DIAGNOSIS,"₹7,95,000*","₹7,000*",2*,Info not available*,1120,77(1),168(1),168(1),-,-,-,-,-,124(1),124(1),-,-
PY-Govt Quota,UGE,Pondicherry,"PIMS, Pondicherry",OPHTHALMOLOGY,"₹7,95,000","₹43,000",0,₹0,740,25(1),100(1),100(1),-,-,-,-,60(1),125(1),125(1),-,-
PY-Govt Quota,UOB,Pondicherry,"SMVMCH, Pondicherry",PAEDIATRICS,"₹7,95,000",₹0*,0,₹0,900,74(1),136(1),136(1),-,-,-,-,94(1),129(1),129(1),-,-
PY-Govt Quota,UEB,Pondicherry,"PIMS, Pondicherry",OPHTHALMOLOGY,"₹7,95,000","₹43,000",0,₹0,740,-,-,-,-,-,-,-,137(1),137(1),137(1),-,-
PY-Govt Quota,USC,Pondicherry,"SriVenkateswaraa, Pondicherry",RADIO DIAGNOSIS,"₹7,95,000*","₹7,000*",2*,Info not available*,1120,-,-,-,-,-,-,-,138(1),138(1),138(1),-,-
PY-Govt Quota,UMB,Pondicherry,"PIMS, Pondicherry",ANAESTHESIOLOGY,"₹7,95,000","₹43,000",0,₹0,740,85(1),181(1),359(1),-,-,-,-,72(1),142(1),145(1),-,-
PY-Govt Quota,UGE,Pondicherry,"SriVenkateswaraa, Pondicherry",DERMATOLOGY,"₹7,95,000*","₹7,000*",2*,Info not available*,1120,49(1),88(1),88(1),-,-,-,-,77(1),81(1),147(1),-,-
PY-Govt Quota,UMB,Pondicherry,"SMVMCH, Pondicherry",GENERAL MEDICINE,"₹7,95,000",₹0*,0,₹0,900,116(1),145(1),145(1),-,-,-,-,132(2),150(2),150(2),-,-
PY-Govt Quota,UMB,Pondicherry,"PIMS, Pondicherry",GENERAL SURGERY,"₹7,95,000","₹43,000",0,₹0,740,83(2),176(2),426(2),-,-,-,-,57(1),155(1),155(1),-,-
PY-Govt Quota,UGE,Pondicherry,"SMVMCH, Pondicherry",OPHTHALMOLOGY,"₹7,95,000",₹0*,0,₹0,900,90(1),103(1),103(1),-,-,-,-,156(1),156(1),156(1),-,-
PY-Govt Quota,UBM,Pondicherry,"SMVMCH, Pondicherry",PAEDIATRICS,"₹7,95,000",₹0*,0,₹0,900,-,-,-,-,-,-,-,112(1),112(1),158(1),-,-
PY-Govt Quota,UGE,Pondicherry,"SriVenkateswaraa, Pondicherry",GENERAL MEDICINE,"₹7,95,000*","₹7,000*",2*,Info not available*,1120,120(5),197(5),197(5),-,-,-,-,123(4),161(5),161(5),-,-
PY-Govt Quota,UGE,Pondicherry,"SMVMCH, Pondicherry",GENERAL SURGERY,"₹7,95,000",₹0*,0,₹0,900,96(2),219(2),219(2),-,-,-,-,95(2),160(2),165(2),-,-
PY-Govt Quota,USC,Pondicherry,"PIMS, Pondicherry",PAEDIATRICS,"₹7,95,000","₹43,000",0,₹0,740,-,-,-,-,-,-,-,171(1),171(1),171(1),-,-
PY-Govt Quota,UMB-FF,Pondicherry,"SMVMCH, Pondicherry",PAEDIATRICS,"₹7,95,000",₹0*,0,₹0,900,-,-,-,-,-,-,-,107(1),172(1),172(1),-,-
PY-Govt Quota,UGE,Pondicherry,"SriVenkateswaraa, Pondicherry",OBG,"₹7,95,000*","₹7,000*",2*,Info not available*,1120,87(2),191(2),191(2),-,-,-,-,153(3),175(3),175(3),-,-
PY-Govt Quota,UMB,Pondicherry,"SriVenkateswaraa, Pondicherry",OBG,"₹7,95,000*","₹7,000*",2*,Info not available*,1120,153(1),239(1),239(1),-,-,-,-,176(1),176(1),176(1),-,-
PY-Govt Quota,UMB,Pondicherry,"SMVMCH, Pondicherry",OBG,"₹7,95,000",₹0*,0,₹0,900,-,-,-,-,-,-,-,130(1),182(1),182(1),-,-
PY-Govt Quota,UGE,Pondicherry,"SriVenkateswaraa, Pondicherry",PAEDIATRICS,"₹7,95,000*","₹7,000*",2*,Info not available*,1120,72(1),178(1),178(1),-,-,-,-,144(2),158(2),183(2),-,-
PY-Govt Quota,UGE,Pondicherry,"SMVMCH, Pondicherry",ORTHOPAEDICS,"₹7,95,000",₹0*,0,₹0,900,129(2),254(2),254(2),-,-,-,-,35(1),144(1),185(1),-,-
PY-Govt Quota,UGE,Pondicherry,"IGMC & RI, Pondicherry",SPM,"₹1,10,000*","₹43,000",0,₹0,750,21(1),148(1),148(1),-,-,-,-,51(2),186(2),187(2),-,-
PY-Govt Quota,UOB,Pondicherry,"SriVenkateswaraa, Pondicherry",GENERAL MEDICINE,"₹7,95,000*","₹7,000*",2*,Info not available*,1120,152(2),215(2),215(2),-,-,-,-,134(1),191(1),191(1),-,-
PY-Govt Quota,UGE,Pondicherry,"IGMC & RI, Pondicherry",MICROBIOLOGY,"₹1,10,000*","₹43,000",0,₹0,750,47(1),194(1),427(1),-,-,-,-,169(1),257(1),192(1),-,-
PY-Govt Quota,UOB,Pondicherry,"SriVenkateswaraa, Pondicherry",OBG,"₹7,95,000*","₹7,000*",2*,Info not available*,1120,-,-,-,-,-,-,-,166(1),196(1),196(1),-,-
PY-Govt Quota,UOB,Pondicherry,"SMVMCH, Pondicherry",ORTHOPAEDICS,"₹7,95,000",₹0*,0,₹0,900,215(1),303(1),303(1),-,-,-,-,97(1),183(1),198(1),-,-
PY-Govt Quota,USC,Pondicherry,"SMVMCH, Pondicherry",GENERAL SURGERY,"₹7,95,000",₹0*,0,₹0,900,171(1),334(1),417(1),-,-,-,-,199(1),199(1),199(1),-,-
PY-Govt Quota,UMB,Pondicherry,"PIMS, Pondicherry",ENT,"₹7,95,000","₹43,000",0,₹0,740,-,-,-,-,-,-,-,127(1),204(1),204(1),-,-
PY-Govt Quota,USC,Pondicherry,"IGMC & RI, Pondicherry",ORTHOPAEDICS,"₹1,10,000*","₹43,000",0,₹0,750,-,-,-,-,-,-,-,26(1),206(1),206(1),-,-
PY-Govt Quota,UBM,Pondicherry,"SriVenkateswaraa, Pondicherry",TBRD,"₹7,95,000*","₹7,000*",2*,Info not available*,1120,-,-,-,-,-,-,-,158(1),210(1),210(1),-,-
PY-Govt Quota,UMB,Pondicherry,"SMVMCH, Pondicherry",OPHTHALMOLOGY,"₹7,95,000",₹0*,0,₹0,900,-,-,-,-,-,-,-,211(1),211(1),211(1),-,-
PY-Govt Quota,UGE-FF,Pondicherry,"PIMS, Pondicherry",ANAESTHESIOLOGY,"₹7,95,000","₹43,000",0,₹0,740,-,-,-,-,-,-,-,212(1),212(1),212(1),-,-
PY-Govt Quota,UOB-FF,Pondicherry,"SMVMCH, Pondicherry",GENERAL SURGERY,"₹7,95,000",₹0*,0,₹0,900,-,-,-,-,-,-,-,215(1),215(1),215(1),-,-
PY-Govt Quota,USC,Pondicherry,"SriVenkateswaraa, Pondicherry",DERMATOLOGY,"₹7,95,000*","₹7,000*",2*,Info not available*,1120,-,-,-,-,-,-,-,223(1),223(1),223(1),-,-
