Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4,CR 2024 5
JHKND Govt Quota,ST,Jharkhand,"MGM Med Coll, Jamshedpur",ANAESTHESIOLOGY,"₹1,500*","₹54,500",3*,"₹30,00,000*",540,229(1),-,282(1),-,-,-,-,-,-
JHKND Govt Quota,ST,Jharkhand,"MGM Med Coll, Jamshedpur",PHYSIOLOGY,"₹1,500*","₹54,500",3*,"₹30,00,000*",540,-,-,314(1),-,-,-,-,-,-
JHKND Govt Quota,ST,Jharkhand,"Rajendra IMS, Ranchi",FORENSIC MEDICINE,"₹1,500*","₹96,000*",3*,"₹30,00,000*",1754,-,-,322(2),-,-,-,-,-,-
JHKND Govt Quota,SC,Jharkhand,"Rajendra IMS, Ranchi",MICROBIOLOGY,"₹1,500*","₹96,000*",3*,"₹30,00,000*",1754,-,-,324(1),-,-,-,-,-,-
JHKND Govt Quota,ST,Jharkhand,"Rajendra IMS, Ranchi",ANATOMY,"₹1,500*","₹96,000*",3*,"₹30,00,000*",1754,-,-,327(1),-,-,-,-,-,-
JHKND Govt Quota,UR,Jharkhand,"MGM Med Coll, Jamshedpur",ANATOMY,"₹1,500*","₹54,500",3*,"₹30,00,000*",540,-,-,341(1),-,-,-,-,-,-
JHKND Govt Quota,BC-II,Jharkhand,"Rajendra IMS, Ranchi",BIOCHEMISTRY,"₹1,500*","₹96,000*",3*,"₹30,00,000*",1754,-,-,342(1),-,-,-,-,-,-
JHKND Govt Quota,ST,Jharkhand,"Rajendra IMS, Ranchi",PHYSIOLOGY,"₹1,500*","₹96,000*",3*,"₹30,00,000*",1754,-,-,353(2),-,-,-,-,-,-
JHKND Govt Quota,ST,Jharkhand,"Rajendra IMS, Ranchi",SPM,"₹1,500*","₹96,000*",3*,"₹30,00,000*",1754,-,277(1),303(1),359(1),-,-,-,-,-
JHKND Govt Quota,SC,Jharkhand,"Rajendra IMS, Ranchi",FORENSIC MEDICINE,"₹1,500*","₹96,000*",3*,"₹30,00,000*",1754,-,-,-,360(1),-,-,-,-,-
JHKND Govt Quota,UR-PH,Jharkhand,"Rajendra IMS, Ranchi",ANAESTHESIOLOGY,"₹1,500*","₹96,000*",3*,"₹30,00,000*",1754,-,-,362(1),-,-,-,-,-,-
JHKND Govt Quota,UR,Jharkhand,"MGM Med Coll, Jamshedpur",PHARMACOLOGY,"₹1,500*","₹54,500",3*,"₹30,00,000*",540,-,-,349(1),363(1),-,-,-,-,-
