Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4,CR 2024 5
JHKND Govt Quota,BC-I,Jharkhand,"Rajendra IMS, Ranchi",GENERAL MEDICINE,"₹1,500*","₹96,000*",3*,"₹30,00,000*",1754,-,-,-,-,-,28(1),-,-,-
JHKND Govt Quota,UR,Jharkhand,"Rajendra IMS, Ranchi",DERMATOLOGY,"₹1,500*","₹96,000*",3*,"₹30,00,000*",1754,-,-,-,-,5(1),29(1),-,-,-
JHKND Govt Quota,BC-I,Jharkhand,"Rajendra IMS, Ranchi",OBG,"₹1,500*","₹96,000*",3*,"₹30,00,000*",1754,-,-,86(1),-,33(1),-,-,-,-
JHKND Govt Quota,BC-II,Jharkhand,"Rajendra IMS, Ranchi",ORTHOPAEDICS,"₹1,500*","₹96,000*",3*,"₹30,00,000*",1754,53(1),-,-,-,35(1),-,-,-,-
JHKND Govt Quota,ST,Jharkhand,"Rajendra IMS, Ranchi",RADIO DIAGNOSIS,"₹1,500*","₹96,000*",3*,"₹30,00,000*",1754,83(1),-,-,-,39(1),-,-,-,-
JHKND Govt Quota,UR,Jharkhand,"Rajendra IMS, Ranchi",OBG,"₹1,500*","₹96,000*",3*,"₹30,00,000*",1754,46(3),44(1),-,-,37(3),41(1),-,-,-
JHKND Govt Quota,SC,Jharkhand,"Rajendra IMS, Ranchi",GENERAL MEDICINE,"₹1,500*","₹96,000*",3*,"₹30,00,000*",1754,67(1),-,-,-,51(1),-,-,-,-
JHKND Govt Quota,UR,Jharkhand,"MGM Med Coll, Jamshedpur",ORTHOPAEDICS,"₹1,500*","₹54,500",3*,"₹30,00,000*",540,51(1),-,-,-,52(1),-,-,-,-
JHKND Govt Quota,BC-I,Jharkhand,"MGM Med Coll, Jamshedpur",DMRD,"₹1,500*","₹54,500",3*,"₹30,00,000*",540,-,-,-,-,58(1),-,-,-,-
JHKND Govt Quota,UR,Jharkhand,"MGM Med Coll, Jamshedpur",GENERAL MEDICINE,"₹1,500*","₹54,500",3*,"₹30,00,000*",540,31(1),45(3),85(2),-,38(2),60(1),-,-,-
JHKND Govt Quota,BC-II,Jharkhand,"Shaheed Nirmal Mahto, Dhanbad",GENERAL MEDICINE,"₹1,500*","₹54,500",3*,"₹30,00,000*",560,-,-,-,-,63(1),-,-,-,-
JHKND Govt Quota,BC-II,Jharkhand,"MGM Med Coll, Jamshedpur",GENERAL MEDICINE,"₹1,500*","₹54,500",3*,"₹30,00,000*",540,-,-,-,-,-,64(1),-,-,-
JHKND Govt Quota,EWS,Jharkhand,"Rajendra IMS, Ranchi",PAEDIATRICS,"₹1,500*","₹96,000*",3*,"₹30,00,000*",1754,56(1),63(1),-,-,41(2),66(1),-,-,-
JHKND Govt Quota,UR,Jharkhand,"MGM Med Coll, Jamshedpur",PAEDIATRICS,"₹1,500*","₹54,500",3*,"₹30,00,000*",540,50(2),-,-,-,53(1),69(1),-,-,-
JHKND Govt Quota,UR,Jharkhand,"Shaheed Nirmal Mahto, Dhanbad",ORTHOPAEDICS,"₹1,500*","₹54,500",3*,"₹30,00,000*",560,-,-,-,-,70(1),-,-,-,-
JHKND Govt Quota,EWS,Jharkhand,"Rajendra IMS, Ranchi",ORTHOPAEDICS,"₹1,500*","₹96,000*",3*,"₹30,00,000*",1754,-,-,-,-,71(1),-,-,-,-
JHKND Govt Quota,BC-II,Jharkhand,"MGM Med Coll, Jamshedpur",GENERAL SURGERY,"₹1,500*","₹54,500",3*,"₹30,00,000*",540,-,-,-,-,74(1),-,-,-,-
JHKND Govt Quota,UR,Jharkhand,"Shaheed Nirmal Mahto, Dhanbad",GENERAL MEDICINE,"₹1,500*","₹54,500",3*,"₹30,00,000*",560,-,-,-,-,45(1),76(1),-,-,-
JHKND Govt Quota,EWS,Jharkhand,"MGM Med Coll, Jamshedpur",OBG,"₹1,500*","₹54,500",3*,"₹30,00,000*",540,86(1),-,-,-,84(1),-,-,-,-
JHKND Govt Quota,UR,Jharkhand,"MGM Med Coll, Jamshedpur",GENERAL SURGERY,"₹1,500*","₹54,500",3*,"₹30,00,000*",540,65(1),-,-,121(1),-,88(1),-,-,-
JHKND Govt Quota,BC-I,Jharkhand,"MGM Med Coll, Jamshedpur",GENERAL SURGERY,"₹1,500*","₹54,500",3*,"₹30,00,000*",540,-,-,-,-,88(1),-,-,-,-
JHKND Govt Quota,BC-I,Jharkhand,"Shaheed Nirmal Mahto, Dhanbad",GENERAL MEDICINE,"₹1,500*","₹54,500",3*,"₹30,00,000*",560,-,-,-,-,86(1),91(1),-,-,-
JHKND Govt Quota,BC-I,Jharkhand,"Rajendra IMS, Ranchi",ANAESTHESIOLOGY,"₹1,500*","₹96,000*",3*,"₹30,00,000*",1754,100(1),-,-,-,96(1),94(1),-,-,-
JHKND Govt Quota,UR,Jharkhand,"Rajendra IMS, Ranchi",ENT,"₹1,500*","₹96,000*",3*,"₹30,00,000*",1754,-,-,-,-,92(2),100(1),-,-,-
JHKND Govt Quota,UR,Jharkhand,"MGM Med Coll, Jamshedpur",OPHTHALMOLOGY,"₹1,500*","₹54,500",3*,"₹30,00,000*",540,99(1),113(1),-,-,90(1),102(1),-,-,-
JHKND Govt Quota,EWS,Jharkhand,"Shaheed Nirmal Mahto, Dhanbad",ORTHOPAEDICS,"₹1,500*","₹54,500",3*,"₹30,00,000*",560,-,-,-,-,102(1),-,-,-,-
JHKND Govt Quota,EWS,Jharkhand,"Rajendra IMS, Ranchi",GENERAL SURGERY,"₹1,500*","₹96,000*",3*,"₹30,00,000*",1754,55(1),-,-,-,-,104(1),-,-,-
JHKND Govt Quota,EWS,Jharkhand,"Rajendra IMS, Ranchi",ANAESTHESIOLOGY,"₹1,500*","₹96,000*",3*,"₹30,00,000*",1754,-,-,-,-,111(1),-,-,-,-
JHKND Govt Quota,UR,Jharkhand,"MGM Med Coll, Jamshedpur",ENT,"₹1,500*","₹54,500",3*,"₹30,00,000*",540,-,-,-,-,114(2),108(1),-,-,-
JHKND Govt Quota,EWS,Jharkhand,"Rajendra IMS, Ranchi",OPHTHALMOLOGY,"₹1,500*","₹96,000*",3*,"₹30,00,000*",1754,135(1),-,-,-,-,116(1),-,-,-
JHKND Govt Quota,BC-II,Jharkhand,"Rajendra IMS, Ranchi",ANAESTHESIOLOGY,"₹1,500*","₹96,000*",3*,"₹30,00,000*",1754,-,-,-,-,-,124(1),-,-,-
