Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2023 6,CR 2023 7,CR 2023 8,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4,CR 2024 5,CR 2024 6
MAHA-Govt Quota,EWS,Maharashtra,"Seth GS, Mumbai",GENERAL MEDICINE,"₹1,43,300*","₹92,522",1,"₹50,00,000",2250,30(1),53(1),53(1),53(1),53(1),-,-,-,6(1),101(1),101(1),-,-,-
MAHA-Govt Quota,OBC,Maharashtra,"Seth GS, Mumbai",GENERAL MEDICINE,"₹1,43,300*","₹92,522",1,"₹50,00,000",2250,103(1),103(1),103(1),103(1),103(1),-,-,-,96(2),96(2),104(2),-,-,-
MAHA-Govt Quota,EWS,Maharashtra,"Grant Med Coll, Mumbai",RADIO DIAGNOSIS,"₹1,43,300*","₹92,522",1,"₹50,00,000",2844,39(1),39(1),39(1),39(1),39(1),-,-,-,108(1),108(1),108(1),-,-,-
MAHA-Govt Quota,OPEN,Maharashtra,"Govt Med Coll, Nagpur",GENERAL MEDICINE,"₹1,43,300*","₹92,522",1,"₹50,00,000",1866,52(6),72(6),161(6),161(6),161(6),-,-,-,51(4),106(4),110(4),-,-,-
MAHA-Govt Quota,SEBC,Maharashtra,"Tata Memorial, Mumbai",RADIO DIAGNOSIS,"₹1,05,500*","₹1,00,800",1*,"₹25,00,000*",614,-,-,-,-,-,-,-,-,116(1),111(1),111(1),-,-,-
MAHA-Govt Quota,SEBC,Maharashtra,"BJMC, Pune",RADIO DIAGNOSIS,"₹1,43,300*","₹92,522",1,"₹50,00,000",1296,-,-,-,-,-,-,-,-,111(1),116(1),116(1),-,-,-
MAHA-Govt Quota,OPEN,Maharashtra,"BJMC, Pune",GENERAL MEDICINE,"₹1,43,300*","₹92,522",1,"₹50,00,000",1296,59(2),79(2),175(2),175(2),175(2),-,-,-,63(1),117(1),117(1),-,-,-
MAHA-Govt Quota,OPEN,Maharashtra,"Grant Med Coll, Mumbai",DERMATOLOGY,"₹1,43,300*","₹92,522",1,"₹50,00,000",2844,26(1),48(1),119(2),119(2),119(2),-,-,-,120(2),120(2),120(2),-,-,-
MAHA-Govt Quota,OPEN,Maharashtra,"BJMC, Pune",DERMATOLOGY,"₹1,43,300*","₹92,522",1,"₹50,00,000",1296,9(1),78(1),78(1),78(1),78(1),-,-,-,121(1),121(1),121(1),-,-,-
MAHA-Govt Quota,OPEN,Maharashtra,"Indira Gandhi MedColl, Nagpur",RADIO DIAGNOSIS,"₹1,43,300*","₹92,522",1,"₹50,00,000",822,43(1),64(1),64(1),64(1),64(1),-,-,-,35(1),72(1),124(1),306(1),863(1),-
