Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2024 1,CR 2024 2,CR 2024 3
DNB Sponsored,GEN,West Bengal,"Coochbehar Govt Med Coll, WB",DNBGENERAL MEDICINE,"₹1,25,000","₹45,071",0,₹0,400,47183(1),-,-,26165(1),-,-
DNB Sponsored,GEN,Haryana,"Medanta The Medicity, Gurgaon",DNBGENERAL MEDICINE,-,-,-,-,1200,-,-,-,26962(1),-,-
DNB Sponsored,GEN,Delhi,"Dr Baba Saheb Ambedkar, Delhi",DNBPAEDIATRICS,-,-,-,-,500,-,-,-,27383(1),-,-
DNB Sponsored,GEN,Tamil Nadu,"Kongunad Hosp, Coimbatore",DNBGENERAL SURGERY,"₹1,25,000","₹50,000",0,₹0,250,63644(1),-,-,27994(1),-,-
DNB Sponsored,GEN,Telangana,"Fernandez Hospital, Hyderabad",DNBOBG,"₹1,25,000","₹51,000",0,₹0,224,43179(1),-,-,29618(1),-,-
DNB Sponsored,GEN,Chandigarh,"Govt MultSpec Hosp, Chandigarh",DNBGENERAL MEDICINE,"₹1,25,000","₹65,000*",0,₹0,500,26831(1),-,-,29762(1),-,-
DNB Sponsored,GEN,Delhi,"Mata Chanan Devi Hosp, Delhi",DNBGENERAL MEDICINE,-,-,-,-,210,-,-,-,29949(1),-,-
DNB Sponsored,GEN,Haryana,"Maharaja Agrasen MCHosp,Agroha",DNBGENERAL MEDICINE,"₹1,25,000","₹90,209",0,₹0,541,41291(1),-,-,30046(1),-,-
DNB Sponsored,GEN,Delhi,"Maharaja Agrasen Hosp, Delhi",DNBGENERAL MEDICINE,"₹1,25,000","₹63,000",0,₹0,300,24713(1),-,-,32494(1),-,-
DNB Sponsored,GEN,Jharkhand,"Tata Motors Hosp, Jamshedpur",DNBGENERAL MEDICINE,"₹1,25,000","₹53,000",0,₹0,404,43172(1),43172(2),61678(1),34368(1),-,-
DNB Sponsored,GEN,Delhi,"Shri Balaji Action Med, Delhi",DNBGENERAL MEDICINE,"₹1,25,000","₹70,000",0,₹0,250,-,-,-,34411(1),-,-
DNB Sponsored,GEN,Delhi,"Jaipur Golden Hospital, Delhi",DNBGENERAL MEDICINE,-,-,-,-,242,-,-,-,37019(1),-,-
DNB Sponsored,GEN,Haryana,"Sarvodaya Hospital, Faridabad",DNBGENERAL MEDICINE,-,-,-,-,300,-,-,-,43314(1),-,-
DNB Sponsored,GEN,West Bengal,Durgapur Steel Plant Hosp,DNBGENERAL MEDICINE,"₹1,25,000","₹45,071*",0,₹0,600,54266(1),-,-,44368(1),-,-
DNB Sponsored,GEN,Rajasthan,"Santokbha Durlabhji Mem,Jaipur",DNBANAESTHESIOLOGY,-,-,-,-,525,-,-,-,44443(1),44443(1),-
DNB Sponsored,GEN,Jharkhand,"Tata Main Hospital, Jamshedpur",DNBGENERAL SURGERY,-,-,-,-,915,32955(1),55287(1),87339(1),45295(1),-,-
DNB Sponsored,GEN,Delhi,"Sir Ganga Ram Hospital, Delhi",DNBANAESTHESIOLOGY,"₹1,25,000","₹83,000",0,₹0,675,49453(1),-,-,45703(1),-,-
DNB Sponsored,GEN,West Bengal,"Apollo Gleneagles, Kolkata",DNBPAEDIATRICS,"₹1,25,000","₹42,000",0,₹0,750,30348(1),30348(1),76041(1),46440(1),-,-
DNB Sponsored,GEN,Gujarat,"GMERS MedColl Hosp,Ahmedabad",DNBPAEDIATRICS,-,-,-,-,970,-,-,-,46757(1),-,-
DNB Sponsored,GEN,Delhi,"Sir Ganga Ram Hospital, Delhi",DNBGENERAL SURGERY,-,-,-,-,675,30426(1),-,-,47728(1),-,-
DNB Sponsored,GEN,Delhi,"Jaipur Golden Hospital, Delhi",DNBGENERAL SURGERY,"₹1,25,000","₹70,000",0,₹0,242,57097(1),-,-,48334(1),-,-
DNB Sponsored,GEN,Odisha,"Ispat Gen Hospital, Rourkela",DNBGENERAL MEDICINE,"₹1,25,000","₹53,822",0,₹0,600,34682(1),-,-,24252(1),49115(1),-
DNB Sponsored,GEN,Jharkhand,"Tata Main Hospital, Jamshedpur",DNBORTHOPAEDICS,-,-,-,-,915,44125(1),-,-,46206(1),49527(1),-
DNB Sponsored,GEN,Maharashtra,"JagjivanRamRailwayHosp, Mumbai",DNBGENERAL MEDICINE,"₹1,25,000","₹87,188",0,₹0,361,30939(1),-,-,50004(1),-,-
DNB Sponsored,GEN,West Bengal,"RN Tagore (Cardiac), Kolkata",DNBGENERAL SURGERY,"₹1,25,000","₹43,758",0,₹0,681,59798(1),59798(2),70722(1),51192(1),-,-
DNB Sponsored,GEN,Pondicherry,"RG Govt Wom&Child,Pondicherry",DNBOBG,"₹1,25,000","₹40,000",0,₹0,450,43805(1),-,-,51612(1),-,-
DNB Sponsored,GEN,Haryana,"BPS Med Coll, Sonepat",DNBGENERAL SURGERY,"₹1,25,000","₹90,209",0,₹0,550,55525(1),-,-,51940(1),-,-
DNB Sponsored,GEN,Maharashtra,"Holy Spirit Hospital, Mumbai",DNBGENERAL MEDICINE,-,-,-,-,300,-,-,-,52951(1),-,-
DNB Sponsored,GEN,Tamil Nadu,"Apollo Hosp, Greams Rd,Chennai",DNBGENERAL MEDICINE,"₹1,25,000","₹48,000",0,₹0,745,40152(1),-,-,53585(1),-,-
DNB Sponsored,GEN,Gujarat,"GMERS MedColl Hosp,Ahmedabad",DNBGENERAL SURGERY,"₹1,25,000","₹84,000*",0,₹0,970,46005(1),-,-,54658(1),-,-
DNB Sponsored,GEN,Delhi,"Hindu Rao Hospital, Delhi",DNBGENERAL SURGERY,"₹1,25,000","₹1,21,389*",0,₹0,980,30775(1),-,-,23912(1),54756(1),-
DNB Sponsored,GEN,Maharashtra,"Saifee Hospital, Mumbai",DNBGENERAL MEDICINE,"₹1,25,000","₹63,000",0,₹0,257,42991(1),-,-,55532(1),-,-
DNB Sponsored,GEN,Maharashtra,"Kingsway Hospitals, Nagpur, MH",DNBGENERAL MEDICINE,"₹1,25,000","₹35,000",0,₹0,300,45353(1),45353(1),57028(1),55891(1),-,-
DNB Sponsored,GEN,Karnataka,"District Hospital, Dharwad",DNBGENERAL MEDICINE,-,-,-,-,250,-,-,-,56576(1),-,-
