Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4,CR 2024 5
Tripura Govt Quota,ST,Tripura,"Agartala Med Coll, Agartala",GENERAL MEDICINE,"₹1,50,000*","₹55,200*",1*,"₹50,00,000*",580,38(1),24(1),-,-,47(1),35(1),-,-,-
Tripura Mgmt Quota,UR,Tripura,"Tripura Med Coll, Agartala",GENERAL MEDICINE,"₹23,65,500*","₹55,200",3*,"₹50,00,000*",490,-,-,-,-,49(1),-,-,-,-
Tripura Govt Quota,ST,Tripura,"Agartala Med Coll, Agartala",OBG,"₹1,50,000*","₹55,200*",1*,"₹50,00,000*",580,-,-,-,-,51(1),-,-,-,-
Tripura Govt Quota,UR,Tripura,"Tripura Med Coll, Agartala",GENERAL MEDICINE,"₹23,65,500*","₹55,200",3*,"₹50,00,000*",490,-,-,-,-,32(1),55(1),-,-,-
Tripura Govt Quota,EWS,Tripura,"Agartala Med Coll, Agartala",OPHTHALMOLOGY,"₹1,50,000*","₹55,200*",1*,"₹50,00,000*",580,-,-,-,-,39(1),57(1),-,-,-
Tripura Govt Quota,UR,Tripura,"Tripura Med Coll, Agartala",OPHTHALMOLOGY,"₹18,65,000*","₹55,200",3*,"₹50,00,000*",490,-,-,-,-,-,-,-,57(1),-
Tripura Govt Quota,UR,Tripura,"Agartala Med Coll, Agartala",PATHOLOGY,"₹1,50,000*","₹55,200*",1*,"₹35,00,000*",580,-,-,-,-,59(1),-,-,-,-
Tripura Govt Quota,SC,Tripura,"Agartala Med Coll, Agartala",PATHOLOGY,"₹1,50,000*","₹55,200*",1*,"₹35,00,000*",580,61(1),-,-,-,-,-,-,63(1),-
Tripura Govt Quota,UR,Tripura,"Tripura Med Coll, Agartala",ENT,"₹18,65,000*","₹55,200",3*,"₹50,00,000*",490,71(1),-,-,-,73(1),-,-,-,-
Tripura Mgmt Quota,UR,Tripura,"Tripura Med Coll, Agartala",OPHTHALMOLOGY,"₹18,65,000*","₹55,200",3*,"₹50,00,000*",490,-,-,-,-,60(1),83(1),-,-,-
Tripura DNB Serv,UR,Tripura,"IGM Hospital, Agartala",DCH(NBEMS),"₹1,25,000","₹42,000*",Info Not Available,Info not available,Info Not Available,51(1),-,-,-,88(1),-,-,-,-
Tripura Govt Quota,ST,Tripura,"Agartala Med Coll, Agartala",PSYCHIATRY,"₹1,50,000*","₹55,200*",1*,"₹50,00,000*",580,-,-,-,-,97(1),-,-,-,-
Tripura Govt Quota,ST,Tripura,"Agartala Med Coll, Agartala",RADIATION ONCOLOGY,"₹1,50,000*","₹55,200*",1*,"₹50,00,000*",580,-,-,-,-,110(1),82(1),-,-,-
Tripura Govt Quota,UR,Tripura,"Agartala Med Coll, Agartala",PHARMACOLOGY,"₹1,50,000*","₹55,200*",1*,"₹35,00,000*",580,-,-,-,55(1),119(1),-,-,-,-
Tripura Govt Quota,SC,Tripura,"Agartala Med Coll, Agartala",BIOCHEMISTRY,"₹1,50,000*","₹55,200*",1*,"₹35,00,000*",580,78(1),-,-,-,138(1),-,-,-,-
Tripura Govt Quota,ST,Tripura,"Tripura Med Coll, Agartala",OPHTHALMOLOGY,"₹18,65,000*","₹55,200",3*,"₹50,00,000*",490,-,-,-,-,142(1),-,-,-,-
Tripura Govt Quota,SC,Tripura,"Agartala Med Coll, Agartala",PHARMACOLOGY,"₹1,50,000*","₹55,200*",1*,"₹35,00,000*",580,-,-,-,-,144(1),-,-,-,-
Tripura Govt Quota,ST,Tripura,"Agartala Med Coll, Agartala",SPM,"₹1,50,000*","₹55,200*",1*,"₹35,00,000*",580,-,-,-,-,146(1),-,-,-,-
Tripura Govt Quota,ST,Tripura,"Agartala Med Coll, Agartala",MICROBIOLOGY,"₹1,50,000*","₹55,200*",1*,"₹35,00,000*",580,-,-,47(1),-,149(1),103(1),-,-,-
Tripura Govt Quota,ST,Tripura,"Agartala Med Coll, Agartala",PHYSIOLOGY,"₹1,50,000*","₹55,200*",1*,"₹35,00,000*",580,-,-,-,-,151(1),-,-,-,-
Tripura Govt Quota,UR,Tripura,"Agartala Med Coll, Agartala",OPHTHALMOLOGY,"₹1,50,000*","₹55,200*",1*,"₹50,00,000*",580,15(1),-,25(1),-,-,-,-,-,-
