Counselling,Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,Fee Session,CR 2023 0,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2023 6,CR 2023 7,CR 2024 0,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 3.5,CR 2024 4,CR 2024 5,CR 2024 6
Haryana PG,HAR Priv-Mgmt,MNG,Haryana,"World College of MS&RC, Jhajjar",GENERAL MEDICINE,"₹14,02,000*","₹56,100",0,₹0,-,2024,-,384(1),231(1),125(1),-,-,-,-,-,538(2),445(1),115(1),-,57(1),-,-
TEL Mgmt PG,TELMgmt-MQ1-CatB-All,MQ1,Telangana,"Prathima IMS, Karimnagar",RADIO DIAGNOSIS,"₹23,00,000*",Info not available*,1*,"₹20,00,000*",1060,2024,-,37(2),62(2),72(2),72(2),72(2),72(2),-,-,60(2),119(2),131(2),-,-,-,-
Haryana PG,HAR Priv-Mgmt,MNG,Haryana,"World College of MS&RC, Jhajjar",ORTHOPAEDICS,"₹14,02,000*","₹56,100",0,₹0,-,2024,-,524(2),539(2),-,236(1),-,-,-,-,955(1),477(1),131(1),-,-,-,-
TEL Mgmt PG,TELMgmt-MQ1-CatB-All,MQ1,Telangana,"SVS Med Coll, Mehboobnagar",GENERAL MEDICINE,"₹24,00,000*",Info not available*,1*,"₹20,00,000*",760,2024,-,105(4),188(4),188(4),188(4),188(4),188(4),-,-,97(4),115(4),133(4),-,-,-,-
AP Mgmt PG,APMgmt-S1-All-CatB,S1A,Andhra Pradesh,"NRI Med Coll, Guntur",GENERAL MEDICINE,"₹9,93,600*","₹27,000*",1*,Info not available*,1050,2024,-,8(1),29(1),-,-,-,-,-,-,4(1),11(1),134(1),-,-,-,-
UK PG,UK Priv-AllIndia/Mgmt,UR-MNG,Uttarakhand,"SGRRI, Dehradun",DERMATOLOGY,"₹28,50,000*","₹59,065",1,"₹10,00,000",750,2024,-,119(2),83(1),-,-,-,-,-,-,162(2),209(1),134(1),-,-,-,-
TEL Mgmt PG,TELMgmt-MQ1-CatB-All,MQ1,Telangana,"Mamata AcadofMedSci,Bachupally",DERMATOLOGY,"₹23,00,000*",Info not available*,1*,"₹20,00,000*",-,2024,-,-,-,-,-,-,-,-,-,137(1),137(1),137(1),-,-,-,-
Haryana PG,HAR Priv-Mgmt,MNG,Haryana,"SGGST Med Coll, Gurgaon",RADIO DIAGNOSIS,"₹45,00,000*","₹56,100",Info Not Available,Info not available,720,2024,-,457(4),293(3),127(1),93(3),233(3),-,-,-,358(4),503(4),137(1),-,-,-,-
Haryana PG,HAR Priv-Mgmt,MNG,Haryana,"NC Med Coll, Panipat",PAEDIATRICS,"₹14,02,000*","₹40,000",0,₹0,680,2024,-,460(2),372(2),-,-,-,-,-,-,790(3),485(3),140(1),-,76(1),-,-
Punjab PG,PB Priv-DMC Mgmt,GEN,Punjab,"DMC, Ludhiana",GENERAL SURGERY,"₹6,50,000*","₹50,000",0,₹0,1326,2024,-,-,-,126(1),-,-,-,-,-,253(2),-,142(1),-,-,-,-
