Counselling,Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,Fee Session,CR 2023 0,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2023 6,CR 2023 7,CR 2024 0,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 3.5,CR 2024 4,CR 2024 5,CR 2024 6
WB PG,WB Mgmt Quota,MQ,West Bengal,"IQ-City Med Coll, Burdwan",OPHTHALMOLOGY,"₹27,00,000*","₹40,000",0*,₹0*,800,2024,-,1451(2),1557(2),1421(2),1421(2),-,-,-,-,1368(2),1292(2),1220(2),-,535(2),-,-
TEL Mgmt PG,TELMgmt-MQ1-CatB-All,MQ1,Telangana,"Mamata Med Coll, Khammam",ENT,"₹23,00,000*",Info not available*,1*,"₹20,00,000*",1080,2024,-,523(1),672(1),798(1),798(1),798(1),798(1),-,-,524(1),524(1),1225(1),-,-,-,-
PNDCHRY PG,PY Mgmt-Open,AGE,Pondicherry,"SMVMCH, Pondicherry",ANAESTHESIOLOGY,"₹23,90,000*",₹0*,0,₹0,900,2024,-,99(6),-,1832(6),-,-,-,-,-,236(6),1226(6),1226(6),-,1372(1),-,-
WB PG,WB Mgmt Quota,MQ,West Bengal,"Shri Ramkrishna IMS, Durgapur",OBG,"₹40,00,000*","₹60,000",0,₹0,-,2024,-,1199(3),1170(3),1088(3),1088(3),-,-,-,-,1147(1),996(1),1229(1),-,415(1),-,-
TEL Mgmt PG,TELMgmt-MQ1-CatB-All,MQ1,Telangana,"Mamata AcadofMedSci,Bachupally",ENT,"₹23,00,000*",Info not available*,1*,"₹20,00,000*",-,2024,-,-,-,-,-,-,-,-,-,814(1),605(1),1231(1),-,-,-,-
AP Mgmt PG,APMgmt-S1-All-CatB,S1A,Andhra Pradesh,"Alluri Sitaram Raju, Eluru",ANAESTHESIOLOGY,"₹9,93,600*","₹30,000*",1*,Info not available*,1200,2024,-,562(1),1129(1),1783(1),-,-,-,-,-,442(1),597(1),1237(1),-,-,-,-
TEL Mgmt PG,TELMgmt-MQ1-CatB-All,MQ1,Telangana,"Mahavir Inst of MS, Vikarabad",ORTHOPAEDICS,"₹23,00,000*",Info not available*,1*,"₹20,00,000*",700,2024,-,613(1),931(1),1376(1),1381(1),1381(1),1381(1),-,-,897(1),897(1),1243(1),-,-,-,-
TEL Mgmt PG,TELMgmt-MQ1-CatB-All,MQ1,Telangana,"Kamineni IMS, Narketpally",EMERGENCY MEDICINE,"₹23,00,000*",Info not available*,1*,"₹20,00,000*",1060,2024,-,-,-,-,-,-,-,-,-,689(1),502(1),1244(1),-,-,-,-
UK PG,UK Priv-AllIndia/Mgmt,UR-MNG,Uttarakhand,"HIMS, Dehradun",BIOCHEMISTRY,₹0*,"₹40,000",0,₹0,1200,2024,-,-,-,393(1),-,-,-,-,-,964(1),-,1247(1),-,-,-,-
TN Mgmt PG,TN Mgmt Quota,GEN,Tamil Nadu,"Tagore Med Coll, Chennai",GENERAL SURGERY,"₹15,50,000*","₹35,000*",0,₹0,818,2024,-,685(2),1245(3),1245(2),-,-,-,-,-,833(2),888(2),1252(2),-,3038(1),-,-
UP PG,UP Priv-Open Quota,UR,Uttar Pradesh,"SRMS IMS, Bareilly",RADIO DIAGNOSIS,"₹25,09,957*","₹32,000*",1*,₹0*,950,2024,-,888(5),1001(5),-,-,-,-,-,-,907(8),1231(8),1256(8),-,-,-,-
WB PG,WB Mgmt Quota,MQ,West Bengal,"KPC Med Coll, Jadavpur",ORTHOPAEDICS,"₹27,00,000*","₹43,758",0,₹0,750,2024,-,991(4),1262(4),1255(4),1255(4),-,-,-,-,1259(2),1351(2),1257(3),-,-,-,-
TEL Mgmt PG,TELMgmt-MQ1-CatB-All,MQ1,Telangana,"CAIMS, Karimnagar",ENT,"₹24,00,000*",Info not available*,1*,"₹20,00,000*",1000,2024,-,675(1),756(1),756(1),756(1),756(1),756(1),-,-,609(1),609(1),1267(1),-,-,-,-
TEL Mgmt PG,TELMgmt-MQ1-CatB-All,MQ1,Telangana,"Maheshwara Med Coll, Medak",ORTHOPAEDICS,"₹23,00,000*",Info not available*,1*,"₹20,00,000*",745,2024,-,-,-,-,-,-,-,-,-,893(1),995(1),1271(1),-,-,-,-
TN Mgmt PG,TN Mgmt Quota,GEN,Tamil Nadu,"PSG IMS, Coimbatore",PSYCHIATRY,"₹15,50,000*","₹25,000*",0,₹0,1130,2024,-,556(2),811(2),1078(2),-,-,-,-,-,448(2),722(2),1274(2),-,-,-,-
TN Mgmt PG,TN Mgmt Quota,GEN,Tamil Nadu,"Tagore Med Coll, Chennai",ANAESTHESIOLOGY,"₹15,50,000*","₹35,000*",0,₹0,818,2024,-,778(1),1198(1),1198(1),-,-,-,-,-,1273(1),1275(1),1275(1),-,-,-,-
TN Mgmt PG,TN Mgmt Quota,GEN,Tamil Nadu,"PSG IMS, Coimbatore",ANAESTHESIOLOGY,"₹15,50,000*","₹25,000*",0,₹0,1130,2024,-,444(2),534(2),534(2),-,-,-,-,-,600(2),756(2),1277(2),-,-,-,-
TEL Mgmt PG,TELMgmt-MQ1-CatB-All,MQ1,Telangana,"Surabhi InstituteofMS,Siddipet",ORTHOPAEDICS,"₹24,00,000*",Info not available*,1*,"₹20,00,000*",-,2024,-,-,-,-,1391(1),1391(1),1391(1),-,-,986(1),1026(1),1287(1),-,-,-,-
PNDCHRY PG,PY Mgmt-Open,AGE,Pondicherry,"SriVenkateswaraa, Pondicherry",EMERGENCY MEDICINE,"₹33,00,000*","₹7,000*",2*,Info not available*,1120,2024,-,-,1604(1),1737(1),-,-,-,-,-,-,-,1288(2),-,1572(1),-,-
TEL Mgmt PG,TELMgmt-MQ1-CatB-All,MQ1,Telangana,"Mamata Med Coll, Khammam",ANAESTHESIOLOGY,"₹23,00,000*",Info not available*,1*,"₹20,00,000*",1080,2024,-,502(2),790(2),790(2),790(2),790(2),790(2),-,-,945(2),814(2),1299(2),-,-,-,-
UP PG,UP Priv-Open Quota,UR,Uttar Pradesh,"GS Med Coll Hosp,Hapur",RADIO DIAGNOSIS,"₹21,63,946*","₹32,000",0,₹0,Info Not Available,2024,-,1155(3),1215(3),-,-,-,-,-,-,1126(3),1307(3),1326(3),-,-,-,-
TEL Mgmt PG,TELMgmt-MQ1-CatB-All,MQ1,Telangana,"CAIMS, Karimnagar",ANAESTHESIOLOGY,"₹24,00,000*",Info not available*,1*,"₹20,00,000*",1000,2024,-,846(4),1054(4),1343(4),1440(4),1440(4),1440(4),-,-,1015(4),1078(4),1329(4),-,-,-,-
TN Mgmt PG,TN Mgmt Quota,GEN,Tamil Nadu,"Velammal Med Col, Madurai",PHARMACOLOGY,"₹4,35,000*","₹37,000*",0,₹0,1024,2024,-,2630(1),2630(1),2630(1),-,-,-,-,-,1338(1),1338(1),1338(1),-,-,-,-
UK PG,UK Priv-AllIndia/Mgmt,UR-MNG,Uttarakhand,"HIMS, Dehradun",PATHOLOGY,"₹12,50,000*","₹40,000",0,₹0,1200,2024,-,664(4),-,370(4),-,-,-,-,-,887(4),1107(2),1339(4),-,1205(1),-,-
RJSTHN PG,RAJ Priv-All India,GEN,Rajasthan,"MGMC&H, Sitapur, Jaipur",ENT,"₹25,00,000*","₹55,000",0,₹0,1400,2024,-,2042(2),2135(2),2184(2),-,-,-,-,-,1331(1),1341(1),1343(1),-,-,-,-
TN Mgmt PG,TN Mgmt Quota,GEN,Tamil Nadu,"Velammal Med Col, Madurai",ORTHOPAEDICS,"₹15,50,000*","₹37,000*",0,₹0,1024,2024,-,325(1),664(1),664(1),-,-,-,-,-,572(1),701(1),1344(1),-,1986(1),-,-
PNDCHRY PG,PY Mgmt-Open,AGE,Pondicherry,"SMVMCH, Pondicherry",ENT,"₹23,90,000*",₹0*,0,₹0,900,2024,-,147(3),1621(1),1654(3),1816(1),-,-,-,-,229(3),850(3),1346(3),-,-,-,-
PNDCHRY PG,PY Mgmt-Open,AGE,Pondicherry,"SriVenkateswaraa, Pondicherry",OPHTHALMOLOGY,"₹33,00,000*","₹7,000*",2*,Info not available*,1120,2024,-,-,1543(2),1548(2),-,-,-,1936(1),-,-,-,1356(3),-,-,-,-
UP PG,UP Priv-Open Quota,UR,Uttar Pradesh,"KD Med Coll, Mathura",DERMATOLOGY,"₹21,63,946*","₹32,000",0,₹0,720,2024,-,1603(2),1281(2),-,-,-,-,-,-,1336(2),1336(2),1357(2),-,-,-,-
UK PG,UK Priv-AllIndia/Mgmt,UR-MNG,Uttarakhand,"HIMS, Dehradun",MICROBIOLOGY,₹0*,"₹40,000",0,₹0,1200,2024,-,-,-,401(1),-,-,-,-,-,-,-,1358(1),-,-,-,-
UK PG,UK Priv-AllIndia/Mgmt,UR-MNG,Uttarakhand,"SGRRI, Dehradun",SPM,₹0*,"₹30,000*",1,"₹10,00,000",750,2024,-,-,-,373(3),-,-,-,-,-,1121(3),-,1361(3),-,1232(1),-,-
PNDCHRY PG,PY Mgmt-Open,AGE,Pondicherry,"SriVenkateswaraa, Pondicherry",ORTHOPAEDICS,"₹39,00,000*","₹7,000*",2*,Info not available*,1120,2024,-,-,1569(4),1588(4),-,-,-,1586(1),-,-,-,1370(4),-,-,-,-
UP PG,UP Priv-Open Quota,UR,Uttar Pradesh,"National Captl Reg IMS, Meerut",RADIO DIAGNOSIS,"₹22,35,387*","₹56,100",0,₹0,680,2024,-,-,-,-,-,-,-,-,-,1352(5),1352(5),1373(5),-,-,-,-
TEL Mgmt PG,TELMgmt-MQ1-CatB-All,MQ1,Telangana,"Prathima IMS, Karimnagar",ANAESTHESIOLOGY,"₹23,00,000*",Info not available*,1*,"₹20,00,000*",1060,2024,-,878(5),1006(5),1363(5),1585(5),1629(5),1629(5),-,-,976(4),1015(4),1374(4),-,-,-,-
UK PG,UK Priv-AllIndia/Mgmt,UR-MNG,Uttarakhand,"HIMS, Dehradun",PHARMACOLOGY,₹0*,"₹40,000",0,₹0,1200,2024,-,-,-,512(2),-,-,-,-,-,-,-,1394(1),-,-,-,-
UP PG,UP Priv-Open Quota,UR,Uttar Pradesh,"Saraswati IMS, Hapur",RADIO DIAGNOSIS,"₹20,22,143*","₹32,000*",0,₹0,851,2024,-,1114(6),1172(6),-,-,-,-,-,-,1275(6),1239(6),1394(6),-,-,-,-
TEL Mgmt PG,TELMgmt-MQ1-CatB-All,MQ1,Telangana,"Dr Patnam MRInstofMS,Chevella",ANAESTHESIOLOGY,"₹23,00,000*",Info not available*,1*,"₹20,00,000*",-,2024,-,920(2),1117(2),1428(2),1572(2),1572(2),1572(2),-,-,1058(2),1058(2),1397(2),-,-,-,-
UP PG,UP Priv-Open Quota,UR,Uttar Pradesh,"Hind IMS, Barabanki",RADIO DIAGNOSIS,"₹25,24,901*","₹35,000",1*,₹0*,580,2024,-,1187(4),1249(4),-,-,-,-,-,-,1231(4),1234(4),1398(4),-,-,-,-
TEL Mgmt PG,TELMgmt-MQ1-CatB-All,MQ1,Telangana,"Mediciti IMS, Ghanpur",ANAESTHESIOLOGY,"₹23,00,000*",Info not available*,1*,"₹20,00,000*",720,2024,-,868(4),1120(4),1347(4),1450(4),1450(4),1450(4),-,-,1031(4),1031(4),1408(4),-,-,-,-
AP Mgmt PG,APMgmt-S1-All-CatB,S1A,Andhra Pradesh,"Nimra Inst of Med Sci, Krishna",OBG,"₹9,93,600*",Info not available*,1*,Info not available*,-,2024,-,728(1),1657(1),-,-,-,-,-,-,361(1),547(1),1408(1),-,-,-,-
UK PG,UK Priv-AllIndia/Mgmt,UR-MNG,Uttarakhand,"HIMS, Dehradun",IHBT,"₹15,00,000*","₹40,000",0,₹0,1200,2024,-,470(1),-,231(1),-,-,-,-,-,922(2),922(1),1413(1),-,1204(2),-,-
TEL Mgmt PG,TELMgmt-MQ1-CatB-All,MQ1,Telangana,"Prathima IMS, Karimnagar",PSYCHIATRY,"₹23,00,000*",Info not available*,1*,"₹20,00,000*",1060,2024,-,-,-,-,-,-,-,-,-,1117(1),1126(1),1423(1),-,-,-,-
PNDCHRY PG,PY Mgmt-Open,AGE,Pondicherry,"SriVenkateswaraa, Pondicherry",ENT,"₹33,00,000*","₹7,000*",2*,Info not available*,1120,2024,-,-,-,1682(2),-,-,-,-,-,-,-,1433(1),-,-,-,-
AP Mgmt PG,APMgmt-S1-All-CatB,S1A,Andhra Pradesh,"Fathima IMS,Kadapa",OBG,"₹9,93,600*","₹25,000*",1*,Info not available*,750,2024,-,320(1),1923(1),-,-,-,-,-,-,823(1),1076(1),1433(1),-,-,-,-
UP PG,UP Priv-Open Quota,UR,Uttar Pradesh,"Rama Med Coll, Hapur",RADIO DIAGNOSIS,"₹24,75,612*","₹30,000*",Info Not Available,Info not available,1259,2024,-,1160(2),1220(2),-,-,-,-,-,-,1190(2),1414(2),1435(2),-,-,-,-
HP PG,HP Priv All,GEN,Himachal Pradesh,"MMU, Solan",PATHOLOGY,"₹15,95,000*","₹40,000",1,"₹10,00,000",720,2024,-,143(1),-,1144(3),-,-,-,-,-,852(3),-,1443(4),-,-,-,-
TEL Mgmt PG,TELMgmt-MQ1-CatB-All,MQ1,Telangana,"Maheshwara Med Coll, Medak",ANAESTHESIOLOGY,"₹23,00,000*",Info not available*,1*,"₹20,00,000*",745,2024,-,-,-,-,-,-,-,-,-,1114(1),1114(1),1446(1),-,-,-,-
TEL Mgmt PG,TELMgmt-MQ1-CatB-All,MQ1,Telangana,"Prathima IMS, Karimnagar",PATHOLOGY,"₹5,62,250*",Info not available*,1*,"₹20,00,000*",1060,2024,-,1095(1),1396(1),1396(1),1396(1),1396(1),1396(1),-,-,1584(1),1584(1),1448(1),-,-,-,-
WB PG,WB Mgmt Quota,MQ,West Bengal,"Jagannath Gupta IMS, Kolkata",GENERAL MEDICINE,"₹27,00,000*","₹43,600",0,₹0,-,2024,-,823(1),861(1),861(1),861(1),-,-,-,-,1116(2),799(2),1451(2),-,-,-,-
TN Mgmt PG,TN Mgmt Quota,GEN,Tamil Nadu,"Madha Medical College, Chennai",OPHTHALMOLOGY,"₹15,50,000*",Info not available,0,₹0,-,2024,-,-,2335(1),2335(1),-,-,-,-,-,1292(1),1463(1),1463(1),-,-,-,-
UP PG,UP Priv-Open Quota,UR,Uttar Pradesh,"Hind IMS, Sitapur",RADIO DIAGNOSIS,"₹20,40,950*","₹30,000",1*,₹0*,700,2024,-,1265(2),1337(2),-,-,-,-,-,-,1343(2),1447(2),1468(2),-,-,-,-
TEL Mgmt PG,TELMgmt-MQ1-CatB-All,MQ1,Telangana,"MNR Med Coll, Sangareddy",ANAESTHESIOLOGY,"₹23,00,000*",Info not available*,1*,"₹20,00,000*",760,2024,-,909(3),1102(3),1421(3),1545(3),1545(3),1545(3),-,-,1077(3),1132(3),1474(3),-,1345(1),-,-
TEL Mgmt PG,TELMgmt-MQ1-CatB-All,MQ1,Telangana,"Mahavir Inst of MS, Vikarabad",ANAESTHESIOLOGY,"₹23,00,000*",Info not available*,1*,"₹20,00,000*",700,2024,-,-,-,-,-,-,-,-,-,1078(1),1142(1),1475(1),-,-,-,-
TEL Mgmt PG,TELMgmt-MQ1-CatB-All,MQ1,Telangana,"Surabhi InstituteofMS,Siddipet",ANAESTHESIOLOGY,"₹24,00,000*",Info not available*,1*,"₹20,00,000*",-,2024,-,769(1),1141(1),1431(1),1231(1),1231(1),1231(1),-,-,1116(1),1133(1),1480(1),-,1472(1),-,-
TEL Mgmt PG,TELMgmt-MQ1-CatB-All,MQ1,Telangana,"Dr Patnam MRInstofMS,Chevella",ENT,"₹23,00,000*",Info not available*,1*,"₹20,00,000*",-,2024,-,730(1),827(1),1436(1),1436(1),1436(1),1436(1),-,-,888(1),628(1),1486(1),-,-,-,-
PNDCHRY PG,PY Mgmt-Open,AGE,Pondicherry,"PIMS, Pondicherry",PATHOLOGY,"₹6,55,000","₹43,000",0,₹0,740,2024,-,-,1549(2),1554(2),-,-,-,-,-,-,-,1501(2),-,-,-,-
TEL Mgmt PG,TELMgmt-MQ1-CatB-All,MQ1,Telangana,"Mediciti IMS, Ghanpur",ENT,"₹23,00,000*",Info not available*,1*,"₹20,00,000*",720,2024,-,712(1),989(1),1252(1),1412(1),1723(1),1723(1),-,-,913(1),727(1),1510(1),-,1206(1),-,-
PNDCHRY PG,PY Mgmt-Open,AGE,Pondicherry,"SriVenkateswaraa, Pondicherry",GENERAL SURGERY,"₹39,00,000*","₹7,000*",2*,Info not available*,1120,2024,-,-,1359(9),1359(9),-,-,-,-,-,-,-,1515(10),-,1564(4),-,-
WB PG,WB Mgmt Quota,MQ,West Bengal,"Jagannath Gupta IMS, Kolkata",OBG,"₹27,00,000*","₹43,600",0,₹0,-,2024,-,-,-,-,-,-,-,-,-,1326(1),1417(1),1520(1),-,-,-,-
UP PG,UP Priv-Open Quota,UR,Uttar Pradesh,"Venkateshwara IMS, Gajraula",RADIO DIAGNOSIS,"₹21,63,946*","₹36,000",0,₹0,750,2024,-,1388(2),1468(2),-,-,-,-,-,-,1410(2),1497(2),1522(2),-,-,-,-
TEL Mgmt PG,TELMgmt-MQ1-CatB-All,MQ1,Telangana,"Kamineni (KAMSRC), Hyderabad",SPM,"₹5,45,000*",Info not available*,1*,"₹20,00,000*",650,2024,-,-,1353(1),1353(1),1353(1),1353(1),1353(1),-,-,-,1523(1),1523(1),-,-,-,-
AP Mgmt PG,APMgmt-S1-All-CatB,S1A,Andhra Pradesh,"Santhiram Med Coll, Nandyal",ANAESTHESIOLOGY,"₹9,93,600*","₹30,000*",1*,Info not available*,930,2024,-,-,-,-,-,-,-,-,-,594(1),894(1),1523(1),-,-,-,-
WB PG,WB Mgmt Quota,MQ,West Bengal,"Shri Ramkrishna IMS, Durgapur",PAEDIATRICS,"₹40,00,000*","₹60,000",0,₹0,-,2024,-,1216(2),719(2),813(2),395(2),-,-,-,-,1152(1),891(1),1525(1),-,-,-,-
WB PG,WB Mgmt Quota,MQ,West Bengal,"Gouri Devi Inst of MS,Durgapur",OBG,"₹40,00,000*","₹44,000",0,₹0,-,2024,-,-,-,-,-,-,-,-,-,1247(3),1685(3),1532(3),-,431(1),-,-
PNDCHRY PG,PY Mgmt-Open,AGE,Pondicherry,"SMVMCH, Pondicherry",PSYCHIATRY,"₹23,90,000*",₹0*,0,₹0,900,2024,-,159(3),1638(2),1684(3),-,-,-,-,-,241(3),1472(3),1535(3),-,-,-,-
UP PG,UP Priv-Open Quota,UR,Uttar Pradesh,"Rama Med Coll, Kanpur",RADIO DIAGNOSIS,"₹25,62,430*","₹30,000",0,₹0,730,2024,-,1191(4),1253(4),-,-,-,-,-,-,1280(4),1511(4),1536(4),-,-,-,-
UP PG,UP Priv-Open Quota,UR,Uttar Pradesh,"Heritage IMS, Varanasi",RADIO DIAGNOSIS,"₹21,12,517*","₹21,000",0,₹0,735,2024,-,1278(4),1351(4),-,-,-,-,-,-,1254(4),1477(4),1537(4),-,-,-,-
TEL Mgmt PG,TELMgmt-MQ1-CatB-All,MQ1,Telangana,"MNR Med Coll, Sangareddy",ENT,"₹23,00,000*",Info not available*,1*,"₹20,00,000*",760,2024,-,714(1),828(1),1050(1),1050(1),1050(1),1050(1),-,-,916(1),916(1),1538(1),-,-,-,-
UP PG,UP Priv-Open Quota,UR,Uttar Pradesh,"TS Misra Med Coll, Lucknow",RADIO DIAGNOSIS,"₹21,63,946*","₹30,000",0,₹0,735,2024,-,1330(4),1404(4),-,-,-,-,-,-,1441(4),1521(4),1546(4),-,-,-,-
PNDCHRY PG,PY Mgmt-Open,AGE,Pondicherry,"SriVenkateswaraa, Pondicherry",ANAESTHESIOLOGY,"₹33,00,000*","₹7,000*",2*,Info not available*,1120,2024,-,-,-,1964(7),-,-,-,1839(1),-,-,-,1560(6),-,1556(2),-,-
UP PG,UP Priv-Open Quota,UR,Uttar Pradesh,"KD Med Coll, Mathura",GENERAL MEDICINE,"₹21,63,946*","₹32,000",0,₹0,720,2024,-,1899(3),2028(3),-,-,-,-,-,-,1539(3),1539(3),1564(3),-,-,-,-
PNDCHRY PG,PY Mgmt-Open,AGE,Pondicherry,"SriVenkateswaraa, Pondicherry",PSYCHIATRY,"₹33,00,000*","₹7,000*",2*,Info not available*,1120,2024,-,-,-,1853(2),-,-,-,-,-,-,-,1567(1),-,1531(1),-,-
TEL Mgmt PG,TELMgmt-MQ1-CatB-All,MQ1,Telangana,"Mamata AcadofMedSci,Bachupally",PSYCHIATRY,"₹23,00,000*",Info not available*,1*,"₹20,00,000*",-,2024,-,-,-,-,-,-,-,-,-,1054(1),661(1),1568(1),-,-,-,-
TEL Mgmt PG,TELMgmt-MQ1-CatB-All,MQ1,Telangana,"Mamata Med Coll, Khammam",PSYCHIATRY,"₹23,00,000*",Info not available*,1*,"₹20,00,000*",1080,2024,-,842(1),933(1),1020(1),1020(1),1020(1),1020(1),-,-,1111(1),1170(1),1575(1),-,-,-,-
TN Mgmt PG,TN Mgmt Quota,GEN,Tamil Nadu,"Velammal Med Col, Madurai",OPHTHALMOLOGY,"₹15,50,000*","₹37,000*",0,₹0,1024,2024,-,663(1),1343(1),711(1),1356(1),-,-,-,-,868(1),846(1),1576(1),-,1830(1),-,-
UP PG,UP Priv-Open Quota,UR,Uttar Pradesh,Muzaffarnagar Medical College,DERMATOLOGY,"₹23,23,197*","₹56,100*",1*,₹0*,857,2024,-,1072(5),1074(5),146(2),176(2),69(2),-,-,-,1097(5),1440(5),1581(5),-,-,-,-
TN Mgmt PG,TN Mgmt Quota,GEN,Tamil Nadu,"Reg CancerCenter,Adyar,Chennai",RADIATION ONCOLOGY,"₹15,50,000*","₹48,000*",0,₹0,535,2024,-,584(4),869(4),869(4),932(1),-,-,-,-,762(3),963(3),1586(3),-,1789(1),-,-
TEL Mgmt PG,TELMgmt-MQ1-CatB-All,MQ1,Telangana,"Kamineni IMS, Narketpally",PSYCHIATRY,"₹23,00,000*",Info not available*,1*,"₹20,00,000*",1060,2024,-,871(1),1020(1),1305(1),1305(1),1305(1),1305(1),-,-,1126(1),1199(1),1591(1),-,-,-,-
TN Mgmt PG,TN Mgmt Quota,GEN,Tamil Nadu,"Madha Medical College, Chennai",GENERAL MEDICINE,"₹15,50,000*",Info not available,0,₹0,-,2024,-,-,-,-,-,-,-,-,-,595(2),842(2),1597(2),-,1929(1),2302(1),-
TN Mgmt PG,TN Mgmt Quota,GEN,Tamil Nadu,"Tagore Med Coll, Chennai",ORTHOPAEDICS,"₹15,50,000*","₹35,000*",0,₹0,818,2024,-,529(1),1074(2),1074(2),-,-,-,-,-,921(1),921(1),1604(1),-,3062(1),-,-
TEL Mgmt PG,TELMgmt-MQ1-CatB-All,MQ1,Telangana,"Dr Patnam MRInstofMS,Chevella",PSYCHIATRY,"₹23,00,000*",Info not available*,1*,"₹20,00,000*",-,2024,-,-,1090(1),1365(1),1601(1),1601(1),1601(1),-,-,-,-,1606(1),-,-,-,-
WB PG,WB Mgmt Quota,MQ,West Bengal,"Jagannath Gupta IMS, Kolkata",ORTHOPAEDICS,"₹27,00,000*","₹43,600",0,₹0,-,2024,-,1142(2),1384(2),1384(2),1384(2),-,-,-,-,1437(1),1418(1),1616(1),-,-,-,-
TN Mgmt PG,TN Mgmt Quota,GEN,Tamil Nadu,"Madha Medical College, Chennai",ORTHOPAEDICS,"₹15,50,000*",Info not available,0,₹0,-,2024,-,-,1320(1),1320(1),-,-,-,-,-,1339(1),1623(1),1623(1),-,-,-,-
WB PG,WB Mgmt Quota,MQ,West Bengal,"IQ-City Med Coll, Burdwan",TBRD,"₹27,00,000*","₹40,000",0*,₹0*,800,2024,-,1229(2),1264(2),1180(2),1180(2),-,-,-,-,1526(2),1680(2),1623(2),-,472(1),-,-
TN Mgmt PG,TN Mgmt Quota,GEN,Tamil Nadu,"Madha Medical College, Chennai",OBG,"₹15,50,000*",Info not available,0,₹0,-,2024,-,-,706(1),706(1),-,-,-,-,-,601(1),305(1),1624(1),-,1674(1),1669(1),-
RJSTHN PG,RAJ Priv-All India,GEN,Rajasthan,"Ananta IMS & RC, Rajsamand",DERMATOLOGY,"₹32,55,000*","₹25,000",0,₹0,775,2024,-,1510(1),1573(1),-,2197(1),-,-,-,-,1241(1),1621(1),1625(1),-,-,-,-
PNDCHRY PG,PY Mgmt-Open,AGE,Pondicherry,"SMVMCH, Pondicherry",PHARMACOLOGY,"₹1,00,000*",₹0*,0,₹0,900,2024,-,361(2),-,-,-,-,-,-,-,661(2),-,1628(1),-,-,2035(1),-
TN Mgmt PG,TN Mgmt Quota,GEN,Tamil Nadu,"KarpagaVinayaga,Maduranthagam",GENERAL SURGERY,"₹15,50,000*","₹10,000*",0,₹0,550,2024,-,777(2),1289(2),1666(2),-,-,-,-,-,699(1),699(1),1628(1),-,2871(1),2901(1),-
WB PG,WB Mgmt Quota,MQ,West Bengal,"Jagannath Gupta IMS, Kolkata",TBRD,"₹27,00,000*","₹43,600",0,₹0,-,2024,-,-,-,-,-,-,-,-,-,-,1722(1),1632(1),-,-,-,-
TEL Mgmt PG,TELMgmt-MQ1-CatB-All,MQ1,Telangana,"Kamineni (KAMSRC), Hyderabad",PATHOLOGY,"₹5,45,000*",Info not available*,1*,"₹20,00,000*",650,2024,-,723(1),1192(1),1192(1),1192(1),1192(1),1192(1),-,-,1066(1),1066(1),1635(1),-,1471(1),-,-
TEL Mgmt PG,TELMgmt-MQ1-CatB-All,MQ1,Telangana,"Mediciti IMS, Ghanpur",PATHOLOGY,"₹5,30,000*",Info not available*,1*,"₹20,00,000*",720,2024,-,-,-,-,-,-,-,-,-,1654(1),1654(1),1654(1),-,-,-,-
WB PG,WB Mgmt Quota,MQ,West Bengal,"KPC Med Coll, Jadavpur",ANAESTHESIOLOGY,"₹27,00,000*","₹43,758",0,₹0,750,2024,-,-,-,-,-,-,-,-,-,1759(2),1743(2),1677(2),-,-,-,-
TN Mgmt PG,TN Mgmt Quota,GEN,Tamil Nadu,"Madha Medical College, Chennai",PAEDIATRICS,"₹15,50,000*",Info not available,0,₹0,-,2024,-,-,-,-,-,-,-,-,-,642(1),930(1),1681(1),-,-,-,-
WB PG,WB Mgmt Quota,MQ,West Bengal,"KPC Med Coll, Jadavpur",GENERAL SURGERY,"₹27,00,000*","₹43,758",0,₹0,750,2024,-,1197(4),1092(4),1174(4),1174(4),-,-,-,-,1478(6),1478(6),1683(6),-,-,-,-
TN Mgmt PG,TN Mgmt Quota,GEN,Tamil Nadu,"Dhanalakshmi Srin, Perambalur",PAEDIATRICS,"₹15,50,000*","₹35,000*",0,₹0,800,2024,-,335(1),688(1),1020(1),-,-,-,-,-,542(1),767(1),1687(2),-,1975(1),2521(1),-
TN Mgmt PG,TN Mgmt Quota,GEN,Tamil Nadu,"Tagore Med Coll, Chennai",TBRD,"₹15,50,000*","₹35,000*",0,₹0,818,2024,-,417(1),1151(1),1151(1),-,-,-,-,-,787(1),787(1),1700(1),-,-,-,-
WB PG,WB Mgmt Quota,MQ,West Bengal,"Shri Ramkrishna IMS, Durgapur",ORTHOPAEDICS,"₹40,00,000*","₹60,000",0,₹0,-,2024,-,945(2),728(2),844(2),513(2),-,-,-,-,501(1),866(1),1706(1),-,506(1),437(1),-
RJSTHN PG,RAJ Priv-All India,GEN,Rajasthan,"MGMC&H, Sitapur, Jaipur",PSYCHIATRY,"₹40,00,000*","₹55,000",0,₹0,1400,2024,-,1910(1),2144(1),2193(1),-,-,-,-,-,1694(1),1709(1),1713(1),-,-,-,-
PNDCHRY PG,PY Mgmt-Open,AGE,Pondicherry,"PIMS, Pondicherry",SPM,"₹6,55,000","₹43,000",0,₹0,740,2024,-,-,1353(2),1569(2),-,-,-,-,-,-,-,1727(2),-,1770(1),-,-
