Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2023 6,CR 2023 7,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4
AP Govt-NS LOC (SVU),BCB-GEN,Andhra Pradesh,"Narayana Med Coll, Nellore",RADIO DIAGNOSIS,"₹4,96,800*","₹30,000*",1*,"₹40,00,000*",1430,-,-,-,-,-,-,-,442(1),128(1),129(1),-
AP Govt-NS LOC (AU),OPEN-GEN,Andhra Pradesh,"Guntur Med Coll, Guntur",GENERAL MEDICINE,"₹48,600*","₹60,823",1*,"₹40,00,000*",1170,77(1),147(3),-,-,-,-,-,55(3),106(4),132(4),-
AP Govt-NS LOC (AU),BCA-GEN,Andhra Pradesh,"Andhra Med Coll, Vizag",DERMATOLOGY,"₹48,600*","₹60,823",1*,"₹40,00,000*",1030,-,-,-,-,-,-,-,133(1),133(1),134(1),-
AP Govt-NS APUR,OPEN-GEN,Andhra Pradesh,"Govt Siddhartha, Vijaywada",GENERAL MEDICINE,"₹48,600*","₹60,823",1*,"₹40,00,000*",707,-,-,-,-,-,-,-,70(1),100(1),139(1),-
AP Govt-NS LOC (SVU),OPEN-FEM,Andhra Pradesh,"SV Med Coll, Tirupati",GENERAL MEDICINE,"₹48,600*","₹60,823",1*,"₹40,00,000*",940,153(1),157(1),-,-,-,-,-,82(1),86(2),141(2),-
AP Govt-NS LOC (SVU),OPEN-FEM,Andhra Pradesh,"SV Med Coll, Tirupati",DERMATOLOGY,"₹48,600*","₹60,823",1*,"₹40,00,000*",940,-,-,-,-,-,-,-,84(1),145(1),146(1),-
AP Govt-NS LOC (SVU),OPEN-GEN,Andhra Pradesh,"Govt Med Coll, Ananthapuram",RADIO DIAGNOSIS,"₹48,600*","₹60,823",1*,"₹40,00,000*",500,-,-,-,-,-,-,-,123(1),123(1),152(1),-
AP Govt-NS AP LOC,OPEN-GEN,Andhra Pradesh,"Govt Siddhartha, Vijaywada",GENERAL MEDICINE,"₹48,600*","₹60,823",1*,"₹40,00,000*",707,-,-,-,-,-,-,-,76(1),118(1),155(2),-
AP Govt-NS LOC (AU),BCD-GEN,Andhra Pradesh,"Andhra Med Coll, Vizag",DERMATOLOGY,"₹48,600*","₹60,823",1*,"₹40,00,000*",1030,-,-,-,-,-,-,-,155(1),155(1),156(1),-
AP Govt-NS LOC (SVU),OPEN-FEM,Andhra Pradesh,"Kurnool Med Coll, Kurnool",RADIO DIAGNOSIS,"₹48,600*","₹60,823",1*,"₹40,00,000*",1150,-,-,-,-,-,-,-,61(1),98(1),160(1),-
AP Govt-NS LOC (AU),BCB-GEN,Andhra Pradesh,"Guntur Med Coll, Guntur",GENERAL MEDICINE,"₹48,600*","₹60,823",1*,"₹40,00,000*",1170,-,-,-,-,-,-,-,147(1),147(1),161(1),-
AP Govt-NS LOC (AU),OPEN-FEM,Andhra Pradesh,"NRI Med Coll, Guntur",RADIO DIAGNOSIS,"₹4,96,800*","₹27,000*",1*,"₹40,00,000*",1050,-,-,-,-,-,-,-,163(1),163(1),164(1),-
AP Govt-NS LOC (SVU),OPEN-FEM,Andhra Pradesh,"Narayana Med Coll, Nellore",RADIO DIAGNOSIS,"₹4,96,800*","₹30,000*",1*,"₹40,00,000*",1430,-,-,-,-,-,-,-,166(1),166(1),167(1),-
AP Govt-NS APUR,OPEN-GEN,Andhra Pradesh,"Rangaraya Med Coll, Kakinada",GENERAL MEDICINE,"₹48,600*","₹60,823",1*,"₹40,00,000*",1450,-,-,-,-,-,-,-,29(1),101(1),173(2),-
AP Govt-NS LOC (AU),OPEN-GEN,Andhra Pradesh,"Rangaraya Med Coll, Kakinada",DERMATOLOGY,"₹48,600*","₹60,823",1*,"₹40,00,000*",1450,-,-,-,-,-,-,-,101(1),173(1),175(1),-
AP Govt-NS LOC (SVU),OPEN-FEM,Andhra Pradesh,"Govt Med Coll, Ananthapuram",RADIO DIAGNOSIS,"₹48,600*","₹60,823",1*,"₹40,00,000*",500,122(1),531(1),-,-,-,-,-,98(1),159(1),185(1),-
AP Govt-NS LOC (AU),OPEN-FEM,Andhra Pradesh,"Rangaraya Med Coll, Kakinada",GENERAL MEDICINE,"₹48,600*","₹60,823",1*,"₹40,00,000*",1450,87(1),179(1),-,-,-,-,-,66(1),131(1),186(2),-
AP Govt-NS LOC (SVU),OPEN-GEN,Andhra Pradesh,"SV Med Coll, Tirupati",GENERAL MEDICINE,"₹48,600*","₹60,823",1*,"₹40,00,000*",940,146(2),209(4),-,-,-,-,-,86(3),139(4),190(4),-
AP Govt-NS APUR,OPEN-GEN,Andhra Pradesh,"NRI Med Coll, Guntur",RADIO DIAGNOSIS,"₹4,96,800*","₹27,000*",1*,"₹40,00,000*",1050,-,-,-,-,-,-,-,105(1),105(1),192(1),-
AP Govt-NS LOC (SVU),OPEN-GEN-PHO,Andhra Pradesh,"SV Med Coll, Tirupati",GENERAL MEDICINE,"₹48,600*","₹60,823",1*,"₹40,00,000*",940,-,-,-,-,-,-,-,96(1),96(1),199(1),-
AP Govt-NS LOC (AU),BCE-GEN,Andhra Pradesh,"Guntur Med Coll, Guntur",GENERAL MEDICINE,"₹48,600*","₹60,823",1*,"₹40,00,000*",1170,-,-,-,-,-,-,-,150(1),150(1),202(1),-
AP Govt-NS LOC (SVU),BCB-GEN,Andhra Pradesh,"Rajiv Gandhi IMS, Kadapa",RADIO DIAGNOSIS,"₹48,600*","₹60,823",1*,"₹40,00,000*",715,124(1),547(1),-,-,-,-,-,-,153(1),204(1),-
AP Govt-NS LOC (AU),OPEN-GEN,Andhra Pradesh,"Rangaraya Med Coll, Kakinada",GENERAL MEDICINE,"₹48,600*","₹60,823",1*,"₹40,00,000*",1450,106(1),201(1),-,-,-,-,-,-,109(1),206(1),-
AP Govt-NS APUR,OPEN-FEM,Andhra Pradesh,"Alluri Sitaram Raju, Eluru",RADIO DIAGNOSIS,"₹4,96,800*","₹30,000*",1*,"₹40,00,000*",1200,-,-,-,-,-,-,-,201(1),205(1),207(1),-
AP Govt-NS LOC (SVU),OPEN-FEM,Andhra Pradesh,"SV Med Coll, Tirupati",PAEDIATRICS,"₹48,600*","₹60,823",1*,"₹40,00,000*",940,226(2),474(2),-,-,-,-,-,206(1),206(1),208(1),-
AP Govt-NS APUR,OPEN-FEM,Andhra Pradesh,"NRI Med Coll, Guntur",GENERAL MEDICINE,"₹4,96,800*","₹27,000*",1*,"₹40,00,000*",1050,-,348(1),-,-,-,-,-,152(1),152(1),209(1),-
AP Govt-NS APUR,OPEN-GEN,Andhra Pradesh,"Govt Siddhartha, Vijaywada",DERMATOLOGY,"₹48,600*","₹60,823",1*,"₹40,00,000*",707,-,-,-,-,-,-,-,125(1),158(1),212(1),-
AP Govt-NS APUR,OPEN-GEN,Andhra Pradesh,"Rajiv Gandhi IMS, Srikakulam",GENERAL MEDICINE,"₹48,600*","₹60,823",1*,"₹40,00,000*",532,-,206(1),-,-,-,-,-,-,-,219(1),-
AP Govt-NS LOC (AU),BCD-GEN,Andhra Pradesh,"Rangaraya Med Coll, Kakinada",GENERAL MEDICINE,"₹48,600*","₹60,823",1*,"₹40,00,000*",1450,-,-,-,-,-,-,-,108(2),112(1),223(1),-
AP Govt-NS APUR,OPEN-GEN,Andhra Pradesh,"Rajiv Gandhi IMS, Srikakulam",DERMATOLOGY,"₹48,600*","₹60,823",1*,"₹40,00,000*",532,281(1),515(1),-,-,-,-,-,-,174(1),226(1),-
AP Govt-NS LOC (AU),OPEN-FEM,Andhra Pradesh,"Rajiv Gandhi IMS, Srikakulam",GENERAL MEDICINE,"₹48,600*","₹60,823",1*,"₹40,00,000*",532,-,-,-,-,-,-,-,-,185(1),227(1),-
AP Govt-NS APUR,OPEN-GEN,Andhra Pradesh,"Dr PSI Med Coll, Chinoutpalli",RADIO DIAGNOSIS,"₹4,96,800*","₹28,000*",1*,"₹40,00,000*",790,-,-,-,-,-,-,-,-,191(1),231(1),-
AP Govt-NS LOC (SVU),OPEN-GEN,Andhra Pradesh,"SVIMS, Tirupati",GENERAL MEDICINE,"₹2,11,600*","₹80,904*",1*,"₹40,00,000*",1257,-,-,-,-,-,-,-,119(1),151(1),232(1),-
AP Govt-NS LOC (AU),OPEN-GEN,Andhra Pradesh,"Andhra Med Coll, Vizag",PAEDIATRICS,"₹48,600*","₹60,823",1*,"₹40,00,000*",1030,-,-,-,-,-,-,-,109(1),233(2),235(1),-
AP Govt-NS LOC (SVU),BCB-FEM,Andhra Pradesh,"Govt Med Coll, Ananthapuram",RADIO DIAGNOSIS,"₹48,600*","₹60,823",1*,"₹40,00,000*",500,-,-,-,-,-,-,-,236(1),236(1),238(1),-
AP Govt-NS LOC (SVU),OPEN-FEM,Andhra Pradesh,"Rajiv Gandhi IMS, Kadapa",GENERAL MEDICINE,"₹48,600*","₹60,823",1*,"₹40,00,000*",715,-,-,-,-,-,-,-,-,-,251(2),-
AP Govt-NS APUR,BCA-GEN,Andhra Pradesh,"SVIMS, Tirupati",GENERAL MEDICINE,"₹2,11,600*","₹80,904*",1*,"₹40,00,000*",1257,-,-,-,-,-,-,-,176(1),176(1),255(1),-
AP Govt-NS LOC (SVU),BCB-FEM,Andhra Pradesh,"SV Med Coll, Tirupati",GENERAL MEDICINE,"₹48,600*","₹60,823",1*,"₹40,00,000*",940,-,-,-,-,-,-,-,116(1),258(1),260(1),-
AP Govt-NS LOC (SVU),BCB-FEM,Andhra Pradesh,"SVIMS, Tirupati",GENERAL MEDICINE,"₹2,11,600*","₹80,904*",1*,"₹40,00,000*",1257,-,-,-,-,-,-,-,258(1),260(1),262(1),-
AP Govt-NS APUR,OPEN-GEN,Andhra Pradesh,"Alluri Sitaram Raju, Eluru",GENERAL MEDICINE,"₹4,96,800*","₹30,000*",1*,"₹40,00,000*",1200,-,-,-,-,-,-,-,195(1),195(1),263(2),-
AP Govt-NS LOC (SVU),OPEN-FEM,Andhra Pradesh,"Narayana Med Coll, Nellore",GENERAL MEDICINE,"₹4,96,800*","₹30,000*",1*,"₹40,00,000*",1430,368(2),392(3),-,-,-,-,-,260(1),270(1),272(1),-
AP Govt-NS LOC (AU),BCA-GEN,Andhra Pradesh,"Rajiv Gandhi IMS, Srikakulam",GENERAL MEDICINE,"₹48,600*","₹60,823",1*,"₹40,00,000*",532,-,-,-,-,-,-,-,275(1),275(1),277(1),-
AP Govt-NS LOC (AU),BCB-FEM,Andhra Pradesh,"Rangaraya Med Coll, Kakinada",PAEDIATRICS,"₹48,600*","₹60,823",1*,"₹40,00,000*",1450,-,-,-,-,-,-,-,278(1),278(1),280(1),-
AP Govt-NS LOC (SVU),OPEN-GEN,Andhra Pradesh,"Rajiv Gandhi IMS, Kadapa",GENERAL MEDICINE,"₹48,600*","₹60,823",1*,"₹40,00,000*",715,-,-,-,-,-,-,-,151(2),146(2),283(3),-
AP Govt-NS LOC (AU),BCA-FEM,Andhra Pradesh,"Rajiv Gandhi IMS, Srikakulam",GENERAL MEDICINE,"₹48,600*","₹60,823",1*,"₹40,00,000*",532,-,-,-,-,-,-,-,-,286(1),288(1),-
AP Govt-NS LOC (AU),BCE-GEN,Andhra Pradesh,"NRI Med Coll, Guntur",RADIO DIAGNOSIS,"₹4,96,800*","₹27,000*",1*,"₹40,00,000*",1050,-,-,-,-,-,-,-,287(1),287(1),289(1),-
