Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 3.5,CR 2024 4,CR 2024 5
TN CMC-Service,CMC-Service,Tamil Nadu,"CMC, Vellore",PSYCHIATRY,"₹65,470*","₹51,000",2,"₹40,00,000",2879,1095(1),1095(1),1095(1),-,-,379(1),685(1),685(1),-,-,-
TN NRI Quota,NRI,Tamil Nadu,"Velammal Med Col, Madurai",GENERAL MEDICINE,"₹26,00,000*","₹37,000*",0,₹0,1024,582(1),1309(1),1309(1),-,-,526(1),602(1),706(1),-,-,-
TN Mgmt Quota,GEN,Tamil Nadu,"PSG IMS, Coimbatore",OPHTHALMOLOGY,"₹15,50,000*","₹25,000*",0,₹0,1130,347(1),593(1),593(1),-,-,686(1),725(1),725(1),-,-,-
TN Mgmt Quota,GEN,Tamil Nadu,"Madha Medical College, Chennai",DERMATOLOGY,"₹15,50,000*",Info not available,0,₹0,-,-,-,-,-,-,337(1),637(1),758(1),-,-,-
TN CMC-Minority Network,CMC-Minority Network,Tamil Nadu,"CMC, Vellore",GENERAL SURGERY,"₹65,470*","₹51,000",3,"₹40,00,000",2879,422(4),422(4),422(4),-,-,729(4),729(4),778(4),-,1021(1),-
TN Mgmt Quota,GEN,Tamil Nadu,"Tagore Med Coll, Chennai",GENERAL MEDICINE,"₹15,50,000*","₹35,000*",0,₹0,818,395(2),395(2),395(2),-,-,381(2),381(2),779(2),-,-,-
TN Mgmt Quota,GEN,Tamil Nadu,"PSG IMS, Coimbatore",TBRD,"₹15,50,000*","₹25,000*",0,₹0,1130,84(1),188(1),188(1),-,-,277(1),423(1),787(1),-,-,-
TN Mgmt Quota,GEN,Tamil Nadu,"Tagore Med Coll, Chennai",OBG,"₹15,50,000*","₹35,000*",0,₹0,818,-,-,-,-,-,579(1),579(1),788(1),-,-,-
TN Mgmt-Telugu Min,Telugu Minority,Tamil Nadu,"Trichy SRM Med Coll, Trichy",OBG,"₹15,50,000*","₹35,000*",0,₹0,1575,470(1),793(1),793(1),-,-,799(1),799(1),799(1),-,-,-
TN CMC-Inst Preference,CMC-Institutional Preference,Tamil Nadu,"CMC, Vellore",PAEDIATRICS,"₹65,470*","₹51,000",3,"₹40,00,000",2879,592(1),592(1),592(1),-,-,809(1),809(1),809(1),-,-,-
TN Mgmt Quota,GEN,Tamil Nadu,"Velammal Med Col, Madurai",GENERAL SURGERY,"₹15,50,000*","₹37,000*",0,₹0,1024,310(1),730(1),581(1),-,-,409(1),409(1),813(1),-,-,-
TN CMC-Minority Network,CMC-Minority Network,Tamil Nadu,"CMC, Vellore",RADIO DIAGNOSIS,"₹65,470*","₹51,000",3,"₹40,00,000",2879,1084(8),1084(8),1084(8),-,-,774(8),844(8),844(8),-,-,-
TN CMC-Minority Network,CMC-Minority Network,Tamil Nadu,"CMC, Vellore",TBRD,"₹65,470*","₹51,000",3,"₹40,00,000",2879,544(2),1082(2),1082(2),-,-,844(2),884(2),884(2),-,-,-
