Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 3.5,CR 2024 4,CR 2024 5
TN NRI Quota,NRI,Tamil Nadu,"KarpagaVinayaga,Maduranthagam",GENERAL SURGERY,"₹26,00,000*","₹10,000*",0,₹0,550,-,-,-,-,-,2119(1),2119(1),2119(1),-,-,-
TN CMC-Minority Network,CMC-Minority Network,Tamil Nadu,"CMC, Vellore",ENT,"₹65,470*","₹51,000",3,"₹40,00,000",2879,1632(3),1632(3),1846(3),-,-,1587(3),2127(3),2127(3),-,-,-
TN CMC-Inst Preference,CMC-Institutional Preference,Tamil Nadu,"CMC, Vellore",ANAESTHESIOLOGY,"₹65,470*","₹51,000",3,"₹40,00,000",2879,1659(2),1659(2),1659(2),-,-,1938(2),1999(2),2133(2),-,-,-
TN Mgmt Quota,GEN,Tamil Nadu,"Dhanalakshmi Srin, Perambalur",GENERAL SURGERY,"₹15,50,000*","₹35,000*",0,₹0,800,452(1),1434(2),1407(1),-,-,912(2),833(2),2175(2),-,-,-
TN Mgmt-Telugu Min,Telugu Minority,Tamil Nadu,"Dhanalakshmi Srin, Perambalur",GENERAL MEDICINE,"₹15,50,000*","₹35,000*",0,₹0,800,960(2),960(2),960(2),-,-,990(2),1466(2),2184(2),-,-,-
TN NRI Quota,NRI,Tamil Nadu,Melmaruvathur Adiparasakthi,OBG,"₹26,00,000*","₹35,000*",0,₹0,700,1514(1),1838(1),1838(1),-,-,2041(2),2041(2),2192(2),-,-,-
TN Mgmt Quota,GEN,Tamil Nadu,"KarpagaVinayaga,Maduranthagam",EMERGENCY MEDICINE,"₹15,50,000*","₹10,000*",0,₹0,550,989(2),1222(2),1222(2),-,-,661(1),1378(1),2201(1),-,-,-
TN NRI Quota,NRI,Tamil Nadu,"Trichy SRM Med Coll, Trichy",ORTHOPAEDICS,"₹26,00,000*","₹35,000*",0,₹0,1575,-,-,-,-,-,2203(1),2203(1),2203(1),-,-,-
TN CMC-Minority Network,CMC-Minority Network,Tamil Nadu,"CMC, Vellore",PSYCHIATRY,"₹65,470*","₹51,000",3,"₹40,00,000",2879,1841(4),2019(4),2019(4),-,-,1832(4),2210(4),2210(4),-,-,-
TN Mgmt Quota,GEN,Tamil Nadu,"St. Peters Medical Coll, Hosur",ORTHOPAEDICS,"₹15,50,000*",Info not available,Info Not Available,Info not available,-,-,-,-,-,-,-,-,2226(1),-,-,-
TN CMC-Minority Network,CMC-Minority Network,Tamil Nadu,"CMC, Vellore",GERIATRICS,"₹65,470*","₹51,000",3,"₹40,00,000",2879,1617(2),1617(2),1617(2),-,-,1969(2),2235(2),2235(2),-,-,-
TN NRI Quota,NRI,Tamil Nadu,Melmaruvathur Adiparasakthi,PAEDIATRICS,"₹26,00,000*","₹35,000*",0,₹0,700,948(1),936(1),2271(1),-,-,2266(1),2266(1),2266(1),-,-,-
TN Mgmt Quota,GEN,Tamil Nadu,"Dhanalakshmi Srin, Perambalur",PSYCHIATRY,"₹15,50,000*","₹35,000*",0,₹0,800,1244(1),1621(1),2285(1),-,-,1104(1),1852(1),2308(1),-,3214(1),-
TN NRI Quota,NRI,Tamil Nadu,"Dhanalakshmi Srin, Perambalur",DERMATOLOGY,"₹26,00,000*","₹35,000*",0,₹0,800,1605(1),1605(1),1605(1),-,-,2199(1),2154(1),2313(1),-,-,-
TN CMC-Minority Network,CMC-Minority Network,Tamil Nadu,"CMC, Vellore",OPHTHALMOLOGY,"₹65,470*","₹51,000",3,"₹40,00,000",2879,1773(4),1903(4),1903(4),-,-,2046(3),2133(3),2320(3),-,-,-
TN Mgmt Quota,GEN,Tamil Nadu,"Dhanalakshmi Srin, Perambalur",ENT,"₹15,50,000*","₹35,000*",0,₹0,800,1184(1),1413(1),2116(1),2222(1),2785(1),1121(1),1285(1),2335(1),-,-,-
TN NRI Quota,NRI,Tamil Nadu,"Tagore Med Coll, Chennai",PAEDIATRICS,"₹26,00,000*","₹35,000*",0,₹0,818,1081(1),2610(1),2610(1),-,-,2018(1),2365(1),2365(1),-,-,-
TN NRI Quota,NRI,Tamil Nadu,"Velammal Med Col, Madurai",GENERAL SURGERY,"₹26,00,000*","₹37,000*",0,₹0,1024,1141(1),1141(1),1141(1),-,-,1114(1),1513(1),2377(1),-,-,-
TN Mgmt Quota,GEN,Tamil Nadu,Melmaruvathur Adiparasakthi,ENT,"₹15,50,000*","₹35,000*",0,₹0,700,956(1),1787(1),1787(1),-,-,1140(1),1140(1),2378(1),-,-,-
TN Mgmt Quota,GEN,Tamil Nadu,"Trichy SRM Med Coll, Trichy",MICROBIOLOGY,"₹4,35,000*","₹35,000*",0,₹0,1575,-,-,3412(1),3758(1),-,2392(1),2392(1),2392(1),-,-,-
TN Mgmt Quota,GEN,Tamil Nadu,"Velammal Med Col, Madurai",PATHOLOGY,"₹4,35,000*","₹37,000*",0,₹0,1024,1331(2),1623(2),2213(2),-,-,1256(2),1256(2),2401(2),-,-,-
TN Mgmt Quota,GEN,Tamil Nadu,Melmaruvathur Adiparasakthi,ANAESTHESIOLOGY,"₹15,50,000*","₹35,000*",0,₹0,700,688(1),1204(1),1204(1),-,-,1097(2),984(2),2405(2),-,-,-
TN CMC-Minority Network,CMC-Minority Network,Tamil Nadu,"CMC, Vellore",IHBT,"₹65,470*","₹51,000",3,"₹40,00,000",2879,2019(1),1975(1),2099(1),-,-,2211(2),2411(2),2411(2),-,-,-
TN Mgmt Quota,GEN,Tamil Nadu,"St. Peters Medical Coll, Hosur",ENT,"₹15,50,000*",Info not available,Info Not Available,Info not available,-,-,-,-,-,-,-,-,2425(1),-,-,-
TN Mgmt Quota,GEN,Tamil Nadu,"Dhanalakshmi Srin, Perambalur",ANAESTHESIOLOGY,"₹15,50,000*","₹35,000*",0,₹0,800,1074(1),2466(3),2368(2),-,-,1130(2),1485(3),2464(3),-,3044(1),-
TN NRI Quota,NRI,Tamil Nadu,"Velammal Med Col, Madurai",ENT,"₹26,00,000*","₹37,000*",0,₹0,1024,-,-,-,-,-,2495(1),2495(1),2495(1),-,-,-
TN Mgmt Quota,GEN,Tamil Nadu,"Madha Medical College, Chennai",ANAESTHESIOLOGY,"₹15,50,000*",Info not available,0,₹0,-,-,-,-,-,-,1275(1),1516(1),2500(1),-,3024(1),3216(1)
TN Mgmt-Malayalam Min,Malayalam Minority,Tamil Nadu,"Mookambika IMS, Kanyakumari",GENERAL MEDICINE,"₹15,50,000*","₹15,000*",0,₹0,600,2970(3),2970(3),2970(3),-,-,2502(3),2502(3),2502(3),-,-,-
TN Mgmt Quota,GEN,Tamil Nadu,"KarpagaVinayaga,Maduranthagam",ANAESTHESIOLOGY,"₹15,50,000*","₹10,000*",0,₹0,550,1049(2),1923(2),1923(2),-,-,1031(1),1041(1),2523(1),-,-,-
TN NRI Quota,NRI,Tamil Nadu,"Trichy SRM Med Coll, Trichy",GENERAL MEDICINE,"₹26,00,000*","₹35,000*",0,₹0,1575,1362(2),1029(2),1593(2),2538(1),-,1456(4),2410(4),2531(4),-,-,-
TN Mgmt Quota,GEN,Tamil Nadu,"Madha Medical College, Chennai",ENT,"₹15,50,000*",Info not available,0,₹0,-,-,-,-,-,-,1244(1),1254(1),2536(1),-,3219(1),3263(1)
TN Mgmt Quota,GEN,Tamil Nadu,"St. Peters Medical Coll, Hosur",ANAESTHESIOLOGY,"₹15,50,000*",Info not available,Info Not Available,Info not available,-,-,-,-,-,-,-,-,2540(1),-,3115(1),-
TN CMC-General Merit,CMC-General Merit,Tamil Nadu,"CMC, Vellore",DCP,"₹78,367*","₹51,000",0,₹0,2879,1937(1),1937(1),2910(2),-,-,1692(1),1355(1),2554(1),-,3034(1),4537(1)
TN Mgmt Quota,GEN,Tamil Nadu,"Tagore Med Coll, Chennai",OPHTHALMOLOGY,"₹15,50,000*","₹35,000*",0,₹0,818,-,2274(1),2274(1),-,-,1113(1),1113(1),2557(1),-,2342(1),-
TN Mgmt Quota,GEN,Tamil Nadu,"St. Peters Medical Coll, Hosur",GENERAL SURGERY,"₹15,50,000*",Info not available,Info Not Available,Info not available,-,-,-,-,-,-,-,-,2563(2),-,-,-
TN Mgmt Quota,GEN,Tamil Nadu,"Madha Medical College, Chennai",GENERAL SURGERY,"₹15,50,000*",Info not available,0,₹0,-,-,-,-,-,-,930(3),1134(3),2574(3),-,3016(1),-
TN NRI Quota,NRI,Tamil Nadu,"Trichy SRM Med Coll, Trichy",PAEDIATRICS,"₹26,00,000*","₹35,000*",0,₹0,1575,1508(2),2268(2),2268(2),-,-,2246(2),2575(2),2575(2),-,-,-
TN Mgmt-Telugu Min,Telugu Minority,Tamil Nadu,"Trichy SRM Med Coll, Trichy",ORTHOPAEDICS,"₹15,50,000*","₹35,000*",0,₹0,1575,1685(2),1685(2),1685(2),-,-,1811(3),2584(3),2584(3),-,-,-
TN Mgmt Quota,GEN,Tamil Nadu,"Velammal Med Col, Madurai",SPM,"₹4,35,000*","₹37,000*",0,₹0,1024,1576(1),-,715(1),-,-,2594(1),2594(1),2594(1),-,-,-
TN CMC-Minority Network,CMC-Minority Network,Tamil Nadu,"CMC, Vellore",FAMILY MEDICINE,"₹65,470*","₹51,000",3,"₹40,00,000",2879,1393(1),1874(2),1874(2),-,-,1972(2),2414(2),2609(2),-,-,-
TN Mgmt Quota,GEN,Tamil Nadu,Melmaruvathur Adiparasakthi,OPHTHALMOLOGY,"₹15,50,000*","₹35,000*",0,₹0,700,702(1),1734(1),1734(1),-,-,1054(2),1155(2),2642(2),-,-,-
TN NRI Quota,NRI,Tamil Nadu,"Madha Medical College, Chennai",DERMATOLOGY,"₹26,00,000*",Info not available,0,₹0,-,1808(1),1808(1),1808(1),-,-,2307(1),2437(1),2654(1),-,-,-
TN Mgmt Quota,GEN,Tamil Nadu,"KarpagaVinayaga,Maduranthagam",ENT,"₹15,50,000*","₹10,000*",0,₹0,550,1140(1),1583(1),1583(1),-,-,922(1),1292(1),2697(1),-,-,-
TN CMC-Minority Network,CMC-Minority Network,Tamil Nadu,"CMC, Vellore",PMR,"₹65,470*","₹51,000",3,"₹40,00,000",2879,1993(2),1993(2),1993(2),-,-,2151(2),2320(2),2725(2),-,-,-
TN Mgmt Quota,GEN,Tamil Nadu,"PSG IMS, Coimbatore",PATHOLOGY,"₹4,35,000*","₹25,000*",0,₹0,1130,1232(4),1358(4),1358(4),1642(1),2793(1),1274(4),1274(4),2753(4),-,-,-
TN Mgmt Quota,GEN,Tamil Nadu,"PSG IMS, Coimbatore",SPM,"₹4,35,000*","₹25,000*",0,₹0,1130,1724(3),2911(3),2911(3),-,-,1835(3),1668(3),2768(3),-,-,-
TN NRI Quota,NRI,Tamil Nadu,"KarpagaVinayaga,Maduranthagam",DERMATOLOGY,"₹26,00,000*","₹10,000*",0,₹0,550,1719(1),1719(1),1719(1),-,-,2073(2),2313(2),2776(2),-,-,-
TN NRI Quota,NRI,Tamil Nadu,"Dhanalakshmi Srin, Perambalur",PAEDIATRICS,"₹26,00,000*","₹35,000*",0,₹0,800,1789(1),2384(1),2384(1),-,-,2227(1),2733(1),2817(1),-,-,-
TN NRI Quota,NRI,Tamil Nadu,"Trichy SRM Med Coll, Trichy",OBG,"₹26,00,000*","₹35,000*",0,₹0,1575,2096(2),2096(2),2096(2),-,-,2325(3),2192(3),2851(3),-,-,-
TN NRI Quota,NRI,Tamil Nadu,"Tagore Med Coll, Chennai",OBG,"₹26,00,000*","₹35,000*",0,₹0,818,887(1),2014(1),2014(1),-,-,2863(1),2863(1),2863(1),-,-,-
TN NRI Quota,NRI,Tamil Nadu,"Trichy SRM Med Coll, Trichy",GENERAL SURGERY,"₹26,00,000*","₹35,000*",0,₹0,1575,-,-,-,-,-,1697(1),2885(1),2885(1),-,-,-
TN CMC-General Merit,CMC-General Merit,Tamil Nadu,"CMC, Vellore",PHYSIOLOGY,"₹65,470*","₹51,000",0,₹0,2879,1351(1),1351(1),1351(1),-,-,2255(1),2891(1),2891(1),-,-,-
TN Mgmt Quota,GEN,Tamil Nadu,"KarpagaVinayaga,Maduranthagam",OPHTHALMOLOGY,"₹15,50,000*","₹10,000*",0,₹0,550,879(1),2123(1),2031(1),-,-,1155(1),1273(1),2898(1),-,-,-
TN NRI Quota,NRI,Tamil Nadu,"Mookambika IMS, Kanyakumari",OBG,"₹26,00,000*","₹15,000*",0,₹0,600,2384(1),2926(1),2926(1),-,-,2910(1),2910(1),2910(1),-,-,-
TN CMC-Service,CMC-Service,Tamil Nadu,"CMC, Vellore",PHYSIOLOGY,"₹65,470*","₹51,000",2,"₹40,00,000",2879,2332(1),-,-,-,-,2926(1),2926(1),2926(1),-,-,-
TN CMC-General Merit,CMC-General Merit,Tamil Nadu,"CMC, Vellore",MICROBIOLOGY,"₹65,470*","₹51,000",0,₹0,2879,1638(1),1638(1),1638(1),-,-,903(1),1093(1),2961(1),-,-,-
TN Mgmt-Telugu Min,Telugu Minority,Tamil Nadu,"Trichy SRM Med Coll, Trichy",GENERAL SURGERY,"₹15,50,000*","₹35,000*",0,₹0,1575,1628(3),2347(3),2347(3),-,-,1513(7),2619(7),2965(7),-,-,-
TN Mgmt Quota,GEN,Tamil Nadu,"Madha Medical College, Chennai",PSYCHIATRY,"₹15,50,000*",Info not available,0,₹0,-,-,-,-,-,-,1569(1),1569(1),2982(1),-,-,-
TN CMC-General Merit,CMC-General Merit,Tamil Nadu,"CMC, Vellore",ANATOMY,"₹65,470*","₹51,000",0,₹0,2879,-,-,2334(1),-,-,1341(1),3002(1),3002(1),-,-,-
TN CMC-Minority Network,CMC-Minority Network,Tamil Nadu,"CMC, Vellore",SPM,"₹65,470*","₹51,000",3,"₹40,00,000",2879,1846(2),1846(2),1893(2),-,-,2394(2),2703(2),3009(2),-,-,-
TN NRI Quota,NRI,Tamil Nadu,Melmaruvathur Adiparasakthi,GENERAL SURGERY,"₹26,00,000*","₹35,000*",0,₹0,700,1599(1),2105(1),3093(1),-,-,2820(1),2018(1),3020(1),-,-,-
TN Mgmt Quota,GEN,Tamil Nadu,"KarpagaVinayaga,Maduranthagam",PSYCHIATRY,"₹15,50,000*","₹10,000*",0,₹0,550,1033(1),1678(1),1678(1),-,-,1268(1),1637(1),3028(1),-,-,-
TN NRI Quota,NRI,Tamil Nadu,"Sri Muthukumaran, Chennai",GENERAL MEDICINE,"₹26,00,000*","₹25,000",0,₹0,720,1309(1),1929(1),1929(1),-,-,779(1),779(1),3029(1),-,-,-
TN Mgmt Quota,GEN,Tamil Nadu,"Tagore Med Coll, Chennai",MICROBIOLOGY,"₹4,35,000*","₹35,000*",0,₹0,818,-,-,3314(1),-,-,3035(1),3035(1),3035(1),-,-,-
TN NRI Quota,NRI,Tamil Nadu,"Madha Medical College, Chennai",GENERAL MEDICINE,"₹26,00,000*",Info not available,0,₹0,-,1878(1),2575(1),2575(1),-,-,2134(1),3042(1),3042(1),-,-,-
TN NRI Quota,NRI,Tamil Nadu,"St. Peters Medical Coll, Hosur",RADIO DIAGNOSIS,"₹26,00,000*",Info not available,Info Not Available,Info not available,-,-,-,-,-,-,-,-,3057(1),-,-,-
TN Mgmt-Telugu Min,Telugu Minority,Tamil Nadu,"Sri Muthukumaran, Chennai",GENERAL SURGERY,"₹15,50,000*","₹25,000",0,₹0,720,2508(4),2784(4),2784(4),-,-,2071(5),2979(5),3080(5),-,-,-
TN Mgmt-Malayalam Min,Malayalam Minority,Tamil Nadu,"Mookambika IMS, Kanyakumari",OPHTHALMOLOGY,"₹15,50,000*","₹15,000*",0,₹0,600,-,-,-,-,-,3081(1),3081(1),3081(1),-,-,-
TN NRI Quota,NRI,Tamil Nadu,"Mookambika IMS, Kanyakumari",ORTHOPAEDICS,"₹26,00,000*","₹15,000*",0,₹0,600,2044(1),-,2867(1),3138(1),-,3083(1),3083(1),3083(1),-,-,-
TN Mgmt Quota,GEN,Tamil Nadu,"PSG IMS, Coimbatore",BIOCHEMISTRY,"₹4,35,000*","₹25,000*",0,₹0,1130,-,-,-,-,-,2698(1),3091(1),3091(1),-,-,-
TN Mgmt-Telugu Min,Telugu Minority,Tamil Nadu,"Trichy SRM Med Coll, Trichy",ENT,"₹15,50,000*","₹35,000*",0,₹0,1575,1390(1),2885(1),2885(1),-,-,1959(2),1959(2),3111(2),-,3237(1),-
TN CMC-Minority Network,CMC-Minority Network,Tamil Nadu,"CMC, Vellore",PATHOLOGY,"₹65,470*","₹51,000",3,"₹40,00,000",2879,2200(2),2200(2),2200(2),-,-,2075(2),2321(2),3150(2),-,-,-
TN CMC-Minority Network,CMC-Minority Network,Tamil Nadu,"CMC, Vellore",MICROBIOLOGY,"₹65,470*","₹51,000",3,"₹40,00,000",2879,2750(1),2750(1),2750(1),-,-,2414(1),2961(1),3171(1),-,-,-
TN CMC-Service,CMC-Service,Tamil Nadu,"CMC, Vellore",PHARMACOLOGY,"₹65,470*","₹51,000",2,"₹40,00,000",2879,2262(1),2650(1),2650(1),-,-,2916(1),3009(1),3206(1),-,-,-
TN NRI Quota,NRI,Tamil Nadu,"Tagore Med Coll, Chennai",GENERAL SURGERY,"₹26,00,000*","₹35,000*",0,₹0,818,2093(1),-,2627(1),-,-,2377(1),2377(1),3232(1),-,-,-
TN Mgmt Quota,GEN,Tamil Nadu,"Tagore Med Coll, Chennai",PATHOLOGY,"₹4,35,000*","₹35,000*",0,₹0,818,1981(2),-,2998(2),3144(1),3541(1),2385(2),2385(2),3246(2),-,-,-
TN Mgmt-Telugu Min,Telugu Minority,Tamil Nadu,"Dhanalakshmi Srin, Perambalur",GENERAL SURGERY,"₹15,50,000*","₹35,000*",0,₹0,800,1991(2),1991(2),1991(2),-,-,2204(3),3185(3),3262(3),-,-,-
TN NRI Quota,NRI,Tamil Nadu,"Madha Medical College, Chennai",ORTHOPAEDICS,"₹26,00,000*",Info not available,0,₹0,-,-,-,-,-,-,3303(1),3303(1),3303(1),-,-,-
TN NRI Quota,NRI,Tamil Nadu,"Madha Medical College, Chennai",OBG,"₹26,00,000*",Info not available,0,₹0,-,2571(1),-,-,-,-,3311(1),3311(1),3311(1),-,-,-
TN Mgmt-Telugu Min,Telugu Minority,Tamil Nadu,"Sri Muthukumaran, Chennai",ENT,"₹15,50,000*","₹25,000",0,₹0,720,2425(1),-,2827(1),-,-,1191(1),2336(1),3332(1),-,-,-
TN Mgmt-Malayalam Min,Malayalam Minority,Tamil Nadu,"Mookambika IMS, Kanyakumari",ENT,"₹15,50,000*","₹15,000*",0,₹0,600,-,-,-,-,-,3334(1),3334(1),3334(1),-,-,-
TN Mgmt-Malayalam Min,Malayalam Minority,Tamil Nadu,"Mookambika IMS, Kanyakumari",RADIO DIAGNOSIS,"₹15,50,000*","₹15,000*",0,₹0,600,2015(1),2015(1),2015(1),-,-,3371(3),3371(3),3371(3),-,-,-
TN NRI Quota,NRI,Tamil Nadu,"Madha Medical College, Chennai",PAEDIATRICS,"₹26,00,000*",Info not available,0,₹0,-,1898(1),2247(1),2247(1),-,-,2365(1),3029(1),3377(1),-,-,-
TN NRI Quota,NRI,Tamil Nadu,"KarpagaVinayaga,Maduranthagam",OBG,"₹26,00,000*","₹10,000*",0,₹0,550,971(1),1483(1),2817(1),3089(1),-,3232(2),3394(2),3394(2),-,-,-
TN NRI Quota,NRI,Tamil Nadu,"Dhanalakshmi Srin, Perambalur",GENERAL MEDICINE,"₹26,00,000*","₹35,000*",0,₹0,800,1849(2),2537(2),2537(2),-,-,2375(2),2494(2),3418(2),-,-,-
TN Mgmt-Telugu Min,Telugu Minority,Tamil Nadu,"Trichy SRM Med Coll, Trichy",ANAESTHESIOLOGY,"₹15,50,000*","₹35,000*",0,₹0,1575,1797(3),1749(1),1749(1),-,-,2097(3),2204(3),3455(3),-,-,-
TN CMC-Service,CMC-Service,Tamil Nadu,"CMC, Vellore",BIOCHEMISTRY,"₹65,470*","₹51,000",2,"₹40,00,000",2879,-,-,2235(1),-,-,3463(1),3463(1),3463(1),-,-,-
TN NRI Quota,NRI,Tamil Nadu,"Mookambika IMS, Kanyakumari",ENT,"₹26,00,000*","₹15,000*",0,₹0,600,-,-,-,-,-,3466(1),3466(1),3466(1),-,-,-
TN NRI Quota,NRI,Tamil Nadu,"KarpagaVinayaga,Maduranthagam",GENERAL MEDICINE,"₹26,00,000*","₹10,000*",0,₹0,550,1827(2),2392(2),2392(2),-,2953(1),2494(2),2990(2),3515(2),-,3705(1),-
TN Mgmt Quota,GEN,Tamil Nadu,"Karpagam Faculty, Coimbatore",PATHOLOGY,"₹4,35,000*","₹38,000*",0,₹0,675,-,2920(1),2920(1),-,-,-,-,3565(1),-,-,-
TN NRI Quota,NRI,Tamil Nadu,"Tagore Med Coll, Chennai",ORTHOPAEDICS,"₹26,00,000*","₹35,000*",0,₹0,818,2673(1),-,-,-,-,2817(1),2817(1),3594(1),-,-,-
TN NRI Quota,NRI,Tamil Nadu,"Dhanalakshmi Srin, Perambalur",ORTHOPAEDICS,"₹26,00,000*","₹35,000*",0,₹0,800,2825(1),2825(1),2825(1),-,-,2885(2),3598(2),3598(2),-,-,-
TN Mgmt Quota,GEN,Tamil Nadu,"KarpagaVinayaga,Maduranthagam",PATHOLOGY,"₹4,35,000*","₹10,000*",0,₹0,550,2182(1),-,3027(1),-,-,2092(1),2728(1),3614(1),-,-,-
TN NRI Quota,NRI,Tamil Nadu,"Trichy SRM Med Coll, Trichy",TBRD,"₹26,00,000*","₹35,000*",0,₹0,1575,-,-,-,-,-,2511(1),2152(1),3615(1),-,-,-
TN NRI Quota,NRI,Tamil Nadu,"Dhanalakshmi Srin, Perambalur",OBG,"₹26,00,000*","₹35,000*",0,₹0,800,2079(2),3034(1),3034(1),-,-,2567(2),3180(2),3618(2),-,3122(1),-
TN Mgmt-Telugu Min,Telugu Minority,Tamil Nadu,"Sri Muthukumaran, Chennai",OPHTHALMOLOGY,"₹15,50,000*","₹25,000",0,₹0,720,-,-,-,-,-,1684(1),2982(1),3620(1),-,-,-
TN Mgmt Quota,GEN,Tamil Nadu,"St. Peters Medical Coll, Hosur",PATHOLOGY,"₹4,35,000*",Info not available,Info Not Available,Info not available,-,-,-,-,-,-,-,-,3637(1),-,-,-
TN NRI Quota,NRI,Tamil Nadu,"Dhanalakshmi Srin, Perambalur",GENERAL SURGERY,"₹26,00,000*","₹35,000*",0,₹0,800,2270(2),2164(1),3122(2),-,-,-,3020(1),3641(1),-,-,-
TN Mgmt-Telugu Min,Telugu Minority,Tamil Nadu,"Trichy SRM Med Coll, Trichy",OPHTHALMOLOGY,"₹15,50,000*","₹35,000*",0,₹0,1575,2861(1),2861(1),2861(1),-,-,1597(1),1597(1),3656(1),-,-,-
TN Mgmt Quota,GEN,Tamil Nadu,Melmaruvathur Adiparasakthi,SPM,"₹4,35,000*","₹35,000*",0,₹0,700,2884(1),2884(1),2884(1),-,-,3005(1),2559(1),3666(1),-,-,-
TN CMC-Service,CMC-Service,Tamil Nadu,"CMC, Vellore",DCP,"₹78,367*","₹51,000",1,"₹20,00,000",2879,2235(1),2235(1),-,-,-,3171(1),3171(1),3681(1),-,-,-
TN Mgmt-Telugu Min,Telugu Minority,Tamil Nadu,"Sri Muthukumaran, Chennai",ANAESTHESIOLOGY,"₹15,50,000*","₹25,000",0,₹0,720,2834(1),2834(1),2473(1),-,-,1927(1),1927(1),3686(1),-,3645(1),-
TN Mgmt Quota,GEN,Tamil Nadu,"Dhanalakshmi Srin, Perambalur",BIOCHEMISTRY,"₹4,35,000*","₹35,000*",0,₹0,800,-,-,3985(1),-,-,3688(1),3688(1),3688(1),-,-,-
TN NRI Quota,NRI,Tamil Nadu,"Dhanalakshmi Srin, Perambalur",OPHTHALMOLOGY,"₹26,00,000*","₹35,000*",0,₹0,800,-,-,-,-,-,3199(2),3492(2),3693(2),-,-,-
TN Mgmt Quota,GEN,Tamil Nadu,"PSG IMS, Coimbatore",PHARMACOLOGY,"₹4,35,000*","₹25,000*",0,₹0,1130,1915(1),2903(1),2903(1),-,-,2605(1),1902(1),3722(1),-,-,-
TN Mgmt Quota,GEN,Tamil Nadu,"Dhanalakshmi Srin, Perambalur",PATHOLOGY,"₹4,35,000*","₹35,000*",0,₹0,800,2533(1),2558(2),2558(2),-,-,1668(1),1565(1),3740(1),-,-,-
TN Mgmt-Malayalam Min,Malayalam Minority,Tamil Nadu,"Mookambika IMS, Kanyakumari",PAEDIATRICS,"₹15,50,000*","₹15,000*",0,₹0,600,2936(3),2936(3),2936(3),-,-,3743(3),3743(3),3743(3),-,-,-
TN NRI Quota,NRI,Tamil Nadu,"Sri Muthukumaran, Chennai",GENERAL SURGERY,"₹26,00,000*","₹25,000",0,₹0,720,-,-,-,-,-,3394(1),3645(1),3755(1),-,-,-
TN Mgmt Quota,GEN,Tamil Nadu,Melmaruvathur Adiparasakthi,MICROBIOLOGY,"₹4,35,000*","₹35,000*",0,₹0,700,-,-,3331(1),-,-,3759(1),3759(1),3759(1),-,-,-
TN Mgmt-Telugu Min,Telugu Minority,Tamil Nadu,"Dhanalakshmi Srin, Perambalur",ANAESTHESIOLOGY,"₹15,50,000*","₹35,000*",0,₹0,800,2704(1),-,-,-,-,1277(1),2184(1),3778(1),-,3934(1),-
TN NRI Quota,NRI,Tamil Nadu,"Sri Muthukumaran, Chennai",ANAESTHESIOLOGY,"₹26,00,000*","₹25,000",0,₹0,720,2727(1),2727(1),2727(1),-,-,3594(1),3704(1),3780(1),-,-,-
TN NRI Quota,NRI,Tamil Nadu,"St. Peters Medical Coll, Hosur",ORTHOPAEDICS,"₹26,00,000*",Info not available,Info Not Available,Info not available,-,-,-,-,-,-,-,-,3815(1),-,-,-
TN Mgmt-Telugu Min,Telugu Minority,Tamil Nadu,"Karpagam Faculty, Coimbatore",OPHTHALMOLOGY,"₹15,50,000*","₹38,000*",0,₹0,675,-,-,-,-,-,1605(1),1605(1),3825(1),-,-,-
TN Mgmt Quota,GEN,Tamil Nadu,"PSG IMS, Coimbatore",MICROBIOLOGY,"₹4,35,000*","₹25,000*",0,₹0,1130,2792(2),2792(2),2792(2),-,-,2731(2),2434(2),3829(2),-,-,-
TN Mgmt Quota,GEN,Tamil Nadu,Melmaruvathur Adiparasakthi,PATHOLOGY,"₹4,35,000*","₹35,000*",0,₹0,700,2682(1),1835(1),1835(1),-,-,2147(2),2147(2),3838(2),-,-,-
TN NRI Quota,NRI,Tamil Nadu,"Karpagam Faculty, Coimbatore",ANAESTHESIOLOGY,"₹26,00,000*","₹38,000*",0,₹0,675,-,-,-,-,-,3224(1),3693(1),3854(1),-,-,-
TN NRI Quota,NRI,Tamil Nadu,"Mookambika IMS, Kanyakumari",GENERAL SURGERY,"₹26,00,000*","₹15,000*",0,₹0,600,-,-,2994(1),-,-,3053(2),3594(2),3854(2),-,3981(1),-
TN NRI Quota,NRI,Tamil Nadu,"Mookambika IMS, Kanyakumari",EMERGENCY MEDICINE,"₹26,00,000*","₹15,000*",0,₹0,600,2917(1),-,2792(1),3451(1),-,3042(1),3856(1),3856(1),-,-,-
TN Mgmt Quota,GEN,Tamil Nadu,"Dhanalakshmi Srin, Perambalur",PHARMACOLOGY,"₹4,35,000*","₹35,000*",0,₹0,800,-,-,3542(1),-,-,3863(1),3863(1),3863(1),-,-,-
TN Mgmt Quota,GEN,Tamil Nadu,"Velammal Med Col, Madurai",MICROBIOLOGY,"₹4,35,000*","₹37,000*",0,₹0,1024,2814(2),2816(1),2816(2),-,-,3872(2),3872(2),3872(2),-,-,-
TN NRI Quota,NRI,Tamil Nadu,"Mookambika IMS, Kanyakumari",RADIATION ONCOLOGY,"₹26,00,000*","₹15,000*",0,₹0,600,-,-,3198(1),-,-,3881(1),3881(1),3881(1),-,-,-
