Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2024 1,CR 2024 2,CR 2024 3
JNIMS-Open,ST,Manipur,"JNIMS, Imphal",ANAESTHESIOLOGY,"₹1,00,000","₹50,000",1*,"₹20,00,000*",643,104(1),-,-,-,15(2),3(1),-
JNIMS-Open,ST,Manipur,"JNIMS, Imphal",PATHOLOGY,"₹1,00,000","₹50,000",0*,₹0*,643,-,-,144(1),-,16(1),-,-
JNIMS-Open,OBC M,Manipur,"JNIMS, Imphal",PHYSIOLOGY,"₹1,00,000","₹50,000",0*,₹0*,643,-,-,-,137(1),17(1),-,-
JNIMS-Spons (JNIMS),UR,Manipur,"JNIMS, Imphal",GENERAL SURGERY,"₹1,00,000","₹50,000",0*,₹0*,643,-,1(1),-,-,-,-,-
JNIMS-Open,UR,Manipur,"JNIMS, Imphal",GENERAL MEDICINE,"₹1,00,000","₹50,000",1*,"₹20,00,000*",643,1(1),-,-,-,-,-,-
JNIMS-Spons (JNIMS),UR,Manipur,"JNIMS, Imphal",ORTHOPAEDICS,"₹1,00,000","₹50,000",0*,₹0*,643,-,-,2(1),-,-,-,-
JNIMS-Product,UR,Manipur,"JNIMS, Imphal",TBRD,"₹1,00,000","₹50,000",1*,"₹20,00,000*",643,2(1),-,-,-,-,-,-
JNIMS-Spons (JNIMS),UR,Manipur,"JNIMS, Imphal",GENERAL MEDICINE,"₹1,00,000","₹50,000",0*,₹0*,643,-,-,3(1),-,-,-,-
JNIMS-Spons (Common),ST,Manipur,"JNIMS, Imphal",RADIO DIAGNOSIS,"₹1,00,000","₹50,000",0*,₹0*,643,4(1),-,-,-,-,-,-
JNIMS-Spons (JNIMS),OBC MP,Manipur,"JNIMS, Imphal",ANAESTHESIOLOGY,"₹1,00,000","₹50,000",0*,₹0*,643,-,-,-,4(1),-,-,-
JNIMS-Spons (JNIMS),UR,Manipur,"JNIMS, Imphal",ANAESTHESIOLOGY,"₹1,00,000","₹50,000",0*,₹0*,643,-,-,5(1),-,-,-,-
JNIMS-Spons (JNIMS),OBC M,Manipur,"JNIMS, Imphal",GENERAL SURGERY,"₹1,00,000","₹50,000",0*,₹0*,643,-,-,-,6(1),-,-,-
