Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2024 1,CR 2024 2,CR 2024 3
MP Govt Quota,UR/X/OP,Madhya Pradesh,"Gandhi Med Coll, Bhopal",PAEDIATRICS,"₹1,01,500*","₹75,444",1,"₹10,00,000",1135,129(3),152(4),153(4),134(4),179(4),213(3)
MP Govt Quota,UR/X/OP,Madhya Pradesh,"Atal Bihari Vajpayee, Vidisha",OBG,"₹1,01,500*","₹75,444",1,"₹10,00,000",300,-,-,-,217(1),304(1),218(1)
MP Govt Quota,OBC/X/OP,Madhya Pradesh,"Govt Med Coll, Ratlam",GENERAL MEDICINE,"₹1,01,500*","₹75,444",1,"₹10,00,000",300,115(1),115(1),115(1),145(1),145(1),220(1)
MP Govt Quota,EWS/X/OP,Madhya Pradesh,"MGM Med Coll, Indore",PAEDIATRICS,"₹1,01,500*","₹75,444",1,"₹10,00,000",1300,167(1),180(2),168(1),127(1),177(1),242(1)
MP Govt Quota,UR/X/OP,Madhya Pradesh,"Gaja Raja Med Coll, Gwalior",PAEDIATRICS,"₹1,01,500*","₹75,444",1,"₹10,00,000",1100,131(2),155(2),156(2),61(1),197(1),252(2)
MP Govt Quota,UR/X/OP,Madhya Pradesh,"Gaja Raja Med Coll, Gwalior",GENERAL SURGERY,"₹1,01,500*","₹75,444",1,"₹10,00,000",1100,200(1),326(2),335(1),245(1),273(1),255(1)
MP Govt Quota,OBC/X/OP,Madhya Pradesh,"Gandhi Med Coll, Bhopal",PAEDIATRICS,"₹1,01,500*","₹75,444",1,"₹10,00,000",1135,229(1),240(1),-,179(1),223(1),256(1)
MP Priv-Open,UR/X/OP,Madhya Pradesh,"RD Gardi, Ujjain",GENERAL MEDICINE,"₹13,50,000","₹69,115*",1,"₹10,00,000",750,203(3),203(4),204(4),251(3),254(3),259(3)
MP Govt Quota,UR/X/OP,Madhya Pradesh,"SSMC, Rewa",PAEDIATRICS,"₹1,01,500*","₹75,444",1,"₹10,00,000",1140,135(1),190(1),191(1),153(1),201(1),275(1)
MP Govt Quota,UR/X/OP,Madhya Pradesh,"NSC Bose Med Coll, Jabalpur",OBG,"₹1,01,500*","₹75,444",1,"₹10,00,000",1150,165(3),212(3),211(2),190(3),218(3),290(3)
MP Govt Quota,UR/X/OP,Madhya Pradesh,"Gaja Raja Med Coll, Gwalior",ORTHOPAEDICS,"₹1,01,500*","₹75,444",1,"₹10,00,000",1100,101(1),226(1),271(1),219(1),293(1),293(1)
MP Govt Quota,OBC/X/OP,Madhya Pradesh,"Gandhi Med Coll, Bhopal",OBG,"₹1,01,500*","₹75,444",1,"₹10,00,000",1135,124(1),253(1),-,241(1),297(1),297(1)
MP Priv-Open,OBC/X/OP,Madhya Pradesh,"RD Gardi, Ujjain",GENERAL MEDICINE,"₹13,50,000","₹69,115*",1,"₹10,00,000",750,347(1),347(1),348(1),300(1),301(1),301(1)
MP Govt Quota,UR/X/OP,Madhya Pradesh,"Atal Bihari Vajpayee, Vidisha",PAEDIATRICS,"₹1,01,500*","₹75,444",1,"₹10,00,000",300,161(1),236(1),237(1),-,-,308(1)
MP Govt Quota,UR/X/OP,Madhya Pradesh,"Gandhi Med Coll, Bhopal",GENERAL SURGERY,"₹1,01,500*","₹75,444",1,"₹10,00,000",1135,215(3),298(5),299(3),260(3),291(1),321(1)
MP Priv-Open,UR/X/OP,Madhya Pradesh,"RD Gardi, Ujjain",RADIO DIAGNOSIS,"₹13,50,000","₹69,115*",1,"₹10,00,000",750,68(1),68(1),69(1),122(2),111(2),325(2)
MP Govt Quota,UR/X/OP,Madhya Pradesh,"NSC Bose Med Coll, Jabalpur",GENERAL SURGERY,"₹1,01,500*","₹75,444",1,"₹10,00,000",1150,190(4),227(4),228(3),223(4),256(4),329(3)
MP Govt Quota,UR/X/OP Service,Madhya Pradesh,"Gaja Raja Med Coll, Gwalior",GENERAL MEDICINE,"₹1,01,500*","₹75,444",1,"₹10,00,000",1100,-,439(1),441(1),329(1),330(1),330(1)
MP Govt Quota,EWS/X/OP,Madhya Pradesh,"SSMC, Rewa",PAEDIATRICS,"₹1,01,500*","₹75,444",1,"₹10,00,000",1140,-,-,-,175(1),208(1),333(1)
MP Govt Quota,UR/X/OP,Madhya Pradesh,"Gandhi Med Coll, Bhopal",ORTHOPAEDICS,"₹1,01,500*","₹75,444",1,"₹10,00,000",1135,87(1),87(1),227(1),182(1),332(1),347(1)
MP Govt Quota,UR/X/OP,Madhya Pradesh,"Govt Med Coll, Datia",PAEDIATRICS,"₹1,01,500*","₹75,444",1,"₹10,00,000",540,-,259(1),266(1),169(1),275(1),367(1)
MP Priv-Open,UR/X/OP,Madhya Pradesh,"Aurobindo Med Coll, Indore",RADIO DIAGNOSIS,"₹23,10,000*","₹69,115*",1,"₹10,00,000",1230,241(2),207(2),208(2),330(4),368(2),368(2)
MP Govt Quota,OBC/X/OP,Madhya Pradesh,"Gaja Raja Med Coll, Gwalior",PAEDIATRICS,"₹1,01,500*","₹75,444",1,"₹10,00,000",1100,-,229(1),-,193(1),252(1),375(1)
MP Govt Quota,OBC/X/OP,Madhya Pradesh,"NSC Bose Med Coll, Jabalpur",OBG,"₹1,01,500*","₹75,444",1,"₹10,00,000",1150,189(1),280(1),281(1),281(1),376(1),376(1)
MP Priv-Open,UR/X/OP,Madhya Pradesh,"LNMC & RC, Bhopal",RADIO DIAGNOSIS,"₹22,80,000*","₹69,115*",1,"₹10,00,000",750,246(2),246(2),246(1),383(1),384(1),384(1)
MP Govt Quota,EWS/X/OP,Madhya Pradesh,"Gandhi Med Coll, Bhopal",PAEDIATRICS,"₹1,01,500*","₹75,444",1,"₹10,00,000",1135,180(1),186(1),187(1),144(1),185(1),388(2)
MP Govt Quota,OBC/X/OP,Madhya Pradesh,"Gaja Raja Med Coll, Gwalior",OBG,"₹1,01,500*","₹75,444",1,"₹10,00,000",1100,192(1),286(1),-,293(1),392(1),392(1)
MP Govt Quota,UR/X/OP,Madhya Pradesh,"NSC Bose Med Coll, Jabalpur",ORTHOPAEDICS,"₹1,01,500*","₹75,444",1,"₹10,00,000",1150,226(2),261(2),257(1),230(2),372(2),395(2)
MP Priv-Open,UR/X/OP,Madhya Pradesh,"Peoples College, Bhopal",RADIO DIAGNOSIS,"₹21,30,000*","₹75,444",1,"₹10,00,000",1150,290(1),290(1),291(1),367(1),400(1),400(1)
MP Govt Quota,OBC/X/OP,Madhya Pradesh,"SSMC, Rewa",PAEDIATRICS,"₹1,01,500*","₹75,444",1,"₹10,00,000",1140,240(1),219(1),220(1),-,-,402(1)
MP Govt Quota,EWS/X/OP,Madhya Pradesh,"Bundelkhand Med Coll, Sagar",PAEDIATRICS,"₹1,01,500*","₹75,444",1,"₹10,00,000",750,-,-,-,185(1),242(1),408(1)
MP Govt Quota,UR/X/OP,Madhya Pradesh,"SSMC, Rewa",OBG,"₹1,01,500*","₹75,444",1,"₹10,00,000",1140,210(2),223(2),224(2),199(1),226(1),415(1)
MP Priv-Open,UR/X/OP,Madhya Pradesh,"RD Gardi, Ujjain",DERMATOLOGY,"₹13,50,000","₹69,115*",1,"₹10,00,000",750,247(1),-,-,242(1),325(1),418(1)
MP Govt Quota,UR/X/OP,Madhya Pradesh,"Bundelkhand Med Coll, Sagar",ORTHOPAEDICS,"₹1,01,500*","₹75,444",1,"₹10,00,000",750,261(1),287(1),288(1),324(1),381(1),420(1)
MP Priv-Open,OBC/X/OP,Madhya Pradesh,"LNMC & RC, Bhopal",RADIO DIAGNOSIS,"₹22,80,000*","₹69,115*",1,"₹10,00,000",750,-,-,-,427(1),428(1),428(1)
MP Govt Quota,UR/X/OP,Madhya Pradesh,"Bundelkhand Med Coll, Sagar",OBG,"₹1,01,500*","₹75,444",1,"₹10,00,000",750,195(1),231(1),232(1),215(1),286(1),429(1)
MP Govt Quota,OBC/X/OP,Madhya Pradesh,"NSC Bose Med Coll, Jabalpur",GENERAL SURGERY,"₹1,01,500*","₹75,444",1,"₹10,00,000",1150,255(1),-,-,255(1),437(1),437(1)
MP Govt Quota,UR/X/OP,Madhya Pradesh,"MGM Med Coll, Indore",TBRD,"₹1,01,500*","₹75,444",1,"₹10,00,000",1300,92(1),266(1),267(1),128(1),308(1),438(1)
MP Govt Quota,UR/X/OP,Madhya Pradesh,"SSMC, Rewa",GENERAL SURGERY,"₹1,01,500*","₹75,444",1,"₹10,00,000",1140,237(3),353(4),377(4),290(3),335(3),442(3)
MP Govt Quota,UR/X/OP,Madhya Pradesh,"MGM Med Coll, Indore",OPHTHALMOLOGY,"₹1,01,500*","₹75,444",1,"₹10,00,000",1300,289(1),-,-,201(1),439(1),444(1)
MP Govt Quota,OBC/X/OP,Madhya Pradesh,"Gaja Raja Med Coll, Gwalior",ORTHOPAEDICS,"₹1,01,500*","₹75,444",1,"₹10,00,000",1100,183(1),281(1),282(1),257(1),452(1),452(1)
MP Govt Quota,UR/X/OP,Madhya Pradesh,"Govt Med Coll, Khandwa",PAEDIATRICS,"₹1,01,500*","₹75,444",1,"₹10,00,000",-,162(1),176(1),-,166(1),249(1),453(1)
MP Govt Quota,UR/X/OP,Madhya Pradesh,"Gandhi Med Coll, Bhopal",OPHTHALMOLOGY,"₹1,01,500*","₹75,444",1,"₹10,00,000",1135,377(1),396(1),398(1),218(1),444(1),458(1)
MP Govt Quota,UR/X/OP Service,Madhya Pradesh,"SSMC, Rewa",GENERAL MEDICINE,"₹1,01,500*","₹75,444",1,"₹10,00,000",1140,439(1),668(1),-,78(1),462(1),462(1)
MP Govt Quota,OBC/X/OP,Madhya Pradesh,"Govt Med Coll, Datia",PAEDIATRICS,"₹1,01,500*","₹75,444",1,"₹10,00,000",540,-,-,-,243(1),375(1),469(1)
MP Govt Quota,UR/X/OP,Madhya Pradesh,"Bundelkhand Med Coll, Sagar",OPHTHALMOLOGY,"₹1,01,500*","₹75,444",1,"₹10,00,000",750,396(1),568(2),717(2),359(1),471(1),471(1)
MP Priv-Open,UR/X/OP,Madhya Pradesh,"Aurobindo Med Coll, Indore",GENERAL MEDICINE,"₹20,70,000*","₹69,115*",1,"₹10,00,000",1230,307(4),323(4),324(3),399(8),472(8),486(7)
MP Govt Quota,SC/X/OP,Madhya Pradesh,"NSC Bose Med Coll, Jabalpur",RADIO DIAGNOSIS,"₹1,01,500*","₹75,444",1,"₹10,00,000",1150,351(1),351(1),-,266(1),468(1),491(1)
MP Govt Quota,UR/X/OP,Madhya Pradesh,"Govt Med Coll, Ratlam",OBG,"₹1,01,500*","₹75,444",1,"₹10,00,000",300,212(1),237(1),238(1),216(1),290(1),495(1)
MP Govt Quota,UR/X/OP Service,Madhya Pradesh,"Bundelkhand Med Coll, Sagar",GENERAL MEDICINE,"₹1,01,500*","₹75,444",1,"₹10,00,000",750,555(1),688(1),691(1),461(1),497(1),497(1)
MP Priv-Open,UR/X/OP,Madhya Pradesh,"Peoples College, Bhopal",DERMATOLOGY,"₹21,30,000*","₹75,444",1,"₹10,00,000",1150,404(1),548(2),549(2),499(1),500(1),500(1)
MP Govt Quota,SC/X/OP,Madhya Pradesh,"Gandhi Med Coll, Bhopal",GENERAL MEDICINE,"₹1,01,500*","₹75,444",1,"₹10,00,000",1135,-,710(1),713(1),306(1),505(1),505(1)
MP Govt Quota,SC/X/OP,Madhya Pradesh,"NSC Bose Med Coll, Jabalpur",GENERAL MEDICINE,"₹1,01,500*","₹75,444",1,"₹10,00,000",1150,619(1),663(1),-,447(1),506(1),506(1)
MP Govt Quota,EWS/X/OP,Madhya Pradesh,"Gaja Raja Med Coll, Gwalior",ORTHOPAEDICS,"₹1,01,500*","₹75,444",1,"₹10,00,000",1100,-,-,-,-,-,508(1)
MP Govt Quota,UR/X/OP,Madhya Pradesh,"Govt Med Coll, Datia",ORTHOPAEDICS,"₹1,01,500*","₹75,444",1,"₹10,00,000",540,-,-,-,331(1),420(1),513(1)
MP Priv-Open,UR/X/OP,Madhya Pradesh,"Chirayu Med Coll, Bhopal",GENERAL MEDICINE,"₹19,70,000*","₹72,633",1,"₹10,00,000",912,446(1),470(2),471(2),513(1),514(1),514(1)
MP Priv-Open,UR/X/OP,Madhya Pradesh,"Peoples College, Bhopal",GENERAL MEDICINE,"₹19,05,000*","₹75,444",1,"₹10,00,000",1150,415(1),462(2),463(2),-,-,516(1)
MP Priv-Open,UR/X/OP,Madhya Pradesh,"RD Gardi, Ujjain",PAEDIATRICS,"₹13,50,000","₹69,115*",1,"₹10,00,000",750,369(1),581(2),582(2),321(1),522(1),522(1)
MP Govt Quota,EWS/X/OP,Madhya Pradesh,"Atal Bihari Vajpayee, Vidisha",PAEDIATRICS,"₹1,01,500*","₹75,444",1,"₹10,00,000",300,-,-,-,-,-,525(1)
MP Govt Quota,UR/X/OP,Madhya Pradesh,"Bundelkhand Med Coll, Sagar",GENERAL SURGERY,"₹1,01,500*","₹75,444",1,"₹10,00,000",750,254(1),378(2),387(2),304(1),367(1),526(1)
MP Govt Quota,UR/X/OP,Madhya Pradesh,"Govt Med Coll, Shivpuri",ORTHOPAEDICS,"₹1,01,500*","₹75,444",1,"₹10,00,000",520,-,-,-,349(1),442(1),532(1)
MP Govt Quota,UR/X/OP,Madhya Pradesh,"Govt Med Coll, Ratlam",GENERAL SURGERY,"₹1,01,500*","₹75,444",1,"₹10,00,000",300,336(1),343(1),344(1),320(1),378(1),534(1)
MP Govt Quota,UR/X/OP,Madhya Pradesh,"Govt Med Coll, Datia",GENERAL SURGERY,"₹1,01,500*","₹75,444",1,"₹10,00,000",540,340(1),382(1),389(1),58(1),453(1),536(1)
MP Priv-Open,OBC/X/OP,Madhya Pradesh,"Aurobindo Med Coll, Indore",GENERAL MEDICINE,"₹20,70,000*","₹69,115*",1,"₹10,00,000",1230,-,463(1),464(1),472(2),537(2),539(2)
MP Govt Quota,UR/X/OP,Madhya Pradesh,"Atal Bihari Vajpayee, Vidisha",GENERAL SURGERY,"₹1,01,500*","₹75,444",1,"₹10,00,000",300,334(1),391(2),402(2),302(1),405(1),541(1)
MP Govt Quota,OBC/X/OP Service,Madhya Pradesh,"SSMC, Rewa",GENERAL MEDICINE,"₹1,01,500*","₹75,444",1,"₹10,00,000",1140,-,-,-,542(2),543(2),543(2)
MP Govt Quota,UR/X/OP,Madhya Pradesh,"Gwalior Mansik, Madhya Pradesh",PSYCHIATRY,"₹1,01,500*","₹75,444",1,"₹10,00,000",50,-,630(1),-,327(1),547(1),547(1)
MP Priv-Open,OBC/X/OP,Madhya Pradesh,"Peoples College, Bhopal",GENERAL MEDICINE,"₹19,05,000*","₹75,444",1,"₹10,00,000",1150,-,-,-,446(1),539(1),556(1)
MP Priv-Open,UR/X/OP,Madhya Pradesh,"LNMC & RC, Bhopal",DERMATOLOGY,"₹22,80,000*","₹69,115*",1,"₹10,00,000",750,550(1),563(2),564(2),478(1),544(1),569(1)
MP Govt Quota,SC/X/OP,Madhya Pradesh,"SSMC, Rewa",GENERAL MEDICINE,"₹1,01,500*","₹75,444",1,"₹10,00,000",1140,492(1),492(1),679(1),504(1),576(1),576(1)
MP Priv-Open,UR/X/OP,Madhya Pradesh,"Index Med Coll, Indore",RADIO DIAGNOSIS,"₹22,50,000*","₹69,115*",1,"₹10,00,000",1299,438(3),438(3),440(3),412(2),577(2),577(2)
MP Priv-Open,OBC/X/OP,Madhya Pradesh,"Index Med Coll, Indore",RADIO DIAGNOSIS,"₹22,50,000*","₹69,115*",1,"₹10,00,000",1299,516(1),516(1),517(1),572(1),585(1),585(1)
MP Govt Quota,SC/X/OP,Madhya Pradesh,"Gaja Raja Med Coll, Gwalior",GENERAL MEDICINE,"₹1,01,500*","₹75,444",1,"₹10,00,000",1100,370(1),370(1),372(1),-,-,593(1)
MP Govt Quota,SC/X/OP,Madhya Pradesh,"Bundelkhand Med Coll, Sagar",GENERAL MEDICINE,"₹1,01,500*","₹75,444",1,"₹10,00,000",750,676(1),676(1),758(1),505(1),593(1),611(1)
MP Govt Quota,UR/X/OP,Madhya Pradesh,"SSMC, Rewa",PSYCHIATRY,"₹1,01,500*","₹75,444",1,"₹10,00,000",1140,-,-,-,317(1),614(1),614(1)
MP Priv-Open,UR/X/OP,Madhya Pradesh,"Aurobindo Med Coll, Indore",OBG,"₹20,70,000*","₹69,115*",1,"₹10,00,000",1230,528(3),587(4),588(3),605(5),606(5),615(5)
MP Govt Quota,EWS/X/OP,Madhya Pradesh,"Gandhi Med Coll, Bhopal",ORTHOPAEDICS,"₹1,01,500*","₹75,444",1,"₹10,00,000",1135,-,-,-,315(1),333(1),616(1)
MP Govt Quota,EWS/X/OP,Madhya Pradesh,"MGM Med Coll, Indore",GENERAL SURGERY,"₹1,01,500*","₹75,444",1,"₹10,00,000",1300,268(1),271(1),-,205(1),446(1),620(1)
MP Govt Quota,UR/X/OP,Madhya Pradesh,"NSC Bose Med Coll, Jabalpur",OPHTHALMOLOGY,"₹1,01,500*","₹75,444",1,"₹10,00,000",1150,385(1),409(2),559(2),221(1),579(1),626(1)
MP Priv-Open,UR/X/OP,Madhya Pradesh,"LNMC & RC, Bhopal",OBG,"₹20,45,000*","₹69,115*",1,"₹10,00,000",750,656(2),726(3),729(2),680(2),906(2),631(1)
MP Govt Quota,UR/X/OP,Madhya Pradesh,"MGM Med Coll, Indore",ANAESTHESIOLOGY,"₹1,01,500*","₹75,444",1,"₹10,00,000",1300,526(3),557(5),532(3),429(3),645(3),635(2)
MP Govt Quota,UR/X/OP Service,Madhya Pradesh,"Govt Med Coll, Datia",GENERAL MEDICINE,"₹1,01,500*","₹75,444",1,"₹10,00,000",540,-,-,-,496(1),636(1),636(1)
MP Govt Quota,OBC/X/OP,Madhya Pradesh,"Bundelkhand Med Coll, Sagar",ORTHOPAEDICS,"₹1,01,500*","₹75,444",1,"₹10,00,000",750,-,-,-,379(1),553(1),637(1)
MP Priv-Open,UR/X/OP,Madhya Pradesh,"LNMC & RC, Bhopal",GENERAL MEDICINE,"₹20,45,000*","₹69,115*",1,"₹10,00,000",750,513(5),533(8),526(7),515(5),523(4),641(5)
MP Govt Quota,UR/X/OP,Madhya Pradesh,"Govt Med Coll, Ratlam",OPHTHALMOLOGY,"₹1,01,500*","₹75,444",1,"₹10,00,000",300,-,-,-,-,644(1),644(1)
MP Govt Quota,EWS/X/OP,Madhya Pradesh,"MGM Med Coll, Indore",OBG,"₹1,01,500*","₹75,444",1,"₹10,00,000",1300,164(1),171(1),172(1),186(1),214(1),651(1)
MP Govt Quota,UR/X/OP,Madhya Pradesh,"Gaja Raja Med Coll, Gwalior",ENT,"₹1,01,500*","₹75,444",1,"₹10,00,000",1100,491(1),638(2),639(2),372(1),532(1),673(1)
MP Priv-Open,OBC/X/OP,Madhya Pradesh,"Peoples College, Bhopal",DERMATOLOGY,"₹21,30,000*","₹75,444",1,"₹10,00,000",1150,-,-,-,844(1),675(1),675(1)
MP Priv-Open,UR/X/OP,Madhya Pradesh,"Chirayu Med Coll, Bhopal",DERMATOLOGY,"₹22,10,000*","₹72,633",1,"₹10,00,000",912,534(1),534(1),535(1),417(1),418(1),678(1)
MP Priv-Open,UR/X/OP,Madhya Pradesh,"Peoples College, Bhopal",PAEDIATRICS,"₹18,20,000*","₹75,444",1,"₹10,00,000",1150,591(1),700(2),703(2),666(1),682(1),682(1)
MP Govt Quota,EWS/X/OP,Madhya Pradesh,"MGM Med Coll, Indore",ANAESTHESIOLOGY,"₹1,01,500*","₹75,444",1,"₹10,00,000",1300,672(1),735(2),738(1),570(1),651(1),701(1)
MP Priv-Open,UR/X/OP,Madhya Pradesh,"Aurobindo Med Coll, Indore",PAEDIATRICS,"₹19,70,000*","₹69,115*",1,"₹10,00,000",1230,548(3),616(5),598(3),617(4),668(4),704(5)
MP Govt Quota,UR/X/OP,Madhya Pradesh,"MGM Med Coll, Indore",ENT,"₹1,01,500*","₹75,444",1,"₹10,00,000",1300,358(1),532(1),544(1),334(1),513(1),709(1)
MP Govt Quota,EWS/X/OP,Madhya Pradesh,"Gandhi Med Coll, Bhopal",OBG,"₹1,01,500*","₹75,444",1,"₹10,00,000",1135,186(1),218(1),219(1),195(1),296(1),718(1)
MP Govt Quota,OBC/X/OP,Madhya Pradesh,"Bundelkhand Med Coll, Sagar",OPHTHALMOLOGY,"₹1,01,500*","₹75,444",1,"₹10,00,000",750,-,-,-,401(1),719(1),719(1)
MP Govt Quota,EWS/X/OP,Madhya Pradesh,"NSC Bose Med Coll, Jabalpur",OBG,"₹1,01,500*","₹75,444",1,"₹10,00,000",1150,218(1),324(2),325(2),214(1),337(1),722(1)
MP Govt Quota,UR/X/OP,Madhya Pradesh,"MGM Med Coll, Indore",EMERGENCY MEDICINE,"₹1,01,500*","₹75,444",1,"₹10,00,000",1300,208(1),357(2),301(1),316(1),387(1),725(1)
MP Govt Quota,UR/X/OP,Madhya Pradesh,"Gandhi Med Coll, Bhopal",ANAESTHESIOLOGY,"₹1,01,500*","₹75,444",1,"₹10,00,000",1135,557(5),681(6),684(4),506(5),671(5),727(4)
MP Govt Quota,EWS/X/OP,Madhya Pradesh,"NSC Bose Med Coll, Jabalpur",GENERAL SURGERY,"₹1,01,500*","₹75,444",1,"₹10,00,000",1150,271(1),321(2),322(2),268(1),269(1),731(2)
MP Govt Quota,OBC/X/OP,Madhya Pradesh,"NSC Bose Med Coll, Jabalpur",TBRD,"₹1,01,500*","₹75,444",1,"₹10,00,000",1150,-,-,-,362(1),469(1),738(1)
