Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 3
AFMS,Priority - Undefined,Maharashtra,"AFMC, Pune",OPHTHALMOLOGY,Info not available,"₹77,869",5*,"₹57,50,000*",1082,86094(4)
AFMS,Priority - Undefined,Maharashtra,"AFMC, Pune",SPM,Info not available,"₹77,869",5*,"₹57,50,000*",1082,86646(10)
AFMS,Priority - Undefined,Maharashtra,"AFMC, Pune",RADIO DIAGNOSIS,Info not available,"₹77,869",5*,"₹57,50,000*",1082,87929(6)
AFMS,Priority - III,Delhi,"Army R&R, Delhi",GENERAL MEDICINE,Info not available,"₹1,17,000*",5*,"₹57,50,000*",995,89228(2)
AFMS,Priority - IV,Karnataka,"Command Hospital, Bangalore",PATHOLOGY,Info not available,"₹45,000",5*,"₹57,50,000*",716,90479(2)
AFMS,Priority - IV,Maharashtra,"AFMC, Pune",HOSPITAL ADMINISTRATION,Info not available,"₹77,869",5*,"₹57,50,000*",1082,90924(3)
AFMS,Priority - IV,Karnataka,"Command Hospital, Bangalore",OPHTHALMOLOGY,Info not available,"₹45,000",5*,"₹57,50,000*",716,92453(1)
AFMS,Priority - III,Maharashtra,"AFMC, Pune",GENERAL MEDICINE,Info not available,"₹77,869",5*,"₹57,50,000*",1082,92664(13)
AFMS,Priority - III,Delhi,"Army R&R, Delhi",PAEDIATRICS,Info not available,"₹1,17,000*",5*,"₹57,50,000*",995,93254(1)
AFMS,Priority - III,Karnataka,"Command Hospital, Bangalore",GENERAL MEDICINE,Info not available,"₹45,000",5*,"₹57,50,000*",716,94074(1)
AFMS,Priority - IV,Maharashtra,"AFMC, Pune",GENERAL SURGERY,Info not available,"₹77,869",5*,"₹57,50,000*",1082,95089(11)
AFMS,Priority - IV,Delhi,"Army R&R, Delhi",ENT,Info not available,"₹1,17,000*",5*,"₹57,50,000*",995,95347(3)
AFMS,Priority - V,Maharashtra,"AFMC, Pune",PATHOLOGY,Info not available,"₹77,869",5*,"₹57,50,000*",1082,96025(3)
AFMS,Priority - IV,Haryana,"Command Hospital, Chandimandir",ANAESTHESIOLOGY,Info not available,"₹95,594*",5*,"₹57,50,000*",658,96597(1)
AFMS,Priority - III,West Bengal,"Command Hospital, Kolkata",PSYCHIATRY,Info not available,"₹46,383",5*,"₹57,50,000*",760,97783(1)
AFMS,Priority - III,West Bengal,"Command Hospital, Kolkata",GENERAL MEDICINE,Info not available,"₹46,383",5*,"₹57,50,000*",760,98648(1)
AFMS,Priority - Undefined,Maharashtra,"AFMC, Pune",GENERAL MEDICINE,Info not available,"₹77,869",5*,"₹57,50,000*",1082,98964(9)
AFMS,Priority - IV,Maharashtra,"AFMC, Pune",OPHTHALMOLOGY,Info not available,"₹77,869",5*,"₹57,50,000*",1082,99397(4)
AFMS,Priority - IV,Maharashtra,"AFMC, Pune",ENT,Info not available,"₹77,869",5*,"₹57,50,000*",1082,101265(1)
AFMS,Priority - III,Karnataka,"Command Hospital, Bangalore",PAEDIATRICS,Info not available,"₹45,000",5*,"₹57,50,000*",716,106411(1)
AFMS,Priority - Undefined,Maharashtra,"AFMC, Pune",ENT,Info not available,"₹77,869",5*,"₹57,50,000*",1082,108804(3)
AFMS,Priority - III,Maharashtra,"INHS, Aswini",GENERAL MEDICINE,Info not available,"₹77,869",5*,"₹57,50,000*",825,118833(5)
AFMS,Priority - Undefined,Maharashtra,"AFMC, Pune",PATHOLOGY,Info not available,"₹77,869",5*,"₹57,50,000*",1082,128953(4)
AFMS,Priority - Undefined,West Bengal,"Command Hospital, Kolkata",PATHOLOGY,Info not available,"₹46,383",5*,"₹57,50,000*",760,134548(2)
AFMS,Priority - IV,Maharashtra,"AFMC, Pune",PHYSIOLOGY,Info not available,"₹77,869",5*,"₹57,50,000*",1082,148648(1)
AFMS,Priority - IV,Maharashtra,"AFMC, Pune",MICROBIOLOGY,Info not available,"₹77,869",5*,"₹57,50,000*",1082,161844(1)
AFMS,Priority - IV,Maharashtra,"AFMC, Pune",PATHOLOGY,Info not available,"₹77,869",5*,"₹57,50,000*",1082,161909(3)
AFMS,Priority - Undefined,Maharashtra,"INHS, Aswini",PATHOLOGY,Info not available,"₹77,869",5*,"₹57,50,000*",825,173865(3)
AFMS,Priority - Undefined,Maharashtra,"AFMC, Pune",MICROBIOLOGY,Info not available,"₹77,869",5*,"₹57,50,000*",1082,190619(3)
AFMS,Priority - Undefined,Maharashtra,"AFMC, Pune",HOSPITAL ADMINISTRATION,Info not available,"₹77,869",5*,"₹57,50,000*",1082,193500(5)
