Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2023 6,CR 2023 7,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4
APMgmt-S1-All-CatB,S1A,Andhra Pradesh,"Maharajah IMS, Vizianagaram",GENERAL MEDICINE,"₹9,93,600*",Info not available*,1*,Info not available*,850,71(1),348(1),812(1),539(1),1166(1),-,-,31(1),98(1),383(1),-
APMgmt-S1B-LOC-CatB,S1B,Andhra Pradesh,"NRI Med Coll, Guntur",DERMATOLOGY,"₹9,93,600*","₹27,000*",1*,Info not available*,1050,33(1),388(1),-,-,-,-,-,84(1),89(1),389(1),-
APMgmt-S1-All-CatB,S1A,Andhra Pradesh,"Fathima IMS,Kadapa",RADIO DIAGNOSIS,"₹9,93,600*","₹25,000*",1*,Info not available*,750,274(1),293(1),-,-,-,-,-,298(1),388(1),391(1),-
APMgmt-S1-All-CatB,S1A,Andhra Pradesh,"NRI Med Coll, Guntur",GENERAL SURGERY,"₹9,93,600*","₹27,000*",1*,Info not available*,1050,158(1),565(1),-,-,-,-,-,108(1),248(1),402(1),-
APMgmt-S1B-LOC-CatB,S1B,Andhra Pradesh,"Alluri Sitaram Raju, Eluru",GENERAL MEDICINE,"₹9,93,600*","₹30,000*",1*,Info not available*,1200,95(4),247(4),-,-,-,-,-,124(4),144(4),404(4),65(2)
APMgmt-S1B-LOC-CatB,S1B,Andhra Pradesh,"GreatEastern MedSch,Srikakulam",GENERAL MEDICINE,"₹9,93,600*",Info not available*,1*,Info not available*,780,90(3),217(3),-,-,-,-,-,158(3),183(3),408(3),-
APMgmt-S1B-LOC-CatB,S1B,Andhra Pradesh,"Santhiram Med Coll, Nandyal",DERMATOLOGY,"₹9,93,600*","₹30,000*",1*,Info not available*,930,28(1),511(1),-,-,-,-,-,66(1),66(1),433(1),-
APMgmt-S1B-LOC-CatB,S1B,Andhra Pradesh,"Alluri Sitaram Raju, Eluru",DERMATOLOGY,"₹9,93,600*","₹30,000*",1*,Info not available*,1200,179(1),808(1),-,-,-,-,-,109(1),99(1),436(1),-
APMgmt-S1B-LOC-CatB,S1B,Andhra Pradesh,"Narayana Med Coll, Nellore",PAEDIATRICS,"₹9,93,600*","₹40,000*",1*,Info not available*,1430,169(3),643(3),-,-,-,-,-,222(2),222(2),459(2),-
APMgmt-S1B-LOC-CatB,S1B,Andhra Pradesh,"Narayana Med Coll, Nellore",DERMATOLOGY,"₹9,93,600*","₹40,000*",1*,Info not available*,1430,37(1),138(1),-,-,-,-,-,27(1),27(1),485(1),-
APMgmt-S1B-LOC-CatB,S1B,Andhra Pradesh,"GVP Med Coll, Vizag",GENERAL MEDICINE,"₹9,93,600*","₹30,000*",1*,Info not available*,750,160(1),263(1),-,-,-,-,-,186(1),205(1),497(1),-
APMgmt-S1B-LOC-CatB,S1B,Andhra Pradesh,"GSL Med Coll, Rajahmundry",GENERAL MEDICINE,"₹9,93,600*","₹30,000*",1*,Info not available*,1140,162(5),817(5),-,-,-,-,-,150(5),160(5),512(5),68(1)
