Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2023 6,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4,CR 2024 5
Assam Govt Quota,EWS,Assam,"Gauhati Med Coll, Guwahati",DERMATOLOGY,"₹17,900*","₹55,200*",2*,"₹20,00,000*",2185,106(1),106(1),106(1),-,-,-,118(1),118(1),118(1),-,-
Assam Govt Quota,UR,Assam,"Assam Med Coll, Dibrugarh",PAEDIATRICS,"₹17,900*","₹55,200*",2*,"₹20,00,000*",1365,92(2),97(2),130(2),-,-,-,58(2),120(2),120(2),-,-
Assam Govt Quota,OBC/MOBC,Assam,"Assam Med Coll, Dibrugarh",RADIO DIAGNOSIS,"₹17,900*","₹55,200*",2*,"₹20,00,000*",1365,-,-,-,-,-,-,33(1),121(1),121(1),-,-
Assam Govt Quota,EWS,Assam,"Jorhat Med Coll, Jorhat",GENERAL MEDICINE,"₹17,900*","₹55,200*",2*,"₹20,00,000*",814,159(1),159(1),167(1),-,-,-,64(1),123(1),123(1),-,-
Assam Govt Quota,OBC/MOBC,Assam,"Tezpur Med Coll, Tezpur",RADIO DIAGNOSIS,"₹17,900*","₹55,200*",2*,"₹20,00,000*",500,58(1),58(1),58(1),-,-,-,53(1),126(1),126(1),-,-
Assam Govt Quota,OBC/MOBC,Assam,"Assam Med Coll, Dibrugarh",GENERAL MEDICINE,"₹17,900*","₹55,200*",2*,"₹20,00,000*",1365,110(2),110(2),110(2),-,-,-,113(3),132(3),132(3),-,-
Assam Govt Quota,EWS,Assam,"Fakhruddin Ali Ahmed, Barpeta",GENERAL MEDICINE,"₹17,900*","₹55,200*",2*,"₹20,00,000*",470,-,-,-,-,-,-,-,141(1),141(1),-,-
Assam Govt Quota,UR,Assam,"Gauhati Med Coll, Guwahati",TBRD,"₹17,900*","₹55,200*",2*,"₹20,00,000*",2185,99(2),123(2),123(2),-,-,-,86(2),142(2),142(2),-,-
Assam Govt Quota,EWS,Assam,"Assam Med Coll, Dibrugarh",PAEDIATRICS,"₹17,900*","₹55,200*",2*,"₹20,00,000*",1365,190(1),206(1),206(1),-,-,-,97(1),144(1),144(1),-,-
Assam Govt Quota,UR,Assam,"Gauhati Med Coll, Guwahati",PAEDIATRICS,"₹17,900*","₹55,200*",2*,"₹20,00,000*",2185,85(3),88(3),90(3),-,-,-,69(2),135(2),146(2),-,-
Assam Govt Quota,UR,Assam,"Jorhat Med Coll, Jorhat",PAEDIATRICS,"₹17,900*","₹55,200*",2*,"₹20,00,000*",814,97(2),130(2),132(2),-,-,-,-,147(1),147(1),-,-
Assam Govt Quota,UR,Assam,"Gauhati Med Coll, Guwahati",GENERAL SURGERY,"₹17,900*","₹55,200*",2*,"₹20,00,000*",2185,172(7),174(7),185(7),-,-,-,70(2),148(2),148(2),-,-
Assam Govt Quota,UR,Assam,"Gauhati Med Coll, Guwahati",OBG,"₹17,900*","₹55,200*",2*,"₹20,00,000*",2185,126(3),126(3),126(3),-,-,-,92(3),155(4),155(4),-,-
Assam Govt Quota,SC,Assam,"Gauhati Med Coll, Guwahati",GENERAL MEDICINE,"₹17,900*","₹55,200*",2*,"₹20,00,000*",2185,225(1),225(1),246(1),-,-,-,157(1),157(1),157(1),-,-
Assam Govt Quota,UR,Assam,"Fakhruddin Ali Ahmed, Barpeta",OBG,"₹17,900*","₹55,200*",2*,"₹20,00,000*",470,163(2),163(2),175(2),-,-,-,100(1),-,158(1),-,-
Assam Govt Quota,ST(H),Assam,"Assam Med Coll, Dibrugarh",RADIO DIAGNOSIS,"₹17,900*","₹55,200*",2*,"₹20,00,000*",1365,578(1),578(1),578(1),-,-,-,161(1),161(1),161(1),-,-
Assam Govt Quota,EWS,Assam,"Gauhati Med Coll, Guwahati",OBG,"₹17,900*","₹55,200*",2*,"₹20,00,000*",2185,198(1),198(1),198(1),-,-,-,123(1),158(1),162(1),-,-
Assam Govt Quota,UR,Assam,"Silchar Med Coll, Silchar",PAEDIATRICS,"₹17,900*","₹55,200*",2*,"₹20,00,000*",1256,105(1),105(1),105(1),-,-,-,79(1),146(2),177(2),237(1),-
Assam Govt Quota,UR,Assam,"Fakhruddin Ali Ahmed, Barpeta",GENERAL SURGERY,"₹17,900*","₹55,200*",2*,"₹20,00,000*",470,236(2),209(2),209(2),-,-,-,172(2),180(2),180(2),-,-
Assam Govt Quota,UR,Assam,"Assam Med Coll, Dibrugarh",OBG,"₹17,900*","₹55,200*",2*,"₹20,00,000*",1365,165(5),165(5),165(5),-,-,-,99(2),182(4),182(4),-,-
Assam Govt Quota,SC,Assam,"Tezpur Med Coll, Tezpur",RADIO DIAGNOSIS,"₹17,900*","₹55,200*",2*,"₹20,00,000*",500,-,-,-,-,-,-,-,194(1),194(1),-,-
Assam Govt Quota,EWS,Assam,"Jorhat Med Coll, Jorhat",PAEDIATRICS,"₹17,900*","₹55,200*",2*,"₹20,00,000*",814,197(1),210(1),210(1),-,-,-,-,197(1),197(1),-,-
Assam Govt Quota,UR,Assam,"Jorhat Med Coll, Jorhat",OBG,"₹17,900*","₹55,200*",2*,"₹20,00,000*",814,-,-,-,-,-,-,89(1),199(2),199(2),-,-
Assam Govt Quota,UR,Assam,"Silchar Med Coll, Silchar",ENT,"₹17,900*","₹55,200*",2*,"₹20,00,000*",1256,298(1),307(1),352(1),395(1),-,-,-,201(1),201(1),-,-
Assam Govt Quota,EWS,Assam,"Assam Med Coll, Dibrugarh",OBG,"₹17,900*","₹55,200*",2*,"₹20,00,000*",1365,208(1),190(1),190(1),-,-,-,150(1),202(1),202(1),-,-
Assam Govt Quota,OBC/MOBC,Assam,"Jorhat Med Coll, Jorhat",GENERAL MEDICINE,"₹17,900*","₹55,200*",2*,"₹20,00,000*",814,116(1),116(1),116(1),-,-,-,126(2),203(2),203(2),-,-
Assam Govt Quota,UR,Assam,"Gauhati Med Coll, Guwahati",ENT,"₹17,900*","₹55,200*",2*,"₹20,00,000*",2185,138(1),202(1),262(1),416(1),-,-,88(1),215(1),215(1),-,-
