Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2024 1,CR 2024 2,CR 2024 5
CHNDGH-Govt Quota,UT-GEN,Chandigarh,"GMC, Chandigarh",ENT,"₹34,500*","₹1,07,000",0,₹0,967,-,-,-,44(1),-,66(1)
CHNDGH-Govt Quota,UT-SC,Chandigarh,"GMC, Chandigarh",GENERAL SURGERY,"₹34,500*","₹1,07,000",0,₹0,967,-,-,-,87(1),-,-
CHNDGH-Govt Quota,IP-GEN,Chandigarh,"GMC, Chandigarh",SPM,"₹34,500*","₹1,07,000",0,₹0,967,-,70(2),70(2),99(1),-,-
CHNDGH-Govt Quota,IP-GEN,Chandigarh,"GMC, Chandigarh",IHBT,"₹34,500*","₹1,07,000",0,₹0,967,-,-,-,118(1),-,-
CHNDGH-Govt Quota,UT-EWS,Chandigarh,"GMC, Chandigarh",ORTHOPAEDICS,"₹34,500*","₹1,07,000",0,₹0,967,-,-,-,-,-,133(1)
CHNDGH-Govt Quota,IP-GEN,Chandigarh,"GMC, Chandigarh",PHARMACOLOGY,"₹34,500*","₹1,07,000",0,₹0,967,-,-,-,146(1),-,-
CHNDGH-Govt Quota,IP-GEN,Chandigarh,"GMC, Chandigarh",MICROBIOLOGY,"₹34,500*","₹1,07,000",0,₹0,967,-,-,-,152(1),-,-
CHNDGH-Govt Quota,UT-GEN,Chandigarh,"GMC, Chandigarh",PHARMACOLOGY,"₹34,500*","₹1,07,000",0,₹0,967,-,-,-,153(1),-,-
CHNDGH-Govt Quota,IP-SC,Chandigarh,"GMC, Chandigarh",DERMATOLOGY,"₹34,500*","₹1,07,000",0,₹0,967,-,-,-,157(1),-,-
CHNDGH-Govt Quota,UT-SC,Chandigarh,"GMC, Chandigarh",OBG,"₹34,500*","₹1,07,000",0,₹0,967,-,-,-,165(1),-,-
CHNDGH-Govt Quota,IP-GEN,Chandigarh,"GMC, Chandigarh",PHYSIOLOGY,"₹34,500*","₹1,07,000",0,₹0,967,-,-,-,167(1),-,-
CHNDGH-Govt Quota,IP-SC,Chandigarh,"GMC, Chandigarh",ANAESTHESIOLOGY,"₹34,500*","₹1,07,000",0,₹0,967,-,-,-,171(1),-,-
CHNDGH-Govt Quota,IP-GEN,Chandigarh,"GMC, Chandigarh",FORENSIC MEDICINE,"₹34,500*","₹1,07,000",0,₹0,967,-,-,-,101(1),-,227(1)
CHNDGH-Govt Quota,UT-GEN,Chandigarh,"GMC, Chandigarh",ANATOMY,"₹34,500*","₹1,07,000",0,₹0,967,-,-,-,-,-,232(1)
CHNDGH-Govt Quota,UT-GEN,Chandigarh,"GMC, Chandigarh",BIOCHEMISTRY,"₹34,500*","₹1,07,000",0,₹0,967,189(1),-,-,164(1),-,234(2)
CHNDGH-Govt Quota,IP-GEN,Chandigarh,"GMC, Chandigarh",BIOCHEMISTRY,"₹34,500*","₹1,07,000",0,₹0,967,131(1),-,131(1),-,-,249(1)
CHNDGH-Govt Quota,UT-SC,Chandigarh,"GMC, Chandigarh",RADIO DIAGNOSIS,"₹34,500*","₹1,07,000",0,₹0,967,92(1),-,-,-,-,-
CHNDGH-Govt Quota,IP-SC,Chandigarh,"GMC, Chandigarh",PAEDIATRICS,"₹34,500*","₹1,07,000",0,₹0,967,98(1),-,-,-,-,-
CHNDGH-Govt Quota,UT-SC,Chandigarh,"GMC, Chandigarh",ENT,"₹34,500*","₹1,07,000",0,₹0,967,150(1),-,-,-,-,-
CHNDGH-Govt Quota,UT-SC,Chandigarh,"GMC, Chandigarh",OPHTHALMOLOGY,"₹34,500*","₹1,07,000",0,₹0,967,93(1),-,169(1),-,-,-
CHNDGH-Govt Quota,UT-SC,Chandigarh,"GMC, Chandigarh",PATHOLOGY,"₹34,500*","₹1,07,000",0,₹0,967,178(1),-,178(1),-,-,-
CHNDGH-Govt Quota,IP-SC,Chandigarh,"GMC, Chandigarh",ORTHOPAEDICS,"₹34,500*","₹1,07,000",0,₹0,967,-,-,195(1),-,-,-
CHNDGH-Govt Quota,IP-SC,Chandigarh,"GMC, Chandigarh",OBG,"₹34,500*","₹1,07,000",0,₹0,967,-,-,197(1),-,-,-
