Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2023 6,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4,CR 2024 5,CR 2024 6,CR 2024 7
Tel Govt-NS LOC,BCB-GEN,Telangana,"Mamata AcadofMedSci,Bachupally",GENERAL SURGERY,"₹7,50,000*",Info not available*,1*,"₹20,00,000*",-,-,-,-,-,-,-,1020(1),1020(1),1141(1),1141(1),-,-,-
Tel Govt-NS LOC,MIN-GEN-MSM,Telangana,"DCMS, Hyderabad",GENERAL SURGERY,"₹7,75,000*",Info not available*,1*,"₹20,00,000*",1400,1929(1),1929(1),2177(1),2177(1),2177(1),2177(1),1143(2),1143(2),1143(2),1143(2),-,-,-
Tel Govt-NS LOC,BCD-GEN,Telangana,"Rajiv Gandhi IMS, Adilabad",ANAESTHESIOLOGY,"₹25,000*","₹58,289",1,"₹20,00,000",Info Not Available,-,-,-,-,-,-,-,-,1149(1),1149(1),-,-,-
Tel Govt-NS LOC,OPEN-GEN,Telangana,"ESIC Med Coll,Sanath Nagar",PHARMACOLOGY,"₹2,50,000*","₹1,26,927*",2*,"₹10,00,000*",690,3730(1),3730(1),4068(2),4068(2),4068(2),4068(2),-,-,1152(1),1152(1),-,-,-
Tel Govt-NS LOC,MIN-FEM-MSM,Telangana,"DrVRK Womens MedColl,Aziznagar",PAEDIATRICS,"₹7,00,000*",Info not available*,1*,"₹20,00,000*",500,2049(1),2049(1),2057(1),2057(1),2057(1),2057(1),1157(1),1157(1),1157(1),1157(1),-,-,-
Tel Govt-NS LOC,OPEN-GEN,Telangana,"Kamineni IMS, Narketpally",OBG,"₹7,50,000*",Info not available*,1*,"₹20,00,000*",1060,1398(1),1398(1),1476(1),1658(1),1658(1),1658(1),698(1),698(1),1158(2),1158(2),-,-,-
Tel Govt-NS LOC,SC-GEN,Telangana,"SVS Med Coll, Mehboobnagar",GENERAL MEDICINE,"₹7,50,000*",Info not available*,1*,"₹20,00,000*",760,-,-,-,-,-,-,1132(1),1132(1),1159(1),1159(1),-,-,-
Tel Govt-NS LOC,BCD-GEN,Telangana,"Kakatiya Med Coll, Warangal",EMERGENCY MEDICINE,"₹25,000*","₹58,289",1,"₹20,00,000",1150,-,-,-,-,-,-,750(1),1160(1),1160(1),1160(1),-,-,-
Tel Govt-NS LOC,SC-GEN,Telangana,"Osmania Med Coll, Hyderabad",GENERAL SURGERY,"₹25,000*","₹58,289",1,"₹20,00,000",4800,-,-,-,-,-,-,868(1),868(1),1162(2),1162(2),-,-,-
Tel Govt-NS LOC,SC-GEN,Telangana,"Mediciti IMS, Ghanpur",RADIO DIAGNOSIS,"₹7,00,000*",Info not available*,1*,"₹20,00,000*",720,-,-,-,-,-,-,1165(1),1165(1),1165(1),1165(1),-,-,-
Tel Govt-NS LOC,OPEN-FEM,Telangana,"Prathima IMS, Karimnagar",TBRD,"₹7,50,000*",Info not available*,1*,"₹20,00,000*",1060,-,-,-,-,-,-,701(1),663(1),1167(1),1293(1),-,-,-
Tel Govt-NS LOC,OPEN-GEN,Telangana,"MNR Med Coll, Sangareddy",OBG,"₹7,00,000*",Info not available*,1*,"₹20,00,000*",760,-,-,-,-,-,-,612(1),675(1),1168(1),1190(1),-,-,-
Tel Govt-NS LOC,BCE-GEN,Telangana,"Govt Med Coll, Nizamabad",ANAESTHESIOLOGY,"₹25,000*","₹58,289",1,"₹20,00,000",500,-,-,-,-,-,-,865(1),865(1),1169(1),1169(1),-,-,-
Tel Govt-NS LOC,BCB-GEN,Telangana,"NIMS, Hyderabad",PATHOLOGY,"₹72,000*","₹1,11,780",1,"₹50,00,000",1498,-,-,-,-,-,-,1170(1),1170(1),1170(1),1264(1),-,-,-
Tel Govt-NS LOC,OPEN-GEN,Telangana,"Surabhi InstituteofMS,Siddipet",OBG,"₹7,75,000*",Info not available*,1*,"₹20,00,000*",-,-,-,-,-,-,-,805(1),805(1),1171(1),1081(1),-,-,-
Tel Govt-NS LOC,BCD-GEN,Telangana,"Bhaskar Med Coll, Yenkapally",OBG,"₹7,50,000*",Info not available*,1*,"₹20,00,000*",850,-,-,-,-,-,-,-,-,1172(1),1172(1),-,-,-
Tel Govt-NS LOC,OPEN-GEN,Telangana,"Mahavir Inst of MS, Vikarabad",OBG,"₹7,00,000*",Info not available*,1*,"₹20,00,000*",700,-,-,-,-,-,-,765(1),765(1),1173(1),1212(1),-,-,-
Tel Govt-NS LOC,MIN-FEM-MSM,Telangana,"DCMS, Hyderabad",GENERAL SURGERY,"₹7,75,000*",Info not available*,1*,"₹20,00,000*",1400,2793(1),2793(1),2805(2),2805(2),2805(2),2805(2),1174(1),1174(1),1174(1),1174(1),-,-,-
Tel Govt-NS LOC,BCB-GEN,Telangana,"CAIMS, Karimnagar",OBG,"₹7,75,000*",Info not available*,1*,"₹20,00,000*",1000,-,-,-,-,-,-,791(1),799(1),1175(1),1175(1),-,-,-
Tel Govt-NS LOC,BCB-FEM,Telangana,"Kamineni (KAMSRC), Hyderabad",GENERAL SURGERY,"₹7,00,000*",Info not available*,1*,"₹20,00,000*",650,-,-,-,-,-,-,916(1),916(1),1182(1),1182(1),-,-,-
Tel Govt-NS LOC,OPEN-FEM,Telangana,"Kamineni (KAMSRC), Hyderabad",ANAESTHESIOLOGY,"₹7,00,000*",Info not available*,1*,"₹20,00,000*",650,-,-,-,-,-,-,918(1),918(1),1184(2),1387(2),-,-,-
Tel Govt-NS LOC,BCD-FEM,Telangana,"Govt Med Coll, Siddipet",OPHTHALMOLOGY,"₹25,000*","₹58,289",1,"₹20,00,000",780,-,-,-,-,-,-,845(1),932(1),1185(1),1185(1),-,-,-
Tel Govt-NS LOC,SC-GEN,Telangana,"Govt Med Coll, Mahabubnagar",OBG,"₹25,000*","₹58,289",1,"₹20,00,000",900,-,-,-,-,-,-,1076(1),1140(1),1187(1),1187(1),-,-,-
Tel Govt-NS LOC,MIN-FEM-MSM,Telangana,"Shadan IMSRC, Peerancheru",TBRD,"₹7,50,000*",Info not available*,1*,"₹20,00,000*",800,-,-,-,-,-,-,1442(1),1442(1),1191(1),1191(1),-,-,-
Tel Govt-NS LOC,BCD-GEN,Telangana,"MNR Med Coll, Sangareddy",OBG,"₹7,00,000*",Info not available*,1*,"₹20,00,000*",760,-,-,-,-,-,-,883(1),883(1),1192(1),1192(1),-,-,-
Tel Govt-NS LOC,OPEN-GEN,Telangana,"Apollo IMSR, Hyderabad",ENT,"₹7,50,000*",Info not available*,1*,"₹20,00,000*",570,-,-,-,-,-,-,1058(1),1058(1),1193(1),1193(1),-,-,-
Tel Govt-NS LOC,OPEN-GEN,Telangana,"ESIC Med Coll,Sanath Nagar",PATHOLOGY,"₹2,50,000*","₹1,26,927*",2*,"₹10,00,000*",690,-,-,-,-,-,-,1191(1),1191(1),1196(1),1196(1),-,-,-
Tel Govt-NS LOC,BCC-GEN,Telangana,"Osmania Med Coll, Hyderabad",PSYCHIATRY,"₹25,000*","₹58,289",1,"₹20,00,000",4800,-,-,-,-,-,-,-,-,1197(1),1197(1),-,-,-
Tel Govt-NS LOC,OPEN-FEM,Telangana,"Govt Med Coll, Siddipet",ANAESTHESIOLOGY,"₹25,000*","₹58,289",1,"₹20,00,000",780,-,-,-,-,-,-,737(1),737(1),1199(1),1199(1),-,-,-
Tel Govt-NS LOC,BCA-FEM,Telangana,"SVS Med Coll, Mehboobnagar",PAEDIATRICS,"₹7,50,000*",Info not available*,1*,"₹20,00,000*",760,-,-,-,-,-,-,1204(1),1204(1),1204(1),1204(1),-,-,-
Tel Govt-NS LOC,BCD-FEM,Telangana,"Maheshwara Med Coll, Medak",OBG,"₹7,00,000*",Info not available*,1*,"₹20,00,000*",745,-,-,-,-,-,-,792(1),792(1),1205(1),1205(1),-,-,-
Tel Govt-NS LOC,OPEN-GEN,Telangana,"Bhaskar Med Coll, Yenkapally",TBRD,"₹7,50,000*",Info not available*,1*,"₹20,00,000*",850,-,-,-,-,-,-,855(1),855(1),1210(1),1210(1),-,-,-
Tel Govt-NS LOC,BCD-GEN,Telangana,"Prathima IMS, Karimnagar",GENERAL SURGERY,"₹7,50,000*",Info not available*,1*,"₹20,00,000*",1060,-,-,-,-,-,-,824(1),824(1),1211(1),1359(1),-,-,-
Tel Govt-NS LOC,OPEN-GEN,Telangana,"Kamineni (KAMSRC), Hyderabad",ANAESTHESIOLOGY,"₹7,00,000*",Info not available*,1*,"₹20,00,000*",650,2009(1),2009(1),2016(1),2016(1),2016(1),2016(1),1065(1),1065(1),1212(1),1401(1),-,-,-
Tel Govt-NS LOC,BCB-FEM,Telangana,"SVS Med Coll, Mehboobnagar",GENERAL SURGERY,"₹7,50,000*",Info not available*,1*,"₹20,00,000*",760,-,-,-,-,-,-,-,-,1215(1),1215(1),-,-,-
Tel Govt-NS LOC,BCE-FEM,Telangana,"Surabhi InstituteofMS,Siddipet",PAEDIATRICS,"₹7,75,000*",Info not available*,1*,"₹20,00,000*",-,-,-,-,-,-,-,1278(1),1278(1),1220(1),1220(1),-,-,-
Tel Govt-NS LOC,BCB-GEN,Telangana,"Prathima IMS, Karimnagar",GENERAL SURGERY,"₹7,50,000*",Info not available*,1*,"₹20,00,000*",1060,-,-,-,-,-,-,913(1),975(2),1221(2),1508(2),-,-,-
Tel Govt-NS LOC,SC-FEM,Telangana,"Mamata Med Coll, Khammam",RADIO DIAGNOSIS,"₹7,50,000*",Info not available*,1*,"₹20,00,000*",1080,-,-,-,-,-,-,1222(1),1222(1),1222(1),1222(1),-,-,-
Tel Govt-NS LOC,OPEN-FEM,Telangana,"SVS Med Coll, Mehboobnagar",ANAESTHESIOLOGY,"₹7,50,000*",Info not available*,1*,"₹20,00,000*",760,2425(1),2238(1),2473(1),2473(1),2473(1),2473(1),970(1),970(1),1228(1),1228(1),-,-,-
Tel Govt-NS LOC,BCE-FEM,Telangana,"SVS Med Coll, Mehboobnagar",GENERAL SURGERY,"₹7,50,000*",Info not available*,1*,"₹20,00,000*",760,2980(1),3260(1),3283(1),3283(1),3283(1),3283(1),1235(1),1235(1),1235(1),1235(1),-,-,-
Tel Govt-NS LOC,BCE-GEN,Telangana,"Govt Med Coll, Suryapet",ENT,"₹25,000*","₹58,289",1,"₹20,00,000",580,-,-,-,-,-,-,1240(1),1240(1),1240(1),1240(1),-,-,-
Tel Govt-NS LOC,OPEN-FEM,Telangana,"Mediciti IMS, Ghanpur",GENERAL SURGERY,"₹7,00,000*",Info not available*,1*,"₹20,00,000*",720,-,-,-,-,-,-,877(1),877(1),1247(1),1247(1),-,-,-
Tel Govt-NS LOC,BCB-FEM,Telangana,"Kakatiya Med Coll, Warangal",ORTHOPAEDICS,"₹25,000*","₹58,289",1,"₹20,00,000",1150,-,-,-,-,-,-,1081(1),1081(1),1248(1),1248(1),-,-,-
Tel Govt-NS LOC,OPEN-GEN,Telangana,"RVM IMSRC, Siddipet",TBRD,"₹7,00,000*",Info not available*,1*,"₹20,00,000*",1110,-,-,-,-,-,-,-,-,1251(1),1251(1),-,-,-
Tel Govt-NS LOC,OPEN-FEM,Telangana,"SVS Med Coll, Mehboobnagar",ENT,"₹7,50,000*",Info not available*,1*,"₹20,00,000*",760,-,-,-,-,-,-,815(1),1253(1),1253(1),1253(1),-,-,-
Tel Govt-NS LOC,BCA-GEN,Telangana,"Mamata Med Coll, Khammam",GENERAL SURGERY,"₹7,50,000*",Info not available*,1*,"₹20,00,000*",1080,-,-,-,-,-,-,1254(1),1254(1),1254(1),1254(1),-,-,-
Tel Govt-NS LOC,MIN-GEN-MSM,Telangana,"DCMS, Hyderabad",ENT,"₹7,75,000*",Info not available*,1*,"₹20,00,000*",1400,3045(1),2210(1),3338(1),3338(1),3338(1),3338(1),1257(1),1257(1),1257(1),1257(1),-,-,-
Tel Govt-NS LOC,OPEN-FEM,Telangana,"Govt Med Coll, Nizamabad",PSYCHIATRY,"₹25,000*","₹58,289",1,"₹20,00,000",500,-,-,-,-,-,-,941(1),941(1),1258(1),1258(1),-,-,-
Tel Govt-NS LOC,OPEN-FEM,Telangana,"Bhaskar Med Coll, Yenkapally",OPHTHALMOLOGY,"₹7,50,000*",Info not available*,1*,"₹20,00,000*",850,-,-,-,-,-,-,807(1),807(1),1259(1),1259(1),-,-,-
Tel Govt-NS LOC,SC-FEM,Telangana,"Govt Med Coll, Suryapet",OBG,"₹25,000*","₹58,289",1,"₹20,00,000",580,-,-,-,-,-,-,-,-,1260(1),1260(1),-,-,-
Tel Govt-NS LOC,OPEN-GEN,Telangana,"Kamineni IMS, Narketpally",TBRD,"₹7,50,000*",Info not available*,1*,"₹20,00,000*",1060,-,-,-,-,-,-,658(1),898(1),1261(1),1194(1),-,-,-
Tel Govt-NS LOC,BCE-FEM,Telangana,"Govt Med Coll, Siddipet",ANAESTHESIOLOGY,"₹25,000*","₹58,289",1,"₹20,00,000",780,-,-,-,-,-,-,-,-,1266(1),1266(1),-,-,-
Tel Govt-NS LOC,SC-GEN,Telangana,"Kamineni (KAMSRC), Hyderabad",DERMATOLOGY,"₹7,00,000*",Info not available*,1*,"₹20,00,000*",650,-,-,-,-,-,-,1634(1),1634(1),1267(1),1267(1),-,-,-
Tel Govt-NS LOC,OPEN-FEM,Telangana,"MNR Med Coll, Sangareddy",TBRD,"₹7,00,000*",Info not available*,1*,"₹20,00,000*",760,-,-,-,-,-,-,981(1),981(1),1268(1),1268(1),-,-,-
Tel Govt-NS LOC,BCE-GEN,Telangana,"Kamineni (KAMSRC), Hyderabad",TBRD,"₹7,00,000*",Info not available*,1*,"₹20,00,000*",650,-,-,-,-,-,-,1270(1),1270(1),1270(1),1270(1),-,-,-
Tel Govt-NS LOC,OPEN-GEN,Telangana,"Apollo IMSR, Hyderabad",ORTHOPAEDICS,"₹7,50,000*",Info not available*,1*,"₹20,00,000*",570,1909(1),2098(1),2106(1),2106(1),2106(1),2106(1),1084(1),1084(1),1271(1),1271(1),-,-,-
Tel Govt-NS LOC,MIN-GEN-MSM,Telangana,"Shadan IMSRC, Peerancheru",GENERAL SURGERY,"₹7,50,000*",Info not available*,1*,"₹20,00,000*",800,2169(1),2169(1),2285(1),2285(1),2285(1),2285(1),-,-,1272(1),1272(1),-,-,-
Tel Govt-NS LOC,BCB-GEN,Telangana,"Mediciti IMS, Ghanpur",TBRD,"₹7,00,000*",Info not available*,1*,"₹20,00,000*",720,-,-,-,-,-,-,1167(1),1167(1),1274(1),1274(1),-,-,-
Tel Govt-NS LOC,BCA-GEN,Telangana,"Rajiv Gandhi IMS, Adilabad",ORTHOPAEDICS,"₹25,000*","₹58,289",1,"₹20,00,000",Info Not Available,-,-,-,-,-,-,-,-,1277(1),1277(1),-,-,-
Tel Govt-NS LOC,BCE-FEM,Telangana,"Kamineni IMS, Narketpally",GENERAL MEDICINE,"₹7,50,000*",Info not available*,1*,"₹20,00,000*",1060,-,-,-,-,-,-,1169(1),1169(1),1278(1),1278(1),-,-,-
Tel Govt-NS LOC,OPEN-GEN,Telangana,"CAIMS, Karimnagar",ENT,"₹7,75,000*",Info not available*,1*,"₹20,00,000*",1000,2211(1),2211(1),2932(1),2932(1),2932(1),2932(1),-,1104(1),1280(1),1280(1),-,-,-
Tel Govt-NS LOC,SC-GEN,Telangana,"Osmania Med Coll, Hyderabad",ANAESTHESIOLOGY,"₹25,000*","₹58,289",1,"₹20,00,000",4800,-,-,-,-,-,-,1282(1),1282(1),1282(1),1282(1),-,-,-
Tel Govt-NS LOC,MIN-GEN-MSM,Telangana,"Shadan IMSRC, Peerancheru",OBG,"₹7,50,000*",Info not available*,1*,"₹20,00,000*",800,1424(1),2083(1),2117(1),2117(1),2117(1),2117(1),850(1),850(1),1283(1),1283(1),-,-,-
Tel Govt-NS LOC,SC-GEN,Telangana,"Osmania Med Coll, Hyderabad",TBRD,"₹25,000*","₹58,289",1,"₹20,00,000",4800,1481(1),1843(1),1850(1),1850(1),1850(1),1850(1),1140(1),1289(1),1289(1),1289(1),-,-,-
Tel Govt-NS LOC,OPEN-GEN,Telangana,"Mamata Med Coll, Khammam",EMERGENCY MEDICINE,"₹7,50,000*",Info not available*,1*,"₹20,00,000*",1080,-,-,-,-,-,-,1113(1),1182(1),1291(1),1291(1),-,-,-
Tel Govt-NS LOC,BCB-GEN,Telangana,"MNR Med Coll, Sangareddy",DERMATOLOGY,"₹7,00,000*",Info not available*,1*,"₹20,00,000*",760,-,-,-,-,-,-,679(1),884(1),1292(1),1306(1),-,-,-
Tel Govt-NS LOC,BCB-GEN,Telangana,"Prathima IMS, Karimnagar",OPHTHALMOLOGY,"₹7,50,000*",Info not available*,1*,"₹20,00,000*",1060,-,-,-,-,-,-,1293(1),1293(1),1293(1),1762(1),-,-,-
Tel Govt-NS LOC,ST-GEN,Telangana,"Kakatiya Med Coll, Warangal",GENERAL MEDICINE,"₹25,000*","₹58,289",1,"₹20,00,000",1150,1834(1),1834(1),1841(1),1841(1),1841(1),1841(1),515(1),700(1),1294(1),1294(1),-,-,-
Tel Govt-NS LOC,OPEN-FEM,Telangana,"Osmania Med Coll, Hyderabad",PATHOLOGY,"₹25,000*","₹58,289",1,"₹20,00,000",4800,1887(2),1924(2),2529(2),2529(2),2529(2),2529(2),836(1),1133(1),1297(2),1297(2),-,-,-
Tel Govt-NS LOC,OPEN-FEM,Telangana,"NIMS, Hyderabad",HOSPITAL ADMINISTRATION,"₹72,000*","₹1,11,780",1,"₹50,00,000",1498,-,-,-,-,-,-,1882(1),1301(1),1301(1),1301(1),-,-,-
Tel Govt-NS LOC,BCE-FEM,Telangana,"RVM IMSRC, Siddipet",GENERAL MEDICINE,"₹7,00,000*",Info not available*,1*,"₹20,00,000*",1110,-,-,-,-,-,-,437(1),437(1),1303(1),1303(1),-,-,-
Tel Govt-NS LOC,OPEN-GEN,Telangana,"SVS Med Coll, Mehboobnagar",ANAESTHESIOLOGY,"₹7,50,000*",Info not available*,1*,"₹20,00,000*",760,2297(2),2439(2),2719(2),2719(2),2719(2),2719(2),1125(2),1125(2),1304(3),1304(3),-,-,-
Tel Govt-NS LOC,BCB-GEN,Telangana,"Bhaskar Med Coll, Yenkapally",ENT,"₹7,50,000*",Info not available*,1*,"₹20,00,000*",850,-,-,-,-,-,-,1306(1),1306(1),1306(1),1673(1),-,-,-
Tel Govt-NS LOC,BCB-GEN,Telangana,"SVS Med Coll, Mehboobnagar",ANAESTHESIOLOGY,"₹7,50,000*",Info not available*,1*,"₹20,00,000*",760,2301(1),2301(1),2310(1),2310(1),2310(1),2310(1),1137(1),1137(1),1307(1),1307(1),-,-,-
Tel Govt-NS LOC,BCB-FEM,Telangana,"Govt Med Coll, Siddipet",PSYCHIATRY,"₹25,000*","₹58,289",1,"₹20,00,000",780,-,-,-,-,-,-,1318(1),1318(1),1318(1),1563(1),-,-,-
Tel Govt-NS LOC,OPEN-FEM,Telangana,"Gandhi Med Coll, Secunderabad",PATHOLOGY,"₹25,000*","₹58,289",1,"₹20,00,000",1200,-,-,-,-,-,-,1196(1),1196(1),1321(1),1321(1),-,-,-
Tel Govt-NS LOC,BCA-GEN,Telangana,"Osmania Med Coll, Hyderabad",OPHTHALMOLOGY,"₹25,000*","₹58,289",1,"₹20,00,000",4800,1263(1),1263(1),1265(1),1265(1),1265(1),1265(1),954(1),954(1),1329(2),1329(2),-,-,-
Tel Govt-NS LOC,OPEN-FEM,Telangana,"Osmania Med Coll, Hyderabad",DO,"₹25,000*","₹58,289",1,"₹10,00,000",4800,-,-,-,-,-,-,1335(1),1335(1),1335(1),1335(1),-,-,-
Tel Govt-NS LOC,BCA-FEM,Telangana,"Govt Med Coll, Nizamabad",OPHTHALMOLOGY,"₹25,000*","₹58,289",1,"₹20,00,000",500,-,-,-,-,-,-,1273(1),1273(1),1336(1),1336(1),-,-,-
Tel Govt-NS LOC,BCA-GEN,Telangana,"Bhaskar Med Coll, Yenkapally",DERMATOLOGY,"₹7,50,000*",Info not available*,1*,"₹20,00,000*",850,-,-,-,-,-,-,-,-,1337(1),1337(1),-,-,-
Tel Govt-NS LOC,OPEN-GEN,Telangana,"Kamineni (KAMSRC), Hyderabad",RADIATION ONCOLOGY,"₹7,00,000*",Info not available*,1*,"₹20,00,000*",650,-,-,3304(1),3867(1),3867(1),3867(1),1064(1),1060(1),1341(1),1341(1),-,-,-
Tel Govt-NS LOC,BCC-GEN,Telangana,"CAIMS, Karimnagar",TBRD,"₹7,75,000*",Info not available*,1*,"₹20,00,000*",1000,-,-,-,-,-,-,-,-,1342(1),1342(1),-,-,-
Tel Govt-NS LOC,OPEN-GEN,Telangana,"SVS Med Coll, Mehboobnagar",ORTHOPAEDICS,"₹7,50,000*",Info not available*,1*,"₹20,00,000*",760,-,-,-,-,-,-,880(1),880(1),1343(2),1343(2),-,-,-
Tel Govt-NS LOC,BCD-GEN,Telangana,"Kamineni IMS, Narketpally",GENERAL SURGERY,"₹7,50,000*",Info not available*,1*,"₹20,00,000*",1060,-,-,-,-,-,-,1348(1),1348(1),1348(1),1348(1),-,-,-
Tel Govt-NS LOC,OPEN-GEN,Telangana,"MNR Med Coll, Sangareddy",GENERAL SURGERY,"₹7,00,000*",Info not available*,1*,"₹20,00,000*",760,1751(1),1751(1),1907(1),1907(1),1907(1),1907(1),879(3),856(3),1349(4),1411(4),-,-,-
Tel Govt-NS LOC,OPEN-GEN,Telangana,"Osmania Med Coll, Hyderabad",DTBCD,"₹25,000*","₹58,289",1,"₹10,00,000",4800,1191(1),2134(1),2008(1),2008(1),2008(1),2008(1),1073(1),1149(1),1353(1),1353(1),-,-,-
Tel Govt-NS LOC,SC-GEN,Telangana,"Mamata Med Coll, Khammam",GENERAL MEDICINE,"₹7,50,000*",Info not available*,1*,"₹20,00,000*",1080,-,-,-,-,-,-,1138(1),1138(1),1354(2),1354(2),-,-,-
Tel Govt-NS LOC,BCB-FEM,Telangana,"Kamineni IMS, Narketpally",GENERAL SURGERY,"₹7,50,000*",Info not available*,1*,"₹20,00,000*",1060,-,-,-,-,-,-,-,1356(1),1356(1),1356(1),-,-,-
Tel Govt-NS LOC,MIN-GEN-MSM,Telangana,"DCMS, Hyderabad",ORTHOPAEDICS,"₹7,75,000*",Info not available*,1*,"₹20,00,000*",1400,2276(1),2276(1),3397(1),3397(1),3397(1),3397(1),947(1),947(1),1357(2),1357(2),-,-,-
Tel Govt-NS LOC,BCD-FEM,Telangana,"Dr Patnam MRInstofMS,Chevella",TBRD,"₹7,00,000*",Info not available*,1*,"₹20,00,000*",-,-,-,-,-,-,-,1099(1),1099(1),1359(1),1664(1),-,-,-
Tel Govt-NS LOC,BCD-GEN,Telangana,"MNR Med Coll, Sangareddy",GENERAL SURGERY,"₹7,00,000*",Info not available*,1*,"₹20,00,000*",760,2249(1),2249(1),2837(1),2837(1),2837(1),2837(1),1360(1),1360(1),1360(1),1360(1),-,-,-
Tel Govt-NS LOC,OPEN-FEM,Telangana,"SVS Med Coll, Mehboobnagar",OPHTHALMOLOGY,"₹7,50,000*",Info not available*,1*,"₹20,00,000*",760,-,-,-,-,-,-,890(1),1185(1),1364(1),1364(1),-,-,-
Tel Govt-NS LOC,OPEN-GEN,Telangana,"Mamata Med Coll, Khammam",ANAESTHESIOLOGY,"₹7,50,000*",Info not available*,1*,"₹20,00,000*",1080,-,-,-,-,-,-,1212(1),1212(1),1365(1),1365(1),-,-,-
Tel Govt-NS LOC,BCD-FEM,Telangana,"Mamata AcadofMedSci,Bachupally",GENERAL SURGERY,"₹7,50,000*",Info not available*,1*,"₹20,00,000*",-,-,-,-,-,-,-,1366(1),1366(1),1366(1),1366(1),-,-,-
Tel Govt-NS LOC,OPEN-GEN,Telangana,"Surabhi InstituteofMS,Siddipet",GENERAL SURGERY,"₹7,75,000*",Info not available*,1*,"₹20,00,000*",-,-,-,-,3345(1),3345(1),3345(1),901(1),974(1),1370(1),1370(1),-,-,-
Tel Govt-NS LOC,SC-GEN,Telangana,"MNR Med Coll, Sangareddy",RADIO DIAGNOSIS,"₹7,00,000*",Info not available*,1*,"₹20,00,000*",760,1893(1),1893(1),2321(1),2321(1),2321(1),2321(1),1371(1),1371(1),1371(1),1371(1),-,-,-
Tel Govt-NS LOC,MIN-GEN-MSM,Telangana,"DCMS, Hyderabad",OPHTHALMOLOGY,"₹7,75,000*",Info not available*,1*,"₹20,00,000*",1400,2820(1),2820(1),2832(1),2832(1),2832(1),2832(1),1220(1),1550(1),1384(1),1384(1),-,-,-
Tel Govt-NS LOC,OPEN-FEM,Telangana,"Prathima IMS, Karimnagar",ANAESTHESIOLOGY,"₹7,50,000*",Info not available*,1*,"₹20,00,000*",1060,-,-,2732(1),2732(1),2732(1),2732(1),1158(1),910(1),1387(1),1428(1),-,-,-
Tel Govt-Serv LOC,OPEN-GEN,Telangana,"Kakatiya Med Coll, Warangal",PAEDIATRICS,"₹25,000*","₹58,289",1,"₹20,00,000",1150,-,-,-,-,-,-,1389(1),1389(1),1388(1),1388(1),-,-,-
Tel Govt-NS LOC,BCB-GEN,Telangana,"Mahavir Inst of MS, Vikarabad",OBG,"₹7,00,000*",Info not available*,1*,"₹20,00,000*",700,-,-,-,-,-,-,799(1),943(1),1389(1),1389(1),-,-,-
Tel Govt-NS LOC,BCD-FEM,Telangana,"Apollo IMSR, Hyderabad",ANAESTHESIOLOGY,"₹7,50,000*",Info not available*,1*,"₹20,00,000*",570,-,-,-,-,-,-,1393(1),1393(1),1392(1),1392(1),-,-,-
Tel Govt-NS LOC,MIN-GEN-MSM,Telangana,"Shadan IMSRC, Peerancheru",ANAESTHESIOLOGY,"₹7,50,000*",Info not available*,1*,"₹20,00,000*",800,2627(1),2627(1),3441(1),3441(1),3441(1),3441(1),1525(1),1525(1),1394(1),1784(1),-,-,-
Tel Govt-NS LOC,OPEN-FEM,Telangana,"SVS Med Coll, Mehboobnagar",ORTHOPAEDICS,"₹7,50,000*",Info not available*,1*,"₹20,00,000*",760,2754(1),2730(1),2741(1),2741(1),2741(1),2741(1),1089(1),1089(1),1395(1),1395(1),-,-,-
Tel Govt-NS LOC,BCC-GEN,Telangana,"Rajiv Gandhi IMS, Adilabad",GENERAL SURGERY,"₹25,000*","₹58,289",1,"₹20,00,000",Info Not Available,-,-,-,-,-,-,1388(1),1404(1),1403(1),1403(1),-,-,-
Tel Govt-NS LOC,BCD-FEM,Telangana,"Mediciti IMS, Ghanpur",GENERAL SURGERY,"₹7,00,000*",Info not available*,1*,"₹20,00,000*",720,-,-,-,-,-,-,-,-,1404(1),1404(1),-,-,-
Tel Govt-NS LOC,SC-GEN,Telangana,"CAIMS, Karimnagar",GENERAL MEDICINE,"₹7,75,000*",Info not available*,1*,"₹20,00,000*",1000,1930(1),1930(1),1937(1),1937(1),1937(1),1937(1),1408(1),1408(1),1407(1),1407(1),-,-,-
Tel Govt-NS LOC,BCA-GEN,Telangana,"CAIMS, Karimnagar",ORTHOPAEDICS,"₹7,75,000*",Info not available*,1*,"₹20,00,000*",1000,-,-,-,-,-,-,1411(1),1411(1),1410(1),1410(1),-,-,-
Tel Govt-NS LOC,OPEN-GEN,Telangana,"Mamata AcadofMedSci,Bachupally",ANAESTHESIOLOGY,"₹7,50,000*",Info not available*,1*,"₹20,00,000*",-,-,-,-,-,-,-,1124(1),1124(1),1411(1),1135(1),-,-,-
Tel Govt-NS LOC,ST-GEN,Telangana,"Rajiv Gandhi IMS, Adilabad",GENERAL MEDICINE,"₹25,000*","₹58,289",1,"₹20,00,000",Info Not Available,-,-,-,-,-,-,1414(1),1414(1),1413(1),1413(1),-,-,-
