Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2023 6,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4,CR 2024 5,CR 2024 6,CR 2024 7
Tel Govt-NS LOC,BCD-GEN,Telangana,"Kakatiya Med Coll, Warangal",RADIO DIAGNOSIS,"₹25,000*","₹58,289",1,"₹20,00,000",1150,117(1),199(1),199(1),199(1),199(1),199(1),-,63(2),63(2),63(2),-,-,-
Tel Govt-NS LOC,BCD-FEM,Telangana,"Gandhi Med Coll, Secunderabad",GENERAL MEDICINE,"₹25,000*","₹58,289",1,"₹20,00,000",1200,-,-,-,-,-,-,63(1),74(1),74(1),74(1),-,-,-
Tel Govt-NS LOC,OPEN-FEM,Telangana,"Osmania Med Coll, Hyderabad",DERMATOLOGY,"₹25,000*","₹58,289",1,"₹20,00,000",4800,196(1),196(1),465(1),465(1),465(1),465(1),19(1),19(1),82(1),82(1),-,-,-
Tel Govt-NS LOC,OPEN-GEN,Telangana,"Osmania Med Coll, Hyderabad",DERMATOLOGY,"₹25,000*","₹58,289",1,"₹20,00,000",4800,86(1),86(1),86(1),86(1),86(1),86(1),49(2),46(2),93(2),93(2),-,-,-
Tel Govt-NS LOC,OPEN-FEM,Telangana,"Gandhi Med Coll, Secunderabad",DERMATOLOGY,"₹25,000*","₹58,289",1,"₹20,00,000",1200,123(1),123(1),123(1),123(1),123(1),123(1),51(1),51(1),94(1),94(1),-,-,-
Tel Govt-NS LOC,BCD-GEN,Telangana,"Kakatiya Med Coll, Warangal",GENERAL MEDICINE,"₹25,000*","₹58,289",1,"₹20,00,000",1150,121(1),121(1),121(1),121(1),121(1),121(1),74(1),98(2),98(2),98(2),-,-,-
Tel Govt-NS LOC,OPEN-GEN,Telangana,"Gandhi Med Coll, Secunderabad",DERMATOLOGY,"₹25,000*","₹58,289",1,"₹20,00,000",1200,199(1),267(1),372(1),372(1),372(1),372(1),82(1),82(1),102(1),102(1),-,-,-
Tel Govt-NS LOC,BCB-FEM,Telangana,"Gandhi Med Coll, Secunderabad",RADIO DIAGNOSIS,"₹25,000*","₹58,289",1,"₹20,00,000",1200,-,-,-,-,-,-,-,106(1),106(1),106(1),-,-,-
Tel Govt-NS LOC,BCB-FEM,Telangana,"Kakatiya Med Coll, Warangal",GENERAL MEDICINE,"₹25,000*","₹58,289",1,"₹20,00,000",1150,-,-,-,-,-,-,106(1),109(1),109(1),109(1),-,-,-
Tel Govt-NS LOC,OPEN-FEM,Telangana,"ESIC Med Coll,Sanath Nagar",DERMATOLOGY,"₹2,50,000*","₹1,26,927*",2*,"₹10,00,000*",690,-,-,-,-,-,-,102(1),102(1),110(1),110(1),-,-,-
Tel Govt-NS LOC,OPEN-FEM,Telangana,"Apollo IMSR, Hyderabad",RADIO DIAGNOSIS,"₹7,50,000*",Info not available*,1*,"₹20,00,000*",570,-,-,-,-,-,-,113(1),113(1),113(1),113(1),-,-,-
Tel Govt-NS LOC,OPEN-GEN,Telangana,"Govt Med Coll, Nizamabad",GENERAL MEDICINE,"₹25,000*","₹58,289",1,"₹20,00,000",500,181(1),209(1),209(1),209(1),209(1),209(1),61(1),61(1),115(1),115(1),-,-,-
Tel Govt-NS LOC,SC-GEN,Telangana,"NIMS, Hyderabad",GENERAL MEDICINE,"₹72,000*","₹1,11,780",1,"₹50,00,000",1498,134(1),134(1),555(1),555(1),555(1),555(1),128(1),128(1),128(1),128(1),-,-,-
Tel Govt-NS LOC,OPEN-GEN,Telangana,"Apollo IMSR, Hyderabad",GENERAL MEDICINE,"₹7,50,000*",Info not available*,1*,"₹20,00,000*",570,326(1),326(1),326(1),326(1),326(1),326(1),132(1),132(1),132(1),132(1),-,-,-
Tel Govt-NS LOC,OPEN-GEN,Telangana,"Govt Med Coll, Nizamabad",RADIO DIAGNOSIS,"₹25,000*","₹58,289",1,"₹20,00,000",500,-,-,-,-,-,-,44(1),84(1),133(1),133(1),-,-,-
Tel Govt-NS LOC,BCB-FEM,Telangana,"Osmania Med Coll, Hyderabad",RADIO DIAGNOSIS,"₹25,000*","₹58,289",1,"₹20,00,000",4800,67(1),67(1),67(1),67(1),67(1),67(1),66(1),135(1),135(1),135(1),-,-,-
Tel Govt-NS LOC,BCB-GEN,Telangana,"Osmania Med Coll, Hyderabad",PAEDIATRICS,"₹25,000*","₹58,289",1,"₹20,00,000",4800,286(1),286(1),286(1),286(1),286(1),286(1),139(1),139(1),139(1),139(1),-,-,-
