Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1
Delhi State Quota,GEN,Delhi,"Chacha Nehru Bal Chikit, Delhi",PAEDIATRICS,"₹18,000*","₹1,23,946*",0*,₹0*,221,5270(1)
Delhi State Quota,EWS,Delhi,"Chacha Nehru Bal Chikit, Delhi",PAEDIATRICS,"₹18,000*","₹1,23,946*",0*,₹0*,221,11320(1)
