Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4,CR 2024 5
UK Priv-Govt Quota,UR-OPEN,Uttarakhand,"SGRRI, Dehradun",GENERAL MEDICINE,"₹28,00,000*","₹59,065",1,"₹10,00,000",750,-,-,37(1),-,-,293(3),293(2),408(4),-,-
UK-Govt Quota,SC-OPEN,Uttarakhand,"Doon Med Coll, Dehradun",ANAESTHESIOLOGY,"₹60,000*","₹71,257*",2*,"₹2,50,00,000*",436,97(1),239(1),149(1),-,-,525(1),399(1),415(1),-,-
UK-Govt Quota,OBC-OPEN,Uttarakhand,"Govt Med Coll, Haldwani",ENT,"₹60,000*","₹71,257*",2*,"₹2,50,00,000*",600,34(1),138(1),66(1),-,-,167(1),167(1),418(1),-,-
UK Priv-Govt Quota,UR-OPEN,Uttarakhand,"SGRRI, Dehradun",OBG,"₹31,50,000*","₹59,065",1,"₹10,00,000",750,435(1),310(1),-,-,-,429(1),429(1),448(2),-,-
UK-Govt Quota,SC-OPEN,Uttarakhand,"Doon Med Coll, Dehradun",OBG,"₹60,000*","₹71,257*",2*,"₹2,50,00,000*",436,88(1),73(1),14(1),-,-,442(1),-,453(1),-,-
UK Priv-Govt Quota,UR-WOMEN,Uttarakhand,"SGRRI, Dehradun",GENERAL MEDICINE,"₹28,00,000*","₹59,065",1,"₹10,00,000",750,170(2),250(1),-,-,-,500(2),500(1),465(1),-,-
UK Priv-Govt Quota,UR-OPEN,Uttarakhand,"HIMS, Dehradun",PAEDIATRICS,"₹26,00,000*","₹40,000",1,"₹2,50,00,000",1200,334(2),353(1),86(2),-,-,386(3),406(2),471(2),-,-
UK-Govt Quota,SC-OPEN,Uttarakhand,"Govt Med Coll, Haldwani",OBG,"₹60,000*","₹71,257*",2*,"₹2,50,00,000*",600,86(1),70(1),-,-,-,469(1),469(1),489(1),-,-
UK Priv-AllIndia/Mgmt,UR-MNG,Uttarakhand,"HIMS, Dehradun",PAEDIATRICS,"₹26,00,000*","₹40,000",1,"₹2,50,00,000",1200,256(7),302(6),88(4),-,-,318(6),449(6),494(3),647(1),-
UK-Govt Quota,EWS-WOMEN,Uttarakhand,"Govt Med Coll, Haldwani",OBG,"₹60,000*","₹71,257*",2*,"₹2,50,00,000*",600,-,-,-,-,-,310(1),310(1),506(1),-,-
UK Priv-AllIndia/Mgmt,UR-MNG,Uttarakhand,"SGRRI, Dehradun",OBG,"₹31,50,000*","₹59,065",1,"₹10,00,000",750,232(3),222(2),111(1),-,-,287(2),501(2),518(2),-,-
UK-Govt Quota,UR-WOMEN,Uttarakhand,"Govt Med Coll, Haldwani",PATHOLOGY,"₹60,000*","₹71,257*",2*,"₹2,50,00,000*",600,-,-,-,-,-,225(1),408(1),551(1),-,-
