Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4,CR 2024 5
PB Priv-DMC Govt,GEN,Punjab,"DMC, Ludhiana",GENERAL SURGERY,"₹6,50,000*","₹50,000",0,₹0,1326,261(3),230(2),222(2),-,-,320(3),212(3),154(1),-,-
PB - Govt Quota,GEN,Punjab,"Govt Med Coll, Amritsar",ORTHOPAEDICS,"₹1,25,000*","₹67,968*",1*,"₹10,00,000*",951,198(4),176(3),122(1),-,-,177(2),165(2),158(1),-,-
PB - Govt Quota,GEN,Punjab,"Guru Govind Singh, Faridkot",GENERAL SURGERY,"₹1,25,000*","₹67,968*",1*,"₹10,00,000*",1000,200(1),-,181(2),-,-,277(3),202(3),165(1),-,-
PB - Govt Quota,GEN,Punjab,"Govt Med Coll, Amritsar",OPHTHALMOLOGY,"₹1,25,000*","₹67,968*",1*,"₹10,00,000*",951,175(2),138(2),115(2),-,-,185(1),110(1),168(1),-,-
PB - Govt Quota,GEN,Punjab,"Guru Govind Singh, Faridkot",TBRD,"₹1,25,000*","₹67,968*",1*,"₹10,00,000*",1000,-,-,-,-,-,-,-,170(1),-,-
PB Priv-SGRDSikhMin.,GEN,Punjab,"SDRD, Amritsar",GENERAL MEDICINE,"₹14,00,000*","₹65,000",1*,"₹15,00,000*",800,372(7),246(2),209(1),-,-,392(6),235(1),176(2),-,-
PB Priv-DMC Govt,GEN,Punjab,"DMC, Ludhiana",ORTHOPAEDICS,"₹6,50,000*","₹50,000",0,₹0,1326,139(1),-,133(1),-,-,-,-,180(1),-,-
PB - Govt Quota,GEN,Punjab,"Guru Govind Singh, Faridkot",OPHTHALMOLOGY,"₹1,25,000*","₹67,968*",1*,"₹10,00,000*",1000,218(2),187(2),153(1),-,-,213(3),159(3),182(1),-,-
PB - Govt Quota,GEN,Punjab,"Govt Med Coll, Patiala",GENERAL SURGERY,"₹1,25,000*","₹67,968*",1*,"₹10,00,000*",1130,227(5),149(5),163(4),-,-,269(6),187(3),184(3),-,-
Punjab DNB Serv,GEN,Punjab,"Dr BR Ambedkar IMS, SAS Nagar (Mohali)",DNBGENERAL MEDICINE,"₹1,25,000","₹67,968",1*,"₹10,00,000*",420,448(2),214(1),221(1),-,-,417(1),407(1),189(1),-,-
PB - Govt Quota,GEN,Punjab,"Govt Med Coll, Amritsar",ENT,"₹1,25,000*","₹67,968*",1*,"₹10,00,000*",951,229(3),285(3),225(1),36(1),-,281(2),226(2),191(1),-,-
PB - Govt Quota,EWS,Punjab,"Govt Med Coll, Patiala",ORTHOPAEDICS,"₹1,25,000*","₹67,968*",1*,"₹10,00,000*",1130,189(1),141(1),-,-,-,293(1),194(1),192(1),-,-
PB Priv-CMC Open,GEN,Punjab,"CMC, Ludhiana",OPHTHALMOLOGY,"₹6,50,000*","₹46,000",0,₹0,775,207(1),241(1),245(1),-,-,282(2),239(2),201(1),-,-
PB - Govt Quota,SC,Punjab,"Govt Med Coll, Patiala",GENERAL MEDICINE,"₹1,25,000*","₹67,968*",1*,"₹10,00,000*",1130,77(1),171(1),-,-,-,401(2),244(1),204(1),-,-
PB - Govt Quota,GEN,Punjab,"Govt Med Coll, Amritsar",GENERAL SURGERY,"₹1,25,000*","₹67,968*",1*,"₹10,00,000*",951,241(5),229(5),202(4),-,-,190(2),186(2),207(2),-,-
PB - Govt Quota,SC,Punjab,"Guru Govind Singh, Faridkot",GENERAL MEDICINE,"₹1,25,000*","₹67,968*",1*,"₹10,00,000*",1000,359(2),-,-,-,-,418(1),277(1),212(1),-,-
PB - Govt Quota,EWS,Punjab,"Govt Med Coll, Amritsar",ORTHOPAEDICS,"₹1,25,000*","₹67,968*",1*,"₹10,00,000*",951,203(1),181(1),-,-,-,336(1),260(1),214(1),-,-
PB - Govt Quota,BC,Punjab,"Govt Med Coll, Amritsar",PAEDIATRICS,"₹1,25,000*","₹67,968*",1*,"₹10,00,000*",951,-,-,-,-,-,221(1),123(1),218(1),-,-
PB - Govt Quota,BC,Punjab,"Govt Med Coll, Amritsar",TBRD,"₹1,25,000*","₹67,968*",1*,"₹10,00,000*",951,-,-,-,-,-,446(1),302(1),219(1),-,-
PB Priv-SGRDSikhMin.,GEN,Punjab,"SDRD, Amritsar",TBRD,"₹14,00,000*","₹65,000",1*,"₹15,00,000*",800,484(1),294(1),315(1),-,-,427(1),423(1),223(1),-,-
PB - Govt Quota,BC,Punjab,"Govt Med Coll, Amritsar",GENERAL SURGERY,"₹1,25,000*","₹67,968*",1*,"₹10,00,000*",951,339(1),232(1),-,-,-,377(1),261(1),237(1),-,-
PB Priv-AdeshGenMerit,Adesh-IP-GEN,Punjab,"Adesh IMS, Bhatinda",RADIO DIAGNOSIS,"₹14,90,000*","₹56,100*",1*,"₹25,00,000*",750,304(1),-,-,-,-,368(4),252(2),239(1),-,-
PB Priv-Gian Mgmt,GEN,Punjab,"Gian Sagar Med Coll, Patiala",OBG,"₹6,50,000*",Info not available,Info Not Available,Info not available,300,-,-,-,-,-,-,-,240(2),-,-
PB Priv-SGRDSikhMin.,GEN,Punjab,"SDRD, Amritsar",OBG,"₹14,00,000*","₹65,000",1*,"₹15,00,000*",800,366(2),211(1),173(1),-,-,409(1),251(1),244(1),-,-
PB - Govt Quota,GEN,Punjab,"Govt Med Coll, Patiala",ANAESTHESIOLOGY,"₹1,25,000*","₹67,968*",1*,"₹10,00,000*",1130,226(1),179(1),166(2),-,-,294(3),256(3),247(3),-,-
PB Priv-Gian Govt,GEN,Punjab,"Gian Sagar Med Coll, Patiala",OBG,"₹6,50,000*",Info not available,Info Not Available,Info not available,300,-,-,-,-,-,-,-,248(1),-,-
PB Priv-CMC Open,GEN,Punjab,"CMC, Ludhiana",ORTHOPAEDICS,"₹6,50,000*","₹46,000",0,₹0,775,290(2),178(2),187(2),-,-,279(2),209(2),252(2),-,-
PB - Govt Quota,GEN,Punjab,"Govt Med Coll, Amritsar",ANAESTHESIOLOGY,"₹1,25,000*","₹67,968*",1*,"₹10,00,000*",951,280(2),259(2),182(1),-,-,305(3),276(3),256(2),-,-
PB - Govt Quota,BC,Punjab,"Govt Med Coll, Patiala",OPHTHALMOLOGY,"₹1,25,000*","₹67,968*",1*,"₹10,00,000*",1130,-,-,-,-,-,414(1),242(1),257(1),-,-
PB Priv-SGRDGener.,GEN,Punjab,"SDRD, Amritsar",GENERAL MEDICINE,"₹14,00,000*","₹65,000",1*,"₹15,00,000*",800,540(4),335(3),239(3),-,-,250(2),192(1),262(3),-,-
PB Priv-SGRDGener.,GEN,Punjab,"SDRD, Amritsar",OBG,"₹14,00,000*","₹65,000",1*,"₹15,00,000*",800,-,-,297(1),-,-,471(1),294(1),273(1),-,-
PB Priv-AdeshGenMerit,Adesh-IP-GEN,Punjab,"Adesh IMS, Bhatinda",DERMATOLOGY,"₹14,90,000*","₹56,100*",1*,"₹25,00,000*",750,318(1),213(1),-,-,-,375(1),318(1),278(1),-,-
PB Priv-CMC Open,GEN,Punjab,"CMC, Ludhiana",GENERAL SURGERY,"₹6,50,000*","₹46,000",0,₹0,775,310(3),251(3),270(3),-,-,348(3),227(3),281(3),-,-
PB - Govt Quota,GEN,Punjab,"Guru Govind Singh, Faridkot",ENT,"₹1,25,000*","₹67,968*",1*,"₹10,00,000*",1000,320(2),296(2),247(2),37(1),-,243(2),230(1),285(2),-,-
PB - Govt Quota,GEN,Punjab,"Guru Govind Singh, Faridkot",ANAESTHESIOLOGY,"₹1,25,000*","₹67,968*",1*,"₹10,00,000*",1000,313(4),267(4),244(3),-,-,363(4),292(4),292(3),-,-
PB - Govt Quota,GEN,Punjab,"Govt Med Coll, Patiala",ENT,"₹1,25,000*","₹67,968*",1*,"₹10,00,000*",1130,296(3),279(3),211(1),-,-,191(1),164(1),294(2),-,-
PB Priv-DMC Mgmt,SC,Punjab,"DMC, Ludhiana",GENERAL MEDICINE,"₹6,50,000*","₹50,000",0,₹0,1326,421(2),307(1),-,-,-,475(2),-,302(1),-,-
PB Priv-SGRDGener.,GEN,Punjab,"SDRD, Amritsar",PAEDIATRICS,"₹14,00,000*","₹65,000",1*,"₹15,00,000*",800,545(1),399(1),303(1),-,-,288(1),274(1),310(2),-,-
PB Priv-DMC Govt,GEN,Punjab,"DMC, Ludhiana",ENT,"₹6,50,000*","₹50,000",0,₹0,1326,-,-,-,-,-,244(1),254(1),311(1),-,-
PB Priv-DMC Mgmt,GEN,Punjab,"DMC, Ludhiana",ANAESTHESIOLOGY,"₹6,50,000*","₹50,000",0,₹0,1326,328(2),291(2),289(3),-,-,355(2),307(2),320(3),-,-
PB Priv-AdeshAllIndia,GEN,Punjab,"Adesh IMS, Bhatinda",PSYCHIATRY,"₹14,90,000*","₹56,100*",1*,"₹25,00,000*",750,-,-,-,-,-,338(1),196(1),340(1),-,-
PB Priv-SGRDSikhMin.,GEN,Punjab,"SDRD, Amritsar",PAEDIATRICS,"₹14,00,000*","₹65,000",1*,"₹15,00,000*",800,423(2),281(1),223(2),-,-,402(2),329(2),342(2),-,-
PB Priv-AdeshAllIndia,GEN,Punjab,"Adesh IMS, Bhatinda",GENERAL SURGERY,"₹14,90,000*","₹56,100*",1*,"₹25,00,000*",750,330(2),300(2),307(1),-,-,311(1),435(1),355(2),-,-
PB - Govt Quota,SC,Punjab,"Guru Govind Singh, Faridkot",PSYCHIATRY,"₹1,25,000*","₹67,968*",1*,"₹10,00,000*",1000,-,-,-,-,-,636(1),443(1),357(1),-,-
PB Priv-DMC Govt,GEN,Punjab,"DMC, Ludhiana",ANAESTHESIOLOGY,"₹6,50,000*","₹50,000",0,₹0,1326,391(4),346(4),319(3),-,-,437(5),330(5),358(4),-,-
PB Priv-CMC Open,GEN,Punjab,"CMC, Ludhiana",ENT,"₹6,50,000*","₹46,000",0,₹0,775,-,-,-,-,-,265(1),281(1),359(2),-,-
PB - Govt Quota,BC,Punjab,"Govt Med Coll, Amritsar",ORTHOPAEDICS,"₹1,25,000*","₹67,968*",1*,"₹10,00,000*",951,-,-,-,-,-,358(1),247(1),374(1),-,-
PB Priv-AdeshGenMerit,Adesh-IP-GEN,Punjab,"Adesh IMS, Bhatinda",PAEDIATRICS,"₹14,90,000*","₹56,100*",1*,"₹25,00,000*",750,447(1),489(1),-,-,-,763(1),-,376(1),-,-
PB Priv-SGRDGener.,BC,Punjab,"SDRD, Amritsar",GENERAL SURGERY,"₹14,00,000*","₹65,000",1*,"₹15,00,000*",800,830(1),-,454(1),-,-,766(1),-,380(1),-,-
PB - Govt Quota,EWS,Punjab,"Guru Govind Singh, Faridkot",OBG,"₹1,25,000*","₹67,968*",1*,"₹10,00,000*",1000,127(1),110(1),351(1),-,-,224(1),127(1),387(1),-,-
PB Priv-AdeshAllIndia,GEN,Punjab,"Adesh IMS, Bhatinda",ORTHOPAEDICS,"₹14,90,000*","₹56,100*",1*,"₹25,00,000*",750,-,-,-,-,-,312(1),299(1),397(1),-,-
Punjab DNB Serv,GEN,Punjab,"SBLS Civil Hospital, Jalandhar",DNBGENERAL SURGERY,"₹1,25,000","₹50,190*",1*,"₹10,00,000*",470,658(1),364(1),-,-,-,814(2),-,399(1),-,-
PB - Govt Quota,SC,Punjab,"Govt Med Coll, Patiala",OBG,"₹1,25,000*","₹67,968*",1*,"₹10,00,000*",1130,458(2),358(2),296(2),-,-,478(1),-,403(1),-,-
PB Priv-CMC Open,GEN,Punjab,"CMC, Ludhiana",ANAESTHESIOLOGY,"₹6,50,000*","₹46,000",0,₹0,775,441(4),379(4),400(3),-,-,456(4),350(4),406(4),-,-
PB - Govt Quota,GEN,Punjab,"Guru Govind Singh, Faridkot",RADIATION ONCOLOGY,"₹1,25,000*","₹67,968*",1*,"₹10,00,000*",1000,449(2),439(2),364(1),-,-,503(2),336(2),408(2),-,-
PB Priv-AdeshAllIndia,GEN,Punjab,"Adesh IMS, Bhatinda",ENT,"₹14,90,000*","₹56,100*",1*,"₹25,00,000*",750,-,-,-,-,-,405(1),309(1),413(1),-,-
PB Priv-SGRDGener.,GEN,Punjab,"SDRD, Amritsar",ORTHOPAEDICS,"₹14,00,000*","₹65,000",1*,"₹15,00,000*",800,677(2),507(1),481(2),46(1),-,-,-,424(1),-,-
PB - Govt Quota,BC,Punjab,"Govt Med Coll, Patiala",ENT,"₹1,25,000*","₹67,968*",1*,"₹10,00,000*",1130,-,-,-,-,-,547(1),-,431(1),-,-
PB Priv-AdeshGenMerit,Adesh-IP-GEN,Punjab,"Adesh IMS, Bhatinda",OPHTHALMOLOGY,"₹14,90,000*","₹56,100*",1*,"₹25,00,000*",750,786(1),556(1),-,-,-,588(1),-,434(1),-,-
PB - Govt Quota,SC,Punjab,"Govt Med Coll, Amritsar",OBG,"₹1,25,000*","₹67,968*",1*,"₹10,00,000*",951,353(1),263(1),-,-,-,522(1),433(1),442(1),-,-
PB - Govt Quota,SC,Punjab,"Guru Govind Singh, Faridkot",GENERAL SURGERY,"₹1,25,000*","₹67,968*",1*,"₹10,00,000*",1000,612(2),394(2),375(2),-,-,886(1),578(1),447(1),-,-
PB Priv-AdeshGenMerit,Adesh-IP-GEN,Punjab,"Adesh IMS, Bhatinda",TBRD,"₹14,90,000*","₹56,100*",1*,"₹25,00,000*",750,705(2),596(2),358(1),-,-,873(1),516(1),456(1),-,-
PB Priv-SGRDGener.,GEN,Punjab,"SDRD, Amritsar",OPHTHALMOLOGY,"₹14,00,000*","₹65,000",1*,"₹15,00,000*",800,690(1),-,403(1),-,-,-,-,459(1),-,-
Punjab DNB Serv,SC,Punjab,"Dr BR Ambedkar IMS, SAS Nagar (Mohali)",DNBGENERAL MEDICINE,"₹1,25,000","₹67,968",1*,"₹10,00,000*",420,-,-,-,-,-,1097(1),-,461(1),145(1),-
PB Priv-DMC Mgmt,BC,Punjab,"DMC, Ludhiana",ANAESTHESIOLOGY,"₹6,50,000*","₹50,000",0,₹0,1326,644(1),377(1),384(1),-,-,489(1),399(1),466(1),-,-
PB Priv-CMC Open,GEN,Punjab,"CMC, Ludhiana",RADIATION ONCOLOGY,"₹6,50,000*","₹46,000",0,₹0,775,279(1),484(1),578(1),101(1),-,678(1),420(1),471(2),-,-
PB - Govt Quota,EWS,Punjab,"Guru Govind Singh, Faridkot",ANAESTHESIOLOGY,"₹1,25,000*","₹67,968*",1*,"₹10,00,000*",1000,409(1),304(1),284(1),-,-,514(1),312(1),480(1),-,-
Punjab DNB Serv,GEN,Punjab,"Dr BR Ambedkar IMS, SAS Nagar (Mohali)",DNBANAESTHESIOLOGY,"₹1,25,000","₹67,968",1*,"₹10,00,000*",420,-,-,-,-,-,485(1),404(1),485(1),-,-
PB Priv-SGRDGener.,BC,Punjab,"SDRD, Amritsar",ORTHOPAEDICS,"₹14,00,000*","₹65,000",1*,"₹15,00,000*",800,-,-,-,-,-,780(1),-,490(1),-,-
PB Priv-DMC Govt,SC,Punjab,"DMC, Ludhiana",OBG,"₹6,50,000*","₹50,000",0,₹0,1326,-,-,-,-,-,798(1),488(1),499(1),-,-
PB - Govt Quota,GEN,Punjab,"Govt Med Coll, Amritsar",PATHOLOGY,"₹1,25,000*","₹67,968*",1*,"₹10,00,000*",951,440(2),447(2),417(3),-,-,836(3),658(3),508(1),-,-
PB Priv-AdeshAllIndia,GEN,Punjab,"Adesh IMS, Bhatinda",ANAESTHESIOLOGY,"₹14,90,000*","₹56,100*",1*,"₹25,00,000*",750,468(1),412(1),445(1),-,-,624(2),382(2),511(3),68(2),-
PB Priv-SGRDSikhMin.,GEN,Punjab,"SDRD, Amritsar",OPHTHALMOLOGY,"₹14,00,000*","₹65,000",1*,"₹15,00,000*",800,535(1),313(1),343(1),-,-,412(1),-,515(1),-,-
PB - Govt Quota,SC,Punjab,"Govt Med Coll, Patiala",ANAESTHESIOLOGY,"₹1,25,000*","₹67,968*",1*,"₹10,00,000*",1130,-,-,-,-,-,751(1),538(1),532(1),-,-
PB Priv-AdeshAllIndia,BC,Punjab,"Adesh IMS, Bhatinda",TBRD,"₹14,90,000*","₹56,100*",1*,"₹25,00,000*",750,-,-,-,-,-,820(1),571(1),535(1),-,-
PB Priv-SGRDGener.,GEN,Punjab,"SDRD, Amritsar",GENERAL SURGERY,"₹14,00,000*","₹65,000",1*,"₹15,00,000*",800,1090(5),783(3),692(3),231(2),-,700(4),512(4),537(3),-,-
Punjab DNB Serv,GEN,Punjab,"Dr BR Ambedkar IMS, SAS Nagar (Mohali)",DNBOPHTHALMOLOGY,"₹1,25,000","₹67,968",1*,"₹10,00,000*",420,-,-,-,-,-,1064(1),566(1),540(1),-,-
PB - Govt Quota,GEN,Punjab,"Govt Med Coll, Amritsar",DA,"₹1,25,000*","₹67,968*",1*,"₹10,00,000*",951,623(3),610(3),398(1),115(1),-,812(1),482(1),546(2),-,-
PB - Govt Quota,SC,Punjab,"Guru Govind Singh, Faridkot",ANAESTHESIOLOGY,"₹1,25,000*","₹67,968*",1*,"₹10,00,000*",1000,651(1),397(1),-,-,-,879(2),616(1),551(1),-,-
PB - Govt Quota,SC,Punjab,"Govt Med Coll, Amritsar",ANAESTHESIOLOGY,"₹1,25,000*","₹67,968*",1*,"₹10,00,000*",951,555(1),443(1),378(1),-,-,743(2),580(2),570(1),-,-
PB Priv-DMC Mgmt,GEN,Punjab,"DMC, Ludhiana",PATHOLOGY,"₹6,50,000*","₹50,000",0,₹0,1326,469(1),530(1),416(1),-,-,690(1),-,573(3),-,-
PB - Govt Quota,GEN,Punjab,"Govt Med Coll, Patiala",DA,"₹1,25,000*","₹67,968*",1*,"₹10,00,000*",1130,656(3),525(3),466(3),149(1),-,500(1),300(1),577(2),104(1),-
PB Priv-SGRDSikhMin.,GEN,Punjab,"SDRD, Amritsar",GENERAL SURGERY,"₹14,00,000*","₹65,000",1*,"₹15,00,000*",800,886(8),569(5),517(3),-,-,810(8),581(5),598(2),-,-
PB Priv-AdeshGenMerit,Adesh-IP-GEN,Punjab,"Adesh IMS, Bhatinda",GENERAL SURGERY,"₹14,90,000*","₹56,100*",1*,"₹25,00,000*",750,850(5),758(5),465(1),-,-,1003(4),672(3),599(1),-,-
