Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4,CR 2024 5
UP-DNB InS,UR Service,Uttar Pradesh,"ShyamaPrasad (Civil), Lucknow",DNBGENERAL SURGERY,"₹1,25,000","₹70,000",0*,₹0*,401,5(1),6(1),-,-,-,13(1),13(1),39(1),-,-
UP-Govt Quota,EW,Uttar Pradesh,"KGMU, Lucknow",RADIO DIAGNOSIS,"₹54,700*","₹1,09,955",2*,"₹40,00,000*",4500,-,-,-,-,-,39(1),39(1),39(1),-,-
UP-DNB InS,UR Service,Uttar Pradesh,"LokBandhuRajNarayanHosp,Lucknow",DGO(NBEMS),"₹1,25,000","₹70,000",0*,₹0*,318,-,-,-,-,-,39(1),39(1),41(1),-,-
UP-Govt Quota,BC,Uttar Pradesh,"Dr RML IMS, Lucknow",RADIO DIAGNOSIS,"₹37,500*","₹1,08,672",2*,"₹40,00,000*",Info Not Available,15(1),30(1),-,-,-,24(1),36(1),44(1),-,-
UP-DNB InS,UR Service,Uttar Pradesh,"Balrampur Hospital, Lucknow",DCH(NBEMS),"₹1,25,000","₹70,000*",0*,₹0*,656,21(1),48(1),-,-,-,21(1),42(1),44(1),-,-
UP-DNB InS,UR Service,Uttar Pradesh,"LokBandhuRajNarayanHosp,Lucknow",DCH(NBEMS),"₹1,25,000","₹70,000",0*,₹0*,318,-,-,-,-,-,42(1),43(1),45(1),119(1),-
UP-DNB InS,UR Service,Uttar Pradesh,"Autonomous State MC, Firozabad",DNBGENERAL MEDICINE,"₹1,25,000","₹80,000*",0*,₹0*,244,23(1),18(1),-,-,-,31(1),45(1),47(1),-,-
UP-Govt Quota,UR,Uttar Pradesh,"KGMU, Lucknow",GENERAL MEDICINE,"₹54,700*","₹1,09,955",2*,"₹40,00,000*",4500,27(6),28(6),-,-,-,29(5),47(5),48(5),-,-
UP-DNB InS,SC Service,Uttar Pradesh,"Balrampur Hospital, Lucknow",DNBGENERAL SURGERY,"₹1,25,000","₹70,000*",0*,₹0*,656,-,-,-,-,-,46(1),46(1),48(1),148(1),-
UP-Govt Quota,UR,Uttar Pradesh,"MLN Med Coll, Allahabad",DERMATOLOGY,"₹40,000","₹1,00,980*",2*,"₹40,00,000*",Info Not Available,77(1),82(1),-,-,-,64(1),103(1),49(1),-,-
